Gene	sample	counts
RPS19P1	GSM1022678	1.010650267145594
RPS19P1	GSM1022679	4.3233185724726555
RPS19P1	GSM1022680	2.0456891329147155
RPS19P1	GSM1022681	2.046974488715816
RPS19P1	GSM1022682	13.118584489966986
RPS19P1	GSM1022683	2.0304986402393497
RPS19P1	GSM1022684	4.167763381786293
RPS19P1	GSM1022685	2.0536521243909864
RPS19P1	GSM1022686	6.289666530984071
RPS19P1	GSM1022687	2.160825822706414
RPS19P1	GSM1022688	1.0432607562473546
RPS19P1	GSM1022689	2.042540082594935
RPS19P1	GSM1022690	8.63874708041532
RPS19P1	GSM1022691	2.135817288492166
RPS19P1	GSM1022692	2.0345649927382525
RPS19P1	GSM1022693	4.036487535374458
RPS19P1	GSM1022694	4.169258794632994
RPS19P1	GSM1022695	1.022581557181457
RPS19P1	GSM1385778	7.0106019731463025
RPS19P1	GSM1385779	1.052358251410889
RPS19P1	GSM1385780	3.1407693013796396
RPS19P1	GSM1385781	6.0485210715742035
RPS19P1	GSM1385782	7.035280961405953
RPS19P1	GSM1385783	1.0443602353553707
RPS19P1	GSM1415906	4.006058270369316
RPS19P1	GSM1415907	4.027852450722049
RPS19P1	GSM1415908	2.027949420598452
RPS19P1	GSM1415909	4.027852450722049
RPS19P1	GSM1415910	4.030383247523093
RPS19P1	GSM1415911	8.03640470397001
RPS19P1	GSM1415912	2.2471850068657813
RPS19P1	GSM1415913	2.2668377808567093
RPS19P1	GSM1415914	5.4338692626067795
RPS19P1	GSM1415915	4.287415838277845
RPS19P1	GSM1415916	2.1435129618540354
RPS19P1	GSM1415917	2.1745911525612533
RPS19P1	GSM1415918	4.373728435430002
RPS19P1	GSM1415919	4.374118287559646
RPS19P1	GSM1415920	2.1520524557613543
RPS19P1	GSM1415921	2.1045859984777806
RPS19P1	GSM2769390	1.0476453445591134
RPS19P1	GSM2769391	4.147374860343385
RPS19P1	GSM2769392	6.19996022213858
RPS19P1	GSM2769393	8.242791154580443
RPS19P1	GSM2769394	6.093062661209319
RPS19P1	GSM2769395	2.0794237321731535
RPS19P1	GSM2769396	8.178548924275853
RPS19P1	GSM2769397	1.0460250461958456
RPS19P1	GSM2769398	8.385247162780946
RPS19P1	GSM3103946	2.0139262253610246
RPS19P1	GSM3103947	0.8967023540668838
RPS19P1	GSM3103948	0.6896249220822664
RPS19P1	GSM3103949	0.8376040364052322
