Gene	sample	counts
RRN3P2	GSM1022678	1.013771518848965
RRN3P2	GSM1022679	1.121552432745876
RRN3P2	GSM1022680	1.0277326924293382
RRN3P2	GSM1022681	1.0299921210590168
RRN3P2	GSM1022682	2.024723131754038
RRN3P2	GSM1022683	1.0177323697119474
RRN3P2	GSM1022684	1.0622642381309608
RRN3P2	GSM1022685	2.075465735874519
RRN3P2	GSM1022686	1.064467926310489
RRN3P2	GSM1022687	1.1313477227819897
RRN3P2	GSM1022688	1.065425427409442
RRN3P2	GSM1022689	1.0268090659069042
RRN3P2	GSM1022690	1.1264867493652244
RRN3P2	GSM1022691	1.1019042413337483
RRN3P2	GSM1022692	2.0382996055975786
RRN3P2	GSM1022693	1.0106385913341225
RRN3P2	GSM1022694	1.056234487088057
RRN3P2	GSM1022695	2.0536181318138085
RRN3P2	GSM1385778	2
RRN3P2	GSM1385779	2.2020997340911923
RRN3P2	GSM1385780	1.0838243203305329
RRN3P2	GSM1385781	1.0084216173196312
RRN3P2	GSM1385782	1.0053052229716717
RRN3P2	GSM1385783	1.080481580454705
RRN3P2	GSM1415906	2
RRN3P2	GSM1415907	1.0084216173196312
RRN3P2	GSM1415908	1.0169141582775405
RRN3P2	GSM1415909	1.0053052229716717
RRN3P2	GSM1415910	2.0132666812976243
RRN3P2	GSM1415911	1.0053052229716717
RRN3P2	GSM1415912	1.2144782022585594
RRN3P2	GSM1415913	1.2376800740232663
RRN3P2	GSM1415914	2.2866895828395934
RRN3P2	GSM1415915	1.107099489315216
RRN3P2	GSM1415916	1.1147893847364354
RRN3P2	GSM1415917	1.1525442655723448
RRN3P2	GSM1415918	1.1641216035965718
RRN3P2	GSM1415919	1.1635086650764048
RRN3P2	GSM1415920	1.1301370871413436
RRN3P2	GSM1415921	3.248570926124131
RRN3P2	GSM2769390	1.0945648030738035
RRN3P2	GSM2769391	1.0688566777393549
RRN3P2	GSM2769392	1.052182047516338
RRN3P2	GSM2769393	1.0383166180633372
RRN3P2	GSM2769394	1.0194079414219277
RRN3P2	GSM2769395	1.069818126570515
RRN3P2	GSM2769396	1.0213903622938192
RRN3P2	GSM2769397	1.0576052477160802
RRN3P2	GSM2769398	1.063216079371224
RRN3P2	GSM3103946	7.074470139338856
RRN3P2	GSM3103947	10.102616686848704
RRN3P2	GSM3103948	9.201370819334588
RRN3P2	GSM3103949	7.531844254965777
RRN3P2	GSM3103950	9.856184575620444
RRN3P2	GSM3103951	20
RRN3P2	GSM3103952	11.058357452688387
RRN3P2	GSM3103953	5.059412475622742
RRN3P2	GSM3103954	10.053052229716716
RRN3P2	GSM3103955	8.379308566553831
RRN3P2	GSM3103956	5.161282584754371
RRN3P2	GSM3103957	9.159591327407526
RRN3P2	GSM3103958	6.166396154576029
RRN3P2	GSM3103959	4
RRN3P2	GSM3103960	5
RRN3P2	GSM3103961	5.417447019568393
RRN3P2	GSM3103962	5.042108086598156
RRN3P2	GSM3103963	3.0967695508526227
RRN3P2	GSM3103964	8.098892527016153
RRN3P2	GSM3103965	5
RRN3P2	GSM4260265	3.064171086881457
RRN3P2	GSM4260266	4.042554365336489
RRN3P2	GSM4260267	2.123474717853534
RRN3P2	GSM4260268	4.223849553605452
RRN3P2	GSM4260269	3.057449408396368
RRN3P2	GSM4260270	6.0897908940202194
RRN3P2	GSM4260271	3.341824000743835
RRN3P2	GSM4260272	4.337843147569548
RRN3P2	GSM4260273	4.021220891886687
RRN3P2	GSM4260274	2.2663886586520925
RRN3P2	GSM4260275	4.2981088029580885
RRN3P2	GSM4260276	1.012361565877019
RRN3P2	GSM4735786	3.1063693767608997
RRN3P2	GSM4735787	8.228476867846565
RRN3P2	GSM4735788	10.418861325748267
RRN3P2	GSM4735790	4.163799145249319
RRN3P2	GSM4735793	5.314408023775747
RRN3P2	GSM4735798	2.218896564712623
RRN3P2	GSM4735800	3.311348426930486
RRN3P2	GSM4735803	1.023131666858757
RRN3P2	GSM4735804	1.044176676968467
RRN3P2	GSM4735785	10.811994844209348
RRN3P2	GSM4735789	6.2183271832311124
RRN3P2	GSM4735791	4.22728996628882
RRN3P2	GSM4735792	1.079498376442762
RRN3P2	GSM4735794	4.198865068246415
RRN3P2	GSM4735795	2.0773326410896225
RRN3P2	GSM4735796	2.2012943506313793
RRN3P2	GSM4735797	1.0882962908423894
RRN3P2	GSM4735799	1.0952338007992255
RRN3P2	GSM4735801	1.0665119943875787
RRN3P2	GSM4735802	1.0312048495995574
RRN3P2	GSM5282507	20
RRN3P2	GSM5282509	21
RRN3P2	GSM5282510	7.568396390946544
RRN3P2	GSM5282511	8.38192011914934
RRN3P2	GSM5282512	6.199110261107713
