Gene	sample	counts
SCFD2	GSM1022678	437.61156567404214
SCFD2	GSM1022679	83.22388252009863
SCFD2	GSM1022680	262.87105357954096
SCFD2	GSM1022681	449.31090027312155
SCFD2	GSM1022682	122.10374794507734
SCFD2	GSM1022683	335.0322756394927
SCFD2	GSM1022684	356.34376914272804
SCFD2	GSM1022685	491.84968379164127
SCFD2	GSM1022686	470.67671206864134
SCFD2	GSM1022687	367.34038986009045
SCFD2	GSM1022688	358.88170014908997
SCFD2	GSM1022689	555.5709024658224
SCFD2	GSM1022690	265.6414727227711
SCFD2	GSM1022691	336.39122293751615
SCFD2	GSM1022692	537.1251580828986
SCFD2	GSM1022693	607.4913740738558
SCFD2	GSM1022694	370.02171802367826
SCFD2	GSM1022695	461.18428228883704
SCFD2	GSM1385778	452.6845845517327
SCFD2	GSM1385779	285.1890861323509
SCFD2	GSM1385780	180.07077327909934
SCFD2	GSM1385781	347.7899616155167
SCFD2	GSM1385782	487.4444666116982
SCFD2	GSM1385783	187.98484236396675
SCFD2	GSM1415906	573.86784723040455
SCFD2	GSM1415907	581.0177160166556
SCFD2	GSM1415908	523.2109505144007
SCFD2	GSM1415909	470.25177362179926
SCFD2	GSM1415910	567.2764420888753
SCFD2	GSM1415911	565.5619810418895
SCFD2	GSM1415912	286.5160883753871
SCFD2	GSM1415913	267.48685814109166
SCFD2	GSM1415914	285.8215232131166
SCFD2	GSM1415915	307.62208639643535
SCFD2	GSM1415916	288.30249336936777
SCFD2	GSM1415917	292.48251001948853
SCFD2	GSM1415918	261.3302740169426
SCFD2	GSM1415919	304.0012209853954
SCFD2	GSM1415920	291.60310775566353
SCFD2	GSM1415921	300.95579778232263
SCFD2	GSM2769390	137.24154013724385
SCFD2	GSM2769391	264.3951473468908
SCFD2	GSM2769392	354.43105936558885
SCFD2	GSM2769393	367.8345552731523
SCFD2	GSM2769394	317.85476882641944
SCFD2	GSM2769395	211.06150881557505
SCFD2	GSM2769396	321.00804527782725
SCFD2	GSM2769397	126.5690305896973
SCFD2	GSM2769398	219.0645821276522
SCFD2	GSM3103946	282.95663466322395
SCFD2	GSM3103947	346.1271086698171
SCFD2	GSM3103948	200.68085232593953
SCFD2	GSM3103949	400.374729401701
SCFD2	GSM3103950	309.04586846758525
SCFD2	GSM3103951	207
SCFD2	GSM3103952	224
SCFD2	GSM3103953	276.91485598714087
SCFD2	GSM3103954	333
SCFD2	GSM3103955	403.3833846387996
SCFD2	GSM3103956	352.8718042127365
SCFD2	GSM3103957	541.6017601416139
SCFD2	GSM3103958	228.30727256999353
SCFD2	GSM3103959	337
SCFD2	GSM3103960	460
SCFD2	GSM3103961	337.8574245382278
SCFD2	GSM3103962	461.7870699226136
SCFD2	GSM3103963	299.64018833956436
SCFD2	GSM3103964	259.7964830715722
SCFD2	GSM3103965	464
SCFD2	GSM4260265	134.44869303724522
SCFD2	GSM4260266	385.8027806691388
SCFD2	GSM4260267	83.02321456742104
SCFD2	GSM4260268	92.46640016966074
SCFD2	GSM4260269	386.86768505564993
SCFD2	GSM4260270	125.6985521026054
SCFD2	GSM4260271	61.98971539947844
SCFD2	GSM4260272	149.9459719480356
SCFD2	GSM4260273	157.64251792506207
SCFD2	GSM4260274	81.20120141755885
SCFD2	GSM4260275	125.67081403054276
SCFD2	GSM4260276	155.43239669158143
SCFD2	GSM4735785	103.33964734322448
SCFD2	GSM4735786	404.8561697460076
SCFD2	GSM4735787	528.126417073558
SCFD2	GSM4735788	507.3395920068111
SCFD2	GSM4735789	518.2529170773286
SCFD2	GSM4735790	538.3024160702396
SCFD2	GSM4735791	347.60380220323515
SCFD2	GSM4735792	298.56387878441916
SCFD2	GSM4735793	310.4876257346355
SCFD2	GSM4735794	417.76300772996575
SCFD2	GSM4735795	250.7366206957112
SCFD2	GSM4735796	383.780739006289
SCFD2	GSM4735797	224.91562753823905
SCFD2	GSM4735798	456.44664449998936
SCFD2	GSM4735799	369.4809782520829
SCFD2	GSM4735800	380.66804627607894
SCFD2	GSM4735801	382.0036744373004
SCFD2	GSM4735802	716.9286208738096
SCFD2	GSM4735803	474.9602566142552
SCFD2	GSM4735804	282.6682468814115
SCFD2	GSM5282507	284.8609258643005
SCFD2	GSM5282508	112.24333915481414
SCFD2	GSM5282509	280.3597269329864
SCFD2	GSM5282510	1.0507016405848535
SCFD2	GSM5282511	1.030203714172055
SCFD2	GSM5282512	96.12266637505694
SCFD2	GSM5282513	182.90673238125387
SCFD2	GSM5282514	349.364090741771
SCFD2	GSM5282515	1.0238669861786047
SCFD2	GSM5282516	1.0330890196011069
SCFD2	GSM5282517	1.0281447131263994
SCFD2	GSM5282518	228.69116583472012
SCFD2	GSM5282519	1.0551829285636198
SCFD2	GSM5282520	27.598713305796977
SCFD2	GSM5282521	186.1788952600644
SCFD2	GSM5282522	1.022581557181457
SCFD2	GSM5282523	252.3816710332669
SCFD2	GSM5282524	84.93599428104584
SCFD2	GSM5282525	166.00188788067808
SCFD2	GSM5282526	41.16667030512962
SCFD2	GSM5282527	230.63234822089365
SCFD2	GSM5282528	101.95819146668484
SCFD2	GSM5282529	290.31511993091664
SCFD2	GSM5282530	116.11913362466343
SCFD2	GSM5282531	1.0256814406706618
SCFD2	GSM5282532	223.21345864172704
SCFD2	GSM5282533	205
SCFD2	GSM5282534	216.8249686711945
SCFD2	GSM5282535	162.26464965543445
SCFD2	GSM5282536	198.78476736000653
SCFD2	GSM4260927	444
SCFD2	GSM4260928	405.1800806082557
SCFD2	GSM4260929	339.6939242335099
SCFD2	GSM4260930	588
SCFD2	GSM4260931	461.3944573858389
SCFD2	GSM4260932	416.30126663423914
SCFD2	GSM4260933	374.1562589959469
SCFD2	GSM4260934	591
SCFD2	GSM4260935	385.3255942927255
SCFD2	GSM4260936	386.6531287397834
SCFD2	GSM4260937	419
SCFD2	GSM4260938	266.30510572302865
SCFD2	GSM4260939	490
SCFD2	GSM4260940	424.9108578835058
SCFD2	GSM4260941	540
SCFD2	GSM4260942	398.2528296721999
SCFD2	GSM4260943	334.52561398574596
SCFD2	GSM4260944	322.99257495020345
SCFD2	GSM4260945	269.2195575829954
SCFD2	GSM4260946	327.8487919098574
SCFD2	GSM4260947	172.40224262561242
SCFD2	GSM4260948	318.10986282976353
SCFD2	GSM4260949	250.2019192720732
SCFD2	GSM4260950	377
SCFD2	GSM4260951	428.8566742631926
SCFD2	GSM4260952	410.74594983806793
SCFD2	GSM4260953	673.1718622955959
SCFD2	GSM4260954	297.79732613745887
SCFD2	GSM4260955	256.4001044524402
SCFD2	GSM4260956	194.55047826588347
SCFD2	GSM4260957	462.82162901567136
SCFD2	GSM4260958	237.7086290424856
SCFD2	GSM4260959	253.33450140001332
SCFD2	GSM4260960	372.0129129898472
SCFD2	GSM4260961	279.42256435825976
SCFD2	GSM4260962	512.7754586072724
SCFD2	GSM4260963	429
SCFD2	GSM4260964	396
SCFD2	GSM4260965	235.45354716452047
SCFD2	GSM4260966	490.2838473653112
SCFD2	GSM4260967	361.3181737587055
SCFD2	GSM4260968	303
SCFD2	GSM4260969	428.6482349295168
SCFD2	GSM4260970	364.2078889857545
SCFD2	GSM4260971	198.6498886157229
SCFD2	GSM4260972	322.19499233805846
SCFD2	GSM4260973	399.811134022508
SCFD2	GSM4260974	382.7489936851174
SCFD2	GSM4260975	338
SCFD2	GSM4260976	488
SCFD2	GSM4260977	268.8519123646968
SCFD2	GSM4260978	359
SCFD2	GSM4260979	352.55432770668403
SCFD2	GSM4260980	388.7951198130742
SCFD2	GSM4260981	517.6008479381337
SCFD2	GSM4260982	297.9003344425959
SCFD2	GSM4260983	273.35915086981703
SCFD2	GSM4260984	609.3699624719152
SCFD2	GSM4260985	515.2375556120667
SCFD2	GSM4260986	338.30362912916894
SCFD2	GSM4260987	243.2064364496585
SCFD2	GSM4260988	319.64834227106314
SCFD2	GSM4260989	540
SCFD2	GSM4260990	522.0580797947378
SCFD2	GSM4260991	447
SCFD2	GSM4260992	351.23732748429904
SCFD2	GSM4260993	302.08676656894636
SCFD2	GSM4260994	286.9705961621566
SCFD2	GSM4260995	296.0497890363244
SCFD2	GSM4260996	302.6455925180721
SCFD2	GSM4260997	399
SCFD2	GSM4260998	392.69705901427915
SCFD2	GSM4260999	536
SCFD2	GSM4261000	314.4654495004224
SCFD2	GSM4261001	340
SCFD2	GSM4261002	128.1827062601349
SCFD2	GSM4261003	409.9822527682064
SCFD2	GSM4261004	316.8424000726751
SCFD2	GSM4261005	349
SCFD2	GSM4261006	308.1656963309278
SCFD2	GSM4261007	213.3605357097895
SCFD2	GSM4261008	443
SCFD2	GSM4261009	296.56639216047523
SCFD2	GSM4261010	138.39931050769613
SCFD2	GSM4261011	444.3474437611647
SCFD2	GSM4261012	35.40211158962762
SCFD2	GSM4261013	203.2338851777207
SCFD2	GSM4261014	327.6565129043157
SCFD2	GSM4261015	416.38791006398463
SCFD2	GSM4261016	422
SCFD2	GSM4261017	399.966197385176
SCFD2	GSM4261018	351.0123138122618
SCFD2	GSM4261019	268.2632074925057
SCFD2	GSM4261020	150.35868768535033
SCFD2	GSM4261021	289.0319037835773
SCFD2	GSM4261022	238.93291263373996
