Gene	sample	counts
SCIMP	GSM1022678	36.38340961724138
SCIMP	GSM1022679	11.889126074299805
SCIMP	GSM1022680	28.63964786080602
SCIMP	GSM1022681	33.77507906381096
SCIMP	GSM1022682	29.264534631464816
SCIMP	GSM1022683	27.41173164323122
SCIMP	GSM1022684	13.545230990805452
SCIMP	GSM1022685	13.348738808541412
SCIMP	GSM1022686	14.675888572296168
SCIMP	GSM1022687	15.1257807589449
SCIMP	GSM1022688	8.346086049978837
SCIMP	GSM1022689	11.233970454272145
SCIMP	GSM1022690	5.399216925259575
SCIMP	GSM1022691	10.67908644246083
SCIMP	GSM1022692	18.31108493464427
SCIMP	GSM1022693	18.16419390918506
SCIMP	GSM1022694	5.211573493291243
SCIMP	GSM1022695	29.65486515826225
SCIMP	GSM1385778	1.001514567592329
SCIMP	GSM1385779	1.052358251410889
SCIMP	GSM1385780	1.0469231004598798
SCIMP	GSM1385781	1.0080868452623672
SCIMP	GSM1385782	1.0050401373437077
SCIMP	GSM1385783	1.0443602353553707
SCIMP	GSM1415906	22.033320487031236
SCIMP	GSM1415907	17.11837291556871
SCIMP	GSM1415908	13.181671233889938
SCIMP	GSM1415909	15.104446690207684
SCIMP	GSM1415910	40.303832475230934
SCIMP	GSM1415911	13.059157643951268
SCIMP	GSM1415912	7.865147524030235
SCIMP	GSM1415913	7.933932232998482
SCIMP	GSM1415914	20.648703197905764
SCIMP	GSM1415915	18.22151731268084
SCIMP	GSM1415916	11.789321290197195
SCIMP	GSM1415917	14.134842491648143
SCIMP	GSM1415918	25.148938503722512
SCIMP	GSM1415919	9.841766147009205
SCIMP	GSM1415920	7.5321835951647405
SCIMP	GSM1415921	17.888980987061135
SCIMP	GSM2769390	1.0476453445591134
SCIMP	GSM2769391	1.0368437150858465
SCIMP	GSM2769392	1.033326703689763
SCIMP	GSM2769393	1.0303488943225554
SCIMP	GSM2769394	1.0155104435348865
SCIMP	GSM2769395	1.0397118660865767
SCIMP	GSM2769396	2.0446372310689633
SCIMP	GSM2769397	1.0460250461958456
SCIMP	GSM2769398	1.0481558953476182
SCIMP	GSM3103946	36.250672056498445
SCIMP	GSM3103947	63.665867138748744
SCIMP	GSM3103948	51.72186915616998
SCIMP	GSM3103949	60.30749062117672
SCIMP	GSM3103950	41.8499613549855
SCIMP	GSM3103951	59
SCIMP	GSM3103952	39
SCIMP	GSM3103953	52.36208185938664
SCIMP	GSM3103954	41
SCIMP	GSM3103955	58.37751720326826
SCIMP	GSM3103956	29.661687890345963
SCIMP	GSM3103957	25.355887647079303
SCIMP	GSM3103958	32.61532465285622
SCIMP	GSM3103959	29
SCIMP	GSM3103960	38
SCIMP	GSM3103961	47.64655987077571
SCIMP	GSM3103962	28.17001733732719
SCIMP	GSM3103963	24.54390621211449
SCIMP	GSM3103964	39.27156139453998
SCIMP	GSM3103965	32
SCIMP	GSM4260265	2.0526518020953466
SCIMP	GSM4260266	7.125645025551376
SCIMP	GSM4260267	2.0755803641855257
SCIMP	GSM4260268	2.077896633026084
SCIMP	GSM4260269	4.093837937096825
SCIMP	GSM4260270	8.175515583909295
SCIMP	GSM4260271	5.253365711820207
SCIMP	GSM4260272	5.242866152029217
SCIMP	GSM4260273	8.136388021938687
SCIMP	GSM4260274	6.0149038087080635
SCIMP	GSM4260275	2.0945135671757127
SCIMP	GSM4260276	10.225815571814568
SCIMP	GSM4735785	317.5541246484502
SCIMP	GSM4735786	177.97019287035295
SCIMP	GSM4735787	227.8192387376133
SCIMP	GSM4735788	138.08005390700836
SCIMP	GSM4735789	182.1169889327962
SCIMP	GSM4735790	182.2106824222281
SCIMP	GSM4735791	158.0017282741978
SCIMP	GSM4735792	397.7297385235298
SCIMP	GSM4735793	191.39648161724108
SCIMP	GSM4735794	224.62634083973032
SCIMP	GSM4735795	2.080801831499678
SCIMP	GSM4735796	123.20233951054163
SCIMP	GSM4735797	8.609210623473265
SCIMP	GSM4735798	1.1025281268115683
SCIMP	GSM4735799	1.0835219303580144
SCIMP	GSM4735800	2.2003933310756008
SCIMP	GSM4735801	3.1922312627072453
SCIMP	GSM4735802	6.225139978643788
SCIMP	GSM4735803	10.325222969875112
SCIMP	GSM4735804	15.880238588843342
SCIMP	GSM5282507	81.24554575707162
SCIMP	GSM5282508	17.346697869380368
SCIMP	GSM5282509	36.30557614959536
SCIMP	GSM5282510	30.470347576960755
SCIMP	GSM5282511	32.96651885350576
SCIMP	GSM5282512	127.82269464768213
SCIMP	GSM5282513	39.62979201593834
SCIMP	GSM5282514	134.52525333160148
SCIMP	GSM5282515	21.501206709750697
SCIMP	GSM5282516	17.562513333218817
SCIMP	GSM5282517	84.30786647636475
SCIMP	GSM5282518	57.17279145868003
SCIMP	GSM5282519	42.207317142544795
SCIMP	GSM5282520	51.108728344068474
SCIMP	GSM5282521	161.62783214884712
SCIMP	GSM5282522	38.85809917289536
SCIMP	GSM5282523	265.4013604119672
SCIMP	GSM5282524	284.13112372587955
SCIMP	GSM5282525	72.43718743884135
SCIMP	GSM5282526	72.2926893163252
SCIMP	GSM5282527	216.47071280382124
SCIMP	GSM5282528	22.430802122670663
SCIMP	GSM5282529	40.182023519850055
SCIMP	GSM5282530	16.297422263110658
SCIMP	GSM5282531	141.54403881255132
SCIMP	GSM5282532	20.200312999251317
SCIMP	GSM5282533	84
SCIMP	GSM5282534	134.1289341082273
SCIMP	GSM5282535	130.01329071770834
SCIMP	GSM5282536	30.426239902041814
SCIMP	GSM4260927	495
SCIMP	GSM4260928	374.5362089656144
SCIMP	GSM4260929	227.9196366640278
SCIMP	GSM4260930	437
SCIMP	GSM4260931	551.6672860048072
SCIMP	GSM4260932	451.32661358663904
SCIMP	GSM4260933	403.1927757694683
SCIMP	GSM4260934	370
SCIMP	GSM4260935	324.96127142702437
SCIMP	GSM4260936	226.72853622437563
SCIMP	GSM4260937	589
SCIMP	GSM4260938	264.2245970845675
SCIMP	GSM4260939	332
SCIMP	GSM4260940	312.13830792390235
SCIMP	GSM4260941	484
SCIMP	GSM4260942	369.2719899542698
SCIMP	GSM4260943	361.8958914936706
SCIMP	GSM4260944	543.1060334347866
SCIMP	GSM4260945	446.0204610703356
SCIMP	GSM4260946	388.9128526091618
SCIMP	GSM4260947	300.9388258849447
SCIMP	GSM4260948	366.583746689537
SCIMP	GSM4260949	380.4299674177835
SCIMP	GSM4260950	558
SCIMP	GSM4260951	348.91445925490814
SCIMP	GSM4260952	200.31905383601523
SCIMP	GSM4260953	280.4882759564983
SCIMP	GSM4260954	322.949127331501
SCIMP	GSM4260955	201.3830779909854
SCIMP	GSM4260956	251.5914561867708
SCIMP	GSM4260957	198.84188505858475
SCIMP	GSM4260958	233.55651325135048
SCIMP	GSM4260959	400.26851221202105
SCIMP	GSM4260960	321.74089772094896
SCIMP	GSM4260961	449.68004084895574
SCIMP	GSM4260962	363.5497880360154
SCIMP	GSM4260963	382
SCIMP	GSM4260964	425
SCIMP	GSM4260965	223.9934187627075
SCIMP	GSM4260966	226.9477965343335
SCIMP	GSM4260967	313.58137631450296
SCIMP	GSM4260968	318
SCIMP	GSM4260969	260.39378757400556
SCIMP	GSM4260970	214.59551965135745
SCIMP	GSM4260971	235.85521892502211
SCIMP	GSM4260972	483.797496332069
SCIMP	GSM4260973	257.16495052704033
SCIMP	GSM4260974	410.16072532834863
SCIMP	GSM4260975	384
SCIMP	GSM4260976	306
SCIMP	GSM4260977	283.2730877405809
SCIMP	GSM4260978	409
SCIMP	GSM4260979	301.3615075191381
SCIMP	GSM4260980	505.0243977361406
SCIMP	GSM4260981	533.3726189279383
SCIMP	GSM4260982	447.35201737844375
SCIMP	GSM4260983	347.26736573461943
SCIMP	GSM4260984	369.5281951913024
SCIMP	GSM4260985	252.13752721441563
SCIMP	GSM4260986	462.7810366868541
SCIMP	GSM4260987	270.46233018970645
SCIMP	GSM4260988	353.0293400398767
SCIMP	GSM4260989	364
SCIMP	GSM4260990	496.2774338789483
SCIMP	GSM4260991	430
SCIMP	GSM4260992	479.36163562322577
SCIMP	GSM4260993	460.2261477258445
SCIMP	GSM4260994	541.5259090368935
SCIMP	GSM4260995	225.36662141173483
SCIMP	GSM4260996	633.6895650311375
SCIMP	GSM4260997	646
SCIMP	GSM4260998	470.443143425187
SCIMP	GSM4260999	482
SCIMP	GSM4261000	248.31575947606171
SCIMP	GSM4261001	282
SCIMP	GSM4261002	289.47927830413795
SCIMP	GSM4261003	432.0350878804327
SCIMP	GSM4261004	245.163299728365
SCIMP	GSM4261005	700
SCIMP	GSM4261006	341.7282969214249
SCIMP	GSM4261007	198.573171848715
SCIMP	GSM4261008	369
SCIMP	GSM4261009	434.0746847193115
SCIMP	GSM4261010	33.807465162185316
SCIMP	GSM4261011	437.262177004153
SCIMP	GSM4261012	125.0874609500176
SCIMP	GSM4261013	224.89841100884829
SCIMP	GSM4261014	249.59414619356963
SCIMP	GSM4261015	404.2601068582375
SCIMP	GSM4261016	476
SCIMP	GSM4261017	373.70579048614934
SCIMP	GSM4261018	481.1172641056098
SCIMP	GSM4261019	400.3625142123002
SCIMP	GSM4261020	117.90717235757688
SCIMP	GSM4261021	203.35458944773117
SCIMP	GSM4261022	342.3366521348963
SCIMP	GSM4261023	650
SCIMP	GSM4261024	380.06986375032056
SCIMP	GSM4261025	460.4903927664625
SCIMP	GSM4261026	349.5052792439524
SCIMP	GSM4261027	882.0037694887607
SCIMP	GSM4818000	854.4732398683307
SCIMP	GSM4818001	561.676247919809
SCIMP	GSM4818002	642.3148098705558
SCIMP	GSM4818003	739.6208209729429
SCIMP	GSM4818004	400.1919277135856
SCIMP	GSM4818005	405.9890912966206
SCIMP	GSM4818006	286.55987946753885
SCIMP	GSM4818007	323.68655683730543
SCIMP	GSM4818008	980.187479938798
SCIMP	GSM4818009	821.7040469810032
SCIMP	GSM4818010	480.2250040470622
SCIMP	GSM4818011	403.8228488077072
SCIMP	GSM4818012	927.1577642032504
SCIMP	GSM4818013	638.3136917588688
SCIMP	GSM4818014	224.66730759496056
SCIMP	GSM4818015	325.8115583629222
SCIMP	GSM4818016	565.3583828057072
SCIMP	GSM4818017	670.2349633071995
SCIMP	GSM4818018	787.5207950858697
SCIMP	GSM4818019	1036.8340216070876
SCIMP	GSM4818020	924.012811521158
SCIMP	GSM4818021	723.7917829873412
SCIMP	GSM4818022	871.5929422034253
SCIMP	GSM4818023	639.3931101932881
SCIMP	GSM3056394	812.4970009613878
SCIMP	GSM3056395	641.7498001635478
SCIMP	GSM3056396	545.5521474437339
SCIMP	GSM3056397	713.059567132945
SCIMP	GSM3056398	1307.3870763169268
SCIMP	GSM3056399	823.5626664037388
SCIMP	GSM3056400	544.6767321692457
SCIMP	GSM3056401	633.36579065427
SCIMP	GSM3056402	764.0477583934917
SCIMP	GSM3056403	813.7487872839964
SCIMP	GSM3056404	1696.065818372545
SCIMP	GSM3056405	406.6452111150077
SCIMP	GSM3056406	465.6096229668075
SCIMP	GSM3056407	415.9154352599834
SCIMP	GSM3056408	1047.518807771651
SCIMP	GSM3056409	674.718816059457
SCIMP	GSM3056410	702.0114387381839
SCIMP	GSM3056411	337.684581235177
SCIMP	GSM3056412	552.9518639220922
SCIMP	GSM3056413	675.5191770088335
SCIMP	GSM3056414	2085.0437950929904
SCIMP	GSM3056415	673.712291485246
SCIMP	GSM3056416	635.386724538806
SCIMP	GSM3056417	1156.873746024757
SCIMP	GSM3056418	1460.8576696263378
SCIMP	GSM3056419	941.7800237019908
SCIMP	GSM3056420	1117.7142785668696
SCIMP	GSM3056421	926.3449554945134
SCIMP	GSM3056422	812.3538459462513
SCIMP	GSM3056423	238.36543663438823
SCIMP	GSM3056424	828.9516394592629
SCIMP	GSM3056425	904.609671152048
SCIMP	GSM3056426	1089.279829436551
SCIMP	GSM3056427	974.2431750299988
SCIMP	GSM3056428	1504.0920344483204
SCIMP	GSM3056429	971.5567807549504
SCIMP	GSM3056430	1219.3465851616286
SCIMP	GSM3056431	822.5801560547683
SCIMP	GSM3056432	1444.8773292309493
SCIMP	GSM3056433	792.1965968492696
SCIMP	GSM3056434	1247.8467339698336
SCIMP	GSM3056435	1078.0706306685126
SCIMP	GSM3056436	505.60012775987815
SCIMP	GSM3056437	744.1844998109917
SCIMP	GSM3056438	592.2554752241649
SCIMP	GSM3056439	944.8774113891384
SCIMP	GSM3056440	809.9059418975744
SCIMP	GSM3056441	599.040990925247
SCIMP	GSM3056442	1295.5264687084343
SCIMP	GSM3056443	1243.9069920697802
SCIMP	GSM3056444	639.5746416930464
SCIMP	GSM3056445	903.2199085408736
SCIMP	GSM3056446	765.3540562401157
SCIMP	GSM3056447	1359.3246093108237
SCIMP	GSM3056448	1137.0493562201266
SCIMP	GSM3056449	764.3523089041087
SCIMP	GSM3056450	2972.832773515848
SCIMP	GSM3056451	411.4762389988976
SCIMP	GSM3056452	913.0255435675384
SCIMP	GSM3056453	1120.0755381170657
SCIMP	GSM3056454	810.5961037250175
SCIMP	GSM3056455	1008.0061549169988
SCIMP	GSM3056456	914.6928245170856
SCIMP	GSM3056457	683.4913815253486
SCIMP	GSM3056458	699.8673821584714
SCIMP	GSM3056459	738.6503999870603
SCIMP	GSM3056460	779.9734608064215
SCIMP	GSM3056461	598.8513417214322
SCIMP	GSM3056462	780.0015445278575
SCIMP	GSM3056463	657.4462875861276
SCIMP	GSM3056464	705.4151996398087
SCIMP	GSM3056465	647.8308134331398
SCIMP	GSM3056466	1174.8188022360875
SCIMP	GSM3056467	287.2845369822059
SCIMP	GSM3056468	1342.2896188801508
SCIMP	GSM3056469	483.2589418098537
SCIMP	GSM3056470	598.9674101205003
SCIMP	GSM3056471	447.8557303350006
SCIMP	GSM3056472	664.6194298482206
SCIMP	GSM3056473	753.5368328410542
SCIMP	GSM3056474	930.5262386344536
SCIMP	GSM3056475	959.1769695901264
SCIMP	GSM3056476	1106.672847769994
SCIMP	GSM3056477	440.5109732577171
SCIMP	GSM3056478	928.3197679840667
SCIMP	GSM3056479	576.7312072767727
SCIMP	GSM3056480	611.3451784558465
SCIMP	GSM3056481	665.6370785377918
SCIMP	GSM3056482	1441.5857834166843
SCIMP	GSM3056483	1251.3791135181823
SCIMP	GSM3056484	2609.0947309812746
SCIMP	GSM3056485	1655.8716411151895
SCIMP	GSM3056486	2844.5971329266063
SCIMP	GSM3056487	927.523113584556
SCIMP	GSM3056488	835.4491322172503
SCIMP	GSM3056489	1219.781306485302
SCIMP	GSM3056490	407.1267255901811
SCIMP	GSM3056491	1749.5101367611044
SCIMP	GSM3056492	296.95014703658364
SCIMP	GSM3056493	1016.1985838201864
SCIMP	GSM3056494	952.2093008446192
