Gene	sample	counts
SDR42E2	GSM1022678	1.0149928632180971
SDR42E2	GSM1022679	10.886816601851194
SDR42E2	GSM1022680	2.061687214926793
SDR42E2	GSM1022681	2.062217627039529
SDR42E2	GSM1022682	29.33807758598652
SDR42E2	GSM1022683	3.062591767328805
SDR42E2	GSM1022684	2.115629884776827
SDR42E2	GSM1022685	4.1484594545262254
SDR42E2	GSM1022686	1.0604724495698388
SDR42E2	GSM1022687	1.1088805228290193
SDR42E2	GSM1022688	2.1191388345659217
SDR42E2	GSM1022689	2.056426019418712
SDR42E2	GSM1022690	3.3095405919103937
SDR42E2	GSM1022691	2.1856653771637573
SDR42E2	GSM1022692	1.0229984726241244
SDR42E2	GSM1022693	2.0269711951524334
SDR42E2	GSM1022694	2.1091328950093753
SDR42E2	GSM1022695	2.059642189268547
SDR42E2	GSM1385778	4.026003345818011
SDR42E2	GSM1385779	1.08831673889073
SDR42E2	GSM1385780	4.30787649996226
SDR42E2	GSM1385781	1.0160593920172551
SDR42E2	GSM1385782	2.021948057006088
SDR42E2	GSM1385783	3.2178078906421868
SDR42E2	GSM1415906	2.012642466404504
SDR42E2	GSM1415907	5.0705420734853615
SDR42E2	GSM1415908	2.0482289795295645
SDR42E2	GSM1415909	1.0137465254422466
SDR42E2	GSM1415910	4.059971452872389
SDR42E2	GSM1415911	4.040468736788775
SDR42E2	GSM1415912	1.182512101984153
SDR42E2	GSM1415913	1.1954362057291898
SDR42E2	GSM1415914	2.274497060773547
SDR42E2	GSM1415915	2.2208545129803037
SDR42E2	GSM1415916	1.1091395235784829
SDR42E2	GSM1415917	1.1335736061479336
SDR42E2	GSM1415918	1.14248870104818
SDR42E2	GSM1415919	1.1435660966331045
SDR42E2	GSM1415920	2.2341585069022063
SDR42E2	GSM1415921	4.315634427638102
SDR42E2	GSM2769390	1.049114201454456
SDR42E2	GSM2769391	1.0447696856901132
SDR42E2	GSM2769392	1.0329916712135618
SDR42E2	GSM2769393	1.026969767993484
SDR42E2	GSM2769394	1.017679101810684
SDR42E2	GSM2769395	1.0389231941618595
SDR42E2	GSM2769396	1.0203367258104672
SDR42E2	GSM2769397	1.0478235991023386
SDR42E2	GSM2769398	1.0511612257547172
SDR42E2	GSM3103946	10.096769883151676
SDR42E2	GSM3103947	16.412105053359905
SDR42E2	GSM3103948	8.770538541419159
SDR42E2	GSM3103949	7.305071447621699
SDR42E2	GSM3103950	9.215578733819603
SDR42E2	GSM3103951	7
SDR42E2	GSM3103952	12.065332092008456
SDR42E2	GSM3103953	11.11128902616913
SDR42E2	GSM3103954	15.06583431780444
SDR42E2	GSM3103955	7.0447996986980135
SDR42E2	GSM3103956	4.087319192780327
SDR42E2	GSM3103957	5.066523739703431
SDR42E2	GSM3103958	12.246225965744861
SDR42E2	GSM3103959	18.05680147638362
SDR42E2	GSM3103960	9.018923881353254
SDR42E2	GSM3103961	20.785582639013157
SDR42E2	GSM3103962	8.059029200577367
SDR42E2	GSM3103963	6.13481821826748
SDR42E2	GSM3103964	8.08093747357755
SDR42E2	GSM3103965	14.03805865624368
SDR42E2	GSM4260265	2.022357179512595
SDR42E2	GSM4260266	3.023381389586949
SDR42E2	GSM4260267	1.0209637531539166
SDR42E2	GSM4260268	1.0212022389679882
SDR42E2	GSM4260269	2.022451315201305
SDR42E2	GSM4260270	3.025311534146882
SDR42E2	GSM4260271	1.0381691192461002
SDR42E2	GSM4260272	1.031794725850175
SDR42E2	GSM4260273	2.011765383092228
SDR42E2	GSM4260274	7.273801213341971
SDR42E2	GSM4260275	1.0300705159989183
SDR42E2	GSM4260276	2.017234317889231
SDR42E2	GSM4735785	1.1241583234625787
SDR42E2	GSM4735786	2.10414998887824
SDR42E2	GSM4735787	2.08219388646391
SDR42E2	GSM4735788	2.1230991202127596
SDR42E2	GSM4735789	5.265793764015927
SDR42E2	GSM4735790	2.124945378638371
