Gene	sample	counts
SGIP1	GSM1022678	1.0149928632180971
SGIP1	GSM1022679	1.0886816601851197
SGIP1	GSM1022680	1.0308436074633964
SGIP1	GSM1022681	1.0311088135197646
SGIP1	GSM1022682	1.0116578477926386
SGIP1	GSM1022683	1.020863922442935
SGIP1	GSM1022684	1.0578149423884136
SGIP1	GSM1022685	1.0371148636315564
SGIP1	GSM1022686	1.0604724495698388
SGIP1	GSM1022687	1.1088805228290193
SGIP1	GSM1022688	1.0595694172829608
SGIP1	GSM1022689	1.028213009709356
SGIP1	GSM1022690	1.1031801973034647
SGIP1	GSM1022691	1.0928326885818789
SGIP1	GSM1022692	1.0229984726241244
SGIP1	GSM1022693	1.0134855975762167
SGIP1	GSM1022694	1.0545664475046876
SGIP1	GSM1022695	1.0298210946342734
SGIP1	GSM1385778	1.0065008364545027
SGIP1	GSM1385779	1.08831673889073
SGIP1	GSM1385780	1.076969124990565
SGIP1	GSM1385781	1.0160593920172551
SGIP1	GSM1385782	1.010974028503044
SGIP1	GSM1385783	1.072602630214062
SGIP1	GSM1415906	1.006321233202252
SGIP1	GSM1415907	1.0141084146970722
SGIP1	GSM1415908	1.0241144897647825
SGIP1	GSM1415909	1.0137465254422466
SGIP1	GSM1415910	1.0149928632180971
SGIP1	GSM1415911	1.0101171841971937
SGIP1	GSM1415912	1.182512101984153
SGIP1	GSM1415913	1.1954362057291898
SGIP1	GSM1415914	1.1372485303867734
SGIP1	GSM1415915	1.1104272564901518
SGIP1	GSM1415916	1.1091395235784829
SGIP1	GSM1415917	1.1335736061479336
SGIP1	GSM1415918	1.14248870104818
SGIP1	GSM1415919	1.1435660966331045
SGIP1	GSM1415920	1.1170792534511031
SGIP1	GSM1415921	1.0789086069095255
SGIP1	GSM2769390	34.62076864799704
SGIP1	GSM2769391	34.477399627773735
SGIP1	GSM2769392	34.08872515004754
SGIP1	GSM2769393	33.89000234378497
SGIP1	GSM2769394	33.58341035975257
SGIP1	GSM2769395	34.28446540734137
SGIP1	GSM2769396	1.0203367258104672
SGIP1	GSM2769397	1.0478235991023386
SGIP1	GSM2769398	1.0511612257547172
SGIP1	GSM3103946	1.0096769883151675
SGIP1	GSM3103947	0.9117836140755504
SGIP1	GSM3103948	0.6264670386727971
SGIP1	GSM3103949	0.8116746052912999
SGIP1	GSM3103950	0.5759736708637253
SGIP1	GSM3103951	1
SGIP1	GSM3103952	1.0054443410007048
SGIP1	GSM3103953	1.0101171841971937
SGIP1	GSM3103954	1.004388954520296
SGIP1	GSM3103955	0.46965331324653425
SGIP1	GSM3103956	1.0218297981950817
SGIP1	GSM3103957	1.0133047479406865
SGIP1	GSM3103958	1.0205188304787385
SGIP1	GSM3103959	1.0031556375768678
SGIP1	GSM3103960	1.002102653483695
SGIP1	GSM3103961	0.8660659432922149
SGIP1	GSM3103962	1.0073786500721709
SGIP1	GSM3103963	1.02246970304458
SGIP1	GSM3103964	1.0101171841971937
SGIP1	GSM3103965	1.0027184754459773
SGIP1	GSM4260265	339.75600615811595
SGIP1	GSM4260266	116.90408039736204
SGIP1	GSM4260267	378.77755242010306
SGIP1	GSM4260268	250.19454854715713
SGIP1	GSM4260269	120.33585325447764
SGIP1	GSM4260270	494.1342172439908
SGIP1	GSM4260271	155.72536788691505
SGIP1	GSM4260272	96.98870422991644
SGIP1	GSM4260273	295.72951131455756
SGIP1	GSM4260274	77.41402719913955
SGIP1	GSM4260275	101.97698108389292
SGIP1	GSM4260276	268.29216427926775
SGIP1	GSM4735785	1.1241583234625787
SGIP1	GSM4735786	1.05207499443912
SGIP1	GSM4735787	1.041096943231955
SGIP1	GSM4735788	1.0615495601063798
SGIP1	GSM4735789	1.0531587528031856
SGIP1	GSM4735790	1.0624726893191856
SGIP1	GSM4735791	1.0871027019164097
SGIP1	GSM4735792	1.119522653616255
SGIP1	GSM4735793	1.0950706995974604
SGIP1	GSM4735794	1.073004610131236
SGIP1	GSM4735795	1.0485009745543108
SGIP1	GSM4735796	1.1345222112631277
SGIP1	GSM4735797	1.1166577862322071
SGIP1	GSM4735798	1.1431313903741345
SGIP1	GSM4735799	1.1303004052343573
SGIP1	GSM4735800	1.1336053776903567
SGIP1	GSM4735801	1.08578255609448
SGIP1	GSM4735802	1.0404467493865326
SGIP1	GSM4735803	1.0290012974998244
SGIP1	GSM4735804	1.0579760419913706
SGIP1	GSM5282507	204.08251909063745
SGIP1	GSM5282508	199.7061974710339
SGIP1	GSM5282509	333
SGIP1	GSM5282510	195.85520445750623
SGIP1	GSM5282511	220.83453666396488
SGIP1	GSM5282512	204.25807513077208
SGIP1	GSM5282513	339.06660550098127
SGIP1	GSM5282514	207.29383314851276
SGIP1	GSM5282515	308.5439292920864
SGIP1	GSM5282516	259.21178294159955
SGIP1	GSM5282517	210.23263756591743
SGIP1	GSM5282518	281.42655682076946
SGIP1	GSM5282519	196.25056675610875
SGIP1	GSM5282520	223.98031706434392
SGIP1	GSM5282521	235.35730391794613
SGIP1	GSM5282522	332.67775602982186
SGIP1	GSM5282523	314.85174981745945
SGIP1	GSM5282524	389
SGIP1	GSM5282525	389
SGIP1	GSM5282526	287.3262557524954
SGIP1	GSM5282527	258
SGIP1	GSM5282528	252.58662953376523
SGIP1	GSM5282529	677
SGIP1	GSM5282530	300.75892477228814
SGIP1	GSM5282531	301.83322256207805
SGIP1	GSM5282532	364
SGIP1	GSM5282533	261.2858462119226
SGIP1	GSM5282534	348
SGIP1	GSM5282535	249
SGIP1	GSM5282536	296.3087352597739
SGIP1	GSM4260927	1.002102653483695
SGIP1	GSM4260928	0.6454556071292703
SGIP1	GSM4260929	0.5819498173626707
SGIP1	GSM4260930	1
SGIP1	GSM4260931	1.0069396476075654
SGIP1	GSM4260932	1.0042097281190625
SGIP1	GSM4260933	0.8337188926476333
SGIP1	GSM4260934	1.0031556375768678
SGIP1	GSM4260935	1.0115205232858615
SGIP1	GSM4260936	1.019265707215034
SGIP1	GSM4260937	1
SGIP1	GSM4260938	1.0463449709305277
SGIP1	GSM4260939	1.0031556375768678
SGIP1	GSM4260940	1.009398108835883
SGIP1	GSM4260941	1
SGIP1	GSM4260942	1
SGIP1	GSM4260943	1.018179658672215
SGIP1	GSM4260944	0.7901896247624465
SGIP1	GSM4260945	1.0079977142916818
SGIP1	GSM4260946	0.5510337199157896
SGIP1	GSM4260947	1.024185544737989
SGIP1	GSM4260948	0.738271663668315
SGIP1	GSM4260949	1.031105756209081
SGIP1	GSM4260950	1
SGIP1	GSM4260951	0.862210537914432
SGIP1	GSM4260952	0.9753607534609672
SGIP1	GSM4260953	1
SGIP1	GSM4260954	1.0101171841971937
SGIP1	GSM4260955	1.0443980245860167
SGIP1	GSM4260956	1.0217542627391865
SGIP1	GSM4260957	0.9152572351260038
SGIP1	GSM4260958	1.0450141253403695
SGIP1	GSM4260959	1.0185158160198071
SGIP1	GSM4260960	1.0094968183001447
SGIP1	GSM4260961	1.0052649262729068
SGIP1	GSM4260962	1.0071193612313702
SGIP1	GSM4260963	1
SGIP1	GSM4260964	1.002102653483695
SGIP1	GSM4260965	1.0480118219614296
SGIP1	GSM4260966	1
SGIP1	GSM4260967	28.222304063432983
SGIP1	GSM4260968	1.0031556375768678
SGIP1	GSM4260969	1.0052649262729068
SGIP1	GSM4260970	0.7676598544628919
SGIP1	GSM4260971	0.6280984158896301
SGIP1	GSM4260972	1.015304770291522
SGIP1	GSM4260973	1.0069396476075654
SGIP1	GSM4260974	1.0187219032840784
SGIP1	GSM4260975	1.0037721066292744
SGIP1	GSM4260976	1
SGIP1	GSM4260977	1.0373329762545018
SGIP1	GSM4260978	1
SGIP1	GSM4260979	1
SGIP1	GSM4260980	0.8593821143822014
SGIP1	GSM4260981	0.6932997731541387
SGIP1	GSM4260982	1.006321233202252
SGIP1	GSM4260983	1.0171270414978684
SGIP1	GSM4260984	0.8100455500270124
SGIP1	GSM4260985	0.710173072721408
SGIP1	GSM4260986	0.7514549828230019
SGIP1	GSM4260987	1.0536280474406272
SGIP1	GSM4260988	1.016685793974575
SGIP1	GSM4260989	1
SGIP1	GSM4260990	1
SGIP1	GSM4260991	1.0052649262729068
SGIP1	GSM4260992	0.7239781904071776
SGIP1	GSM4260993	1.0194476207331868
SGIP1	GSM4260994	1
SGIP1	GSM4260995	1.0305782789853644
SGIP1	GSM4260996	0.8209594956916948
SGIP1	GSM4260997	1
SGIP1	GSM4260998	0.7888686720766255
SGIP1	GSM4260999	1.0027184754459773
SGIP1	GSM4261000	1.022963108723893
SGIP1	GSM4261001	1
SGIP1	GSM4261002	1.0686315569478149
SGIP1	GSM4261003	1.006321233202252
SGIP1	GSM4261004	1.0469203470873392
SGIP1	GSM4261005	1
SGIP1	GSM4261006	1.0222189640586097
SGIP1	GSM4261007	115.43352200653936
SGIP1	GSM4261008	1.0031556375768678
SGIP1	GSM4261009	1.0305588816235487
SGIP1	GSM4261010	1.0573527504378613
SGIP1	GSM4261011	1.0186397227305803
SGIP1	GSM4261012	1.1521636110377214
SGIP1	GSM4261013	126.33505400488907
SGIP1	GSM4261014	1.032686174919233
SGIP1	GSM4261015	1.0165023704801062
SGIP1	GSM4261016	1.004826844941539
SGIP1	GSM4261017	1.0145505425788048
SGIP1	GSM4261018	0.6598775488939715
SGIP1	GSM4261019	1.0194476207331868
SGIP1	GSM4261020	56.13194390776792
SGIP1	GSM4261021	1.0353679331740913
SGIP1	GSM4261022	1.008177616754012
SGIP1	GSM4261023	1.004388954520296
SGIP1	GSM4261024	1.046087500606099
SGIP1	GSM4261025	1.030483911825718
SGIP1	GSM4261026	80.54297456673044
SGIP1	GSM4261027	0.9295918496869188
SGIP1	GSM4818000	1.0148590600281953
SGIP1	GSM4818001	1.0529126092797554
SGIP1	GSM4818002	1.0358193297155989
SGIP1	GSM4818003	1.0573255696962722
SGIP1	GSM4818004	1.180393650637631
SGIP1	GSM4818005	1.0778621231566528
SGIP1	GSM4818006	1.1865753126452228
SGIP1	GSM4818007	1.1906613995587665
SGIP1	GSM4818008	1.0171270414978684
SGIP1	GSM4818009	1.049549533604482
SGIP1	GSM4818010	1.0971448421687486
SGIP1	GSM4818011	1.1446027103872318
SGIP1	GSM4818012	1.0166837908115425
SGIP1	GSM4818013	1.0362709230555889
SGIP1	GSM4818014	1.1681827290169344
SGIP1	GSM4818015	1.083493271513882
SGIP1	GSM4818016	1.0638862153272983
SGIP1	GSM4818017	1.0249978412128151
SGIP1	GSM4818018	1.0360041976426817
SGIP1	GSM4818019	1.0168461042644938
SGIP1	GSM4818020	1.0137465254422466
SGIP1	GSM4818021	1.0186397227305803
SGIP1	GSM4818022	1.066273626617109
SGIP1	GSM4818023	1.0980352910845552
SGIP1	GSM3056394	1.0671971411560988
SGIP1	GSM3056395	1.133705193223047
SGIP1	GSM3056396	1.203522155752025
SGIP1	GSM3056397	1.0736079330791972
SGIP1	GSM3056398	1.0205188304787385
SGIP1	GSM3056399	1.0997159648995063
SGIP1	GSM3056400	1.0751432370066922
SGIP1	GSM3056401	1.0560363314371135
SGIP1	GSM3056402	1.0757745868233608
SGIP1	GSM3056403	1.0438151284577408
SGIP1	GSM3056404	1.0217876980106086
SGIP1	GSM3056405	1.1407630523006334
SGIP1	GSM3056406	1.0920290281894016
SGIP1	GSM3056407	1.0946187709781108
SGIP1	GSM3056408	1.051302402577222
SGIP1	GSM3056409	1.0516329533829845
SGIP1	GSM3056410	1.2063342432114983
SGIP1	GSM3056411	1.2456982018473386
SGIP1	GSM3056412	1.1918056890427493
SGIP1	GSM3056413	1.1508553648838002
SGIP1	GSM3056414	1.028841826666172
SGIP1	GSM3056415	1.0579799460345516
SGIP1	GSM3056416	1.2099057083768017
SGIP1	GSM3056417	1.0643159022656992
SGIP1	GSM3056418	1.0171270414978684
SGIP1	GSM3056419	1.1049801633331209
SGIP1	GSM3056420	1.028396520097945
SGIP1	GSM3056421	1.128135411167967
SGIP1	GSM3056422	1.1379442381081375
SGIP1	GSM3056423	1.2189788698148885
SGIP1	GSM3056424	1.1011144214313489
SGIP1	GSM3056425	1.1975332789795994
SGIP1	GSM3056426	1.0466890534922917
SGIP1	GSM3056427	1.1736616871026193
SGIP1	GSM3056428	1.036458291289237
SGIP1	GSM3056429	1.10257721610693
SGIP1	GSM3056430	1.052417069693916
SGIP1	GSM3056431	1.142439781228339
SGIP1	GSM3056432	1.059849697095764
SGIP1	GSM3056433	1.184271708569342
SGIP1	GSM3056434	1.0367049728965188
SGIP1	GSM3056435	1.1519063682458093
SGIP1	GSM3056436	1.1394543927279692
SGIP1	GSM3056437	1.1397234185202714
SGIP1	GSM3056438	1.0890492244477346
SGIP1	GSM3056439	1.1115592369546867
SGIP1	GSM3056440	1.2274454144782774
SGIP1	GSM3056441	1.2448635470620568
SGIP1	GSM3056442	1.0186872166163066
SGIP1	GSM3056443	1.0336459304989285
SGIP1	GSM3056444	1.1444199091912266
SGIP1	GSM3056445	1.0494980139587593
SGIP1	GSM3056446	1.019059509939322
SGIP1	GSM3056447	1.015435376698988
SGIP1	GSM3056448	1.024185544737989
SGIP1	GSM3056449	1.0947620158572255
SGIP1	GSM3056450	1.0222189640586097
SGIP1	GSM3056451	1.103382198875546
SGIP1	GSM3056452	1.044095844834663
SGIP1	GSM3056453	1.0279483583199658
SGIP1	GSM3056454	1.096730865362172
SGIP1	GSM3056455	1.03045811269268
SGIP1	GSM3056456	1.0263390520415825
SGIP1	GSM3056457	1.1384325687729644
SGIP1	GSM3056458	1.2557940495074096
SGIP1	GSM3056459	1.1481121974989528
SGIP1	GSM3056460	1.1837356292037229
SGIP1	GSM3056461	1.1469577367468486
SGIP1	GSM3056462	1.1117090454229606
SGIP1	GSM3056463	1.2008842961788255
SGIP1	GSM3056464	1.1844698293014613
SGIP1	GSM3056465	1.1865971827336304
SGIP1	GSM3056466	1.1136536085485649
SGIP1	GSM3056467	1.1108302800333494
SGIP1	GSM3056468	1.0322660267276402
SGIP1	GSM3056469	1.1699582550602945
SGIP1	GSM3056470	1.1758048483689
SGIP1	GSM3056471	1.174293011298832
SGIP1	GSM3056472	1.1379848797326688
SGIP1	GSM3056473	1.1575030241811295
SGIP1	GSM3056474	1.051161031313454
SGIP1	GSM3056475	1.0840707430357266
SGIP1	GSM3056476	1.0948635770598911
SGIP1	GSM3056477	1.2185730406811457
SGIP1	GSM3056478	1.0291291295538048
SGIP1	GSM3056479	1.06765514956321
SGIP1	GSM3056480	1.0840048100905328
SGIP1	GSM3056481	1.0662480451428855
SGIP1	GSM3056482	1.0284970874248096
SGIP1	GSM3056483	1.037083044585549
SGIP1	GSM3056484	1.0273170413644623
SGIP1	GSM3056485	1.0205188304787385
SGIP1	GSM3056486	1.005882691546114
SGIP1	GSM3056487	1.0525949269761783
SGIP1	GSM3056488	1.031518738576124
SGIP1	GSM3056489	1.0397265506759497
SGIP1	GSM3056490	1.178211829351184
SGIP1	GSM3056491	1.1170910902175606
SGIP1	GSM3056492	1.1773943537710445
SGIP1	GSM3056493	1.0334101908671247
SGIP1	GSM3056494	1.107819707326396
SGIP1	GSM3056495	1.0271337236015363
SGIP1	GSM3056496	1.1222050399297292
SGIP1	GSM3056497	1.0570700324938929
SGIP1	GSM3056498	1.04694188654587
SGIP1	GSM3056499	1.133744875697002
SGIP1	GSM3056500	1.0444565839797195
SGIP1	GSM3056501	1.0721551792376132
SGIP1	GSM3056502	1.08857641851191
SGIP1	GSM3056503	1.0877459618960363
SGIP1	GSM3056504	1.1739892933880247
SGIP1	GSM3056505	1.1083611066445016
SGIP1	GSM3056506	1.14303534568626
SGIP1	GSM3056507	1.0645585925319514
SGIP1	GSM3056508	1.0605981271892662
SGIP1	GSM3056509	1.1710186025667155
SGIP1	GSM3056510	1.0600974424460647
SGIP1	GSM3056511	1.028844877264124
SGIP1	GSM3056512	1.0415280172615249
SGIP1	GSM3056513	1.0183775354062
SGIP1	GSM3056514	1.0283560960248197
SGIP1	GSM3056515	1.0296414890289598
SGIP1	GSM3056516	1.0468296639104129
SGIP1	GSM3056517	1.1385686106867394
SGIP1	GSM3056518	1.1006347876319424
SGIP1	GSM3056519	1.0557300588066605
SGIP1	GSM3056520	1.033094454356601
SGIP1	GSM3056521	1.035348445662253
SGIP1	GSM3056522	1.0222189640586097
SGIP1	GSM3056523	1.0205188304787385
SGIP1	GSM3056524	1.0895172463745693
SGIP1	GSM3056525	1.0648948898686688
SGIP1	GSM3056526	1.1027838789963782
SGIP1	GSM3056527	1.0342901535277809
SGIP1	GSM3056528	1.0471888853238862
SGIP1	GSM3056529	1.1911873485830604
SGIP1	GSM3056530	1.047854970580807
SGIP1	GSM3056531	1.0137344309370018
SGIP1	GSM3056532	1.1061955915650974
SGIP1	GSM3056533	1.0133047479406865
SGIP1	GSM3056534	1.196922523601421
SGIP1	GSM3056535	1.20973449569459
SGIP1	GSM3056536	1.062706751863823
SGIP1	GSM3056537	1.0569523428876488
SGIP1	GSM3056538	1.0541658556645055
SGIP1	GSM3056539	1.0866531352297344
SGIP1	GSM3056540	1.04457401461463
SGIP1	GSM3056541	1.1164056277191816
SGIP1	GSM3056542	1.1414285972236486
SGIP1	GSM3056543	1.0678586730946968
SGIP1	GSM3056544	1.0367049728965188
SGIP1	GSM3056545	1.0185158160198071
SGIP1	GSM3056546	1.0259038366624134
SGIP1	GSM3056547	1.090333757511899
SGIP1	GSM3056548	1.060928056245836
SGIP1	GSM3056549	1.0252617329741118
SGIP1	GSM3056550	1.0767860670853031
SGIP1	GSM3056551	1.200061330063647
SGIP1	GSM3056552	1.0641348781497308
SGIP1	GSM3056553	1.0192317946208482
SGIP1	GSM3056554	1.0465021711092777
SGIP1	GSM3056555	1.0447451495176634
SGIP1	GSM3056556	1.0205750651579029
SGIP1	GSM3056557	1.0162407332880792
SGIP1	GSM3056558	1.0368882259445316
SGIP1	GSM3056559	1.0243368348463535
SGIP1	GSM3056560	1.082443291012517
SGIP1	GSM3056561	1.0318868335291314
SGIP1	GSM3056562	1.0140405146825942
SGIP1	GSM3056563	1.0469198056292055
SGIP1	GSM3056564	1.0274175031286488
SGIP1	GSM3056565	1.0078991514110949
SGIP1	GSM3056566	1.0166837908115425
SGIP1	GSM3056567	1.0316611845447583
SGIP1	GSM3056568	1.0865508035998022
SGIP1	GSM3056569	1.0263390520415825
SGIP1	GSM3056570	1.0185592904078271
SGIP1	GSM3056571	1.0429884209417746
SGIP1	GSM3056572	1.00923698426476
SGIP1	GSM3056573	1.0033346758492183
SGIP1	GSM3056574	1.0124217704162704
SGIP1	GSM3056575	1.0324454173830415
SGIP1	GSM3056576	1.0644088459728431
