Gene	sample	counts
SGK223	GSM1022678	608.4114608216474
SGK223	GSM1022679	1.080829643118164
SGK223	GSM1022680	319.1275047346956
SGK223	GSM1022681	645.8204511898399
SGK223	GSM1022682	1.0091218838436145
SGK223	GSM1022683	403.0539800875109
SGK223	GSM1022684	205.26234655297495
SGK223	GSM1022685	266.97477617082825
SGK223	GSM1022686	124.74505286451742
SGK223	GSM1022687	110.20211695802712
SGK223	GSM1022688	248.2960599868704
SGK223	GSM1022689	412.59309668417694
SGK223	GSM1022690	417.8993900150911
SGK223	GSM1022691	14.950721019445162
SGK223	GSM1022692	309.25387889621436
SGK223	GSM1022693	766.9326317211469
SGK223	GSM1022694	14.59240578121548
SGK223	GSM1022695	381.4229208286834
SGK223	GSM1385778	884.3373631840265
SGK223	GSM1385779	267.2989958583658
SGK223	GSM1385780	155.99154196852209
SGK223	GSM1385781	994.9817162739564
SGK223	GSM1385782	709.5583369646577
SGK223	GSM1385783	149.343513655818
SGK223	GSM1415906	944.4282372395662
SGK223	GSM1415907	688.7627690734704
SGK223	GSM1415908	487.7218356539277
SGK223	GSM1415909	412.8548761990101
SGK223	GSM1415910	461.4788818413942
SGK223	GSM1415911	507.29804693810695
SGK223	GSM1415912	58.42681017851032
SGK223	GSM1415913	60.071201192702794
SGK223	GSM1415914	127.15254074499865
SGK223	GSM1415915	212.22708399475331
SGK223	GSM1415916	197.20319249057127
SGK223	GSM1415917	81.547168221047
SGK223	GSM1415918	55.765037551732526
SGK223	GSM1415919	54.67647859449557
SGK223	GSM1415920	82.85401954681214
SGK223	GSM1415921	105.22929992388904
SGK223	GSM2769390	473.5356957407192
SGK223	GSM2769391	210.4792741624268
SGK223	GSM2769392	632.3959426581351
SGK223	GSM2769393	1210.6599508290026
SGK223	GSM2769394	697.655674708467
SGK223	GSM2769395	568.7223907493574
SGK223	GSM2769396	1201.224373253016
SGK223	GSM2769397	666.3179544267535
SGK223	GSM2769398	554.47446863889
SGK223	GSM3103946	402.785245072205
SGK223	GSM3103947	307.56890744494115
SGK223	GSM3103948	433.0844510676633
SGK223	GSM3103949	621.5021950126823
SGK223	GSM3103950	193.79751335154825
SGK223	GSM3103951	86
SGK223	GSM3103952	249
SGK223	GSM3103953	107.7450530568148
SGK223	GSM3103954	214
SGK223	GSM3103955	315.0282234662855
SGK223	GSM3103956	153.42252357075498
SGK223	GSM3103957	89.25272451771916
SGK223	GSM3103958	14.269204535624596
SGK223	GSM3103959	291
SGK223	GSM3103960	235
SGK223	GSM3103961	294.54237011024986
SGK223	GSM3103962	203.22655364786047
SGK223	GSM3103963	125.78751933708674
SGK223	GSM3103964	98.6823850426902
SGK223	GSM3103965	288
SGK223	GSM4260265	732.7966933480388
SGK223	GSM4260266	1788.5369014133953
SGK223	GSM4260267	755.5112525635313
SGK223	GSM4260268	765.704909270112
SGK223	GSM4260269	1522.9077126000186
SGK223	GSM4260270	801.2005272231108
SGK223	GSM4260271	782.7514910612108
SGK223	GSM4260272	1074.7875611659897
SGK223	GSM4260273	870.5935183474396
SGK223	GSM4260274	443.29841070178423
SGK223	GSM4260275	1072.390946393965
SGK223	GSM4260276	784.3200543581775
SGK223	GSM4735785	208.83220400609943
SGK223	GSM4735786	226.88597687565465
SGK223	GSM4735787	538.4818370161768
SGK223	GSM4735788	338.92376868083875
SGK223	GSM4735789	366.3153148819672
SGK223	GSM4735790	218.65281890667373
SGK223	GSM4735791	215.9356953080703
SGK223	GSM4735792	140.7515428555119
SGK223	GSM4735793	431.7053974255549
SGK223	GSM4735794	454.5009606710431
SGK223	GSM4735795	289.2314545784552
SGK223	GSM4735796	356.52358424731966
SGK223	GSM4735797	256.1240160483296
