Gene	sample	counts
SHCBP1L	GSM1022678	3.035416673077901
SHCBP1L	GSM1022679	3.2619988909374578
SHCBP1L	GSM1022680	1.024035163259057
SHCBP1L	GSM1022681	1.0254177019347264
SHCBP1L	GSM1022682	7.074551870019157
SHCBP1L	GSM1022683	1.0155104435348865
SHCBP1L	GSM1022684	1.045109579572174
SHCBP1L	GSM1022685	1.0299388126007114
SHCBP1L	GSM1022686	1.0512971560936306
SHCBP1L	GSM1022687	1.0872700680245635
SHCBP1L	GSM1022688	1.0474332992759388
SHCBP1L	GSM1022689	1.022581557181457
SHCBP1L	GSM1022690	2.175916143736787
SHCBP1L	GSM1022691	1.0760262278806771
SHCBP1L	GSM1022692	2.0345649927382525
SHCBP1L	GSM1022693	1.0096136609284547
SHCBP1L	GSM1022694	2.0889581605623473
SHCBP1L	GSM1022695	1.0228445664573578
SHCBP1L	GSM1385778	1.0030314290996496
SHCBP1L	GSM1385779	1.077256250738088
SHCBP1L	GSM1385780	1.0665550545786855
SHCBP1L	GSM1385781	2.0237718072868804
SHCBP1L	GSM1385782	1.0069631126805123
SHCBP1L	GSM1385783	1.06319017904285
SHCBP1L	GSM1415906	2.003029135184658
SHCBP1L	GSM1415907	1.0075958118807733
SHCBP1L	GSM1415908	1.015183039205113
SHCBP1L	GSM1415909	1.0075958118807733
SHCBP1L	GSM1415910	1.008488226377649
SHCBP1L	GSM1415911	1.0045505879962513
SHCBP1L	GSM1415912	1.134200941661956
SHCBP1L	GSM1415913	1.1473079818540426
SHCBP1L	GSM1415914	1.094225603357875
SHCBP1L	GSM1415915	1.0757363896737755
SHCBP1L	GSM1415916	1.0760262278806771
SHCBP1L	GSM1415917	1.0953867172131926
SHCBP1L	GSM1415918	1.10242986176477
SHCBP1L	GSM1415919	1.102372776327608
SHCBP1L	GSM1415920	1.0823407984756992
SHCBP1L	GSM1415921	1.0549402171424924
SHCBP1L	GSM2769390	1.0754464105331571
SHCBP1L	GSM2769391	1.0585243543160967
SHCBP1L	GSM2769392	1.0476453445591134
SHCBP1L	GSM2769393	1.0359543069535193
SHCBP1L	GSM2769394	1.0203663161311838
SHCBP1L	GSM2769395	1.059075372841705
SHCBP1L	GSM2769396	1.0181834902363824
SHCBP1L	GSM2769397	1.045256860312832
SHCBP1L	GSM2769398	1.0492468388860623
SHCBP1L	GSM3103946	1.0091218838436145
SHCBP1L	GSM3103947	0.9176050525718804
SHCBP1L	GSM3103948	2.1486367343776624
SHCBP1L	GSM3103949	0.8612333344324411
SHCBP1L	GSM3103950	1.336693251196066
SHCBP1L	GSM3103951	1
SHCBP1L	GSM3103952	1.0030314290996496
SHCBP1L	GSM3103953	2.018243767687229
SHCBP1L	GSM3103954	1.0030314290996496
SHCBP1L	GSM3103955	1.063894788520484
SHCBP1L	GSM3103956	1.026970766354677
SHCBP1L	GSM3103957	1.0161485132291883
SHCBP1L	GSM3103958	1.023224069826938
SHCBP1L	GSM3103959	1.001514567592329
SHCBP1L	GSM3103960	1
SHCBP1L	GSM3103961	2.6735316710843446
SHCBP1L	GSM3103962	1.0075958118807733
SHCBP1L	GSM3103963	1.026526731348191
SHCBP1L	GSM3103964	1.0100156499625657
SHCBP1L	GSM3103965	1.001514567592329
