Gene	sample	counts
SIGLEC15	GSM1022678	43.46161126225579
SIGLEC15	GSM1022679	36.88283970304814
SIGLEC15	GSM1022680	28.63887106654093
SIGLEC15	GSM1022681	23.548940682107908
SIGLEC15	GSM1022682	45.45070424831546
SIGLEC15	GSM1022683	28.40913082154872
SIGLEC15	GSM1022684	24.074520435436185
SIGLEC15	GSM1022685	38.03157261687302
SIGLEC15	GSM1022686	17.829001732387866
SIGLEC15	GSM1022687	30.652937613068644
SIGLEC15	GSM1022688	32.53456008013874
SIGLEC15	GSM1022689	26.546913392017963
SIGLEC15	GSM1022690	25.07870024988094
SIGLEC15	GSM1022691	24.69151017480782
SIGLEC15	GSM1022692	23.37141580427133
SIGLEC15	GSM1022693	20.169764527552974
SIGLEC15	GSM1022694	20.84968923050275
SIGLEC15	GSM1022695	26.563593457713537
SIGLEC15	GSM1385778	28
SIGLEC15	GSM1385779	29.122481020765964
SIGLEC15	GSM1385780	29.817582655569986
SIGLEC15	GSM1385781	27.212084103706395
SIGLEC15	GSM1385782	27.122865875898786
SIGLEC15	GSM1385783	29.74456240573955
SIGLEC15	GSM1415906	30
SIGLEC15	GSM1415907	30.182161432850563
SIGLEC15	GSM1415908	28.366168342258987
SIGLEC15	GSM1415909	28.17001733732719
SIGLEC15	GSM1415910	30.20889338041537
SIGLEC15	GSM1415911	28.08488001479019
SIGLEC15	GSM1415912	32.20295909284429
SIGLEC15	GSM1415913	30.248485260561516
SIGLEC15	GSM1415914	27.607890381756697
SIGLEC15	GSM1415915	30.239875697080357
SIGLEC15	GSM1415916	30.382710926386196
SIGLEC15	GSM1415917	31.007437633192353
SIGLEC15	GSM1415918	29.02776699546236
SIGLEC15	GSM1415919	27.837825006985163
SIGLEC15	GSM1415920	30.572523859064876
SIGLEC15	GSM1415921	26.53535733468069
SIGLEC15	GSM2769390	30.101854776041748
SIGLEC15	GSM2769391	26.408360593268025
SIGLEC15	GSM2769392	26.095580524655375
SIGLEC15	GSM2769393	25.810307738597263
SIGLEC15	GSM2769394	28.502580102205503
SIGLEC15	GSM2769395	26.412541672765496
SIGLEC15	GSM2769396	25.416092865332104
SIGLEC15	GSM2769397	34.44131269427943
SIGLEC15	GSM2769398	32.473528818627074
SIGLEC15	GSM3103946	44.44068859835289
SIGLEC15	GSM3103947	37.479458526356225
SIGLEC15	GSM3103948	29.375498456059628
SIGLEC15	GSM3103949	33.89931621726883
SIGLEC15	GSM3103950	17.965110950158827
SIGLEC15	GSM3103951	25
SIGLEC15	GSM3103952	28.119217019303065
SIGLEC15	GSM3103953	22.22034429917645
SIGLEC15	GSM3103954	37.11216287668704
SIGLEC15	GSM3103955	21.19358315205155
SIGLEC15	GSM3103956	8.223042727972544
SIGLEC15	GSM3103957	3.048445539687565
SIGLEC15	GSM3103958	19.46950484882541
SIGLEC15	GSM3103959	27.08184858569054
SIGLEC15	GSM3103960	19
SIGLEC15	GSM3103961	32.268621324512715
SIGLEC15	GSM3103962	26.197491108900103
SIGLEC15	GSM3103963	20.544698090815096
SIGLEC15	GSM3103964	17.181054541475095
SIGLEC15	GSM3103965	34
SIGLEC15	GSM4260265	27.50190006899923
SIGLEC15	GSM4260266	30.319508014367813
SIGLEC15	GSM4260267	29.459979768643716
SIGLEC15	GSM4260268	25.13702299516276
SIGLEC15	GSM4260269	26.409346165760024
SIGLEC15	GSM4260270	23.280162201609997
SIGLEC15	GSM4260271	28.349066131421264
SIGLEC15	GSM4260272	25.66128476501527
SIGLEC15	GSM4260273	34.23674583113742
SIGLEC15	GSM4260274	28.34291675748472
SIGLEC15	GSM4260275	25.49196032860352
SIGLEC15	GSM4260276	30.327306230356093
SIGLEC15	GSM4735785	33.749448348653516
SIGLEC15	GSM4735786	65.94407592418668
SIGLEC15	GSM4735787	43.66324673709569
SIGLEC15	GSM4735788	21.07398885667389
SIGLEC15	GSM4735789	28.129406077177222
