Gene	sample	counts
SIGMAR1	GSM1022678	690.850704574395
SIGMAR1	GSM1022679	1.0522644578555964
SIGMAR1	GSM1022680	437.9454355601819
SIGMAR1	GSM1022681	832.2133500150352
SIGMAR1	GSM1022682	14.021203946292603
SIGMAR1	GSM1022683	443.7279190681942
SIGMAR1	GSM1022684	324.6062298348785
SIGMAR1	GSM1022685	448.742492655166
SIGMAR1	GSM1022686	524.0751962958483
SIGMAR1	GSM1022687	198.2808178675649
SIGMAR1	GSM1022688	296.554149443268
SIGMAR1	GSM1022689	992.3840962259486
SIGMAR1	GSM1022690	211.50515602897488
SIGMAR1	GSM1022691	380.6046952964641
SIGMAR1	GSM1022692	776.7046280892072
SIGMAR1	GSM1022693	790.4660434542021
SIGMAR1	GSM1022694	363.7760770435194
SIGMAR1	GSM1022695	588.8710830878125
SIGMAR1	GSM1385778	895.7070661859871
SIGMAR1	GSM1385779	305.25801524818166
SIGMAR1	GSM1385780	150.02349907827852
SIGMAR1	GSM1385781	569.8578834568012
SIGMAR1	GSM1385782	835.2969280491611
SIGMAR1	GSM1385783	219.58105522754283
SIGMAR1	GSM1415906	982
SIGMAR1	GSM1415907	832.5045728529554
SIGMAR1	GSM1415908	649.4121384114637
SIGMAR1	GSM1415909	819.4338488830418
SIGMAR1	GSM1415910	755.5601078690257
SIGMAR1	GSM1415911	797.4099861342214
SIGMAR1	GSM1415912	244.72146626691685
SIGMAR1	GSM1415913	204.8179088849786
SIGMAR1	GSM1415914	309.83981090620773
SIGMAR1	GSM1415915	444.6629252592669
SIGMAR1	GSM1415916	260.6998867712275
SIGMAR1	GSM1415917	263.33443579602755
SIGMAR1	GSM1415918	196.98808370001447
SIGMAR1	GSM1415919	265.586010542503
SIGMAR1	GSM1415920	267.61018687426883
SIGMAR1	GSM1415921	245.9335281449329
SIGMAR1	GSM2769390	204.94635713451652
SIGMAR1	GSM2769391	1.034121679520397
SIGMAR1	GSM2769392	482.01257431039113
SIGMAR1	GSM2769393	880.3951311597018
SIGMAR1	GSM2769394	727.9087329108447
SIGMAR1	GSM2769395	341.62648690795487
SIGMAR1	GSM2769396	558.7509770336061
SIGMAR1	GSM2769397	330.42371864544504
SIGMAR1	GSM2769398	259.7864825621093
SIGMAR1	GSM3103946	354
SIGMAR1	GSM3103947	190.7252050376953
SIGMAR1	GSM3103948	421.17969407553863
SIGMAR1	GSM3103949	763.671797087719
SIGMAR1	GSM3103950	393.7798788415252
SIGMAR1	GSM3103951	324.6680670842086
SIGMAR1	GSM3103952	344
SIGMAR1	GSM3103953	204
SIGMAR1	GSM3103954	292.64901851972775
SIGMAR1	GSM3103955	556.8445091128306
SIGMAR1	GSM3103956	530.6412981756289
SIGMAR1	GSM3103957	556.0084888740149
SIGMAR1	GSM3103958	275.73427243978045
SIGMAR1	GSM3103959	325.0488649939833
SIGMAR1	GSM3103960	389
SIGMAR1	GSM3103961	300.1589972866209
SIGMAR1	GSM3103962	353
SIGMAR1	GSM3103963	181.0666242611402
SIGMAR1	GSM3103964	145
SIGMAR1	GSM3103965	581
SIGMAR1	GSM4260265	520.3472318311703
SIGMAR1	GSM4260266	842.6452821564717
SIGMAR1	GSM4260267	167.10323297809822
SIGMAR1	GSM4260268	296.100270206217
SIGMAR1	GSM4260269	643.5172530692478
SIGMAR1	GSM4260270	458.7328254812838
SIGMAR1	GSM4260271	2.1003227308775996
SIGMAR1	GSM4260272	10.479148002729763
SIGMAR1	GSM4260273	504.3263439836788
SIGMAR1	GSM4260274	63.88822623349399
SIGMAR1	GSM4260275	61.74615415325501
