Gene	sample	counts
SLC5A3	GSM1022678	2622.6269192622735
SLC5A3	GSM1022679	659.4728304545752
SLC5A3	GSM1022680	1648.4832386566584
SLC5A3	GSM1022681	1887.975557901178
SLC5A3	GSM1022682	811.9139758333694
SLC5A3	GSM1022683	2149.450764831633
SLC5A3	GSM1022684	1202.4831175642476
SLC5A3	GSM1022685	1054.3365938242555
SLC5A3	GSM1022686	1100.6598358050458
SLC5A3	GSM1022687	1088.356509316274
SLC5A3	GSM1022688	1047.3131951434816
SLC5A3	GSM1022689	1713.7443309986231
SLC5A3	GSM1022690	930.4780549756754
SLC5A3	GSM1022691	952.0452645123586
SLC5A3	GSM1022692	1550.1268500569586
SLC5A3	GSM1022693	1986.9154705628844
SLC5A3	GSM1022694	1163.9704047710384
SLC5A3	GSM1022695	973.4149944797452
SLC5A3	GSM1385778	1738
SLC5A3	GSM1385779	1120.8687646524168
SLC5A3	GSM1385780	791.1917538412889
SLC5A3	GSM1385781	1524.7334853872824
SLC5A3	GSM1385782	2030.7165504027769
SLC5A3	GSM1385783	987.5601645356004
SLC5A3	GSM1415906	1539
SLC5A3	GSM1415907	1782.8894194211075
SLC5A3	GSM1415908	1600.6228851288488
SLC5A3	GSM1415909	1564.254926943921
SLC5A3	GSM1415910	1744.4955793443914
SLC5A3	GSM1415911	1946.270911673156
SLC5A3	GSM1415912	722.6145303438428
SLC5A3	GSM1415913	862.6630115942168
SLC5A3	GSM1415914	1133.0546882970186
SLC5A3	GSM1415915	1510.0837034259546
SLC5A3	GSM1415916	1491.5881967773505
SLC5A3	GSM1415917	1313.9004627524732
SLC5A3	GSM1415918	1159.4651171821854
SLC5A3	GSM1415919	892.4111461136025
SLC5A3	GSM1415920	1595.7535670435773
SLC5A3	GSM1415921	1611.291179357569
SLC5A3	GSM2769390	1222.6288850334386
SLC5A3	GSM2769391	2060.755674681476
SLC5A3	GSM2769392	1072.1735064191485
SLC5A3	GSM2769393	1137.9950133974176
SLC5A3	GSM2769394	2238.6198393625527
SLC5A3	GSM2769395	1115.820306013047
SLC5A3	GSM2769396	1364.5775240245423
SLC5A3	GSM2769397	1104.1398786155878
SLC5A3	GSM2769398	1139.767637085952
SLC5A3	GSM3103946	820.6385361633073
SLC5A3	GSM3103947	1030.466902058568
SLC5A3	GSM3103948	1920.255310219595
SLC5A3	GSM3103949	969.09729413893
SLC5A3	GSM3103950	1295.7597322082345
SLC5A3	GSM3103951	2777
SLC5A3	GSM3103952	727.8409814314903
SLC5A3	GSM3103953	785.2208162166496
SLC5A3	GSM3103954	1236.525424255156
SLC5A3	GSM3103955	1564.835874803928
SLC5A3	GSM3103956	1011.6113866118568
SLC5A3	GSM3103957	1014.6791726028116
SLC5A3	GSM3103958	705.024627006526
SLC5A3	GSM3103959	1115
SLC5A3	GSM3103960	985
SLC5A3	GSM3103961	1095.2272057894102
SLC5A3	GSM3103962	1754.6536141361582
SLC5A3	GSM3103963	926.966352221885
SLC5A3	GSM3103964	1203.6979018277757
SLC5A3	GSM3103965	1029
SLC5A3	GSM4260265	1175.6203070001857
SLC5A3	GSM4260266	2322.447482885813
SLC5A3	GSM4260267	1061.7373589267668
SLC5A3	GSM4260268	1126.711868424254
SLC5A3	GSM4260269	2677.3065319524194
SLC5A3	GSM4260270	1373.247846601559
SLC5A3	GSM4260271	1015.9144962261258
SLC5A3	GSM4260272	1312.1975521397885
