Gene	sample	counts
SLC7A5P1	GSM1022678	10.10650267145594
SLC7A5P1	GSM1022679	7.593772008658953
SLC7A5P1	GSM1022680	7.159911965201505
SLC7A5P1	GSM1022681	26.62054164064372
SLC7A5P1	GSM1022682	26.26040689902671
SLC7A5P1	GSM1022683	10.146118150553114
SLC7A5P1	GSM1022684	10.467182798015733
SLC7A5P1	GSM1022685	23.641247842921064
SLC7A5P1	GSM1022686	10.488429247731252
SLC7A5P1	GSM1022687	7.663646200317003
SLC7A5P1	GSM1022688	10.495019380689916
SLC7A5P1	GSM1022689	10.210351304622291
SLC7A5P1	GSM1022690	7.63225267242075
SLC7A5P1	GSM1022691	7.514807444506728
SLC7A5P1	GSM1022692	16.258376211667013
SLC7A5P1	GSM1022693	13.110346942909436
SLC7A5P1	GSM1022694	7.297589163466152
SLC7A5P1	GSM1022695	10.219117298859002
SLC7A5P1	GSM1385778	38
SLC7A5P1	GSM1385779	5.393775574194159
SLC7A5P1	GSM1385780	1.065003532520631
SLC7A5P1	GSM1385781	18.14138940247093
SLC7A5P1	GSM1385782	18.08191058393252
SLC7A5P1	GSM1385783	3.1875122554625483
SLC7A5P1	GSM1415906	18
SLC7A5P1	GSM1415907	18.109296859710337
SLC7A5P1	GSM1415908	13.17000673033453
SLC7A5P1	GSM1415909	11.06679252537854
SLC7A5P1	GSM1415910	11.076594239485637
SLC7A5P1	GSM1415911	11.033345720096143
SLC7A5P1	GSM1415912	12.65172327555257
SLC7A5P1	GSM1415913	12.799239534207157
SLC7A5P1	GSM1415914	12.147889466686216
SLC7A5P1	GSM1415915	11.88025031119624
SLC7A5P1	GSM1415916	11.935399391911895
SLC7A5P1	GSM1415917	12.181493355896995
SLC7A5P1	GSM1415918	12.281520078913712
SLC7A5P1	GSM1415919	14.475030485610098
SLC7A5P1	GSM1415920	12.00989564023957
SLC7A5P1	GSM1415921	11.67584514308146
SLC7A5P1	GSM2769390	13.975482078202605
SLC7A5P1	GSM2769391	10.56352801733153
SLC7A5P1	GSM2769392	8.35058576788972
SLC7A5P1	GSM2769393	18.583883805153185
SLC7A5P1	GSM2769394	13.234391601336617
SLC7A5P1	GSM2769395	10.56537995407221
SLC7A5P1	GSM2769396	18.298957641485277
SLC7A5P1	GSM2769397	13.568999213730692
SLC7A5P1	GSM2769398	10.476453445591131
SLC7A5P1	GSM3103946	1.0100156499625657
SLC7A5P1	GSM3103947	5.4873417961926085
SLC7A5P1	GSM3103948	15.764966899584346
SLC7A5P1	GSM3103949	34.74679912270055
SLC7A5P1	GSM3103950	7.319940579600498
SLC7A5P1	GSM3103951	7
SLC7A5P1	GSM3103952	1.0045505879962513
SLC7A5P1	GSM3103953	11.110172149588225
SLC7A5P1	GSM3103954	6.018188574597898
SLC7A5P1	GSM3103955	15.89611223147076
SLC7A5P1	GSM3103956	16.446085455945088
SLC7A5P1	GSM3103957	26.419861343958896
SLC7A5P1	GSM3103958	12.297285742113468
SLC7A5P1	GSM3103959	5.015157145498248
SLC7A5P1	GSM3103960	1
SLC7A5P1	GSM3103961	4.480094421468864
SLC7A5P1	GSM3103962	16.121532990092373
SLC7A5P1	GSM3103963	7.1906443317852835
SLC7A5P1	GSM3103964	5.053251335727969
SLC7A5P1	GSM3103965	11
SLC7A5P1	GSM4260265	10.185888914444162
SLC7A5P1	GSM4260266	29.30885774722222
SLC7A5P1	GSM4260267	5.261141381511545
SLC7A5P1	GSM4260268	10.473759581317816
