Gene	sample	counts
SLED1	GSM1022678	48.71965743446867
SLED1	GSM1022679	62.05485463055181
SLED1	GSM1022680	53.60386758809662
SLED1	GSM1022681	53.61765830302775
SLED1	GSM1022682	77.89765428003317
SLED1	GSM1022683	49.00146827726088
SLED1	GSM1022684	55.00637700419751
SLED1	GSM1022685	53.92997290884093
SLED1	GSM1022686	55.14456737763162
SLED1	GSM1022687	53.226265095792925
SLED1	GSM1022688	60.395456785128765
SLED1	GSM1022689	53.467076504886506
SLED1	GSM1022690	52.9526494705663
SLED1	GSM1022691	56.82729980625769
SLED1	GSM1022692	70.5868946110646
SLED1	GSM1022693	48.64730868365841
SLED1	GSM1022694	54.837455270243765
SLED1	GSM1022695	53.550696920982226
SLED1	GSM1385778	52.338043495634146
SLED1	GSM1385779	56.59247042231796
SLED1	GSM1385780	56.002394499509386
SLED1	GSM1385781	53.85114777691451
SLED1	GSM1385782	53.58162351066133
SLED1	GSM1385783	55.77533677113123
SLED1	GSM1415906	53.33502535971935
SLED1	GSM1415907	53.74774597894483
SLED1	GSM1415908	52.2298389780039
SLED1	GSM1415909	51.70107279755458
SLED1	GSM1415910	53.79462175055916
SLED1	GSM1415911	53.53621076245127
SLED1	GSM1415912	62.673141405160095
SLED1	GSM1415913	60.967246492188686
SLED1	GSM1415914	57.99967504972545
SLED1	GSM1415915	58.852644593978056
SLED1	GSM1415916	65.43923189113049
SLED1	GSM1415917	57.812253913544616
SLED1	GSM1415918	60.55190115555354
SLED1	GSM1415919	58.32187092828833
SLED1	GSM1415920	59.20520043290846
SLED1	GSM1415921	59.339973380023906
SLED1	GSM2769390	61.897737885812894
SLED1	GSM2769391	58.507102398646346
SLED1	GSM2769392	70.2434336425222
SLED1	GSM2769393	53.402427935661166
SLED1	GSM2769394	52.919313294155565
SLED1	GSM2769395	54.024006096416706
SLED1	GSM2769396	53.0575097421443
SLED1	GSM2769397	54.48682715332161
SLED1	GSM2769398	54.66038373924529
SLED1	GSM3103946	45.43546447418253
SLED1	GSM3103947	48.324531546004174
SLED1	GSM3103948	71.41724240869887
SLED1	GSM3103949	44.64210329102149
SLED1	GSM3103950	37.438288606142144
SLED1	GSM3103951	55
SLED1	GSM3103952	82.44643596205779
SLED1	GSM3103953	48.485624841465295
SLED1	GSM3103954	50.219447726014806
SLED1	GSM3103955	40.85983825244848
SLED1	GSM3103956	26.56757475307212
SLED1	GSM3103957	16.21287596705098
SLED1	GSM3103958	36.73867789723459
SLED1	GSM3103959	53.16724879157399
SLED1	GSM3103960	33.06938756496193
SLED1	GSM3103961	68.41920952008498
SLED1	GSM3103962	47.346796553392025
SLED1	GSM3103963	40.8987881217832
SLED1	GSM3103964	36.36421863109897
SLED1	GSM3103965	60.163108526758634
SLED1	GSM4260265	55.61482243659635
SLED1	GSM4260266	55.42865880909407
SLED1	GSM4260267	56.15300642346541
SLED1	GSM4260268	56.16612314323935
SLED1	GSM4260269	55.617411168035886
SLED1	GSM4260270	55.464044792692846
SLED1	GSM4260271	57.099301558535515
SLED1	GSM4260272	56.74870992175962
SLED1	GSM4260273	55.323548035036275
SLED1	GSM4260274	29.61476208289231
SLED1	GSM4260275	56.653878379940515
SLED1	GSM4260276	55.47394374195386
SLED1	GSM4735785	46.09049126196573
SLED1	GSM4735786	43.135074772003925
SLED1	GSM4735787	87.45214323148423
SLED1	GSM4735788	43.523531964361574
SLED1	GSM4735789	103.20955777471218
SLED1	GSM4735790	43.56138026208661
SLED1	GSM4735791	44.57121077857279
SLED1	GSM4735792	45.900428798266454
SLED1	GSM4735793	91.98593876618668
SLED1	GSM4735794	43.99318901538068
SLED1	GSM4735795	47.18254385494398
SLED1	GSM4735796	51.053499506840744
SLED1	GSM4735797	65.88280938770023
SLED1	GSM4735798	51.440912566836055
SLED1	GSM4735799	50.86351823554608
SLED1	GSM4735800	66.88271728373104
SLED1	GSM4735801	64.06117080957432
SLED1	GSM4735802	106.12556843742632
SLED1	GSM4735803	46.305058387492096
SLED1	GSM4735804	47.60892188961168
SLED1	GSM5282507	39.499842404639494
SLED1	GSM5282508	43.370537834618474
SLED1	GSM5282509	104
SLED1	GSM5282510	1.0362709230555889
SLED1	GSM5282511	1.0176706758708058
SLED1	GSM5282512	23.25710756439484
SLED1	GSM5282513	93.2934742946487
SLED1	GSM5282514	67.17855703886988
SLED1	GSM5282515	1.0116194403019223
SLED1	GSM5282516	13.2667447962236
SLED1	GSM5282517	107.65536029945532
SLED1	GSM5282518	170.38750719080602
SLED1	GSM5282519	1.0438859933835571
SLED1	GSM5282520	36.4854815127438
SLED1	GSM5282521	40.404687367887746
SLED1	GSM5282522	1.0111785897562977
SLED1	GSM5282523	106.2383204905538
SLED1	GSM5282524	254
SLED1	GSM5282525	85
SLED1	GSM5282526	123.96350164572544
SLED1	GSM5282527	62
SLED1	GSM5282528	28.176994529663055
SLED1	GSM5282529	97
SLED1	GSM5282530	1.005882691546114
SLED1	GSM5282531	70.90042140719953
SLED1	GSM5282532	23
SLED1	GSM5282533	89.44920861309063
