Gene	sample	counts
SMAD1	GSM1022678	399.966197385176
SMAD1	GSM1022679	85.23342108630331
SMAD1	GSM1022680	298.41398283519374
SMAD1	GSM1022681	292.7024895273469
SMAD1	GSM1022682	106.16054416478688
SMAD1	GSM1022683	417.3879056075251
SMAD1	GSM1022684	137.64947720846115
SMAD1	GSM1022685	228.45072353353908
SMAD1	GSM1022686	191.88580021855864
SMAD1	GSM1022687	124.45285376793969
SMAD1	GSM1022688	156.514689983947
SMAD1	GSM1022689	305.03609515141864
SMAD1	GSM1022690	116.8013548219712
SMAD1	GSM1022691	204.3795076112519
SMAD1	GSM1022692	366.0448704180206
SMAD1	GSM1022693	224.55277412775425
SMAD1	GSM1022694	241.4897686588335
SMAD1	GSM1022695	294.9440657952774
SMAD1	GSM1385778	289.8760830097987
SMAD1	GSM1385779	173.53709086026765
SMAD1	GSM1385780	282.3358906264825
SMAD1	GSM1385781	246.97215553012344
SMAD1	GSM1385782	429.2358158612094
SMAD1	GSM1385783	376.72199996384126
SMAD1	GSM1415906	387
SMAD1	GSM1415907	371.0074726844693
SMAD1	GSM1415908	264.0133459897072
SMAD1	GSM1415909	350.89866657690993
SMAD1	GSM1415910	286.73053361208036
SMAD1	GSM1415911	295.8942715843966
SMAD1	GSM1415912	77.96436093459297
SMAD1	GSM1415913	104.5878683667976
SMAD1	GSM1415914	164.96590614801505
SMAD1	GSM1415915	273.07534939451443
SMAD1	GSM1415916	217.77339939122615
SMAD1	GSM1415917	217.85901114048863
SMAD1	GSM1415918	128.84085474433377
SMAD1	GSM1415919	154.03988611465172
SMAD1	GSM1415920	184.7035015289071
SMAD1	GSM1415921	220.10017434819625
SMAD1	GSM2769390	181.94217419084632
SMAD1	GSM2769391	315.407112253721
SMAD1	GSM2769392	200.23648697262504
SMAD1	GSM2769393	275.9601112874855
SMAD1	GSM2769394	521.8202074144689
SMAD1	GSM2769395	307.3600003791934
SMAD1	GSM2769396	468.8605090647628
SMAD1	GSM2769397	345.06274415505334
SMAD1	GSM2769398	319.4954725058199
SMAD1	GSM3103946	210
SMAD1	GSM3103947	157.20864180931372
SMAD1	GSM3103948	282.280007731478
SMAD1	GSM3103949	238.3581669698032
SMAD1	GSM3103950	223.98488521261064
SMAD1	GSM3103951	342.70518192222016
SMAD1	GSM3103952	153
SMAD1	GSM3103953	160
SMAD1	GSM3103954	165.8011504241461
SMAD1	GSM3103955	215.7007576508492
SMAD1	GSM3103956	94.17870368384251
SMAD1	GSM3103957	191.03365802181344
SMAD1	GSM3103958	138.3721440448715
SMAD1	GSM3103959	158.5844462546403
SMAD1	GSM3103960	154
SMAD1	GSM3103961	160.13637226373845
SMAD1	GSM3103962	192
SMAD1	GSM3103963	226.5861666731587
SMAD1	GSM3103964	137
SMAD1	GSM3103965	179
SMAD1	GSM4260265	494.68908430497856
SMAD1	GSM4260266	401.9865778403458
SMAD1	GSM4260267	445.2626518484729
SMAD1	GSM4260268	502.8509851923123
SMAD1	GSM4260269	424.57815584060063
SMAD1	GSM4260270	601.7675594843566
SMAD1	GSM4260271	393.8105120395499
SMAD1	GSM4260272	310.182780880801
SMAD1	GSM4260273	580.5853677715335
SMAD1	GSM4260274	210.08290608311088
SMAD1	GSM4260275	306.6376807949783
SMAD1	GSM4260276	561.2529199284304
SMAD1	GSM4735785	141.5474361315812
SMAD1	GSM4735786	119.80751162949797
SMAD1	GSM4735787	124.51231738568656
SMAD1	GSM4735788	130.6122672796423
SMAD1	GSM4735789	110.5531042630686
SMAD1	GSM4735790	146.40147280699765
SMAD1	GSM4735791	102.12097761873886
SMAD1	GSM4735792	119.71839566002316
SMAD1	GSM4735793	172.72859545905504
SMAD1	GSM4735794	143.41174387695318
SMAD1	GSM4735795	298.9017648495169
SMAD1	GSM4735796	259.42732395690246
SMAD1	GSM4735797	361.3392901604979
SMAD1	GSM4735798	207.54257033990916
SMAD1	GSM4735799	301.0420983589384
SMAD1	GSM4735800	169.99251271959795
SMAD1	GSM4735801	222.60617544730715
SMAD1	GSM4735802	363.0697425974705
SMAD1	GSM4735803	409.246894827594
SMAD1	GSM4735804	397.88746203104864
SMAD1	GSM5282507	571.589284569867
SMAD1	GSM5282508	533.5288336875461
SMAD1	GSM5282509	591.8691708780635
SMAD1	GSM5282510	701.6759166732207
SMAD1	GSM5282511	637.2783854432771
SMAD1	GSM5282512	536.7172731556028
SMAD1	GSM5282513	560.0418372228237
SMAD1	GSM5282514	564.5574304538933
SMAD1	GSM5282515	526.4029875991972
SMAD1	GSM5282516	701.8788883322046
SMAD1	GSM5282517	613.4656795809426
SMAD1	GSM5282518	553.5073739859345
SMAD1	GSM5282519	541.185160181825
SMAD1	GSM5282520	520.727916535737
SMAD1	GSM5282521	586.3073920108355
SMAD1	GSM5282522	534.8101544059019
SMAD1	GSM5282523	552.6703174339069
SMAD1	GSM5282524	573.5462343914329
SMAD1	GSM5282525	558.8645275376844
SMAD1	GSM5282526	695.149006893406
SMAD1	GSM5282527	608.3207601377221
SMAD1	GSM5282528	519.2469911031759
SMAD1	GSM5282529	642.880038519717
SMAD1	GSM5282530	535.0951700859224
SMAD1	GSM5282531	677.801100978854
SMAD1	GSM5282532	572.0280512044061
SMAD1	GSM5282533	672
SMAD1	GSM5282534	746.7501940442746
SMAD1	GSM5282535	572.1721081393293
SMAD1	GSM5282536	555.1354076533655
SMAD1	GSM4260927	1.001514567592329
SMAD1	GSM4260928	0.7555013828387295
SMAD1	GSM4260929	0.6676590430255687
SMAD1	GSM4260930	1.001514567592329
SMAD1	GSM4260931	1.010650267145594
SMAD1	GSM4260932	1.0080868452623672
SMAD1	GSM4260933	1
SMAD1	GSM4260934	1.0069631126805123
SMAD1	GSM4260935	1.010650267145594
SMAD1	GSM4260936	1.0153325559559527
SMAD1	GSM4260937	1.0054403053779657
SMAD1	GSM4260938	1.0346256397982054
SMAD1	GSM4260939	1.008488226377649
SMAD1	GSM4260940	1.0129346942591704
SMAD1	GSM4260941	1.001514567592329
SMAD1	GSM4260942	1
SMAD1	GSM4260943	1.019228895401757
SMAD1	GSM4260944	0.9891095089195134
SMAD1	GSM4260945	1.0091218838436145
SMAD1	GSM4260946	0.6446118639324426
SMAD1	GSM4260947	1.0197255979537387
SMAD1	GSM4260948	140.2540719309999
SMAD1	GSM4260949	1.0229609629673868
SMAD1	GSM4260950	1.0030314290996496
SMAD1	GSM4260951	1
SMAD1	GSM4260952	105
SMAD1	GSM4260953	1
SMAD1	GSM4260954	1.0100156499625657
SMAD1	GSM4260955	1.031261460928422
SMAD1	GSM4260956	1.016643714613284
SMAD1	GSM4260957	1
SMAD1	GSM4260958	1.0325578009378895
SMAD1	GSM4260959	1.011645791484319
SMAD1	GSM4260960	1.010650267145594
SMAD1	GSM4260961	13.02759502203266
SMAD1	GSM4260962	1.008488226377649
SMAD1	GSM4260963	1.001514567592329
SMAD1	GSM4260964	1.0060720477616854
SMAD1	GSM4260965	1.0332065818978375
SMAD1	GSM4260966	1
SMAD1	GSM4260967	0.9235606257896573
SMAD1	GSM4260968	1.0030314290996496
SMAD1	GSM4260969	1.0075958118807733
SMAD1	GSM4260970	0.8062586349950998
SMAD1	GSM4260971	0.6584229502333824
SMAD1	GSM4260972	1.0146118150553114
SMAD1	GSM4260973	1.0104333041613256
SMAD1	GSM4260974	1.0207725864558976
SMAD1	GSM4260975	1.0069631126805123
SMAD1	GSM4260976	1.001514567592329
SMAD1	GSM4260977	1.0275807028156494
SMAD1	GSM4260978	1.0039198009821009
SMAD1	GSM4260979	1
SMAD1	GSM4260980	1
SMAD1	GSM4260981	0.844603269225262
SMAD1	GSM4260982	1.0091218838436145
SMAD1	GSM4260983	1.0150215580078588
SMAD1	GSM4260984	0.9920779652991756
SMAD1	GSM4260985	0.8638403484230034
SMAD1	GSM4260986	0.8745713360411702
SMAD1	GSM4260987	1.038442250683936
SMAD1	GSM4260988	1.0121809652873912
SMAD1	GSM4260989	1.001514567592329
SMAD1	GSM4260990	1
SMAD1	GSM4260991	3.02278743564232
SMAD1	GSM4260992	0.9221018620422176
SMAD1	GSM4260993	1.0146118150553114
SMAD1	GSM4260994	44
SMAD1	GSM4260995	1.0219117298859002
SMAD1	GSM4260996	21.56125231842852
SMAD1	GSM4260997	103
SMAD1	GSM4260998	0.8947249231202397
SMAD1	GSM4260999	1.0060720477616854
SMAD1	GSM4261000	1.019491042368788
SMAD1	GSM4261001	11.016660243515618
SMAD1	GSM4261002	1.0522644578555964
SMAD1	GSM4261003	1.0075958118807733
SMAD1	GSM4261004	1.0322922940481272
SMAD1	GSM4261005	1.001514567592329
SMAD1	GSM4261006	1.0188508738016162
SMAD1	GSM4261007	1.0443319091327352
