Gene	sample	counts
SNAP91	GSM1022678	1.0100156499625657
SNAP91	GSM1022679	1.0522644578555964
SNAP91	GSM1022680	1.0184777571167023
SNAP91	GSM1022681	1.0198693014890137
SNAP91	GSM1022682	12.018174811107947
SNAP91	GSM1022683	1.013077440794964
SNAP91	GSM1022684	1.0272349045407547
SNAP91	GSM1022685	1.0198693014890137
SNAP91	GSM1022686	1.0316440871965518
SNAP91	GSM1022687	1.0546852014232175
SNAP91	GSM1022688	1.029701907789125
SNAP91	GSM1022689	1.016786983838062
SNAP91	GSM1022690	1.0522644578555964
SNAP91	GSM1022691	1.0427525898533263
SNAP91	GSM1022692	1.013974710299226
SNAP91	GSM1022693	1.0069631126805123
SNAP91	GSM1022694	1.0276160368461
SNAP91	GSM1022695	1.017048502742336
SNAP91	GSM1385778	6.018188574597898
SNAP91	GSM1385779	1.0454041618088412
SNAP91	GSM1385780	1.0418298547102676
SNAP91	GSM1385781	1.0121809652873912
SNAP91	GSM1385782	1.0075958118807733
SNAP91	GSM1385783	1.0406685081874067
SNAP91	GSM1415906	1
SNAP91	GSM1415907	4.021761221511862
SNAP91	GSM1415908	1.011545386933744
SNAP91	GSM1415909	2.010880610755931
SNAP91	GSM1415910	2.0121440955233707
SNAP91	GSM1415911	1.0030314290996496
SNAP91	GSM1415912	1.0828383463137914
SNAP91	GSM1415913	1.0894569621541417
SNAP91	GSM1415914	1.057473757359071
SNAP91	GSM1415915	1.0462657064923926
SNAP91	GSM1415916	1.0469874970732027
SNAP91	GSM1415917	1.0575680152450906
SNAP91	GSM1415918	1.0648004524325103
SNAP91	GSM1415919	2.124688084340024
SNAP91	GSM1415920	1.0494517132324268
SNAP91	GSM1415921	1.033334151869466
SNAP91	GSM2769390	2.091289358515475
SNAP91	GSM2769391	1.034121679520397
SNAP91	GSM2769392	1.0321468400650773
SNAP91	GSM2769393	1.029701907789125
SNAP91	GSM2769394	2.0304288226243927
SNAP91	GSM2769395	1.0383783796594372
SNAP91	GSM2769396	1.0214825905550386
SNAP91	GSM2769397	1.0456446792577374
SNAP91	GSM2769398	1.047526139363344
SNAP91	GSM3103946	1
SNAP91	GSM3103947	1.596026820399124
SNAP91	GSM3103948	2.560362881918168
SNAP91	GSM3103949	0.7713856536239586
SNAP91	GSM3103950	0.6021099064855125
SNAP91	GSM3103951	0.9493218335795574
SNAP91	GSM3103952	1
SNAP91	GSM3103953	1
SNAP91	GSM3103954	0.998802110988832
SNAP91	GSM3103955	2.5496543457547185
SNAP91	GSM3103956	1.012674233159597
SNAP91	GSM3103957	1.0054403053779657
SNAP91	GSM3103958	1.0100156499625657
SNAP91	GSM3103959	1.969993121175656
SNAP91	GSM3103960	1
SNAP91	GSM3103961	2.320816989329543
SNAP91	GSM3103962	1
SNAP91	GSM3103963	1.011545386933744
SNAP91	GSM3103964	5
SNAP91	GSM3103965	1
SNAP91	GSM4260265	1.0263259010476733
SNAP91	GSM4260266	1.0176875388363185
SNAP91	GSM4260267	1.0379082793670698
SNAP91	GSM4260268	1.038948316513042
SNAP91	GSM4260269	1.0230798935918088
SNAP91	GSM4260270	1.0216766714505208
SNAP91	GSM4260271	1.0501613654387998
SNAP91	GSM4260272	1.0479148002729763
SNAP91	GSM4260273	1.016786983838062
SNAP91	GSM4260274	3.453417634242918
SNAP91	GSM4260275	1.0465449856483902
SNAP91	GSM4260276	1.0223186155344817
SNAP91	GSM4735785	1.0563241502356806
SNAP91	GSM4735786	1.0328233761163617
SNAP91	GSM4735787	1.0290274164106328
SNAP91	GSM4735788	1.036605295870177
