Gene	sample	counts
SNHG3	GSM1022678	686.289163885388
SNHG3	GSM1022679	1.0847894030308278
SNHG3	GSM1022680	376.39659116025223
SNHG3	GSM1022681	801.6878501778475
SNHG3	GSM1022682	1.0100156499625657
SNHG3	GSM1022683	496.14517756204725
SNHG3	GSM1022684	626.9842496011424
SNHG3	GSM1022685	309.39198263996695
SNHG3	GSM1022686	234.9233169444048
SNHG3	GSM1022687	228.80228432611952
SNHG3	GSM1022688	434.49380236056254
SNHG3	GSM1022689	870.9429662842816
SNHG3	GSM1022690	490.6702222802792
SNHG3	GSM1022691	380.0345479079117
SNHG3	GSM1022692	771.2567215409539
SNHG3	GSM1022693	1369.5270114208472
SNHG3	GSM1022694	495.1801192244403
SNHG3	GSM1022695	571.1172593408411
SNHG3	GSM1385778	823
SNHG3	GSM1385779	265.3381604114232
SNHG3	GSM1385780	214.0476469203417
SNHG3	GSM1385781	642.0036138541102
SNHG3	GSM1385782	725.2855245332935
SNHG3	GSM1385783	236.89419344571144
SNHG3	GSM1415906	1211
SNHG3	GSM1415907	736.4447389615538
SNHG3	GSM1415908	548.0748954700755
SNHG3	GSM1415909	733.4265228182687
SNHG3	GSM1415910	701.8532895383171
SNHG3	GSM1415911	1130.4164205953052
SNHG3	GSM1415912	230.0211363774592
SNHG3	GSM1415913	186.14452468037857
SNHG3	GSM1415914	265.0357476648643
SNHG3	GSM1415915	298.07877472836356
SNHG3	GSM1415916	222.44484785389895
SNHG3	GSM1415917	399.77446377080145
SNHG3	GSM1415918	277.9966916103895
SNHG3	GSM1415919	371.9133420933218
SNHG3	GSM1415920	351.58402437924605
SNHG3	GSM1415921	367.24934551198066
SNHG3	GSM2769390	423.57609934858743
SNHG3	GSM2769391	346.4776909836765
SNHG3	GSM2769392	349.68077903038204
SNHG3	GSM2769393	603.961201083176
SNHG3	GSM2769394	617.8952186442407
SNHG3	GSM2769395	415.2051550958736
SNHG3	GSM2769396	1201.6728706729018
SNHG3	GSM2769397	271.3557969852319
SNHG3	GSM2769398	250.36043185973776
SNHG3	GSM3103946	571.6688578788122
SNHG3	GSM3103947	491.8036265165768
SNHG3	GSM3103948	477.8892065900432
SNHG3	GSM3103949	547.4739569088916
SNHG3	GSM3103950	228.22344651498068
SNHG3	GSM3103951	690
SNHG3	GSM3103952	180.76639512409113
SNHG3	GSM3103953	147.4622848945346
SNHG3	GSM3103954	230.69722869291945
SNHG3	GSM3103955	547.3242849017313
SNHG3	GSM3103956	389.56664923769927
SNHG3	GSM3103957	787.5150977526209
SNHG3	GSM3103958	18.444794067308283
SNHG3	GSM3103959	391.18225734886335
SNHG3	GSM3103960	416
SNHG3	GSM3103961	222.29494690219872
SNHG3	GSM3103962	431.25100748497096
SNHG3	GSM3103963	192.09292714912115
SNHG3	GSM3103964	432.5583143383142
SNHG3	GSM3103965	1482
SNHG3	GSM4260265	587.7257903634281
SNHG3	GSM4260266	999.5331142069924
SNHG3	GSM4260267	333.5290566664306
SNHG3	GSM4260268	390.6712323831546
SNHG3	GSM4260269	592.1788005630036
SNHG3	GSM4260270	393.73839549679514
SNHG3	GSM4260271	341.27914227441755
SNHG3	GSM4260272	481.1490893440363
SNHG3	GSM4260273	517.5790399177833
SNHG3	GSM4260274	275.97050527024595
SNHG3	GSM4260275	470.5391010654733
SNHG3	GSM4260276	451.8768628323058
SNHG3	GSM4735785	307.01111078452556
SNHG3	GSM4735786	444.86082964729104
SNHG3	GSM4735787	389.85041729549727
SNHG3	GSM4735788	311.8950350787735
SNHG3	GSM4735789	389.64436566164005
SNHG3	GSM4735790	393.8793426384745
SNHG3	GSM4735791	364.14161804605857
SNHG3	GSM4735792	331.3467202407218
SNHG3	GSM4735793	295.3005103136989
SNHG3	GSM4735794	302.4464732463743
SNHG3	GSM4735795	447.2875684819808
SNHG3	GSM4735796	515.9389938064417
SNHG3	GSM4735797	738.9123401378206
SNHG3	GSM4735798	535.559889768535
SNHG3	GSM4735799	757.3326715544003
SNHG3	GSM4735800	582.4397967190243
SNHG3	GSM4735801	616.0810864550833
SNHG3	GSM4735802	858.594669557103
SNHG3	GSM4735803	895.6638862093721
SNHG3	GSM4735804	746.7697589865164
SNHG3	GSM5282507	423
SNHG3	GSM5282508	269.7818998407507
