Gene	sample	counts
SNORA47	GSM1022678	1.0118055576926337
SNORA47	GSM1022679	1.087332963645819
SNORA47	GSM1022680	1.024035163259057
SNORA47	GSM1022681	1.0254177019347264
SNORA47	GSM1022682	2.021300534291188
SNORA47	GSM1022683	1.0155104435348865
SNORA47	GSM1022684	1.045109579572174
SNORA47	GSM1022685	1.0299388126007114
SNORA47	GSM1022686	1.0512971560936306
SNORA47	GSM1022687	1.0872700680245635
SNORA47	GSM1022688	1.0474332992759388
SNORA47	GSM1022689	3.0677446715443706
SNORA47	GSM1022690	1.0879580718683934
SNORA47	GSM1022691	1.0760262278806771
SNORA47	GSM1022692	1.0172824963691265
SNORA47	GSM1022693	1.0096136609284547
SNORA47	GSM1022694	1.0444790802811736
SNORA47	GSM1022695	1.0228445664573578
SNORA47	GSM1385778	2.006062858199299
SNORA47	GSM1385779	1.077256250738088
SNORA47	GSM1385780	1.0665550545786855
SNORA47	GSM1385781	1.0118859036434402
SNORA47	GSM1385782	1.0069631126805123
SNORA47	GSM1385783	1.06319017904285
SNORA47	GSM1415906	1.001514567592329
SNORA47	GSM1415907	1.0075958118807733
SNORA47	GSM1415908	1.015183039205113
SNORA47	GSM1415909	1.0075958118807733
SNORA47	GSM1415910	1.008488226377649
SNORA47	GSM1415911	2.0091011759925026
SNORA47	GSM1415912	1.134200941661956
SNORA47	GSM1415913	1.1473079818540426
SNORA47	GSM1415914	1.094225603357875
SNORA47	GSM1415915	1.0757363896737755
SNORA47	GSM1415916	1.0760262278806771
SNORA47	GSM1415917	1.0953867172131926
SNORA47	GSM1415918	1.10242986176477
SNORA47	GSM1415919	1.102372776327608
SNORA47	GSM1415920	2.1646815969513984
SNORA47	GSM1415921	1.0549402171424924
SNORA47	GSM2769390	1.0754464105331571
SNORA47	GSM2769391	1.0585243543160967
SNORA47	GSM2769392	1.0476453445591134
SNORA47	GSM2769393	1.0359543069535193
SNORA47	GSM2769394	1.0203663161311838
SNORA47	GSM2769395	1.059075372841705
SNORA47	GSM2769396	1.0181834902363824
SNORA47	GSM2769397	2.090513720625664
SNORA47	GSM2769398	1.0492468388860623
SNORA47	GSM3103946	7.063853186905301
SNORA47	GSM3103947	35.786597050303335
SNORA47	GSM3103948	10.743183671888312
SNORA47	GSM3103949	18.085900023081265
SNORA47	GSM3103950	14.035279137558694
SNORA47	GSM3103951	6
SNORA47	GSM3103952	6.018188574597898
SNORA47	GSM3103953	9.08209695459253
SNORA47	GSM3103954	19.057597152893344
SNORA47	GSM3103955	27.129317107272342
SNORA47	GSM3103956	7.188795364482739
SNORA47	GSM3103957	21.339118777812953
SNORA47	GSM3103958	17.394809187057948
