Gene	sample	counts
SNORA71B	GSM1022678	15.150234749438486
SNORA71B	GSM1022679	1.0522644578555964
SNORA71B	GSM1022680	13.24021084251713
SNORA71B	GSM1022681	12.238431617868164
SNORA71B	GSM1022682	7.0106019731463025
SNORA71B	GSM1022683	8.104619526359711
SNORA71B	GSM1022684	17.46299337719283
SNORA71B	GSM1022685	3.059607904467041
SNORA71B	GSM1022686	2.0632881743931035
SNORA71B	GSM1022687	10.546852014232176
SNORA71B	GSM1022688	22.65344197136075
SNORA71B	GSM1022689	7.1175088868664345
SNORA71B	GSM1022690	13.679437952122752
SNORA71B	GSM1022691	1.0427525898533263
SNORA71B	GSM1022692	17.237570075086843
SNORA71B	GSM1022693	23.160151591651783
SNORA71B	GSM1022694	10.276160368461
SNORA71B	GSM1022695	8.136388021938687
SNORA71B	GSM1385778	17.051534294694044
SNORA71B	GSM1385779	7.317829132661889
SNORA71B	GSM1385780	3.125489564130803
SNORA71B	GSM1385781	16.19489544459826
SNORA71B	GSM1385782	13.098745554450051
SNORA71B	GSM1385783	2.0813370163748135
SNORA71B	GSM1415906	21
SNORA71B	GSM1415907	15.081604580669485
SNORA71B	GSM1415908	18.207816964807392
SNORA71B	GSM1415909	16.087044886047448
SNORA71B	GSM1415910	9.054648429855169
SNORA71B	GSM1415911	16.048502865594394
SNORA71B	GSM1415912	5.414191731568956
SNORA71B	GSM1415913	5.447284810770707
SNORA71B	GSM1415914	3.1724212720772123
SNORA71B	GSM1415915	4.18506282596957
SNORA71B	GSM1415916	7.328912479512419
SNORA71B	GSM1415917	10.575680152450904
SNORA71B	GSM1415918	7.453603167027574
SNORA71B	GSM1415919	7.436408295190083
SNORA71B	GSM1415920	6.296710279394561
SNORA71B	GSM1415921	16.533346429911454
SNORA71B	GSM2769390	4.18257871703095
SNORA71B	GSM2769391	4.136486718081587
SNORA71B	GSM2769392	15.48220260097616
SNORA71B	GSM2769393	20.5940381557825
SNORA71B	GSM2769394	12.182572935746355
SNORA71B	GSM2769395	4.153513518637749
SNORA71B	GSM2769396	10.214825905550386
SNORA71B	GSM2769397	10.456446792577374
SNORA71B	GSM2769398	8.380209114906751
SNORA71B	GSM3103946	6
SNORA71B	GSM3103947	9.576160922394743
SNORA71B	GSM3103948	3.840544322877252
SNORA71B	GSM3103949	10.799399150735422
SNORA71B	GSM3103950	6.623208971340638
SNORA71B	GSM3103951	0.9493218335795574
SNORA71B	GSM3103952	4
SNORA71B	GSM3103953	5
SNORA71B	GSM3103954	2.996406332966496
SNORA71B	GSM3103955	15.297926074528313
SNORA71B	GSM3103956	8.101393865276776
SNORA71B	GSM3103957	23.125127023693206
SNORA71B	GSM3103958	14.14021909947592
SNORA71B	GSM3103959	18.714934651168733
SNORA71B	GSM3103960	5
SNORA71B	GSM3103961	14.698507599087106
SNORA71B	GSM3103962	7
SNORA71B	GSM3103963	5.057726934668721
SNORA71B	GSM3103964	5
SNORA71B	GSM3103965	18
SNORA71B	GSM4260265	8.210607208381386
SNORA71B	GSM4260266	12.21225046603582
