Gene	sample	counts
SNORD12C	GSM1022678	14.14021909947592
SNORD12C	GSM1022679	17.88849578354514
SNORD12C	GSM1022680	10.184777571167022
SNORD12C	GSM1022681	14.278170220846192
SNORD12C	GSM1022682	26.039378757400552
SNORD12C	GSM1022683	14.183084171129494
SNORD12C	GSM1022684	10.272349045407548
SNORD12C	GSM1022685	14.278170220846192
SNORD12C	GSM1022686	10.31644087196552
SNORD12C	GSM1022687	10.546852014232176
SNORD12C	GSM1022688	14.41582670904775
SNORD12C	GSM1022689	10.16786983838062
SNORD12C	GSM1022690	17.88849578354514
SNORD12C	GSM1022691	10.427525898533265
SNORD12C	GSM1022692	10.13974710299226
SNORD12C	GSM1022693	14.097483577527171
SNORD12C	GSM1022694	14.3866245158454
SNORD12C	GSM1022695	17.289824546619712
SNORD12C	GSM1385778	15.045471436494744
SNORD12C	GSM1385779	10.454041618088413
SNORD12C	GSM1385780	11.460128401812945
SNORD12C	GSM1385781	16.19489544459826
SNORD12C	GSM1385782	14.106341366330826
SNORD12C	GSM1385783	10.406685081874068
SNORD12C	GSM1415906	14
SNORD12C	GSM1415907	13.070723969913551
SNORD12C	GSM1415908	14.161635417072418
SNORD12C	GSM1415909	18.09792549680338
SNORD12C	GSM1415910	14.085008668663596
SNORD12C	GSM1415911	14.042440007395095
SNORD12C	GSM1415912	14.076898502079288
SNORD12C	GSM1415913	14.16294050800384
SNORD12C	GSM1415914	13.74715884566792
SNORD12C	GSM1415915	13.601454184401105
SNORD12C	GSM1415916	13.610837461951636
SNORD12C	GSM1415917	13.748384198186178
SNORD12C	GSM1415918	14.907206334055148
SNORD12C	GSM1415919	13.810472548210155
SNORD12C	GSM1415920	13.642872272021547
SNORD12C	GSM1415921	14.466678126172525
SNORD12C	GSM2769390	9.410802113319637
SNORD12C	GSM2769391	9.307095115683572
SNORD12C	GSM2769392	15.48220260097616
SNORD12C	GSM2769393	18.53463434020425
SNORD12C	GSM2769394	15.228216169682945
SNORD12C	GSM2769395	12.460540555913248
SNORD12C	GSM2769396	16.34372144888062
SNORD12C	GSM2769397	10.456446792577374
SNORD12C	GSM2769398	10.47526139363344
SNORD12C	GSM3103946	12
SNORD12C	GSM3103947	8.778147512195181
SNORD12C	GSM3103948	10.241451527672671
SNORD12C	GSM3103949	17.74187003335105
SNORD12C	GSM3103950	7.22531887782615
SNORD12C	GSM3103951	19.935758505170703
SNORD12C	GSM3103952	3
SNORD12C	GSM3103953	12
SNORD12C	GSM3103954	0.998802110988832
SNORD12C	GSM3103955	15.807856943679257
SNORD12C	GSM3103956	5.063371165797985
SNORD12C	GSM3103957	27.14688824520507
SNORD12C	GSM3103958	1.0100156499625657
SNORD12C	GSM3103959	21.66992433293222
SNORD12C	GSM3103960	9
SNORD12C	GSM3103961	1.5472113262196954
SNORD12C	GSM3103962	20
SNORD12C	GSM3103963	15.173180804006162
SNORD12C	GSM3103964	9
SNORD12C	GSM3103965	20
SNORD12C	GSM4260265	12.31591081257208
SNORD12C	GSM4260266	17.300688160217415
SNORD12C	GSM4260267	12.454899352404835
SNORD12C	GSM4260268	13.506328114669548
SNORD12C	GSM4260269	16.36927829746894
SNORD12C	GSM4260270	10.216766714505209
SNORD12C	GSM4260271	10.501613654387995
SNORD12C	GSM4260272	10.479148002729763
SNORD12C	GSM4260273	10.16786983838062
SNORD12C	GSM4260274	5.75569605707153
SNORD12C	GSM4260275	10.4654498564839
SNORD12C	GSM4260276	10.223186155344816
SNORD12C	GSM4735785	23.239131305184973
SNORD12C	GSM4735786	16.525174017861787
SNORD12C	GSM4735787	25.72568541026582
SNORD12C	GSM4735788	58.04989656872991
SNORD12C	GSM4735789	10.332065818978377
SNORD12C	GSM4735790	10.309962873732228
SNORD12C	GSM4735791	10.420507920279476
SNORD12C	GSM4735792	16.802581847020797
SNORD12C	GSM4735793	28.264679256936276
SNORD12C	GSM4735794	10.392155353402403
SNORD12C	GSM4735795	7.214870186022822
SNORD12C	GSM4735796	20.201308013037487
SNORD12C	GSM4735797	25.283215638052333
SNORD12C	GSM4735798	13.90749182690113
SNORD12C	GSM4735799	7.394016450921294
SNORD12C	GSM4735800	1.0691353001232575
SNORD12C	GSM4735801	16.721590643929176
SNORD12C	GSM4735802	19.541997476917675
SNORD12C	GSM4735803	13.333858728718605
SNORD12C	GSM4735804	1.041590214740965
SNORD12C	GSM5282507	10.045505879962514
SNORD12C	GSM5282508	14.28184258437026
SNORD12C	GSM5282509	8.080125199700525
SNORD12C	GSM5282510	12.586115097277505
SNORD12C	GSM5282511	2.059057788185063
SNORD12C	GSM5282512	16.357097848551707
SNORD12C	GSM5282513	10.164098679180102
SNORD12C	GSM5282514	18.08191058393252
SNORD12C	GSM5282515	10.24130326068477
SNORD12C	GSM5282516	2.064349671565308
SNORD12C	GSM5282517	2.055161405631299
SNORD12C	GSM5282518	14.06370823194752
SNORD12C	GSM5282519	2.1057788333923155
SNORD12C	GSM5282520	2.0420702609244588
SNORD12C	GSM5282521	2.0464481396538763
SNORD12C	GSM5282522	2.045163114362914
SNORD12C	GSM5282523	14.042440007395095
SNORD12C	GSM5282524	8.092363095469953
SNORD12C	GSM5282525	18.125336028249222
SNORD12C	GSM5282526	8.03640470397001
SNORD12C	GSM5282527	16.19489544459826
SNORD12C	GSM5282528	20.402632263386085
SNORD12C	GSM5282529	16.097152764186966
SNORD12C	GSM5282530	14.269204535624596
SNORD12C	GSM5282531	6.152506211608357
SNORD12C	GSM5282532	8.085202137164751
SNORD12C	GSM5282533	20
SNORD12C	GSM5282534	12.109462606123373
SNORD12C	GSM5282535	14.127706373810602
SNORD12C	GSM5282536	10.148727745034105
SNORD12C	GSM4260927	20.03029135184658
SNORD12C	GSM4260928	10.577019359742213
