Gene	sample	counts
SOCS5	GSM1022678	276.0780587953225
SOCS5	GSM1022679	1.0886816601851197
SOCS5	GSM1022680	82.46748859707172
SOCS5	GSM1022681	154.66632202796467
SOCS5	GSM1022682	1.0116578477926386
SOCS5	GSM1022683	257.2577084556196
SOCS5	GSM1022684	1.0578149423884136
SOCS5	GSM1022685	47.70728372705159
SOCS5	GSM1022686	120.89385925096164
SOCS5	GSM1022687	1.1088805228290193
SOCS5	GSM1022688	1.0595694172829608
SOCS5	GSM1022689	133.66769126221627
SOCS5	GSM1022690	1.1031801973034647
SOCS5	GSM1022691	1.0928326885818789
SOCS5	GSM1022692	208.69168841532135
SOCS5	GSM1022693	284.78945291891694
SOCS5	GSM1022694	29.527860530131257
SOCS5	GSM1022695	7.208747662439914
SOCS5	GSM1385778	268.73572333335227
SOCS5	GSM1385779	16.324751083360947
SOCS5	GSM1385780	1.076969124990565
SOCS5	GSM1385781	124.97530521812236
SOCS5	GSM1385782	400.34571528720545
SOCS5	GSM1385783	8.580821041712497
SOCS5	GSM1415906	356.2377165535972
SOCS5	GSM1415907	270.76694672411827
SOCS5	GSM1415908	259.10096591048995
SOCS5	GSM1415909	247.35415220790819
SOCS5	GSM1415910	288.25797315393964
SOCS5	GSM1415911	222.2257805233826
SOCS5	GSM1415912	1.182512101984153
SOCS5	GSM1415913	1.1954362057291898
SOCS5	GSM1415914	1.1372485303867734
SOCS5	GSM1415915	1.1104272564901518
SOCS5	GSM1415916	1.1091395235784829
SOCS5	GSM1415917	1.1335736061479336
SOCS5	GSM1415918	1.14248870104818
SOCS5	GSM1415919	1.1435660966331045
SOCS5	GSM1415920	1.1170792534511031
SOCS5	GSM1415921	1.0789086069095255
SOCS5	GSM2769390	157.36713021816837
SOCS5	GSM2769391	505.6685278740149
SOCS5	GSM2769392	177.67456744873263
SOCS5	GSM2769393	202.31304429471635
SOCS5	GSM2769394	549.5467149777693
SOCS5	GSM2769395	188.0450981432966
SOCS5	GSM2769396	352.0161704046112
SOCS5	GSM2769397	158.22136346445313
SOCS5	GSM2769398	113.52541238150944
SOCS5	GSM3103946	1.0096769883151675
SOCS5	GSM3103947	63.82485298528853
SOCS5	GSM3103948	151.60502335881688
