Gene	sample	counts
SP4	GSM1022678	699.3300827572691
SP4	GSM1022679	354.91022122034894
SP4	GSM1022680	517.483490946625
SP4	GSM1022681	517.6166243869218
SP4	GSM1022682	280.22922383856087
SP4	GSM1022683	679.8953723469947
SP4	GSM1022684	413.60564247386975
SP4	GSM1022685	468.7759183614634
SP4	GSM1022686	503.72441354567343
SP4	GSM1022687	433.57228442614655
SP4	GSM1022688	438.66173875514573
SP4	GSM1022689	606.64567572852
SP4	GSM1022690	364.0494651101434
SP4	GSM1022691	351.8921257233649
SP4	GSM1022692	548.3271813265306
SP4	GSM1022693	473.2977740680933
SP4	GSM1022694	456.6272717695298
SP4	GSM1022695	461.3598503961545
SP4	GSM1385778	591.8224918352477
SP4	GSM1385779	420.09026121182177
SP4	GSM1385780	374.7852554967166
SP4	GSM1385781	518.1902899288001
SP4	GSM1385782	556.0357156766743
SP4	GSM1385783	387.2095495072765
SP4	GSM1415906	523.2870412651711
SP4	GSM1415907	507.0542073485361
SP4	GSM1415908	500.7919854949786
SP4	GSM1415909	501.80453009391215
SP4	GSM1415910	598.8457892986775
SP4	GSM1415911	529.3014045193295
SP4	GSM1415912	422.1568204083425
SP4	GSM1415913	435.1387788854251
SP4	GSM1415914	466.27189745857714
SP4	GSM1415915	465.2690204693737
SP4	GSM1415916	474.7117160915907
SP4	GSM1415917	504.4402547358305
SP4	GSM1415918	467.2778787287056
SP4	GSM1415919	449.42147597681
SP4	GSM1415920	490.39779226503424
SP4	GSM1415921	483.3510558954674
SP4	GSM2769390	416.49833797741894
SP4	GSM2769391	505.6685278740149
SP4	GSM2769392	428.69154355362815
SP4	GSM2769393	493.9724584048658
SP4	GSM2769394	553.6174313850121
SP4	GSM2769395	459.204051819542
SP4	GSM2769396	510.1683629052336
SP4	GSM2769397	494.5727387763039
SP4	GSM2769398	499.3015822334906
SP4	GSM3103946	412.9578882209035
SP4	GSM3103947	502.3927713556282
SP4	GSM3103948	542.5204554906422
SP4	GSM3103949	402.5906042244847
SP4	GSM3103950	426.2205164391568
SP4	GSM3103951	657
SP4	GSM3103952	276.4971937751938
SP4	GSM3103953	293.94410060138335
SP4	GSM3103954	514.2471447143915
SP4	GSM3103955	407.1894225847451
SP4	GSM3103956	307.5707692567196
SP4	GSM3103957	354.65666177924015
SP4	GSM3103958	342.8943270408561
SP4	GSM3103959	402.265410668324
SP4	GSM3103960	364.7653658680649
SP4	GSM3103961	342.09604760042487
SP4	GSM3103962	362.6563140259815
SP4	GSM3103963	307.7633806164186
SP4	GSM3103964	409.09745959986344
SP4	GSM3103965	310.8427273882529
SP4	GSM4260265	510.6451878269302
SP4	GSM4260266	568.3957012423465
SP4	GSM4260267	455.3498339066469
SP4	GSM4260268	497.3254903774103
SP4	GSM4260269	570.3312708867679
SP4	GSM4260270	531.4463928318023
SP4	GSM4260271	451.6035668720537
SP4	GSM4260272	438.51275848632434
SP4	GSM4260273	507.9707592307876
SP4	GSM4260274	227.04650930217437
SP4	GSM4260275	459.4114501355176
SP4	GSM4260276	497.2482593596955
SP4	GSM4735785	301.27443068797106
SP4	GSM4735786	644.9219715911806
SP4	GSM4735787	794.3569676859818
SP4	GSM4735788	736.7153947138275
SP4	GSM4735789	827.7827797033038
SP4	GSM4735790	224.18173744634817
SP4	GSM4735791	879.4660858503754
SP4	GSM4735792	95.15942555738168
SP4	GSM4735793	318.665573582861
SP4	GSM4735794	929.2219923736504
SP4	GSM4735795	544.1720057936873
SP4	GSM4735796	523.0147393923019
SP4	GSM4735797	489.0961103697067
SP4	GSM4735798	435.5330597325452
SP4	GSM4735799	508.6351823554608
SP4	GSM4735800	484.0494962737823
SP4	GSM4735801	563.5211466130352
SP4	GSM4735802	479.64595146719154
SP4	GSM4735803	403.3685086199312
SP4	GSM4735804	596.6984876831331
SP4	GSM5282507	999.7222018126616
SP4	GSM5282508	624.3340213867172
SP4	GSM5282509	1230
SP4	GSM5282510	608.2910318336305
SP4	GSM5282511	325.6546162786579
SP4	GSM5282512	589.5171178279214
SP4	GSM5282513	529.6661766405862
SP4	GSM5282514	861.8049174415022
SP4	GSM5282515	289.32315992634983
SP4	GSM5282516	90.82617591260772
SP4	GSM5282517	294.52881591360415
SP4	GSM5282518	565.7248132009346
SP4	GSM5282519	150.31958304723224
SP4	GSM5282520	331.4097904074229
SP4	GSM5282521	275.76199128583386
SP4	GSM5282522	197.179825002478
SP4	GSM5282523	788.0951774571992
SP4	GSM5282524	559
SP4	GSM5282525	705
SP4	GSM5282526	329.60838034483584
SP4	GSM5282527	865
SP4	GSM5282528	715.4943968068011
