Gene	sample	counts
SPACA6	GSM1022678	212.13350841258236
SPACA6	GSM1022679	39.192539766664304
SPACA6	GSM1022680	48.44964955077964
SPACA6	GSM1022681	78.3642698275021
SPACA6	GSM1022682	135.56215160421357
SPACA6	GSM1022683	30.62591767328805
SPACA6	GSM1022684	62.4110816009164
SPACA6	GSM1022685	1.0371148636315564
SPACA6	GSM1022686	34.99559083580468
SPACA6	GSM1022687	58.77066770993802
SPACA6	GSM1022688	10.595694172829608
SPACA6	GSM1022689	84.31346679616719
SPACA6	GSM1022690	4.412720789213859
SPACA6	GSM1022691	13.113992262982544
SPACA6	GSM1022692	36.82794501446848
SPACA6	GSM1022693	27.364111134557852
SPACA6	GSM1022694	15.818496712570315
SPACA6	GSM1022695	33.98409612293103
SPACA6	GSM1385778	54.35104516854315
SPACA6	GSM1385779	32.649502166721895
SPACA6	GSM1385780	44.15573412461317
SPACA6	GSM1385781	44.706613248759226
SPACA6	GSM1385782	62.68038976718873
SPACA6	GSM1385783	47.19451572941874
SPACA6	GSM1415906	81.51201988938242
SPACA6	GSM1415907	53.74774597894483
SPACA6	GSM1415908	52.2298389780039
SPACA6	GSM1415909	63.86603110286154
SPACA6	GSM1415910	58.869586066649646
SPACA6	GSM1415911	67.67785134121198
SPACA6	GSM1415912	43.75294777341365
SPACA6	GSM1415913	53.79462925781354
SPACA6	GSM1415914	45.48994121547094
SPACA6	GSM1415915	46.63794477258638
SPACA6	GSM1415916	49.91127856103173
SPACA6	GSM1415917	32.87363457829008
SPACA6	GSM1415918	45.699548041927194
SPACA6	GSM1415919	42.311945575424865
SPACA6	GSM1415920	36.8636153638864
SPACA6	GSM1415921	57.182156166204855
SPACA6	GSM2769390	17.83494142472575
SPACA6	GSM2769391	26.119242142252833
SPACA6	GSM2769392	12.39590005456274
SPACA6	GSM2769393	30.80909303980452
SPACA6	GSM2769394	48.84859688691283
SPACA6	GSM2769395	12.467078329942316
SPACA6	GSM2769396	151.00983541994916
SPACA6	GSM2769397	58.67812154973097
SPACA6	GSM2769398	56.76270619075472
SPACA6	GSM3103946	10.096769883151676
SPACA6	GSM3103947	90.26657779347948
SPACA6	GSM3103948	40.720357513731805
SPACA6	GSM3103949	69.80401605505179
SPACA6	GSM3103950	46.65386733996175
SPACA6	GSM3103951	72
SPACA6	GSM3103952	38.206884958026784
SPACA6	GSM3103953	1.0101171841971937
SPACA6	GSM3103954	42.18433608985244
SPACA6	GSM3103955	58.70666415581678
SPACA6	GSM3103956	8.174638385560653
SPACA6	GSM3103957	41.545494665568135
SPACA6	GSM3103958	32.65660257531963
SPACA6	GSM3103959	35.11044731519037
SPACA6	GSM3103960	81.17031493217928
SPACA6	GSM3103961	71.88347329325384
SPACA6	GSM3103962	7.051650550505196
SPACA6	GSM3103963	1.02246970304458
SPACA6	GSM3103964	17.171992131352294
SPACA6	GSM3103965	75.20388565844829
SPACA6	GSM4260265	69.77132269318452
SPACA6	GSM4260266	102.79496724595629
SPACA6	GSM4260267	1.0209637531539166
SPACA6	GSM4260268	1.0212022389679882
SPACA6	GSM4260269	92.02153484165936
SPACA6	GSM4260270	71.59903964147621
SPACA6	GSM4260271	1.0381691192461002
SPACA6	GSM4260272	27.858457597954725
SPACA6	GSM4260273	195.14124215994613
SPACA6	GSM4260274	0.5195572295244265
SPACA6	GSM4260275	8.240564127991346
SPACA6	GSM4260276	58.49979521878771
SPACA6	GSM4735785	5.620791617312893
SPACA6	GSM4735786	158.86332416030714
SPACA6	GSM4735787	26.02742358079888
SPACA6	GSM4735788	26.538739002659497
SPACA6	GSM4735789	107.42219278592492
SPACA6	GSM4735790	211.43206517451793
SPACA6	GSM4735791	36.961491865157925
SPACA6	GSM4735792	16.792839804243822
SPACA6	GSM4735793	1.0950706995974604
SPACA6	GSM4735794	89.0593826408926
SPACA6	GSM4735795	56.61905262593278
SPACA6	GSM4735796	49.91897729557761
SPACA6	GSM4735797	37.96636473189505
SPACA6	GSM4735798	28.57828475935336
