Gene	sample	counts
SPEF2	GSM1022678	188.8729265429998
SPEF2	GSM1022679	113.6445614484044
SPEF2	GSM1022680	135.4575416965214
SPEF2	GSM1022681	148.900918017396
SPEF2	GSM1022682	114.1726607055255
SPEF2	GSM1022683	164.11854540878414
SPEF2	GSM1022684	189.0112224354989
SPEF2	GSM1022685	181.53673566504443
SPEF2	GSM1022686	173.3162066490207
SPEF2	GSM1022687	197.22613266614167
SPEF2	GSM1022688	169.90081478520565
SPEF2	GSM1022689	170.82021328479442
SPEF2	GSM1022690	170.46684217260662
SPEF2	GSM1022691	211.67877574022523
SPEF2	GSM1022692	158.1800548066793
SPEF2	GSM1022693	252.7477412828086
SPEF2	GSM1022694	199.3575111481434
SPEF2	GSM1022695	184.0857789963628
SPEF2	GSM1385778	227.68813440562047
SPEF2	GSM1385779	104.54041618088412
SPEF2	GSM1385780	207.32414108734324
SPEF2	GSM1385781	180.16821182115564
SPEF2	GSM1385782	206.55714143555852
SPEF2	GSM1385783	226.86573478485468
SPEF2	GSM1415906	220
SPEF2	GSM1415907	170.92485191425413
SPEF2	GSM1415908	184.10126042194145
SPEF2	GSM1415909	221.1968671831524
SPEF2	GSM1415910	253.5301560359447
SPEF2	GSM1415911	243.73663727121485
SPEF2	GSM1415912	147.2660150986756
SPEF2	GSM1415913	143.80831900434669
SPEF2	GSM1415914	149.103799787629
SPEF2	GSM1415915	147.52346461542734
SPEF2	GSM1415916	147.62523708732158
SPEF2	GSM1415917	145.9443861038225
SPEF2	GSM1415918	144.81286153082144
SPEF2	GSM1415919	149.79050994597168
SPEF2	GSM1415920	163.7144672642586
SPEF2	GSM1415921	150.86678617294203
SPEF2	GSM2769390	191.3529763041659
SPEF2	GSM2769391	211.99494430168133
SPEF2	GSM2769392	182.6899906915187
SPEF2	GSM2769393	179.16813195530776
SPEF2	GSM2769394	227.40802813393196
SPEF2	GSM2769395	174.44756778278548
SPEF2	GSM2769396	271.7143690876403
SPEF2	GSM2769397	172.53137207752667
SPEF2	GSM2769398	199.02996647903535
SPEF2	GSM3103946	179
SPEF2	GSM3103947	174.76493683370407
SPEF2	GSM3103948	82.57170294186092
SPEF2	GSM3103949	67.88193751890836
SPEF2	GSM3103950	181.8371917586248
SPEF2	GSM3103951	125.31048203250155
SPEF2	GSM3103952	149
SPEF2	GSM3103953	132
