Gene	sample	counts
STAM-AS1	GSM1022678	19.19029734928875
STAM-AS1	GSM1022679	1.0522644578555964
STAM-AS1	GSM1022680	11.203255328283724
STAM-AS1	GSM1022681	6.119215808934082
STAM-AS1	GSM1022682	3.004543702776987
STAM-AS1	GSM1022683	26.34001346066906
STAM-AS1	GSM1022684	11.299583949948303
STAM-AS1	GSM1022685	9.178823713401124
STAM-AS1	GSM1022686	7.221508610375863
STAM-AS1	GSM1022687	1.0546852014232175
STAM-AS1	GSM1022688	6.17821144673475
STAM-AS1	GSM1022689	11.184656822218685
STAM-AS1	GSM1022690	4.209057831422386
STAM-AS1	GSM1022691	11.470278488386588
STAM-AS1	GSM1022692	9.125772392693037
STAM-AS1	GSM1022693	14.097483577527171
STAM-AS1	GSM1022694	17.4694726263837
STAM-AS1	GSM1022695	6.102291016454016
STAM-AS1	GSM1385778	16.048502865594394
STAM-AS1	GSM1385779	7.317829132661889
STAM-AS1	GSM1385780	4.16731941884107
STAM-AS1	GSM1385781	9.10962868758652
STAM-AS1	GSM1385782	19.144320425734698
STAM-AS1	GSM1385783	3.1220055245622205
STAM-AS1	GSM1415906	23
STAM-AS1	GSM1415907	6.032641832267793
STAM-AS1	GSM1415908	3.034636160801232
STAM-AS1	GSM1415909	19.103365802181344
STAM-AS1	GSM1415910	6.036432286570113
STAM-AS1	GSM1415911	20.060628581992994
STAM-AS1	GSM1415912	2.1656766926275828
STAM-AS1	GSM1415913	4.357827848616566
STAM-AS1	GSM1415914	3.1724212720772123
STAM-AS1	GSM1415915	5.231328532461963
STAM-AS1	GSM1415916	8.375899976585622
STAM-AS1	GSM1415917	8.460544121960725
STAM-AS1	GSM1415918	10.648004524325106
STAM-AS1	GSM1415919	12.748128506040144
STAM-AS1	GSM1415920	6.296710279394561
STAM-AS1	GSM1415921	9.300007366825191
STAM-AS1	GSM2769390	7.319512754804162
STAM-AS1	GSM2769391	15.51182519280595
STAM-AS1	GSM2769392	12.385762080780928
STAM-AS1	GSM2769393	7.207913354523875
STAM-AS1	GSM2769394	4.0608576452487855
STAM-AS1	GSM2769395	12.460540555913248
STAM-AS1	GSM2769396	3.0644477716651157
STAM-AS1	GSM2769397	16.7303148681238
STAM-AS1	GSM2769398	11.522787532996784
STAM-AS1	GSM3103946	12
STAM-AS1	GSM3103947	9.576160922394743
STAM-AS1	GSM3103948	6.40090720479542
STAM-AS1	GSM3103949	14.656327418855216
STAM-AS1	GSM3103950	14.4506377556523
STAM-AS1	GSM3103951	4.746609167897787
STAM-AS1	GSM3103952	2
STAM-AS1	GSM3103953	12
STAM-AS1	GSM3103954	9.98802110988832
STAM-AS1	GSM3103955	10.708548252169818
STAM-AS1	GSM3103956	1.012674233159597
STAM-AS1	GSM3103957	10.054403053779655
STAM-AS1	GSM3103958	1.0100156499625657
STAM-AS1	GSM3103959	11.819958727053937
STAM-AS1	GSM3103960	7
STAM-AS1	GSM3103961	7.736056631098476
STAM-AS1	GSM3103962	9
STAM-AS1	GSM3103963	3.034636160801232
STAM-AS1	GSM3103964	4
STAM-AS1	GSM3103965	4
STAM-AS1	GSM4260265	13.342236713619751
STAM-AS1	GSM4260266	7.1238127718542295
STAM-AS1	GSM4260267	8.303266234936558
STAM-AS1	GSM4260268	11.428431481643464
STAM-AS1	GSM4260269	4.092319574367235
STAM-AS1	GSM4260270	19.411856757559892
STAM-AS1	GSM4260271	12.601936385265596
STAM-AS1	GSM4260272	7.335403601910834
STAM-AS1	GSM4260273	17.285378725247057
STAM-AS1	GSM4260274	8.057974479900142
STAM-AS1	GSM4260275	5.23272492824195
STAM-AS1	GSM4260276	14.312460617482742
STAM-AS1	GSM4735785	15.844862253535208
STAM-AS1	GSM4735786	10.328233761163618
STAM-AS1	GSM4735787	1.0290274164106328
STAM-AS1	GSM4735788	10.36605295870177
STAM-AS1	GSM4735789	20.66413163795675
STAM-AS1	GSM4735790	22.6819183222109
STAM-AS1	GSM4735791	2.084101584055895
STAM-AS1	GSM4735792	10.501613654387995
STAM-AS1	GSM4735793	5.234199862395607
STAM-AS1	GSM4735794	10.392155353402403
STAM-AS1	GSM4735795	12.36834889032484
STAM-AS1	GSM4735796	7.442587162698021
STAM-AS1	GSM4735797	2.106934636504361
STAM-AS1	GSM4735798	5.349035318038895
STAM-AS1	GSM4735799	7.394016450921294
STAM-AS1	GSM4735800	5.345676500616288
STAM-AS1	GSM4735801	5.225497076227867
STAM-AS1	GSM4735802	15.427892744935006
STAM-AS1	GSM4735803	27.693398898107866
STAM-AS1	GSM4735804	7.291131503186755
STAM-AS1	GSM5282507	19.086461171928775
STAM-AS1	GSM5282508	10.201316131693044
STAM-AS1	GSM5282509	7.0701095497379605
STAM-AS1	GSM5282510	24.12338726978188
STAM-AS1	GSM5282511	6.17717336455519
STAM-AS1	GSM5282512	8.178548924275853
STAM-AS1	GSM5282513	7.114869075426071
STAM-AS1	GSM5282514	17.077359995936273
STAM-AS1	GSM5282515	4.096521304273908
STAM-AS1	GSM5282516	6.193049014695923
STAM-AS1	GSM5282517	5.137903514078246
STAM-AS1	GSM5282518	9.04095529196626
STAM-AS1	GSM5282519	34.7453507509732
STAM-AS1	GSM5282520	11.231386435084522
STAM-AS1	GSM5282521	7.162568488788567
STAM-AS1	GSM5282522	20.451631143629136
STAM-AS1	GSM5282523	14.042440007395095
STAM-AS1	GSM5282524	12.138544643204929
STAM-AS1	GSM5282525	13.09052046484666
STAM-AS1	GSM5282526	7.0318541159737595
STAM-AS1	GSM5282527	13.158352548736085
STAM-AS1	GSM5282528	9.181184518523738
STAM-AS1	GSM5282529	16.097152764186966
STAM-AS1	GSM5282530	12.230746744821085
STAM-AS1	GSM5282531	7.177923913543084
STAM-AS1	GSM5282532	20.213005342911877
STAM-AS1	GSM5282533	27
STAM-AS1	GSM5282534	11.10034072227976
STAM-AS1	GSM5282535	10.091218838436143
STAM-AS1	GSM5282536	7.104109421523873
STAM-AS1	GSM4260927	7.0106019731463025
STAM-AS1	GSM4260928	29.464553930710448
STAM-AS1	GSM4260929	5.341272344204549
STAM-AS1	GSM4260930	20.03029135184658
STAM-AS1	GSM4260931	4.042601068582376
STAM-AS1	GSM4260932	6.0485210715742035
STAM-AS1	GSM4260933	7
STAM-AS1	GSM4260934	12.083557352166148
STAM-AS1	GSM4260935	11.117152938601532
STAM-AS1	GSM4260936	7.10732789169167
STAM-AS1	GSM4260937	6.032641832267793
STAM-AS1	GSM4260938	6.207753838789233
STAM-AS1	GSM4260939	6.050929358265893
STAM-AS1	GSM4260940	4.0517387770366815
STAM-AS1	GSM4260941	14.021203946292603
STAM-AS1	GSM4260942	10
STAM-AS1	GSM4260943	4.076915581607028
STAM-AS1	GSM4260944	11.86931410703416
STAM-AS1	GSM4260945	7.063853186905301
STAM-AS1	GSM4260946	16.115296598311065
STAM-AS1	GSM4260947	8.15780478362991
STAM-AS1	GSM4260948	12.918138204171044
STAM-AS1	GSM4260949	14.321453481543417
STAM-AS1	GSM4260950	6.018188574597898
STAM-AS1	GSM4260951	17
STAM-AS1	GSM4260952	23
STAM-AS1	GSM4260953	8
STAM-AS1	GSM4260954	16.16025039940105
STAM-AS1	GSM4260955	8.250091687427375
STAM-AS1	GSM4260956	4.066574858453136
STAM-AS1	GSM4260957	14
STAM-AS1	GSM4260958	11.358135810316789
STAM-AS1	GSM4260959	4.046583165937276
STAM-AS1	GSM4260960	7.074551870019157
STAM-AS1	GSM4260961	7.014858858017586
STAM-AS1	GSM4260962	7.059417584643542
STAM-AS1	GSM4260963	8.012116540738631
STAM-AS1	GSM4260964	12.072864573140226
STAM-AS1	GSM4260965	3.0996197456935124
STAM-AS1	GSM4260966	44
STAM-AS1	GSM4260967	12.9298487610552
STAM-AS1	GSM4260968	3.009094287298949
STAM-AS1	GSM4260969	4.030383247523093
STAM-AS1	GSM4260970	11.287620889931397
STAM-AS1	GSM4260971	4.6089606516336765
STAM-AS1	GSM4260972	14.20456541077436
STAM-AS1	GSM4260973	14.146066258258555
STAM-AS1	GSM4260974	3.062317759367693
STAM-AS1	GSM4260975	4.027852450722049
STAM-AS1	GSM4260976	19.02877678425425
STAM-AS1	GSM4260977	10.275807028156493
STAM-AS1	GSM4260978	4.015679203928403
STAM-AS1	GSM4260979	8
STAM-AS1	GSM4260980	20
STAM-AS1	GSM4260981	5.912222884576834
STAM-AS1	GSM4260982	12.109462606123373
STAM-AS1	GSM4260983	6.090129348047153
STAM-AS1	GSM4260984	5.952467791795055
STAM-AS1	GSM4260985	13.821445574768054
STAM-AS1	GSM4260986	10.494856032494042
STAM-AS1	GSM4260987	1.038442250683936
STAM-AS1	GSM4260988	14.170533514023475
STAM-AS1	GSM4260989	11.016660243515618
STAM-AS1	GSM4260990	6
STAM-AS1	GSM4260991	4.030383247523093
STAM-AS1	GSM4260992	11.065222344506612
STAM-AS1	GSM4260993	6.087670890331868
STAM-AS1	GSM4260994	11
STAM-AS1	GSM4260995	17.372499408060303
STAM-AS1	GSM4260996	5.624674517850918
STAM-AS1	GSM4260997	7
STAM-AS1	GSM4260998	6.263074461841678
STAM-AS1	GSM4260999	6.036432286570113
STAM-AS1	GSM4261000	10.19491042368788
STAM-AS1	GSM4261001	16.024233081477263
STAM-AS1	GSM4261002	4.209057831422386
STAM-AS1	GSM4261003	10.075958118807732
STAM-AS1	GSM4261004	11.3552152345294
STAM-AS1	GSM4261005	15.022718513884936
STAM-AS1	GSM4261006	7.131956116611313
STAM-AS1	GSM4261007	4.177327636530941
STAM-AS1	GSM4261008	4.027852450722049
STAM-AS1	GSM4261009	6.159372174822884
STAM-AS1	GSM4261010	8.375899976585622
STAM-AS1	GSM4261011	6.100721903028372
STAM-AS1	GSM4261012	2.233948545537688
STAM-AS1	GSM4261013	8.234336668557747
STAM-AS1	GSM4261014	3.0832065260243815
STAM-AS1	GSM4261015	8.104619526359711
STAM-AS1	GSM4261016	4.027852450722049
STAM-AS1	GSM4261017	11.126999256271183
STAM-AS1	GSM4261018	7.9747269863471635
STAM-AS1	GSM4261019	14.251290051102751
STAM-AS1	GSM4261020	3.1847470224985073
STAM-AS1	GSM4261021	10.309962873732228
STAM-AS1	GSM4261022	11.093370490154138
STAM-AS1	GSM4261023	11.083553930688506
STAM-AS1	GSM4261024	7.227904606565229
STAM-AS1	GSM4261025	2.053644100986052
STAM-AS1	GSM4261026	8.310620329775086
STAM-AS1	GSM4261027	3
STAM-AS1	GSM4818000	17.335335165213557
STAM-AS1	GSM4818001	10.54726695364118
STAM-AS1	GSM4818002	11.416399884474137
STAM-AS1	GSM4818003	13.725525069575454
STAM-AS1	GSM4818004	2.2236401529588963
STAM-AS1	GSM4818005	6.368020768167527
STAM-AS1	GSM4818006	1.1089675886897936
STAM-AS1	GSM4818007	3.329759044918499
STAM-AS1	GSM4818008	24.534803127673033
STAM-AS1	GSM4818009	12.64989394954925
STAM-AS1	GSM4818010	7.493354744242453
STAM-AS1	GSM4818011	3.264048483483162
STAM-AS1	GSM4818012	14.306764218402602
STAM-AS1	GSM4818013	19.81617605568761
STAM-AS1	GSM4818014	4.400109796671799
STAM-AS1	GSM4818015	5.3155287971026155
STAM-AS1	GSM4818016	6.328749431876081
STAM-AS1	GSM4818017	3.0902518662608824
STAM-AS1	GSM4818018	15.606013736247585
STAM-AS1	GSM4818019	23.45368875293599
STAM-AS1	GSM4818020	13.238250693877106
STAM-AS1	GSM4818021	14.325136977577134
STAM-AS1	GSM4818022	6.3448425441544245
STAM-AS1	GSM4818023	1.0680945474208139
STAM-AS1	GSM3056394	9.306613180630997
STAM-AS1	GSM3056395	6.347934587068261
STAM-AS1	GSM3056396	3.3047471230896357
STAM-AS1	GSM3056397	7.225797594589433
STAM-AS1	GSM3056398	4.0548559270999505
STAM-AS1	GSM3056399	9.462256395810082
STAM-AS1	GSM3056400	20.68382322832788
STAM-AS1	GSM3056401	12.309154661812482
STAM-AS1	GSM3056402	12.428255120432675
STAM-AS1	GSM3056403	6.167282045979408
STAM-AS1	GSM3056404	14.195645944189163
STAM-AS1	GSM3056405	15.013675528265184
STAM-AS1	GSM3056406	6.253468025905589
STAM-AS1	GSM3056407	7.316798022189825
STAM-AS1	GSM3056408	12.319078480482895
STAM-AS1	GSM3056409	7.194148560723557
STAM-AS1	GSM3056410	7.721857815175414
STAM-AS1	GSM3056411	4.522498995753077
STAM-AS1	GSM3056412	7.715024718192392
STAM-AS1	GSM3056413	4.300754324698946
STAM-AS1	GSM3056414	9.167300022999743
STAM-AS1	GSM3056415	18.501846137938223
STAM-AS1	GSM3056416	7.72254610269909
STAM-AS1	GSM3056417	6.208628658617765
STAM-AS1	GSM3056418	23.25093477660634
STAM-AS1	GSM3056419	7.366647694442944
STAM-AS1	GSM3056420	10.173100889096045
STAM-AS1	GSM3056421	3.1851172848699205
STAM-AS1	GSM3056422	6.376994385463953
STAM-AS1	GSM3056423	3.36307054946252
STAM-AS1	GSM3056424	7.308641855515269
STAM-AS1	GSM3056425	15.368745921198414
STAM-AS1	GSM3056426	6.1447819564108626
STAM-AS1	GSM3056427	7.586581815009008
STAM-AS1	GSM3056428	4.094890877416284
STAM-AS1	GSM3056429	4.205333222518977
STAM-AS1	GSM3056430	6.189864523179311
STAM-AS1	GSM3056431	9.586430067642326
STAM-AS1	GSM3056432	14.464892146569724
STAM-AS1	GSM3056433	7.663249365462674
STAM-AS1	GSM3056434	9.195090043054686
STAM-AS1	GSM3056435	6.468510139005827
STAM-AS1	GSM3056436	12.868864738513016
STAM-AS1	GSM3056437	10.625302861937612
STAM-AS1	GSM3056438	9.386165033818768
STAM-AS1	GSM3056439	12.589010800590442
STAM-AS1	GSM3056440	3.3749476895572044
STAM-AS1	GSM3056441	3.3874334959386037
STAM-AS1	GSM3056442	18.207816964807392
STAM-AS1	GSM3056443	15.32515007175781
STAM-AS1	GSM3056444	1.0727741889868294
STAM-AS1	GSM3056445	10.272349045407548
STAM-AS1	GSM3056446	12.138544643204929
STAM-AS1	GSM3056447	10.091218838436143
STAM-AS1	GSM3056448	20.29223630110623
STAM-AS1	GSM3056449	9.374311932668684
STAM-AS1	GSM3056450	17.248400855940293
STAM-AS1	GSM3056451	14.767082007710854
STAM-AS1	GSM3056452	9.235631589772584
STAM-AS1	GSM3056453	15.25572754113504
STAM-AS1	GSM3056454	12.527334924970532
STAM-AS1	GSM3056455	15.265313082544775
STAM-AS1	GSM3056456	9.131506335497802
STAM-AS1	GSM3056457	6.357548963072058
STAM-AS1	GSM3056458	6.8556422137308175
STAM-AS1	GSM3056459	6.446172212222249
STAM-AS1	GSM3056460	7.5952541584893885
STAM-AS1	GSM3056461	3.223549867193514
STAM-AS1	GSM3056462	3.1700570773535075
STAM-AS1	GSM3056463	4.380743185362997
STAM-AS1	GSM3056464	3.2576173020622226
STAM-AS1	GSM3056465	4.357503734284651
STAM-AS1	GSM3056466	6.302291920583014
STAM-AS1	GSM3056467	4.2555791540819365
STAM-AS1	GSM3056468	9.181184518523738
STAM-AS1	GSM3056469	7.5952354437833165
STAM-AS1	GSM3056470	4.352796014881908
STAM-AS1	GSM3056471	10.850295123494574
STAM-AS1	GSM3056472	9.565232133001745
STAM-AS1	GSM3056473	4.301915069884227
STAM-AS1	GSM3056474	12.31591081257208
STAM-AS1	GSM3056475	9.407311742815487
STAM-AS1	GSM3056476	3.144936423906501
STAM-AS1	GSM3056477	3.350377802480504
STAM-AS1	GSM3056478	17.261245021052897
STAM-AS1	GSM3056479	6.205146968498363
