Gene	sample	counts
STK4	GSM1022678	6010.787735977573
STK4	GSM1022679	3301.9714753414673
STK4	GSM1022680	5561.401262265024
STK4	GSM1022681	5686.565106561501
STK4	GSM1022682	3433.566735408215
STK4	GSM1022683	6456.964309451564
STK4	GSM1022684	4623.709113179756
STK4	GSM1022685	5184.5372032941505
STK4	GSM1022686	4964.071536436415
STK4	GSM1022687	4580.785439806678
STK4	GSM1022688	4828.457834558452
STK4	GSM1022689	5518.419223110113
STK4	GSM1022690	4518.6260881549915
STK4	GSM1022691	4747.265199199681
STK4	GSM1022692	5716.515465023607
STK4	GSM1022693	5719.099227122591
STK4	GSM1022694	4694.92982429087
STK4	GSM1022695	5443.63430623677
STK4	GSM1385778	6332.903262971731
STK4	GSM1385779	4426.184177068599
STK4	GSM1385780	4338.031635461996
STK4	GSM1385781	5146.340820567397
STK4	GSM1385782	5791.870209293939
STK4	GSM1385783	4426.631054893434
STK4	GSM1415906	6055.03486017795
STK4	GSM1415907	5961.943370004087
STK4	GSM1415908	5432.92736820217
STK4	GSM1415909	5610.073271797393
STK4	GSM1415910	5719.484784233979
STK4	GSM1415911	5372.813302744873
STK4	GSM1415912	4785.626476729866
STK4	GSM1415913	4802.067238414155
STK4	GSM1415914	4803.7377923537315
STK4	GSM1415915	4864.781810683356
STK4	GSM1415916	5204.082644630242
STK4	GSM1415917	4883.435095285298
STK4	GSM1415918	4771.0328155771995
STK4	GSM1415919	4649.739748910202
STK4	GSM1415920	4899.509605636538
STK4	GSM1415921	5055.7657319780365
STK4	GSM2769390	5038.895509585751
STK4	GSM2769391	5030.566036597896
STK4	GSM2769392	5167.024339410236
STK4	GSM2769393	5130.740960895446
STK4	GSM2769394	6062.314409486244
STK4	GSM2769395	4946.313327404614
STK4	GSM2769396	5645.523103909315
STK4	GSM2769397	4957.253447353164
STK4	GSM2769398	4950.969373304718
STK4	GSM3103946	4192.178855484575
STK4	GSM3103947	4909.042978182763
STK4	GSM3103948	4025.050723472721
STK4	GSM3103949	4975.565330435668
STK4	GSM3103950	3674.136046439704
STK4	GSM3103951	5240
STK4	GSM3103952	4219.849899179958
STK4	GSM3103953	4501.082172782695
STK4	GSM3103954	4215.420442121683
STK4	GSM3103955	3609.755365612862
STK4	GSM3103956	3774.639274532632
STK4	GSM3103957	4347.077368665544
STK4	GSM3103958	3867.766367514419
STK4	GSM3103959	4410.875338425487
STK4	GSM3103960	4368.165466535426
STK4	GSM3103961	4478.4269927640435
STK4	GSM3103962	4668.192664434439
STK4	GSM3103963	3818.9243408715065
STK4	GSM3103964	4558.658852281935
STK4	GSM3103965	4657.6273184465645
STK4	GSM4260265	5312.732310579587
STK4	GSM4260266	5748.455815401319
