Gene	sample	counts
SUPT5H	GSM1022678	2330.5595160377393
SUPT5H	GSM1022679	195.26842307980164
SUPT5H	GSM1022680	1853.3943544207325
SUPT5H	GSM1022681	2342.607664376648
SUPT5H	GSM1022682	271.6942098399302
SUPT5H	GSM1022683	1994.726828398742
SUPT5H	GSM1022684	1558.563518624543
SUPT5H	GSM1022685	1790.5675540160216
SUPT5H	GSM1022686	1051.9894535474446
SUPT5H	GSM1022687	1288.5873682533015
SUPT5H	GSM1022688	1263.600333435066
SUPT5H	GSM1022689	2117.6268605786636
SUPT5H	GSM1022690	1236.4249329321613
SUPT5H	GSM1022691	1112.1915017869958
SUPT5H	GSM1022692	1836.1803634051432
SUPT5H	GSM1022693	2975.040267814064
SUPT5H	GSM1022694	986.2170498055684
SUPT5H	GSM1022695	2016.231843064881
SUPT5H	GSM1385778	2417
SUPT5H	GSM1385779	1165.0555240259384
SUPT5H	GSM1385780	926.5530732929492
SUPT5H	GSM1385781	1673.0392448945415
SUPT5H	GSM1385782	2296.4026441594306
SUPT5H	GSM1385783	957.3161807239188
SUPT5H	GSM1415906	2973
SUPT5H	GSM1415907	2635.908765135616
SUPT5H	GSM1415908	2309.8165650125175
SUPT5H	GSM1415909	2349.1782315235355
SUPT5H	GSM1415910	2314.0012329398173
SUPT5H	GSM1415911	2272.869218339806
SUPT5H	GSM1415912	1143.2557214453868
SUPT5H	GSM1415913	1014.6306248935128
SUPT5H	GSM1415914	1277.737101177814
SUPT5H	GSM1415915	1257.1464874756748
SUPT5H	GSM1415916	1192.454902882834
SUPT5H	GSM1415917	955.6935241944644
SUPT5H	GSM1415918	976.939097186318
SUPT5H	GSM1415919	872.9556846706398
SUPT5H	GSM1415920	1063.4216685084857
SUPT5H	GSM1415921	981.8324324863956
SUPT5H	GSM2769390	1204.0415328913014
SUPT5H	GSM2769391	227.1158523726279
SUPT5H	GSM2769392	1830.8659296098213
SUPT5H	GSM2769393	2592.4517908188695
SUPT5H	GSM2769394	1335.6555216118184
SUPT5H	GSM2769395	1422.1001418181197
SUPT5H	GSM2769396	2174.526133063167
SUPT5H	GSM2769397	1925.7541191794712
SUPT5H	GSM2769398	1659.4702257816357
SUPT5H	GSM3103946	1547.3439757426506
SUPT5H	GSM3103947	1237.3955750414332
SUPT5H	GSM3103948	1551.416060800005
SUPT5H	GSM3103949	2367.867237776228
SUPT5H	GSM3103950	1400.1049981344954
SUPT5H	GSM3103951	1151
SUPT5H	GSM3103952	1413.4026773107255
SUPT5H	GSM3103953	882.7536780672825
SUPT5H	GSM3103954	986.9829262340552
SUPT5H	GSM3103955	1665.38269145042
SUPT5H	GSM3103956	1317.7425971576
SUPT5H	GSM3103957	1231.5719980337765
SUPT5H	GSM3103958	924.3459782821956
SUPT5H	GSM3103959	1465.428917914588
SUPT5H	GSM3103960	1378
SUPT5H	GSM3103961	1766.9492398273198
SUPT5H	GSM3103962	954.1932338510924
SUPT5H	GSM3103963	885.4764877141306
SUPT5H	GSM3103964	889.3722350881226
SUPT5H	GSM3103965	1914
SUPT5H	GSM4260265	1775.4004377876174
SUPT5H	GSM4260266	2821.735545870498
SUPT5H	GSM4260267	1133.249853577587
SUPT5H	GSM4260268	1270.4670372138512
SUPT5H	GSM4260269	2601.3205973273625
SUPT5H	GSM4260270	2057.763902429266
SUPT5H	GSM4260271	658.5884761273081
SUPT5H	GSM4260272	1086.365075803864
SUPT5H	GSM4260273	2187.1238807420727
SUPT5H	GSM4260274	565.4251701303888
SUPT5H	GSM4260275	1096.1739120381835
SUPT5H	GSM4260276	1812.562002367616
SUPT5H	GSM4735785	1320.475142273028
SUPT5H	GSM4735786	1801.3614310020232
SUPT5H	GSM4735787	2386.551515405343
SUPT5H	GSM4735788	2163.073189763319
SUPT5H	GSM4735789	2232.956010795887
SUPT5H	GSM4735790	1349.6142440613028
SUPT5H	GSM4735791	2401.414903490112
SUPT5H	GSM4735792	1540.36510707767
SUPT5H	GSM4735793	1379.8587481931022
SUPT5H	GSM4735794	2487.8322747245165
SUPT5H	GSM4735795	1656.5016138698431
SUPT5H	GSM4735796	1207.1299436282577
SUPT5H	GSM4735797	711.0692355299359
SUPT5H	GSM4735798	771.0183178718135
SUPT5H	GSM4735799	1101.5743505783882
SUPT5H	GSM4735800	566.8128151609029
SUPT5H	GSM4735801	1270.3579570431768
SUPT5H	GSM4735802	2196.717451170496
SUPT5H	GSM4735803	2469.01578782053
SUPT5H	GSM4735804	1423.379214542682
SUPT5H	GSM5282507	1746
SUPT5H	GSM5282508	1319.7384073902865
SUPT5H	GSM5282509	1704.1503980403047
SUPT5H	GSM5282510	753.142141038721
