Gene	sample	counts
T	GSM1022678	1.010650267145594
T	GSM1022679	2.1616592862363277
T	GSM1022680	1.0228445664573578
T	GSM1022681	1.023487244357908
T	GSM1022682	7.063853186905301
T	GSM1022683	1.0152493201196748
T	GSM1022684	1.0419408454465733
T	GSM1022685	1.0268260621954932
T	GSM1022686	1.048277755164012
T	GSM1022687	1.080412911353207
T	GSM1022688	1.0432607562473546
T	GSM1022689	1.0212700412974676
T	GSM1022690	1.079843385051915
T	GSM1022691	1.067908644246083
T	GSM1022692	1.0172824963691265
T	GSM1022693	1.0091218838436145
T	GSM1022694	1.0423146986582486
T	GSM1022695	1.022581557181457
T	GSM1385778	1.001514567592329
T	GSM1385779	1.052358251410889
T	GSM1385780	1.0469231004598798
T	GSM1385781	1.0080868452623672
T	GSM1385782	1.0050401373437077
T	GSM1385783	1.0443602353553707
T	GSM1415906	1.001514567592329
T	GSM1415907	1.0069631126805123
T	GSM1415908	1.013974710299226
T	GSM1415909	1.0069631126805123
T	GSM1415910	1.0075958118807733
T	GSM1415911	1.0045505879962513
T	GSM1415912	1.1235925034328906
T	GSM1415913	1.1334188904283546
T	GSM1415914	1.086773852521356
T	GSM1415915	2.1437079191389223
T	GSM1415916	1.0717564809270177
T	GSM1415917	1.087295576280627
T	GSM1415918	1.0934321088575003
T	GSM1415919	1.0935295718899114
T	GSM1415920	1.0760262278806771
T	GSM1415921	1.0522929992388903
T	GSM2769390	1.0476453445591134
T	GSM2769391	1.0368437150858465
T	GSM2769392	1.033326703689763
T	GSM2769393	1.0303488943225554
T	GSM2769394	1.0155104435348865
T	GSM2769395	1.0397118660865767
T	GSM2769396	1.0223186155344817
T	GSM2769397	1.0460250461958456
T	GSM2769398	1.0481558953476182
T	GSM3103946	1.0069631126805123
T	GSM3103947	0.8967023540668838
T	GSM3103948	0.6896249220822664
T	GSM3103949	0.8376040364052322
T	GSM3103950	1.2876911186149385
T	GSM3103951	1
T	GSM3103952	1
T	GSM3103953	1.0069631126805123
T	GSM3103954	1
T	GSM3103955	0.5259235784078222
T	GSM3103956	1.0228168238050332
T	GSM3103957	1.0142355058831722
T	GSM3103958	1.019228895401757
T	GSM3103959	2
T	GSM3103960	1
T	GSM3103961	0.8663010885595585
T	GSM3103962	1.0060720477616854
T	GSM3103963	1.0226627588381034
T	GSM3103964	1.0069631126805123
T	GSM3103965	1
T	GSM4260265	1.0263259010476733
T	GSM4260266	1.017949289364482
T	GSM4260267	1.0377901820927629
T	GSM4260268	1.038948316513042
T	GSM4260269	1.0234594842742062
T	GSM4260270	1.021939447988662
T	GSM4260271	1.0506731423640414
T	GSM4260272	1.0485732304058435
T	GSM4260273	1.017048502742336
T	GSM4260274	8.420865332191289
T	GSM4260275	1.0472567835878563
T	GSM4260276	1.022581557181457
T	GSM4735785	1.0764546598252551
T	GSM4735786	1.0407613618149296
T	GSM4735787	1.0355419942618784
T	GSM4735788	1.046061014447033
T	GSM4735789	1.0406685081874067
T	GSM4735790	1.0412038995555892
T	GSM4735791	1.0533448551613187
T	GSM4735792	2.1325991341744226
T	GSM4735793	1.0633137867624505
T	GSM4735794	1.0496557983164967
T	GSM4735795	1.040400915749839
T	GSM4735796	1.0902861903587755
T	GSM4735797	1.076151327934158
T	GSM4735798	1.1025281268115683
T	GSM4735799	1.0835219303580144
T	GSM4735800	1.1001966655378004
T	GSM4735801	1.064077087569082
T	GSM4735802	1.0375233297739646
T	GSM4735803	1.0325222969875112
T	GSM4735804	1.058682572589556
T	GSM5282507	1.0030314290996496
T	GSM5282508	1.0203939923164922
T	GSM5282509	1.008488226377649
T	GSM5282510	1.0507016405848535
T	GSM5282511	1.030203714172055
T	GSM5282512	1.022581557181457
T	GSM5282513	1.0161485132291883
T	GSM5282514	1.0039198009821009
T	GSM5282515	1.0238669861786047
T	GSM5282516	1.0330890196011069
T	GSM5282517	1.0281447131263994
T	GSM5282518	1.0030314290996496
T	GSM5282519	1.0551829285636198
T	GSM5282520	1.0221745668813695
T	GSM5282521	1.0229609629673868
T	GSM5282522	1.022581557181457
T	GSM5282523	1.001514567592329
T	GSM5282524	7.077999523420487
T	GSM5282525	2.0121440955233707
T	GSM5282526	2.008130258786811
T	GSM5282527	1.011545386933744
T	GSM5282528	1.0195819146668483
T	GSM5282529	1.0045505879962513
T	GSM5282530	1.018588891444416
T	GSM5282531	1.0256814406706618
T	GSM5282532	1.0100156499625657
T	GSM5282533	1
T	GSM5282534	1.008488226377649
T	GSM5282535	2.0157099336078814
T	GSM5282536	1.0142079967347273
T	GSM4260927	5
T	GSM4260928	1.3619498507840526
T	GSM4260929	1.2488747214467275
T	GSM4260930	3
T	GSM4260931	1.0030314290996496
T	GSM4260932	2.001448397279996
T	GSM4260933	2.488844294873261
T	GSM4260934	1
T	GSM4260935	2.0121440955233707
T	GSM4260936	1.0121809652873912
T	GSM4260937	2
T	GSM4260938	1.0402543192305806
T	GSM4260939	1
T	GSM4260940	1.0068977674964592
T	GSM4260941	1
T	GSM4260942	0.9348657973525818
T	GSM4260943	2.0274279635499752
T	GSM4260944	1.595025061482486
T	GSM4260945	1.0045505879962513
T	GSM4260946	1.185709916491347
T	GSM4260947	1.020131613169304
T	GSM4260948	1.5148088706179217
T	GSM4260949	1.0254177019347264
T	GSM4260950	1
T	GSM4260951	0.8327314063362963
T	GSM4260952	3.675578969468169
T	GSM4260953	0.950807715106774
T	GSM4260954	1.0060720477616854
T	GSM4260955	1.0380571030463166
T	GSM4260956	2.037177782888832
T	GSM4260957	1.7141541815395236
T	GSM4260958	2.0760578955675597
T	GSM4260959	1.0133380056000534
T	GSM4260960	1.0054403053779657
T	GSM4260961	5.007572837961645
T	GSM4260962	2.003029135184658
T	GSM4260963	1
T	GSM4260964	4
T	GSM4260965	3.125489564130803
T	GSM4260966	0.9575856393853734
T	GSM4260967	5.76133762257617
T	GSM4260968	2
T	GSM4260969	1.001514567592329
T	GSM4260970	0.7556180269413993
T	GSM4260971	7.308189882183784
T	GSM4260972	1.0100156499625657
T	GSM4260973	1.0045505879962513
T	GSM4260974	2.0304986402393497
T	GSM4260975	5
T	GSM4260976	4
T	GSM4260977	1.030083955420294
T	GSM4260978	1
T	GSM4260979	0.9659022676895452
T	GSM4260980	0.8185160417117352
T	GSM4260981	0.7168986813547558
T	GSM4260982	2.006062858199299
T	GSM4260983	1.012441299517841
T	GSM4260984	2.3437306248919816
T	GSM4260985	1.4616668244313948
T	GSM4260986	2.29099523112304
T	GSM4260987	1.0483036053864592
T	GSM4260988	1.011545386933744
T	GSM4260989	2
T	GSM4260990	2.76221206240602
T	GSM4260991	2
T	GSM4260992	0.7363465984995787
T	GSM4260993	3.0411419453249633
T	GSM4260994	0.9533906849241084
T	GSM4260995	1.024393733689704
T	GSM4260996	1.6227645711424776
T	GSM4260997	1
T	GSM4260998	3.173309567792155
T	GSM4260999	2
T	GSM4261000	1.0176875388363185
T	GSM4261001	1
T	GSM4261002	1.0681892188344573
T	GSM4261003	1.0024015960102846
T	GSM4261004	1.0388275412218857
T	GSM4261005	1
T	GSM4261006	1.017048502742336
T	GSM4261007	1.0562402757910372
T	GSM4261008	1
T	GSM4261009	1.0261812877525094
T	GSM4261010	2.1129665726365823
T	GSM4261011	1.0121809652873912
T	GSM4261012	1.1800703863209208
T	GSM4261013	3.0949322615896553
T	GSM4261014	2.0542728081775277
T	GSM4261015	2.021300534291188
T	GSM4261016	1
T	GSM4261017	1.0100156499625657
