Gene	sample	counts
TAS2R31	GSM1022678	39.41536041867816
TAS2R31	GSM1022679	53.15640406061267
TAS2R31	GSM1022680	42.959471791209026
TAS2R31	GSM1022681	39.93081246096558
TAS2R31	GSM1022682	52.52081379805342
TAS2R31	GSM1022683	45.65753167748901
TAS2R31	GSM1022684	40.82201291226136
TAS2R31	GSM1022685	40.08733329886616
TAS2R31	GSM1022686	40.90487406615188
TAS2R31	GSM1022687	42.69745740176616
TAS2R31	GSM1022688	40.93057558469067
TAS2R31	GSM1022689	45.94658087080032
TAS2R31	GSM1022690	45.793516034524494
TAS2R31	GSM1022691	41.86821290510891
TAS2R31	GSM1022692	39.62979201593834
TAS2R31	GSM1022693	39.331040828728305
TAS2R31	GSM1022694	40.65799676788285
TAS2R31	GSM1022695	39.85455746555011
TAS2R31	GSM1385778	41
TAS2R31	GSM1385779	43.15020459355327
TAS2R31	GSM1385780	42.60014130082524
TAS2R31	GSM1385781	41.32205363896156
TAS2R31	GSM1385782	40.182023519850055
TAS2R31	GSM1385783	43.5626674913215
TAS2R31	GSM1415906	41
TAS2R31	GSM1415907	41.2489539582291
TAS2R31	GSM1415908	41.536175072593515
TAS2R31	GSM1415909	39.236809862705734
TAS2R31	GSM1415910	39.27156139453998
TAS2R31	GSM1415911	42.12732002218529
TAS2R31	GSM1415912	44.85610979514093
TAS2R31	GSM1415913	45.37912198491628
TAS2R31	GSM1415914	48.591557866744864
TAS2R31	GSM1415915	42.12088746696848
TAS2R31	GSM1415916	42.31641602586945
TAS2R31	GSM1415917	46.51115644978853
TAS2R31	GSM1415918	43.543571188875895
TAS2R31	GSM1415919	43.425091456830295
TAS2R31	GSM1415920	48.03958256095828
TAS2R31	GSM1415921	43.519059169667266
TAS2R31	GSM2769390	41.926446234607816
TAS2R31	GSM2769391	41.19775926759296
TAS2R31	GSM2769392	43.84057528142103
TAS2R31	GSM2769393	40.2650815778319
TAS2R31	GSM2769394	39.70317480400985
TAS2R31	GSM2769395	44.37459580710328
TAS2R31	GSM2769396	44.730785345852894
TAS2R31	GSM2769397	49.05715100348789
TAS2R31	GSM2769398	40.85816843780542
TAS2R31	GSM3103946	1.0100156499625657
TAS2R31	GSM3103947	38.41139257334826
TAS2R31	GSM3103948	62.343278193810825
TAS2R31	GSM3103949	0.8474829054317209
TAS2R31	GSM3103950	32.60700803640222
TAS2R31	GSM3103951	51
TAS2R31	GSM3103952	52.23663057580507
TAS2R31	GSM3103953	57.570892047866245
TAS2R31	GSM3103954	30.090942872989487
TAS2R31	GSM3103955	16.955853046902146
TAS2R31	GSM3103956	21.58548716092793
TAS2R31	GSM3103957	44.710534582084286
TAS2R31	GSM3103958	47.13959534476829
TAS2R31	GSM3103959	37.11216287668704
TAS2R31	GSM3103960	52
TAS2R31	GSM3103961	83.32975623932087
TAS2R31	GSM3103962	90.6836230692696
TAS2R31	GSM3103963	2.0544698090815094
TAS2R31	GSM3103964	29.30885774722222
TAS2R31	GSM3103965	28
TAS2R31	GSM4260265	42.78073344066548
TAS2R31	GSM4260266	44.468611754406126
TAS2R31	GSM4260267	49.45472898620853
TAS2R31	GSM4260268	38.75291045087592
TAS2R31	GSM4260269	44.69273966513235
TAS2R31	GSM4260270	44.53596247264521
TAS2R31	GSM4260271	40.34399605415629
TAS2R31	GSM4260272	39.56250768183364
TAS2R31	GSM4260273	41.285487619901005
TAS2R31	GSM4260274	35.05934432206896
TAS2R31	GSM4260275	40.362992885126914
TAS2R31	GSM4260276	38.414587891784386
TAS2R31	GSM4735785	41.36690470434878
TAS2R31	GSM4735786	57.568203779843856
TAS2R31	GSM4735787	39.49867490653442
TAS2R31	GSM4735788	40.03739951826894
TAS2R31	GSM4735789	42.72104360365439
TAS2R31	GSM4735790	39.91077141971168
TAS2R31	GSM4735791	43.27824661234927
TAS2R31	GSM4735792	43.82718208895522
TAS2R31	GSM4735793	40.805161425165664
TAS2R31	GSM4735794	43.056615982990785
TAS2R31	GSM4735795	42.554239454049856
TAS2R31	GSM4735796	44.62788790690582
TAS2R31	GSM4735797	52.63201290176263
TAS2R31	GSM4735798	42.217141324393246
