Gene	sample	counts
TFB2M	GSM1022678	250.64126625210727
TFB2M	GSM1022679	29.290263461970245
TFB2M	GSM1022680	190.24908936106857
TFB2M	GSM1022681	288.7304901023665
TFB2M	GSM1022682	29.290453848914407
TFB2M	GSM1022683	229.3022702025004
TFB2M	GSM1022684	116.18572905797464
TFB2M	GSM1022685	155.20993149048178
TFB2M	GSM1022686	204.5243703307594
TFB2M	GSM1022687	97.43778740403047
TFB2M	GSM1022688	123.84122869214102
TFB2M	GSM1022689	224.62772870169044
TFB2M	GSM1022690	164.638593362219
TFB2M	GSM1022691	197.53208139846257
TFB2M	GSM1022692	245.90794020146356
TFB2M	GSM1022693	279.35123870660874
TFB2M	GSM1022694	244.9904933449351
TFB2M	GSM1022695	227.88631576455575
TFB2M	GSM1385778	301
TFB2M	GSM1385779	141.31692004388697
TFB2M	GSM1385780	87.33028966669175
TFB2M	GSM1385781	218.70452779645512
TFB2M	GSM1385782	260.1786022910291
TFB2M	GSM1385783	105.1879044302641
TFB2M	GSM1415906	307
TFB2M	GSM1415907	281.7001733732719
TFB2M	GSM1415908	248.20397299476616
TFB2M	GSM1415909	266.60909265684666
TFB2M	GSM1415910	278.9287822125019
TFB2M	GSM1415911	306.9276173044928
TFB2M	GSM1415912	115.015666141387
TFB2M	GSM1415913	116.35672303824688
TFB2M	GSM1415914	150.19208795175686
TFB2M	GSM1415915	166.32350435674735
TFB2M	GSM1415916	132.3744296193865
TFB2M	GSM1415917	140.64087783626533
TFB2M	GSM1415918	118.34919348771398
TFB2M	GSM1415919	142.52337708908405
TFB2M	GSM1415920	139.7515129046059
TFB2M	GSM1415921	145.41734405474182
TFB2M	GSM2769390	194.58171201189785
TFB2M	GSM2769391	220.77773556222897
TFB2M	GSM2769392	223.37816929105003
TFB2M	GSM2769393	266.36900120719565
TFB2M	GSM2769394	267.7419223962715
TFB2M	GSM2769395	254.62565689314025
TFB2M	GSM2769396	103.6940933017499
TFB2M	GSM2769397	59.49484270635765
TFB2M	GSM2769398	47.1440405051601
TFB2M	GSM3103946	114.13176844576994
TFB2M	GSM3103947	164.62025388577823
TFB2M	GSM3103948	113.22112591519668
TFB2M	GSM3103949	213.56569216879365
TFB2M	GSM3103950	155.04965045881056
TFB2M	GSM3103951	203
TFB2M	GSM3103952	88.40045174367012
TFB2M	GSM3103953	142.41220664472178
TFB2M	GSM3103954	131.3971172120541
TFB2M	GSM3103955	202.94036615511004
TFB2M	GSM3103956	133.62444432955385
TFB2M	GSM3103957	228.63341547656736
TFB2M	GSM3103958	76.85803588820917
TFB2M	GSM3103959	140.42440007395095
TFB2M	GSM3103960	158
TFB2M	GSM3103961	152.32321032994136
TFB2M	GSM3103962	235.77741998010097
TFB2M	GSM3103963	158.19417529927625
TFB2M	GSM3103964	144.5229882018199
TFB2M	GSM3103965	219
TFB2M	GSM4260265	126.3050225391076
TFB2M	GSM4260266	316.3335336165709
TFB2M	GSM4260267	93.64831659090552
TFB2M	GSM4260268	116.25873135262776
TFB2M	GSM4260269	255.96750899121255
TFB2M	GSM4260270	151.8271447931087
TFB2M	GSM4260271	66.51307457577118
TFB2M	GSM4260272	153.973002869839
TFB2M	GSM4260273	156.0792824654794
TFB2M	GSM4260274	88.02133255327952
TFB2M	GSM4260275	193.31749223929208
TFB2M	GSM4260276	181.96383738213655
TFB2M	GSM4735785	151.3157829974863
TFB2M	GSM4735786	127.69674292983544
TFB2M	GSM4735787	194.37505809268256
TFB2M	GSM4735788	139.07728253714473
TFB2M	GSM4735789	156.29650098897946
TFB2M	GSM4735790	115.53118042548118
TFB2M	GSM4735791	206.8911301468404
TFB2M	GSM4735792	152.86065948099017
