Gene	sample	counts
TIE1	GSM1022678	70.74551870019157
TIE1	GSM1022679	5.424122863327823
TIE1	GSM1022680	15.342668496860366
TIE1	GSM1022681	53.241083281287445
TIE1	GSM1022682	40.40062599850263
TIE1	GSM1022683	24.35068356132747
TIE1	GSM1022684	5.233591399007866
TIE1	GSM1022685	1.027880340996568
TIE1	GSM1022686	5.244214623865626
TIE1	GSM1022687	12.042872600498148
TIE1	GSM1022688	6.29701162841395
TIE1	GSM1022689	33.69415930525357
TIE1	GSM1022690	5.451609051729107
TIE1	GSM1022691	1.0735439206438182
TIE1	GSM1022692	31.500603910104836
TIE1	GSM1022693	18.15278807479768
TIE1	GSM1022694	11.46764011401824
TIE1	GSM1022695	22.482058057489805
TIE1	GSM1385778	19
TIE1	GSM1385779	17.26008183742131
TIE1	GSM1385780	15.975052987809468
TIE1	GSM1385781	18.14138940247093
TIE1	GSM1385782	19.086461171928775
TIE1	GSM1385783	17.000065362466923
TIE1	GSM1415906	55
TIE1	GSM1415907	30.182161432850563
TIE1	GSM1415908	24.31385857907913
TIE1	GSM1415909	22.13358505075708
TIE1	GSM1415910	41.285487619901005
TIE1	GSM1415911	23.06972286929194
TIE1	GSM1415912	1.15015666141387
TIE1	GSM1415913	1.163567230382469
TIE1	GSM1415914	13.25224305456678
TIE1	GSM1415915	45.360955733658365
TIE1	GSM1415916	18.445617242045657
TIE1	GSM1415917	18.825944277295356
TIE1	GSM1415918	5.582509126778961
TIE1	GSM1415919	1.1134638835084691
TIE1	GSM1415920	12.00989564023957
TIE1	GSM1415921	4.245761870211441
TIE1	GSM2769390	18.27563040995725
TIE1	GSM2769391	17.957997629463602
TIE1	GSM2769392	17.744994756765657
TIE1	GSM2769393	17.55144581597801
TIE1	GSM2769394	20.36060246359479
TIE1	GSM2769395	17.961145921922757
TIE1	GSM2769396	18.298957641485277
TIE1	GSM2769397	18.787845065165577
TIE1	GSM2769398	18.85761620206404
TIE1	GSM3103946	3.0300469498876974
TIE1	GSM3103947	11.88924055841732
TIE1	GSM3103948	27.946986776535887
TIE1	GSM3103949	28.81441878467851
TIE1	GSM3103950	16.63622859000113
TIE1	GSM3103951	12
TIE1	GSM3103952	17.077359995936273
TIE1	GSM3103953	3.0300469498876974
TIE1	GSM3103954	9.027282861896849
TIE1	GSM3103955	21.19481630862768
TIE1	GSM3103956	9.250923068969112
TIE1	GSM3103957	12.19378215875026
TIE1	GSM3103958	23.569797672384144
TIE1	GSM3103959	17.051534294694044
TIE1	GSM3103960	82
TIE1	GSM3103961	5.376113305762637
TIE1	GSM3103962	1.0075958118807733
TIE1	GSM3103963	1.0272349045407547
TIE1	GSM3103964	11.117152938601532
TIE1	GSM3103965	25
TIE1	GSM4260265	14.260244480221823
TIE1	GSM4260266	22.234305877203063
TIE1	GSM4260267	10.52228276302309
TIE1	GSM4260268	13.615887455713162
TIE1	GSM4260269	34.535298832147724
TIE1	GSM4260270	13.158352548736085
TIE1	GSM4260271	13.084539260807446
TIE1	GSM4260272	10.69256964373882
TIE1	GSM4260273	15.104446690207684
TIE1	GSM4260274	32.07557033721203
TIE1	GSM4260275	10.621840232928136
TIE1	GSM4260276	13.141832699820974
TIE1	GSM4735785	7.620219287643196
TIE1	GSM4735786	7.326862299252854
TIE1	GSM4735787	7.276071693308972
TIE1	GSM4735788	14.750620875151714
TIE1	GSM4735789	9.377790059338768
TIE1	GSM4735790	10.502834584134652
TIE1	GSM4735791	9.500102914905938
TIE1	GSM4735792	7.482689624943574
TIE1	GSM4735793	7.516740262530518
TIE1	GSM4735794	7.351129558071598
TIE1	GSM4735795	13.492807631771903
TIE1	GSM4735796	7.619395496300993
TIE1	GSM4735797	29.00131323158349
TIE1	GSM4735798	19.99759325892311
TIE1	GSM4735799	40.998849482839134
TIE1	GSM4735800	23.29367733537957
TIE1	GSM4735801	11.6643885872078
TIE1	GSM4735802	61.99578883830187
TIE1	GSM4735803	76.4465139325185
TIE1	GSM4735804	14.871126122087723
TIE1	GSM5282507	16
TIE1	GSM5282508	11.323808487748169
TIE1	GSM5282509	11.033345720096143
TIE1	GSM5282510	11.852022248105763
TIE1	GSM5282511	11.534305534464275
TIE1	GSM5282512	14.468612535210353
TIE1	GSM5282513	18.346120117231624
TIE1	GSM5282514	16
TIE1	GSM5282515	11.306683750962248
TIE1	GSM5282516	11.579119561072943
TIE1	GSM5282517	20.86335547049397
TIE1	GSM5282518	20
TIE1	GSM5282519	12.033614702865412
TIE1	GSM5282520	16.660585279748982
TIE1	GSM5282521	11.297991794798252
TIE1	GSM5282522	33.94048911199104
TIE1	GSM5282523	16
TIE1	GSM5282524	42.42065729842776
TIE1	GSM5282525	20
TIE1	GSM5282526	25
TIE1	GSM5282527	11.06679252537854
TIE1	GSM5282528	11.245504770879297
TIE1	GSM5282529	20
TIE1	GSM5282530	16.319805962772755
TIE1	GSM5282531	18.595097983585585
TIE1	GSM5282532	18.07055641767781
TIE1	GSM5282533	25.375192304052003
TIE1	GSM5282534	22.06669144019229
TIE1	GSM5282535	14
TIE1	GSM5282536	11.150853799524866
TIE1	GSM4260927	52
TIE1	GSM4260928	14.032521694374138
TIE1	GSM4260929	25.14577540448905
TIE1	GSM4260930	13
TIE1	GSM4260931	10.01514567592329
TIE1	GSM4260932	20
TIE1	GSM4260933	32.40179659572694
TIE1	GSM4260934	28
TIE1	GSM4260935	23.16794799774282
TIE1	GSM4260936	10.146118150553114
TIE1	GSM4260937	20
TIE1	GSM4260938	5.237488636358864
TIE1	GSM4260939	10
TIE1	GSM4260940	5.030360238808427
TIE1	GSM4260941	28
TIE1	GSM4260942	14.221778895552816
TIE1	GSM4260943	13.181671233889938
TIE1	GSM4260944	22.471822719914424
TIE1	GSM4260945	36.163821167865045
TIE1	GSM4260946	25.452476400986004
TIE1	GSM4260947	5.114222832286789
TIE1	GSM4260948	11.47856261195784
TIE1	GSM4260949	26.733885270166244
TIE1	GSM4260950	31
TIE1	GSM4260951	26.22224580712535
TIE1	GSM4260952	28.417389631408344
TIE1	GSM4260953	19.033255495627955
TIE1	GSM4260954	1.0060720477616854
TIE1	GSM4260955	15.657348314793229
TIE1	GSM4260956	18.37390655620616
TIE1	GSM4260957	20.07870267326827
TIE1	GSM4260958	13.569701872820795
TIE1	GSM4260959	7.114869075426071
TIE1	GSM4260960	2.010880610755931
TIE1	GSM4260961	26.0624414962674
TIE1	GSM4260962	10.030314290996497
TIE1	GSM4260963	44
TIE1	GSM4260964	20
TIE1	GSM4260965	5.23554610525131
TIE1	GSM4260966	18.952121562434822
TIE1	GSM4260967	28.96641345896351
TIE1	GSM4260968	10
TIE1	GSM4260969	15.022718513884936
TIE1	GSM4260970	37.23319196637722
TIE1	GSM4260971	69.83200285581755
TIE1	GSM4260972	2.022285578120139
TIE1	GSM4260973	18.054565723793697
TIE1	GSM4260974	5.075531337788356
TIE1	GSM4260975	18
TIE1	GSM4260976	13
TIE1	GSM4260977	13.455488639229138
TIE1	GSM4260978	10
TIE1	GSM4260979	14.19164323017018
TIE1	GSM4260980	34.66749762871853
TIE1	GSM4260981	24.6662881101742
