Gene	sample	counts
TMC5	GSM1022678	75.80513592253918
TMC5	GSM1022679	52.06989134547973
TMC5	GSM1022680	54.20929166166676
TMC5	GSM1022681	57.336551226001866
TMC5	GSM1022682	50.50078249812829
TMC5	GSM1022683	56.81826164309744
TMC5	GSM1022684	63.849815067895975
TMC5	GSM1022685	187.0742220613754
TMC5	GSM1022686	45.096886734863425
TMC5	GSM1022687	45.97940641960297
TMC5	GSM1022688	76.61364147903639
TMC5	GSM1022689	49.00968626218701
TMC5	GSM1022690	42.5247525976242
TMC5	GSM1022691	166.39930769979182
TMC5	GSM1022692	131.0831582065653
TMC5	GSM1022693	42.35650550786125
TMC5	GSM1022694	194.94459430520072
TMC5	GSM1022695	157.33820740338018
TMC5	GSM1385778	83
TMC5	GSM1385779	66.87384530694406
TMC5	GSM1385780	46.85620131589569
TMC5	GSM1385781	62.48700794184432
TMC5	GSM1385782	91.41410350765888
TMC5	GSM1385783	53.1152900102492
TMC5	GSM1415906	53
TMC5	GSM1415907	137.8318705433509
TMC5	GSM1415908	69.90234341485251
TMC5	GSM1415909	109.66185320602372
TMC5	GSM1415910	38.26459828185947
TMC5	GSM1415911	47.14247716768353
TMC5	GSM1415912	66.70612954946317
TMC5	GSM1415913	27.921678702056784
TMC5	GSM1415914	54.11146514824313
TMC5	GSM1415915	127.43947615198152
TMC5	GSM1415916	135.63710234993837
TMC5	GSM1415917	132.88901842796724
TMC5	GSM1415918	62.52134429791893
TMC5	GSM1415919	87.96752702207311
TMC5	GSM1415920	92.80944742930409
TMC5	GSM1415921	56.254957549523056
TMC5	GSM2769390	49.45304713206858
TMC5	GSM2769391	57.04205888145893
TMC5	GSM2769392	54.27880749128318
TMC5	GSM2769393	75.366098596704
TMC5	GSM2769394	144.54879908975647
TMC5	GSM2769395	95.08515002195578
TMC5	GSM2769396	36.59917372607823
TMC5	GSM2769397	37.57234112103211
TMC5	GSM2769398	35.61612838172002
TMC5	GSM3103946	77.77120504711756
TMC5	GSM3103947	49.363189278615515
TMC5	GSM3103948	77.37936178669365
TMC5	GSM3103949	196.6160340601592
TMC5	GSM3103950	52.56458389120546
TMC5	GSM3103951	91
TMC5	GSM3103952	32.13624802206064
TMC5	GSM3103953	90.90140849663092
TMC5	GSM3103954	54.16369717138108
TMC5	GSM3103955	48.215401670917274
TMC5	GSM3103956	38.03157261687302
TMC5	GSM3103957	100.59870280968964
TMC5	GSM3103958	56.359092983441975
TMC5	GSM3103959	32.09700573118879
TMC5	GSM3103960	62
TMC5	GSM3103961	61.84819087198271
TMC5	GSM3103962	52.39498221780021
TMC5	GSM3103963	67.79750369968981
TMC5	GSM3103964	42.44731122011494
TMC5	GSM3103965	105
TMC5	GSM4260265	42.78073344066548
TMC5	GSM4260266	43.45796148726053
TMC5	GSM4260267	42.085685383776735
TMC5	GSM4260268	41.895038325271265
TMC5	GSM4260269	39.614019248640034
TMC5	GSM4260270	40.48723861149565
TMC5	GSM4260271	43.61394789449425
TMC5	GSM4260272	45.97646853731902
TMC5	GSM4260273	46.320303183303565
TMC5	GSM4260274	63.39862958911056
TMC5	GSM4260275	44.61093057505616
TMC5	GSM4260276	39.42549809946292
TMC5	GSM4735785	42.45898340637056
TMC5	GSM4735786	43.96271728279112
TMC5	GSM4735787	44.70284784988368
TMC5	GSM4735788	42.14797771334777
TMC5	GSM4735789	58.34247186377498
TMC5	GSM4735790	40.963451634401345
TMC5	GSM4735791	58.05156229719774
TMC5	GSM4735792	58.787321333031294
TMC5	GSM4735793	47.24808165019183
TMC5	GSM4735794	59.85919783001158
TMC5	GSM4735795	305.11031353527227
TMC5	GSM4735796	67.48569117299448
TMC5	GSM4735797	65.5140301575684
TMC5	GSM4735798	42.22256392366043
TMC5	GSM4735799	61.49282375869063
TMC5	GSM4735800	42.15754719109129
TMC5	GSM4735801	58.320929010377945
TMC5	GSM4735802	60.95918833197241
TMC5	GSM4735803	40.28937896443543
TMC5	GSM4735804	41.428194310774025
TMC5	GSM5282507	41
TMC5	GSM5282508	42.21777821935412
