Gene	sample	counts
TNIP1	GSM1022678	3132.0051778841953
TNIP1	GSM1022679	1364.7093124132805
TNIP1	GSM1022680	5522.337814303274
TNIP1	GSM1022681	2869.899162258629
TNIP1	GSM1022682	767.61189397155
TNIP1	GSM1022683	5354.106548046878
TNIP1	GSM1022684	3216.5652738302347
TNIP1	GSM1022685	3030.1912452578827
TNIP1	GSM1022686	3638.436106037971
TNIP1	GSM1022687	2508.2019207037506
TNIP1	GSM1022688	4194.8592464617595
TNIP1	GSM1022689	2678.1751472024275
TNIP1	GSM1022690	7757.639680610519
TNIP1	GSM1022691	2872.8035316428577
TNIP1	GSM1022692	4372.487052425197
TNIP1	GSM1022693	9456.594098743211
TNIP1	GSM1022694	3234.9170248907812
TNIP1	GSM1022695	5207.662175498547
TNIP1	GSM1385778	4325
TNIP1	GSM1385779	3585.782001724277
TNIP1	GSM1385780	3738.1623991474153
TNIP1	GSM1385781	3929.6265155685646
TNIP1	GSM1385782	4024.229655512983
TNIP1	GSM1385783	3758.0769491903447
TNIP1	GSM1415906	9658
TNIP1	GSM1415907	7599.868248791771
TNIP1	GSM1415908	5382.480442943643
TNIP1	GSM1415909	5597.784873746018
TNIP1	GSM1415910	4906.931248092136
TNIP1	GSM1415911	5845.667168792758
TNIP1	GSM1415912	2904.1455700700217
TNIP1	GSM1415913	2750.672932624156
TNIP1	GSM1415914	2936.4761901744228
TNIP1	GSM1415915	2758.378117708654
TNIP1	GSM1415916	3180.2414197903427
TNIP1	GSM1415917	2625.6655224392525
TNIP1	GSM1415918	2552.323172763341
TNIP1	GSM1415919	2605.5054874098178
TNIP1	GSM1415920	2742.623440752891
TNIP1	GSM1415921	2710.9189541300047
TNIP1	GSM2769390	3705.652824889568
TNIP1	GSM2769391	1847.5610502312843
TNIP1	GSM2769392	4545.850127394967
TNIP1	GSM2769393	5592.716587361933
TNIP1	GSM2769394	4663.595994286387
TNIP1	GSM2769395	3727.466047796676
TNIP1	GSM2769396	2926.8166138797837
TNIP1	GSM2769397	4639.553961925611
TNIP1	GSM2769398	4190.581378236453
TNIP1	GSM3103946	3162.3590000327936
TNIP1	GSM3103947	5186.4525543680475
TNIP1	GSM3103948	3770.693446618765
TNIP1	GSM3103949	5180.663000904109
TNIP1	GSM3103950	2334.395595748959
TNIP1	GSM3103951	2943
TNIP1	GSM3103952	3970.9884743491816
TNIP1	GSM3103953	1821.058216882506
TNIP1	GSM3103954	3526.658504714368
TNIP1	GSM3103955	4056.1579710636224
TNIP1	GSM3103956	3963.5065948827664
TNIP1	GSM3103957	1009.035473636584
TNIP1	GSM3103958	1610.9444322168642
TNIP1	GSM3103959	4204.707750785731
TNIP1	GSM3103960	5638
TNIP1	GSM3103961	4144.087339858699
TNIP1	GSM3103962	2991.551965474016
TNIP1	GSM3103963	1286.098100485025
TNIP1	GSM3103964	2962.2159330037352
TNIP1	GSM3103965	4676
TNIP1	GSM4260265	5713.26509211173
TNIP1	GSM4260266	3780.8426493916663
TNIP1	GSM4260267	3373.443853825203
TNIP1	GSM4260268	4801.171392076088
TNIP1	GSM4260269	4019.299337612016
TNIP1	GSM4260270	4533.558543522225
TNIP1	GSM4260271	3512.1084132550654
TNIP1	GSM4260272	3091.221884004893
TNIP1	GSM4260273	4191.987438088972
TNIP1	GSM4260274	2783.8611278715184
TNIP1	GSM4260275	3203.547014251126
TNIP1	GSM4260276	3846.5133402168312
TNIP1	GSM4735785	4167.17134758545
TNIP1	GSM4735786	4821.075392908378
