Gene	sample	counts
TP53TG3GP	GSM1022678	1.013771518848965
TP53TG3GP	GSM1022679	1.121552432745876
TP53TG3GP	GSM1022680	1.0277326924293382
TP53TG3GP	GSM1022681	1.0299921210590168
TP53TG3GP	GSM1022682	3.0370846976310575
TP53TG3GP	GSM1022683	1.0177323697119474
TP53TG3GP	GSM1022684	1.0622642381309608
TP53TG3GP	GSM1022685	1.0377328679372595
TP53TG3GP	GSM1022686	1.064467926310489
TP53TG3GP	GSM1022687	1.1313477227819897
TP53TG3GP	GSM1022688	1.065425427409442
TP53TG3GP	GSM1022689	1.0268090659069042
TP53TG3GP	GSM1022690	1.1264867493652244
TP53TG3GP	GSM1022691	1.1019042413337483
TP53TG3GP	GSM1022692	1.0191498027987893
TP53TG3GP	GSM1022693	1.0106385913341225
TP53TG3GP	GSM1022694	1.056234487088057
TP53TG3GP	GSM1022695	1.0268090659069042
TP53TG3GP	GSM1385778	1
TP53TG3GP	GSM1385779	1.1010498670455962
TP53TG3GP	GSM1385780	1.0838243203305329
TP53TG3GP	GSM1385781	1.0084216173196312
TP53TG3GP	GSM1385782	1.0053052229716717
TP53TG3GP	GSM1385783	1.080481580454705
TP53TG3GP	GSM1415906	1
TP53TG3GP	GSM1415907	1.0084216173196312
TP53TG3GP	GSM1415908	1.0169141582775405
TP53TG3GP	GSM1415909	1.0053052229716717
TP53TG3GP	GSM1415910	1.0066333406488122
TP53TG3GP	GSM1415911	1.0053052229716717
TP53TG3GP	GSM1415912	1.2144782022585594
TP53TG3GP	GSM1415913	1.2376800740232663
TP53TG3GP	GSM1415914	1.1433447914197967
TP53TG3GP	GSM1415915	1.107099489315216
TP53TG3GP	GSM1415916	1.1147893847364354
TP53TG3GP	GSM1415917	1.1525442655723448
TP53TG3GP	GSM1415918	1.1641216035965718
TP53TG3GP	GSM1415919	1.1635086650764048
TP53TG3GP	GSM1415920	1.1301370871413436
TP53TG3GP	GSM1415921	1.0828569753747104
TP53TG3GP	GSM2769390	1.0945648030738035
TP53TG3GP	GSM2769391	1.0688566777393549
TP53TG3GP	GSM2769392	1.052182047516338
TP53TG3GP	GSM2769393	1.0383166180633372
TP53TG3GP	GSM2769394	1.0194079414219277
TP53TG3GP	GSM2769395	1.069818126570515
TP53TG3GP	GSM2769396	1.0213903622938192
TP53TG3GP	GSM2769397	1.0576052477160802
TP53TG3GP	GSM2769398	1.063216079371224
TP53TG3GP	GSM3103946	1.0106385913341225
TP53TG3GP	GSM3103947	0.9184196988044276
TP53TG3GP	GSM3103948	0.7077977553334298
TP53TG3GP	GSM3103949	0.8368715838850863
TP53TG3GP	GSM3103950	0.6570789717080296
TP53TG3GP	GSM3103951	1
TP53TG3GP	GSM3103952	1.0053052229716717
TP53TG3GP	GSM3103953	1.0118824951245484
TP53TG3GP	GSM3103954	1.0053052229716717
TP53TG3GP	GSM3103955	0.5237067854096145
TP53TG3GP	GSM3103956	1.0322565169508742
TP53TG3GP	GSM3103957	1.0177323697119474
TP53TG3GP	GSM3103958	1.0277326924293382
TP53TG3GP	GSM3103959	1
TP53TG3GP	GSM3103960	1
TP53TG3GP	GSM3103961	0.9029078365947322
TP53TG3GP	GSM3103962	3.025264851958893
TP53TG3GP	GSM3103963	2.0645130339017483
TP53TG3GP	GSM3103964	1.012361565877019
TP53TG3GP	GSM3103965	1
TP53TG3GP	GSM4260265	1.0213903622938192
TP53TG3GP	GSM4260266	1.0106385913341225
TP53TG3GP	GSM4260267	1.061737358926767
TP53TG3GP	GSM4260268	1.055962388401363
TP53TG3GP	GSM4260269	1.0191498027987893
TP53TG3GP	GSM4260270	1.0149651490033698
TP53TG3GP	GSM4260271	1.1139413335812782
TP53TG3GP	GSM4260272	1.084460786892387
TP53TG3GP	GSM4260273	1.0053052229716717
TP53TG3GP	GSM4260274	0.7554628862173641
TP53TG3GP	GSM4260275	1.074527200739522
TP53TG3GP	GSM4260276	1.012361565877019
TP53TG3GP	GSM4735786	1.0354564589203
TP53TG3GP	GSM4735787	1.0285596084808206
TP53TG3GP	GSM4735788	1.0418861325748268
TP53TG3GP	GSM4735790	1.0409497863123298
TP53TG3GP	GSM4735793	1.0628816047551497
TP53TG3GP	GSM4735798	1.1094482823563114
TP53TG3GP	GSM4735800	1.1037828089768285
TP53TG3GP	GSM4735803	1.023131666858757
TP53TG3GP	GSM4735804	1.044176676968467
TP53TG3GP	GSM4735785	1.0811994844209347
TP53TG3GP	GSM4735789	1.0363878638718522
TP53TG3GP	GSM4735791	1.056822491572205
TP53TG3GP	GSM4735792	1.079498376442762
TP53TG3GP	GSM4735794	1.0497162670616038
TP53TG3GP	GSM4735795	1.0386663205448112
TP53TG3GP	GSM4735796	1.1006471753156897
TP53TG3GP	GSM4735797	1.0882962908423894
TP53TG3GP	GSM4735799	1.0952338007992255
TP53TG3GP	GSM4735801	1.0665119943875787
TP53TG3GP	GSM4735802	1.0312048495995574
TP53TG3GP	GSM5282507	1
TP53TG3GP	GSM5282509	1
TP53TG3GP	GSM5282510	1.0811994844209347
TP53TG3GP	GSM5282511	1.0477400148936675
