Gene	sample	counts
TPRXL	GSM1022678	257.4979657876372
TPRXL	GSM1022679	33.646572982376284
TPRXL	GSM1022680	283.65422311049736
TPRXL	GSM1022681	197.75848724333125
TPRXL	GSM1022682	36.44501637157269
TPRXL	GSM1022683	297.1778519558886
TPRXL	GSM1022684	103.0396310987032
TPRXL	GSM1022685	158.77312879440072
TPRXL	GSM1022686	172.44380406229922
TPRXL	GSM1022687	126.71094495158285
TPRXL	GSM1022688	124.65477500690471
TPRXL	GSM1022689	277.23844779486416
TPRXL	GSM1022690	82.23353270366138
TPRXL	GSM1022691	179.61039133740098
TPRXL	GSM1022692	240.51935346051428
TPRXL	GSM1022693	186.96813939681263
TPRXL	GSM1022694	178.50362831788158
TPRXL	GSM1022695	255.67545741081915
TPRXL	GSM1385778	135
TPRXL	GSM1385779	138.7322832477451
TPRXL	GSM1385780	196.1722019798264
TPRXL	GSM1385781	132.1032318688717
TPRXL	GSM1385782	139.73742599306237
TPRXL	GSM1385783	185.8428318382093
TPRXL	GSM1415906	351
TPRXL	GSM1415907	315.63596622104455
TPRXL	GSM1415908	206.43357413034073
TPRXL	GSM1415909	253.33691618886124
TPRXL	GSM1415910	227.49913498663153
TPRXL	GSM1415911	246.29977962805953
TPRXL	GSM1415912	166.38351370942263
TPRXL	GSM1415913	116.34192695818705
TPRXL	GSM1415914	139.48806455321522
TPRXL	GSM1415915	153.88682901481502
TPRXL	GSM1415916	133.77472616837224
TPRXL	GSM1415917	102.5764396359387
TPRXL	GSM1415918	123.3968899812366
TPRXL	GSM1415919	126.82244449332812
TPRXL	GSM1415920	131.09590210839585
TPRXL	GSM1415921	122.36283821734229
TPRXL	GSM2769390	202.49448856865365
TPRXL	GSM2769391	90.85281760784515
TPRXL	GSM2769392	279.8804246393459
TPRXL	GSM2769393	261.655787751961
TPRXL	GSM2769394	194.70691681158817
TPRXL	GSM2769395	182.93889964355805
TPRXL	GSM2769396	85.79679043268081
TPRXL	GSM2769397	46.534630899507526
TPRXL	GSM2769398	46.78150749233385
TPRXL	GSM3103946	154.62770447412072
TPRXL	GSM3103947	218.58388831545375
TPRXL	GSM3103948	173.4104500566903
TPRXL	GSM3103949	179.92739053529354
TPRXL	GSM3103950	243.776298503679
TPRXL	GSM3103951	178
TPRXL	GSM3103952	178.94432968895754
TPRXL	GSM3103953	102.2001320075794
TPRXL	GSM3103954	127.67376331740228
TPRXL	GSM3103955	174.3943595414016
TPRXL	GSM3103956	58.838621466199825
TPRXL	GSM3103957	95.66684275292306
TPRXL	GSM3103958	99.6900711656458
TPRXL	GSM3103959	158
TPRXL	GSM3103960	162
TPRXL	GSM3103961	174.2612124627833
TPRXL	GSM3103962	168.4064100923784
TPRXL	GSM3103963	134.19334720361363
TPRXL	GSM3103964	59.72933238674413
TPRXL	GSM3103965	230
TPRXL	GSM4260265	119.50267238837684
TPRXL	GSM4260266	118.24471518609232
TPRXL	GSM4260267	124.22327099443172
TPRXL	GSM4260268	123.54759944295944
TPRXL	GSM4260269	121.27882653305592
TPRXL	GSM4260270	118.75092243339428
TPRXL	GSM4260271	130.33113602900957
TPRXL	GSM4260272	126.88191206640928
TPRXL	GSM4260273	119.63132153362892
TPRXL	GSM4260274	114.074895818822
TPRXL	GSM4260275	125.71968248652408
TPRXL	GSM4260276	118.44630320761124
TPRXL	GSM4735786	120.1129492347548
TPRXL	GSM4735787	119.3129145837752
TPRXL	GSM4735788	120.85879137867992
TPRXL	GSM4735790	120.75017521223025
TPRXL	GSM4735793	123.29426615159733
TPRXL	GSM4735798	158.65110437695253
TPRXL	GSM4735800	110.37828089768284
TPRXL	GSM4735803	412.32206174407906
TPRXL	GSM4735804	162.89156160708086
TPRXL	GSM4735785	125.41914019282844
TPRXL	GSM4735789	120.22099220913483
TPRXL	GSM4735791	126.81869898866462
TPRXL	GSM4735792	132.7783003024597
TPRXL	GSM4735794	121.76708697914604
TPRXL	GSM4735795	28.0439906547099
TPRXL	GSM4735796	55.03235876578449
TPRXL	GSM4735797	87.06370326739116
TPRXL	GSM4735799	200.42778554625824
TPRXL	GSM4735801	159.9767991581368
TPRXL	GSM4735802	278.4253093918805
TPRXL	GSM5282507	99
TPRXL	GSM5282509	88
TPRXL	GSM5282510	95.14555462904228
TPRXL	GSM5282511	95.34434135532376
TPRXL	GSM5282512	90.9202838295798
TPRXL	GSM5282515	90.51324554631222
TPRXL	GSM5282516	95.81267557384422
TPRXL	GSM5282519	96.88042818193098
TPRXL	GSM5282521	90.42103026489752
TPRXL	GSM5282523	88
TPRXL	GSM5282524	88.93619603740277
TPRXL	GSM5282526	93
TPRXL	GSM5282528	89.96320208746222
TPRXL	GSM5282529	88
TPRXL	GSM5282513	89.68518264629346
TPRXL	GSM5282533	87.72600631683527
TPRXL	GSM5282534	91
TPRXL	GSM5282536	89.21189365870896
TPRXL	GSM5282525	88
TPRXL	GSM5282530	92.74263205468982
TPRXL	GSM5282514	91
TPRXL	GSM5282520	94.726430554422
TPRXL	GSM5282535	88
TPRXL	GSM5282522	90.5295991774672
TPRXL	GSM5282531	110.63974908015092
TPRXL	GSM5282508	95.74208729618164
TPRXL	GSM5282518	96
TPRXL	GSM5282517	97.021159313363
TPRXL	GSM5282527	88.4668596215071
TPRXL	GSM5282532	91
