Gene	sample	counts
TRAJ38	GSM1022678	2.021300534291188
TRAJ38	GSM1022679	1.080829643118164
TRAJ38	GSM1022680	1.0228445664573578
TRAJ38	GSM1022681	1.023487244357908
TRAJ38	GSM1022682	1.0091218838436145
TRAJ38	GSM1022683	1.0152493201196748
TRAJ38	GSM1022684	1.0419408454465733
TRAJ38	GSM1022685	1.0268260621954932
TRAJ38	GSM1022686	1.048277755164012
TRAJ38	GSM1022687	1.080412911353207
TRAJ38	GSM1022688	1.0432607562473546
TRAJ38	GSM1022689	1.0212700412974676
TRAJ38	GSM1022690	1.079843385051915
TRAJ38	GSM1022691	1.067908644246083
TRAJ38	GSM1022692	1.0172824963691265
TRAJ38	GSM1022693	1.0091218838436145
TRAJ38	GSM1022694	1.0423146986582486
TRAJ38	GSM1022695	1.022581557181457
TRAJ38	GSM1385778	1.001514567592329
TRAJ38	GSM1385779	1.052358251410889
TRAJ38	GSM1385780	1.0469231004598798
TRAJ38	GSM1385781	1.0080868452623672
TRAJ38	GSM1385782	1.0050401373437077
TRAJ38	GSM1385783	1.0443602353553707
TRAJ38	GSM1415906	1.001514567592329
TRAJ38	GSM1415907	1.0069631126805123
TRAJ38	GSM1415908	1.013974710299226
TRAJ38	GSM1415909	1.0069631126805123
TRAJ38	GSM1415910	1.0075958118807733
TRAJ38	GSM1415911	4.018202351985005
TRAJ38	GSM1415912	1.1235925034328906
TRAJ38	GSM1415913	1.1334188904283546
TRAJ38	GSM1415914	1.086773852521356
TRAJ38	GSM1415915	1.0718539595694612
TRAJ38	GSM1415916	1.0717564809270177
TRAJ38	GSM1415917	1.087295576280627
TRAJ38	GSM1415918	1.0934321088575003
TRAJ38	GSM1415919	1.0935295718899114
TRAJ38	GSM1415920	1.0760262278806771
TRAJ38	GSM1415921	1.0522929992388903
TRAJ38	GSM2769390	1.0476453445591134
TRAJ38	GSM2769391	1.0368437150858465
TRAJ38	GSM2769392	1.033326703689763
TRAJ38	GSM2769393	1.0303488943225554
TRAJ38	GSM2769394	1.0155104435348865
TRAJ38	GSM2769395	1.0397118660865767
TRAJ38	GSM2769396	1.0223186155344817
TRAJ38	GSM2769397	1.0460250461958456
TRAJ38	GSM2769398	1.0481558953476182
TRAJ38	GSM3103946	7.048741788763586
TRAJ38	GSM3103947	13.450535311003256
TRAJ38	GSM3103948	6.2066242987403974
TRAJ38	GSM3103949	12.564060546078483
TRAJ38	GSM3103950	10.301528948919508
TRAJ38	GSM3103951	8
TRAJ38	GSM3103952	6
TRAJ38	GSM3103953	8.055704901444098
TRAJ38	GSM3103954	10
TRAJ38	GSM3103955	12.09624230337991
TRAJ38	GSM3103956	8.182534590440266
TRAJ38	GSM3103957	9.128119552948547
TRAJ38	GSM3103958	9.173060058615812
TRAJ38	GSM3103959	9
TRAJ38	GSM3103960	4
TRAJ38	GSM3103961	19.924925036869844
TRAJ38	GSM3103962	4.024288191046741
TRAJ38	GSM3103963	5.113313794190518
TRAJ38	GSM3103964	12.083557352166148
TRAJ38	GSM3103965	7
TRAJ38	GSM4260265	1.0263259010476733
TRAJ38	GSM4260266	1.017949289364482
TRAJ38	GSM4260267	1.0377901820927629
TRAJ38	GSM4260268	1.038948316513042
TRAJ38	GSM4260269	1.0234594842742062
TRAJ38	GSM4260270	1.021939447988662
TRAJ38	GSM4260271	1.0506731423640414
TRAJ38	GSM4260272	1.0485732304058435
TRAJ38	GSM4260273	1.017048502742336
TRAJ38	GSM4260274	1.2029807617416126
TRAJ38	GSM4260275	1.0472567835878563
TRAJ38	GSM4260276	1.022581557181457
TRAJ38	GSM4735785	1.0764546598252551
TRAJ38	GSM4735786	3.1222840854447886
TRAJ38	GSM4735787	8.284335954095027
TRAJ38	GSM4735788	2.092122028894066
TRAJ38	GSM4735789	6.244011049124441
TRAJ38	GSM4735790	7.288427296889124
TRAJ38	GSM4735791	2.1066897103226374
TRAJ38	GSM4735792	5.331497835436057
TRAJ38	GSM4735793	4.253255147049802
TRAJ38	GSM4735794	8.397246386531974
TRAJ38	GSM4735795	5.202004578749195
TRAJ38	GSM4735796	1.0902861903587755
TRAJ38	GSM4735797	2.1523026558683163
TRAJ38	GSM4735798	1.1025281268115683
TRAJ38	GSM4735799	1.0835219303580144
TRAJ38	GSM4735800	1.1001966655378004
TRAJ38	GSM4735801	1.064077087569082
TRAJ38	GSM4735802	1.0375233297739646
TRAJ38	GSM4735803	1.0325222969875112
TRAJ38	GSM4735804	1.058682572589556
TRAJ38	GSM5282507	283.8578944352008
TRAJ38	GSM5282508	161.22225078600576
TRAJ38	GSM5282509	196.65520414364153
TRAJ38	GSM5282510	70.3970099191852
TRAJ38	GSM5282511	70.05385256369973
TRAJ38	GSM5282512	102.25815571814567
TRAJ38	GSM5282513	200.1812571061501
TRAJ38	GSM5282514	188.73692258463493
TRAJ38	GSM5282515	131.0549742308614
TRAJ38	GSM5282516	36.15811568603874
TRAJ38	GSM5282517	46.266512090687975
TRAJ38	GSM5282518	246.7457315585138
TRAJ38	GSM5282519	10.5518292856362
TRAJ38	GSM5282520	74.61874338233997
TRAJ38	GSM5282521	62.4006187410106
TRAJ38	GSM5282522	85.89685080324237
TRAJ38	GSM5282523	273.4134769527058
TRAJ38	GSM5282524	95.04742217164656
TRAJ38	GSM5282525	365.2041533374918
TRAJ38	GSM5282526	157.63822531476467
TRAJ38	GSM5282527	143.63944494459165
TRAJ38	GSM5282528	124.38899358935552
TRAJ38	GSM5282529	424.9248987224143
TRAJ38	GSM5282530	91.67300022999746
TRAJ38	GSM5282531	104.61950694840748
TRAJ38	GSM5282532	365.6256652864488
TRAJ38	GSM5282533	304
TRAJ38	GSM5282534	287.41914451762995
TRAJ38	GSM5282535	174.3589092570817
TRAJ38	GSM5282536	231.2394232555178
TRAJ38	GSM4260927	114
TRAJ38	GSM4260928	116.4467122420365
TRAJ38	GSM4260929	114.27203701237558
TRAJ38	GSM4260930	109
TRAJ38	GSM4260931	98.29708005176566
TRAJ38	GSM4260932	87.06300528167982
TRAJ38	GSM4260933	88.76877985047965
TRAJ38	GSM4260934	132
TRAJ38	GSM4260935	78.47361972541147
TRAJ38	GSM4260936	70.85266757011738
TRAJ38	GSM4260937	69
TRAJ38	GSM4260938	61.37500483460426
TRAJ38	GSM4260939	226
TRAJ38	GSM4260940	37.25521739736899
TRAJ38	GSM4260941	85
TRAJ38	GSM4260942	143.034466994945
TRAJ38	GSM4260943	100.35768419572378
TRAJ38	GSM4260944	81.3462781356068
TRAJ38	GSM4260945	44.20022587183506
TRAJ38	GSM4260946	71.7354499477265
TRAJ38	GSM4260947	63.24816001649686
TRAJ38	GSM4260948	122.69951852005164
TRAJ38	GSM4260949	65.62673292382249
TRAJ38	GSM4260950	80
TRAJ38	GSM4260951	79.10948360194814
TRAJ38	GSM4260952	38.59357917941578
TRAJ38	GSM4260953	153.08004213219058
TRAJ38	GSM4260954	104.63149296721528
TRAJ38	GSM4260955	55.01702646145478
TRAJ38	GSM4260956	39.72496676633223
TRAJ38	GSM4260957	95.13555707544356
TRAJ38	GSM4260958	55.01553423254034
TRAJ38	GSM4260959	46.61354825760245
TRAJ38	GSM4260960	54.29377649041014
TRAJ38	GSM4260961	54.081786649985766
TRAJ38	GSM4260962	131.1984083545951
TRAJ38	GSM4260963	60
TRAJ38	GSM4260964	72
TRAJ38	GSM4260965	73.969919684429
TRAJ38	GSM4260966	174.28058636813796
TRAJ38	GSM4260967	56.7903279939651
TRAJ38	GSM4260968	79
TRAJ38	GSM4260969	78.11813627220167
TRAJ38	GSM4260970	28.713485023773178
TRAJ38	GSM4260971	48.49980558176512
TRAJ38	GSM4260972	86.86134589678065
TRAJ38	GSM4260973	85.38679997968137
TRAJ38	GSM4260974	104.5706799723265
TRAJ38	GSM4260975	54
TRAJ38	GSM4260976	133
TRAJ38	GSM4260977	45.323694038492945
TRAJ38	GSM4260978	109
TRAJ38	GSM4260979	99.48793357202317
TRAJ38	GSM4260980	105.58856938081384
TRAJ38	GSM4260981	111.8361942913419
TRAJ38	GSM4260982	48.14550859678318
TRAJ38	GSM4260983	41.51009328023148
TRAJ38	GSM4260984	142.1863245767802
TRAJ38	GSM4260985	92.08500993917788
TRAJ38	GSM4260986	67.20252677960917
TRAJ38	GSM4260987	75.47785958782505
TRAJ38	GSM4260988	76.87744940696454
TRAJ38	GSM4260989	101
TRAJ38	GSM4260990	139.95207782857167
TRAJ38	GSM4260991	131
TRAJ38	GSM4260992	83.2071656304524
TRAJ38	GSM4260993	33.452561398574595
TRAJ38	GSM4260994	70.55091068438401
TRAJ38	GSM4260995	31.75620574438082
TRAJ38	GSM4260996	64.09920056012787
TRAJ38	GSM4260997	108
TRAJ38	GSM4260998	36.49306002960978
TRAJ38	GSM4260999	132
TRAJ38	GSM4261000	62.07893986901543
TRAJ38	GSM4261001	109
TRAJ38	GSM4261002	27.77291968969589
TRAJ38	GSM4261003	154.36984578558383
TRAJ38	GSM4261004	67.52379017942256
TRAJ38	GSM4261005	69
TRAJ38	GSM4261006	50.8524251371168
TRAJ38	GSM4261007	26.406006894775928
TRAJ38	GSM4261008	136
TRAJ38	GSM4261009	57.46615211414053
TRAJ38	GSM4261010	40.146364880095064
TRAJ38	GSM4261011	50.609048264369555
TRAJ38	GSM4261012	22.421337340097494
TRAJ38	GSM4261013	43.329051662255175
TRAJ38	GSM4261014	19.515591677686515
TRAJ38	GSM4261015	63.67096683017241
TRAJ38	GSM4261016	143
TRAJ38	GSM4261017	37.370579048614935
