Gene	sample	counts
TRAV29DV5	GSM1022678	1.0100156499625657
TRAV29DV5	GSM1022679	2.104528915711193
TRAV29DV5	GSM1022680	9.16629981405032
TRAV29DV5	GSM1022681	2.0397386029780273
TRAV29DV5	GSM1022682	1.001514567592329
TRAV29DV5	GSM1022683	5.06538720397482
TRAV29DV5	GSM1022684	6.163409427244529
TRAV29DV5	GSM1022685	2.0397386029780273
TRAV29DV5	GSM1022686	1.0316440871965518
TRAV29DV5	GSM1022687	1.0546852014232175
TRAV29DV5	GSM1022688	2.05940381557825
TRAV29DV5	GSM1022689	3.050360951514186
TRAV29DV5	GSM1022690	2.104528915711193
TRAV29DV5	GSM1022691	3.128257769559979
TRAV29DV5	GSM1022692	7.0978229720945825
TRAV29DV5	GSM1022693	1.0069631126805123
TRAV29DV5	GSM1022694	3.0828481105383
TRAV29DV5	GSM1022695	7.119339519196352
TRAV29DV5	GSM1385778	1.0030314290996496
TRAV29DV5	GSM1385779	1.0454041618088412
TRAV29DV5	GSM1385780	1.0418298547102676
TRAV29DV5	GSM1385781	1.0121809652873912
TRAV29DV5	GSM1385782	1.0075958118807733
TRAV29DV5	GSM1385783	1.0406685081874067
TRAV29DV5	GSM1415906	5
TRAV29DV5	GSM1415907	2.010880610755931
TRAV29DV5	GSM1415908	1.011545386933744
TRAV29DV5	GSM1415909	4.021761221511862
TRAV29DV5	GSM1415910	2.0121440955233707
TRAV29DV5	GSM1415911	3.009094287298949
TRAV29DV5	GSM1415912	1.0828383463137914
TRAV29DV5	GSM1415913	1.0894569621541417
TRAV29DV5	GSM1415914	1.057473757359071
TRAV29DV5	GSM1415915	3.1387971194771778
TRAV29DV5	GSM1415916	1.0469874970732027
TRAV29DV5	GSM1415917	2.115136030490181
TRAV29DV5	GSM1415918	2.129600904865021
TRAV29DV5	GSM1415919	1.062344042170012
TRAV29DV5	GSM1415920	2.0989034264648536
TRAV29DV5	GSM1415921	4.1333366074778635
TRAV29DV5	GSM2769390	1.0456446792577374
TRAV29DV5	GSM2769391	1.034121679520397
TRAV29DV5	GSM2769392	1.0321468400650773
TRAV29DV5	GSM2769393	1.029701907789125
TRAV29DV5	GSM2769394	1.0152144113121964
TRAV29DV5	GSM2769395	1.0383783796594372
TRAV29DV5	GSM2769396	1.0214825905550386
TRAV29DV5	GSM2769397	1.0456446792577374
TRAV29DV5	GSM2769398	1.047526139363344
TRAV29DV5	GSM3103946	4
TRAV29DV5	GSM3103947	2.394040230598686
TRAV29DV5	GSM3103948	4.480635043356794
TRAV29DV5	GSM3103949	2.314156960871876
TRAV29DV5	GSM3103950	6.623208971340638
TRAV29DV5	GSM3103951	4.746609167897787
TRAV29DV5	GSM3103952	6
TRAV29DV5	GSM3103953	4
TRAV29DV5	GSM3103954	2.996406332966496
TRAV29DV5	GSM3103955	4.07944695320755
TRAV29DV5	GSM3103956	1.012674233159597
TRAV29DV5	GSM3103957	4.021761221511862
TRAV29DV5	GSM3103958	4.040062599850263
TRAV29DV5	GSM3103959	3.939986242351312
TRAV29DV5	GSM3103960	1
TRAV29DV5	GSM3103961	3.0944226524393907
TRAV29DV5	GSM3103962	1
TRAV29DV5	GSM3103963	3.034636160801232
TRAV29DV5	GSM3103964	3
TRAV29DV5	GSM3103965	10
TRAV29DV5	GSM4260265	1.0263259010476733
TRAV29DV5	GSM4260266	1.0176875388363185
TRAV29DV5	GSM4260267	1.0379082793670698
TRAV29DV5	GSM4260268	1.038948316513042
TRAV29DV5	GSM4260269	1.0230798935918088
TRAV29DV5	GSM4260270	1.0216766714505208
TRAV29DV5	GSM4260271	1.0501613654387998
TRAV29DV5	GSM4260272	1.0479148002729763
TRAV29DV5	GSM4260273	1.016786983838062
TRAV29DV5	GSM4260274	2.302278422828612
TRAV29DV5	GSM4260275	1.0465449856483902
TRAV29DV5	GSM4260276	1.0223186155344817
TRAV29DV5	GSM4735785	25.351779605656333
TRAV29DV5	GSM4735786	32.01752465960721
TRAV29DV5	GSM4735787	34.98693215796152
TRAV29DV5	GSM4735788	48.72044890589832
TRAV29DV5	GSM4735789	57.8595685862789
TRAV29DV5	GSM4735790	37.11586634543602
TRAV29DV5	GSM4735791	28.135371384754585
TRAV29DV5	GSM4735792	38.85597052123559
TRAV29DV5	GSM4735793	52.34199862395607
TRAV29DV5	GSM4735794	64.4313631910949
TRAV29DV5	GSM4735795	2.0613914817208063
TRAV29DV5	GSM4735796	4.252906950113155
TRAV29DV5	GSM4735797	1.0534673182521803
TRAV29DV5	GSM4735798	2.1396141272155584
TRAV29DV5	GSM4735799	1.0562880644173278
TRAV29DV5	GSM4735800	2.138270600246515
TRAV29DV5	GSM4735801	1.0450994152455737
TRAV29DV5	GSM4735802	1.0285261829956671
TRAV29DV5	GSM4735803	3.0770443220119854
TRAV29DV5	GSM4735804	2.08318042948193
TRAV29DV5	GSM5282507	154.7007905514227
TRAV29DV5	GSM5282508	128.53658325933233
TRAV29DV5	GSM5282509	99.991549346294
TRAV29DV5	GSM5282510	67.12594718548002
TRAV29DV5	GSM5282511	72.06702258647722
TRAV29DV5	GSM5282512	119.61127801753436
TRAV29DV5	GSM5282513	60.98459207508061
TRAV29DV5	GSM5282514	86.39135056767762
TRAV29DV5	GSM5282515	85.0028170636836
TRAV29DV5	GSM5282516	70.18788883322047
TRAV29DV5	GSM5282517	73.98581060272676
TRAV29DV5	GSM5282518	102.46415997561763
TRAV29DV5	GSM5282519	36.85112958436552
TRAV29DV5	GSM5282520	19.39966747878236
TRAV29DV5	GSM5282521	111.53142361113626
TRAV29DV5	GSM5282522	108.39364506123442
TRAV29DV5	GSM5282523	107.32436291366253
TRAV29DV5	GSM5282524	24.277089286409858
TRAV29DV5	GSM5282525	104.72416371877328
TRAV29DV5	GSM5282526	134.6097787914977
TRAV29DV5	GSM5282527	82.99883915356608
TRAV29DV5	GSM5282528	63.24816001649686
TRAV29DV5	GSM5282529	128.77722211349572
TRAV29DV5	GSM5282530	85.61522721374757
TRAV29DV5	GSM5282531	88.18592236638646
TRAV29DV5	GSM5282532	107.12892831743294
TRAV29DV5	GSM5282533	116
TRAV29DV5	GSM5282534	59.53819114677325
TRAV29DV5	GSM5282535	122.10374794507734
TRAV29DV5	GSM5282536	61.90723924470804
TRAV29DV5	GSM4260927	24.036349622215894
TRAV29DV5	GSM4260928	33.242060844904096
TRAV29DV5	GSM4260929	29.376997893125026
TRAV29DV5	GSM4260930	49.07421381202412
TRAV29DV5	GSM4260931	25.266256678639845
TRAV29DV5	GSM4260932	19.153650059984976
TRAV29DV5	GSM4260933	44
TRAV29DV5	GSM4260934	61.42474987351125
TRAV29DV5	GSM4260935	25.266256678639845
TRAV29DV5	GSM4260936	10.153325559559528
TRAV29DV5	GSM4260937	38.20673160436269
TRAV29DV5	GSM4260938	18.623261516367695
TRAV29DV5	GSM4260939	19.161276301175327
TRAV29DV5	GSM4260940	15.194020413887555
TRAV29DV5	GSM4260941	60.09087405553974
TRAV29DV5	GSM4260942	31
TRAV29DV5	GSM4260943	38.73069802526676
TRAV29DV5	GSM4260944	9.891095089195137
TRAV29DV5	GSM4260945	21.191559560715906
TRAV29DV5	GSM4260946	28.36292201302748
TRAV29DV5	GSM4260947	47.927103103825715
TRAV29DV5	GSM4260948	33.2180696678684
TRAV29DV5	GSM4260949	14.321453481543417
TRAV29DV5	GSM4260950	30.090942872989487
TRAV29DV5	GSM4260951	43
TRAV29DV5	GSM4260952	26
TRAV29DV5	GSM4260953	47
TRAV29DV5	GSM4260954	41.410641648465194
TRAV29DV5	GSM4260955	17.53144483578317
TRAV29DV5	GSM4260956	16.266299433812545
TRAV29DV5	GSM4260957	31
TRAV29DV5	GSM4260958	21.683713819695686
TRAV29DV5	GSM4260959	13.151395289296149
TRAV29DV5	GSM4260960	10.10650267145594
TRAV29DV5	GSM4260961	17.03608579804271
TRAV29DV5	GSM4260962	27.22918211219652
TRAV29DV5	GSM4260963	19.02877678425425
TRAV29DV5	GSM4260964	51.30967443584595
TRAV29DV5	GSM4260965	16.5313053103654
TRAV29DV5	GSM4260966	49
TRAV29DV5	GSM4260967	15.700530638424173
TRAV29DV5	GSM4260968	32.09700573118879
TRAV29DV5	GSM4260969	15.1139371782116
TRAV29DV5	GSM4260970	6.450069079960798
TRAV29DV5	GSM4260971	5.267383601867059
TRAV29DV5	GSM4260972	37.54063715704652
TRAV29DV5	GSM4260973	26.271265908194465
TRAV29DV5	GSM4260974	80.64103433001591
TRAV29DV5	GSM4260975	17.11837291556871
TRAV29DV5	GSM4260976	35.05300986573152
TRAV29DV5	GSM4260977	18.49645265068169
TRAV29DV5	GSM4260978	37.14503263633773
TRAV29DV5	GSM4260979	37
TRAV29DV5	GSM4260980	60
TRAV29DV5	GSM4260981	61.65603865344412
TRAV29DV5	GSM4260982	21.191559560715906
TRAV29DV5	GSM4260983	43.645926994337934
TRAV29DV5	GSM4260984	67.46130164034395
TRAV29DV5	GSM4260985	25.051370104267097
TRAV29DV5	GSM4260986	31.484568097482125
TRAV29DV5	GSM4260987	13.499749258891168
TRAV29DV5	GSM4260988	24.29234316689739
TRAV29DV5	GSM4260989	28.04240789258521
TRAV29DV5	GSM4260990	48
TRAV29DV5	GSM4260991	30.2278743564232
TRAV29DV5	GSM4260992	34.11776889556205
TRAV29DV5	GSM4260993	21.30684811616154
TRAV29DV5	GSM4260994	24
TRAV29DV5	GSM4260995	8.175293839087201
TRAV29DV5	GSM4260996	21.56125231842852
TRAV29DV5	GSM4260997	24
TRAV29DV5	GSM4260998	11.631424000563117
TRAV29DV5	GSM4260999	49.29753034032259
TRAV29DV5	GSM4261000	11.214401466056668
TRAV29DV5	GSM4261001	27.040893324992883
TRAV29DV5	GSM4261002	13.679437952122752
TRAV29DV5	GSM4261003	9.06836230692696
TRAV29DV5	GSM4261004	15.484384410721908
TRAV29DV5	GSM4261005	26.039378757400552
TRAV29DV5	GSM4261006	14.263912233222626
TRAV29DV5	GSM4261007	1.0443319091327352
TRAV29DV5	GSM4261008	12.083557352166148
TRAV29DV5	GSM4261009	15.39843043705721
TRAV29DV5	GSM4261010	7.328912479512419
TRAV29DV5	GSM4261011	20.335739676761243
TRAV29DV5	GSM4261012	8.935794182150753
TRAV29DV5	GSM4261013	8.234336668557747
TRAV29DV5	GSM4261014	5.138677543373969
TRAV29DV5	GSM4261015	20.26154881589928
TRAV29DV5	GSM4261016	30.20889338041537
TRAV29DV5	GSM4261017	11.126999256271183
TRAV29DV5	GSM4261018	17.399404333848356
TRAV29DV5	GSM4261019	5.089746446822411
TRAV29DV5	GSM4261020	21.231646816656713
TRAV29DV5	GSM4261021	5.154981436866114
TRAV29DV5	GSM4261022	14.118835169287085
TRAV29DV5	GSM4261023	30.2278743564232
TRAV29DV5	GSM4261024	17.553482615944127
TRAV29DV5	GSM4261025	5.134110252465131
TRAV29DV5	GSM4261026	18.69889574199394
TRAV29DV5	GSM4261027	15
TRAV29DV5	GSM4818000	35.69039592838085
TRAV29DV5	GSM4818001	26.368167384102943
TRAV29DV5	GSM4818002	38.400617793231184
TRAV29DV5	GSM4818003	30.618479001360623
TRAV29DV5	GSM4818004	7.782740535356137
TRAV29DV5	GSM4818005	32.901440635532225
TRAV29DV5	GSM4818006	9.980708298208144
TRAV29DV5	GSM4818007	14.428955861313494
TRAV29DV5	GSM4818008	35.779921227856505
TRAV29DV5	GSM4818009	35.84136619038954
TRAV29DV5	GSM4818010	32.1143774753248
TRAV29DV5	GSM4818011	33.72850099599267
TRAV29DV5	GSM4818012	64.38043898281171
TRAV29DV5	GSM4818013	45.890091918434464
TRAV29DV5	GSM4818014	31.900796025870545
TRAV29DV5	GSM4818015	43.58733613624145
TRAV29DV5	GSM4818016	56.95874488688472
TRAV29DV5	GSM4818017	63.86520523605824
TRAV29DV5	GSM4818018	78.03006868123792
TRAV29DV5	GSM4818019	94.83448060969768
TRAV29DV5	GSM4818020	29.53148231711047
TRAV29DV5	GSM4818021	58.32377198013547
TRAV29DV5	GSM4818022	21.149475147181416
TRAV29DV5	GSM4818023	16.02141821131221
TRAV29DV5	GSM3056394	42.3967933784301
TRAV29DV5	GSM3056395	67.71130226206145
TRAV29DV5	GSM3056396	83.7202604516041
TRAV29DV5	GSM3056397	99.09665272579794
TRAV29DV5	GSM3056398	131.7828176307484
TRAV29DV5	GSM3056399	24.181321900403542
TRAV29DV5	GSM3056400	44.47021994090494
TRAV29DV5	GSM3056401	46.1593299817968
TRAV29DV5	GSM3056402	88.03347376973147
TRAV29DV5	GSM3056403	116.15047853261218
TRAV29DV5	GSM3056404	82.1319515342373
TRAV29DV5	GSM3056405	32.172161846282535
TRAV29DV5	GSM3056406	55.23896756216603
TRAV29DV5	GSM3056407	42.85553127282611
TRAV29DV5	GSM3056408	84.18036961663313
TRAV29DV5	GSM3056409	77.08016315060954
TRAV29DV5	GSM3056410	27.57806362562648
TRAV29DV5	GSM3056411	71.22935918311097
TRAV29DV5	GSM3056412	15.430049436384785
TRAV29DV5	GSM3056413	26.879714529368417
TRAV29DV5	GSM3056414	66.20827794388705
TRAV29DV5	GSM3056415	57.56129909580781
TRAV29DV5	GSM3056416	50.74816010345116
TRAV29DV5	GSM3056417	71.3992295741043
TRAV29DV5	GSM3056418	177.9201965514224
TRAV29DV5	GSM3056419	15.785673630949166
TRAV29DV5	GSM3056420	116.9906602246045
TRAV29DV5	GSM3056421	43.529936226555584
TRAV29DV5	GSM3056422	51.015955083711624
TRAV29DV5	GSM3056423	11.210235164875066
TRAV29DV5	GSM3056424	75.17460194244276
TRAV29DV5	GSM3056425	18.662048618598075
TRAV29DV5	GSM3056426	71.6891228247934
TRAV29DV5	GSM3056427	40.10050387933333
TRAV29DV5	GSM3056428	148.43979430634027
TRAV29DV5	GSM3056429	65.18266494904414
TRAV29DV5	GSM3056430	742.7837427815173
TRAV29DV5	GSM3056431	48.99730923461633
TRAV29DV5	GSM3056432	58.89277516817673
TRAV29DV5	GSM3056433	20.8002482776844
TRAV29DV5	GSM3056434	69.4740136586354
TRAV29DV5	GSM3056435	11.858935254844017
TRAV29DV5	GSM3056436	18.23089171289344
TRAV29DV5	GSM3056437	38.251090302975406
TRAV29DV5	GSM3056438	64.6602480107515
TRAV29DV5	GSM3056439	28.325274301328495
TRAV29DV5	GSM3056440	6.749895379114409
TRAV29DV5	GSM3056441	20.324600975631625
TRAV29DV5	GSM3056442	118.35081027124804
TRAV29DV5	GSM3056443	102.16766714505206
TRAV29DV5	GSM3056444	23.60103215771025
TRAV29DV5	GSM3056445	82.17879236326038
TRAV29DV5	GSM3056446	115.31617411044682
TRAV29DV5	GSM3056447	128.15847924813903
TRAV29DV5	GSM3056448	106.53424058080768
TRAV29DV5	GSM3056449	65.6201835286808
TRAV29DV5	GSM3056450	136.97259503246704
TRAV29DV5	GSM3056451	15.821873579690202
TRAV29DV5	GSM3056452	88.2515907467158
TRAV29DV5	GSM3056453	113.90943230714164
TRAV29DV5	GSM3056454	27.14255900410282
TRAV29DV5	GSM3056455	122.12250466035822
TRAV29DV5	GSM3056456	75.08127431409304
TRAV29DV5	GSM3056457	90.06527697685416
TRAV29DV5	GSM3056458	22.852140712436057
TRAV29DV5	GSM3056459	15.041068495185248
TRAV29DV5	GSM3056460	50.996706492714466
TRAV29DV5	GSM3056461	16.11774933596757
TRAV29DV5	GSM3056462	27.4738280037304
TRAV29DV5	GSM3056463	37.236317075585475
TRAV29DV5	GSM3056464	69.49583577732741
TRAV29DV5	GSM3056465	34.86002987427721
TRAV29DV5	GSM3056466	63.02291920583014
TRAV29DV5	GSM3056467	12.766737462245809
TRAV29DV5	GSM3056468	88.75145034572947
TRAV29DV5	GSM3056469	21.70067269652376
TRAV29DV5	GSM3056470	19.587582066968583
TRAV29DV5	GSM3056471	39.061062444580465
TRAV29DV5	GSM3056472	45.700553524341665
TRAV29DV5	GSM3056473	23.66053288436325
TRAV29DV5	GSM3056474	19.50019211990579
TRAV29DV5	GSM3056475	50.172329295015935
TRAV29DV5	GSM3056476	75.47847417375603
TRAV29DV5	GSM3056477	20.102266814883023
TRAV29DV5	GSM3056478	77.16791891764824
TRAV29DV5	GSM3056479	24.820587873993453
TRAV29DV5	GSM3056480	45.7319273606887
TRAV29DV5	GSM3056481	39.28651927909513
TRAV29DV5	GSM3056482	154.7282919834013
TRAV29DV5	GSM3056483	72.52039133618368
TRAV29DV5	GSM3056484	64.0485540206369
TRAV29DV5	GSM3056485	102.33422824599003
TRAV29DV5	GSM3056486	188.56990867073412
TRAV29DV5	GSM3056487	75.9655901561489
TRAV29DV5	GSM3056488	72.26067007392518
TRAV29DV5	GSM3056489	26.587682311748917
TRAV29DV5	GSM3056490	36.1395371032755
TRAV29DV5	GSM3056491	33.96130900733604
TRAV29DV5	GSM3056492	19.758286180261138
TRAV29DV5	GSM3056493	92.89030536748668
TRAV29DV5	GSM3056494	56.673104655725545
TRAV29DV5	GSM3056495	52.8065430638141
TRAV29DV5	GSM3056496	38.26572440367745
TRAV29DV5	GSM3056497	62.75623399544976
TRAV29DV5	GSM3056498	80.10371977566481
TRAV29DV5	GSM3056499	46.03060771463221
TRAV29DV5	GSM3056500	121.45646586122676
TRAV29DV5	GSM3056501	46.76343068958752
TRAV29DV5	GSM3056502	62.87368705938212
TRAV29DV5	GSM3056503	74.22369548842772
TRAV29DV5	GSM3056504	38.0478999994495
TRAV29DV5	GSM3056505	45.65925435311146
TRAV29DV5	GSM3056506	58.77220504721134
TRAV29DV5	GSM3056507	68.42389877016133
TRAV29DV5	GSM3056508	61.9145656420013
TRAV29DV5	GSM3056509	26.9566683742976
TRAV29DV5	GSM3056510	53.442246451089275
TRAV29DV5	GSM3056511	79.4063496080197
TRAV29DV5	GSM3056512	55.184730191387736
TRAV29DV5	GSM3056513	73.79644516053317
TRAV29DV5	GSM3056514	92.609566034105
TRAV29DV5	GSM3056515	88.67291389995285
TRAV29DV5	GSM3056516	56.49791974974151
TRAV29DV5	GSM3056517	24.66813091882489
TRAV29DV5	GSM3056518	19.950254479053047
TRAV29DV5	GSM3056519	10.333267036897633
TRAV29DV5	GSM3056520	48.9663174321266
TRAV29DV5	GSM3056521	118.69399209992484
TRAV29DV5	GSM3056522	76.99388550041725
TRAV29DV5	GSM3056523	142.93367143027328
TRAV29DV5	GSM3056524	27.13940374564159
TRAV29DV5	GSM3056525	38.257110807484345
TRAV29DV5	GSM3056526	27.308967756267567
TRAV29DV5	GSM3056527	128.73126060276562
TRAV29DV5	GSM3056528	37.91663103818319
TRAV29DV5	GSM3056529	37.29235130034997
TRAV29DV5	GSM3056530	56.48144999813299
TRAV29DV5	GSM3056531	102.86579909052018
TRAV29DV5	GSM3056532	7.387321402147368
TRAV29DV5	GSM3056533	171.55072025341445
TRAV29DV5	GSM3056534	51.53413629514578
TRAV29DV5	GSM3056535	43.014598840997785
TRAV29DV5	GSM3056536	98.43084593636615
TRAV29DV5	GSM3056537	42.163631646562386
TRAV29DV5	GSM3056538	44.3721053767676
TRAV29DV5	GSM3056539	44.94604499345178
TRAV29DV5	GSM3056540	25.586487106855152
TRAV29DV5	GSM3056541	22.347562231621104
TRAV29DV5	GSM3056542	36.08067477062298
TRAV29DV5	GSM3056543	90.97617952914764
TRAV29DV5	GSM3056544	50.92944457222081
TRAV29DV5	GSM3056545	108.19227842942745
TRAV29DV5	GSM3056546	83.34560916927684
TRAV29DV5	GSM3056547	63.47183431176359
