Gene	sample	counts
TREM2	GSM1022678	318.7077590504826
TREM2	GSM1022679	290.6780032694269
TREM2	GSM1022680	291.72874091214123
TREM2	GSM1022681	271.1816179556981
TREM2	GSM1022682	282.25253953414614
TREM2	GSM1022683	288.9044900513506
TREM2	GSM1022684	150.20972181915474
TREM2	GSM1022685	119.26820931762896
TREM2	GSM1022686	121.95433170053144
TREM2	GSM1022687	127.52126012533719
TREM2	GSM1022688	113.3739276492768
TREM2	GSM1022689	150.11909941756596
TREM2	GSM1022690	113.62756032225684
TREM2	GSM1022691	116.93309767826102
TREM2	GSM1022692	109.46083657078132
TREM2	GSM1022693	108.4429589406552
TREM2	GSM1022694	121.27514146303908
TREM2	GSM1022695	106.07157274733017
TREM2	GSM1385778	162.04663466917495
TREM2	GSM1385779	174.1306782225168
TREM2	GSM1385780	173.39202912348097
TREM2	GSM1385781	164.6016215067953
TREM2	GSM1385782	162.76681858899008
TREM2	GSM1385783	173.76162609467806
TREM2	GSM1415906	176.1062158103941
TREM2	GSM1415907	170.37021366910813
TREM2	GSM1415908	160.78597489307083
TREM2	GSM1415909	156.116964918106
TREM2	GSM1415910	174.57877247351274
TREM2	GSM1415911	166.66933539253696
TREM2	GSM1415912	190.3844484194486
TREM2	GSM1415913	187.6834842994828
TREM2	GSM1415914	203.56748693923245
TREM2	GSM1415915	184.3309245773652
TREM2	GSM1415916	183.00802139044967
TREM2	GSM1415917	190.44036583285285
TREM2	GSM1415918	186.22565827085333
TREM2	GSM1415919	179.5398771713974
TREM2	GSM1415920	207.7767411419052
TREM2	GSM1415921	200.67700088517176
TREM2	GSM2769390	152.1215592108961
TREM2	GSM2769391	307.1622875928933
TREM2	GSM2769392	267.5448428443125
TREM2	GSM2769393	163.28819311096396
TREM2	GSM2769394	352.1169692264966
TREM2	GSM2769395	117.39832094029016
TREM2	GSM2769396	69.38289735511178
TREM2	GSM2769397	71.25200473895903
TREM2	GSM2769398	65.17199599679246
TREM2	GSM3103946	147.41284029401444
TREM2	GSM3103947	159.56213246322133
TREM2	GSM3103948	140.95508370137935
TREM2	GSM3103949	251.6191276403029
TREM2	GSM3103950	121.53044455224604
TREM2	GSM3103951	225
TREM2	GSM3103952	142.77309642210008
TREM2	GSM3103953	140.40628860340993
TREM2	GSM3103954	139.61006467832115
TREM2	GSM3103955	98.6271957817722
TREM2	GSM3103956	147.14349094009174
TREM2	GSM3103957	162.1287596705098
TREM2	GSM3103958	156.139381063247
TREM2	GSM3103959	137.43232234803088
TREM2	GSM3103960	149.31329536907054
TREM2	GSM3103961	127.3116936639556
TREM2	GSM3103962	143.04776831024824
TREM2	GSM3103963	145.19069783233036
TREM2	GSM3103964	164.64910102414257
TREM2	GSM3103965	154.4186452186805
TREM2	GSM4260265	166.84446730978908
TREM2	GSM4260266	163.26259503769526
TREM2	GSM4260267	167.43805551724233
TREM2	GSM4260268	165.4347627128141
TREM2	GSM4260269	163.8185565313057
TREM2	GSM4260270	168.40900873417644
TREM2	GSM4260271	168.18339731786824
TREM2	GSM4260272	167.15074558772835
TREM2	GSM4260273	162.95299603047047
TREM2	GSM4260274	86.76605733057923
TREM2	GSM4260275	166.8714235918248
TREM2	GSM4260276	165.41321406691696
TREM2	GSM4735785	211.3417648109648
TREM2	GSM4735786	168.33199911025923
TREM2	GSM4735787	166.5755109171128
TREM2	GSM4735788	169.84792961702078
TREM2	GSM4735789	168.50540044850968
TREM2	GSM4735790	169.9956302910697
TREM2	GSM4735791	173.93643230662553
TREM2	GSM4735792	194.79694172922837
TREM2	GSM4735793	175.21131193559367
TREM2	GSM4735794	171.68073762099775
TREM2	GSM4735795	261.07674266402336
TREM2	GSM4735796	468.5576732516717
TREM2	GSM4735797	109.43246305075633
TREM2	GSM4735798	66.3016206416998
TREM2	GSM4735799	96.07553444492036
TREM2	GSM4735800	49.878636618375694
TREM2	GSM4735801	62.97538825347984
TREM2	GSM4735802	173.75460714755093
TREM2	GSM4735803	129.6541634849779
TREM2	GSM4735804	465.5094584762031
TREM2	GSM5282507	140.13039329264964
TREM2	GSM5282508	176.50800281530775
TREM2	GSM5282509	154
TREM2	GSM5282510	176.16605691945006
TREM2	GSM5282511	148.57991867713767
TREM2	GSM5282512	150.6656098736883
TREM2	GSM5282513	159.50174637472196
TREM2	GSM5282514	167.9463925971747
TREM2	GSM5282515	158.82425212740182
TREM2	GSM5282516	148.99574924989582
TREM2	GSM5282517	148.2800245634007
TREM2	GSM5282518	150.28561027503676
TREM2	GSM5282519	155.53901301415002
TREM2	GSM5282520	147.96889724612765
TREM2	GSM5282521	147.47710889279028
TREM2	GSM5282522	147.63207410441942
TREM2	GSM5282523	141.0072253783714
TREM2	GSM5282524	151
TREM2	GSM5282525	154
TREM2	GSM5282526	145.10456394189566
TREM2	GSM5282527	154
TREM2	GSM5282528	160.00507607915807
TREM2	GSM5282529	149
TREM2	GSM5282530	149.876521040371
TREM2	GSM5282531	152.942337606959
TREM2	GSM5282532	154
TREM2	GSM5282533	118.48096930330426
TREM2	GSM5282534	157
TREM2	GSM5282535	151
TREM2	GSM5282536	165.17209904683344
TREM2	GSM4260927	141.29647414120095
TREM2	GSM4260928	91.0092406052271
TREM2	GSM4260929	101.2592682211047
TREM2	GSM4260930	141
TREM2	GSM4260931	141.9784903126667
TREM2	GSM4260932	148.6230397616212
TREM2	GSM4260933	145.0670873206882
TREM2	GSM4260934	180.56801476383615
TREM2	GSM4260935	162.85480424902374
TREM2	GSM4260936	177.35223305541592
TREM2	GSM4260937	174
TREM2	GSM4260938	147.5346409012044
TREM2	GSM4260939	141.44494489833835
TREM2	GSM4260940	181.69165959045893
TREM2	GSM4260941	161
TREM2	GSM4260942	148
