Gene	sample	counts
UBA1	GSM1022678	5391.819175221743
UBA1	GSM1022679	1.080829643118164
UBA1	GSM1022680	3773.273605661193
UBA1	GSM1022681	5604.616150103903
UBA1	GSM1022682	1.0091218838436145
UBA1	GSM1022683	3575.7081054614946
UBA1	GSM1022684	2059.9170514478756
UBA1	GSM1022685	3591.8375655598356
UBA1	GSM1022686	2796.805050777584
UBA1	GSM1022687	1912.3308530951767
UBA1	GSM1022688	2395.326696343926
UBA1	GSM1022689	4080.995085024681
UBA1	GSM1022690	2859.425283617471
UBA1	GSM1022691	2152.903826800103
UBA1	GSM1022692	3684.597201848975
UBA1	GSM1022693	6333.248943002524
UBA1	GSM1022694	1656.238056167957
UBA1	GSM1022695	3974.774512764323
UBA1	GSM1385778	6835.336923817646
UBA1	GSM1385779	3351.761030743681
UBA1	GSM1385780	2971.167759105139
UBA1	GSM1385781	4889.221199522481
UBA1	GSM1385782	5932.751930739906
UBA1	GSM1385783	3048.487527002327
UBA1	GSM1415906	6783.258166302844
UBA1	GSM1415907	5608.784537630453
UBA1	GSM1415908	4915.749395530648
UBA1	GSM1415909	4559.52897421736
UBA1	GSM1415910	4170.43906537452
UBA1	GSM1415911	5264.849631688353
UBA1	GSM1415912	1846.0624831402392
UBA1	GSM1415913	1867.8743314259284
UBA1	GSM1415914	2170.287383485148
UBA1	GSM1415915	2250.8933150958683
UBA1	GSM1415916	2177.8091692437
UBA1	GSM1415917	1823.3946814226108
UBA1	GSM1415918	1724.3424356682783
UBA1	GSM1415919	1632.6396508316377
UBA1	GSM1415920	2275.795471967632
UBA1	GSM1415921	2055.1282275135527
UBA1	GSM2769390	5119.842798860387
UBA1	GSM2769391	2678.167316066741
UBA1	GSM2769392	6986.3218436464895
UBA1	GSM2769393	8879.546771271784
UBA1	GSM2769394	7037.487373696763
UBA1	GSM2769395	5486.559517338865
UBA1	GSM2769396	7872.875658231043
UBA1	GSM2769397	7665.271538523156
UBA1	GSM2769398	7147.375050375408
UBA1	GSM3103946	2591.9230520396386
UBA1	GSM3103947	2074.072544956702
UBA1	GSM3103948	3201.928513227963
UBA1	GSM3103949	5388.306766194859
UBA1	GSM3103950	2627.533727533782
UBA1	GSM3103951	2504
UBA1	GSM3103952	3477
UBA1	GSM3103953	1748.0879636133693
UBA1	GSM3103954	2047
UBA1	GSM3103955	3813.9977906135264
UBA1	GSM3103956	2815.814715935257
UBA1	GSM3103957	1857.065211272088
UBA1	GSM3103958	1289.3245526832225
UBA1	GSM3103959	1905
UBA1	GSM3103960	2876
UBA1	GSM3103961	3449.6109346441617
UBA1	GSM3103962	1615.7517087052668
UBA1	GSM3103963	1304.91768027742
UBA1	GSM3103964	1409.7483577527173
UBA1	GSM3103965	3222
UBA1	GSM4260265	9313.907552007637
UBA1	GSM4260266	12280.540226893114
UBA1	GSM4260267	7713.894423495507
UBA1	GSM4260268	7726.658629907494
UBA1	GSM4260269	11074.855079331184
UBA1	GSM4260270	8708.967975759377
UBA1	GSM4260271	7036.3580344119855
UBA1	GSM4260272	8372.857244790659
UBA1	GSM4260273	9999.620878962647
UBA1	GSM4260274	4411.931943687365
UBA1	GSM4260275	8566.560489748666
UBA1	GSM4260276	9522.279460473726
UBA1	GSM4735785	1986.0588473775952
UBA1	GSM4735786	2544.6615296375026
UBA1	GSM4735787	4442.4751553834585
UBA1	GSM4735788	2950.9381217550804
UBA1	GSM4735789	2830.618342269747
UBA1	GSM4735790	2736.2838480320884
UBA1	GSM4735791	3400.197192460737
UBA1	GSM4735792	2358.6546423969116
UBA1	GSM4735793	1755.5310619448055
UBA1	GSM4735794	1894.6287159612768
UBA1	GSM4735795	3802.6653470656615
UBA1	GSM4735796	2737.708623990886
UBA1	GSM4735797	2128.6273266537646
UBA1	GSM4735798	2981.2360548984816
UBA1	GSM4735799	2186.547255462473
UBA1	GSM4735800	2197.0927410789873
UBA1	GSM4735801	3748.743579505875
UBA1	GSM4735802	6282.203761781356
UBA1	GSM4735803	7447.583328170919
UBA1	GSM4735804	2765.278879603921
UBA1	GSM5282507	10210.859948234433
UBA1	GSM5282508	8459.06619630372
UBA1	GSM5282509	11053.030961099032
UBA1	GSM5282510	8975.09341387582
UBA1	GSM5282511	8702.130773611349
UBA1	GSM5282512	8140.771776721578
UBA1	GSM5282513	10125.91993432886
UBA1	GSM5282514	10619.46365478866
UBA1	GSM5282515	11213.39123262808
UBA1	GSM5282516	10129.437837188854
UBA1	GSM5282517	9531.92963539485
UBA1	GSM5282518	11769.57078905529
UBA1	GSM5282519	8588.133855579303
UBA1	GSM5282520	9622.751372621213
UBA1	GSM5282521	10534.45199663815
UBA1	GSM5282522	9842.347487871522
UBA1	GSM5282523	11977.112713836665
UBA1	GSM5282524	11057.85754116092
UBA1	GSM5282525	11717.72114028035
UBA1	GSM5282526	11115.000982384998
UBA1	GSM5282527	10698.104012211275
UBA1	GSM5282528	9271.058350065652
UBA1	GSM5282529	11962.18840185936
UBA1	GSM5282530	10663.607104531591
UBA1	GSM5282531	10820.93919907548
UBA1	GSM5282532	10078.946170976444
UBA1	GSM5282533	11327
UBA1	GSM5282534	10658.71206458537
UBA1	GSM5282535	11953.159906294735
UBA1	GSM5282536	10606.587229851775
UBA1	GSM4260927	5156
UBA1	GSM4260928	2153.242714089587
UBA1	GSM4260929	2855.552050587942
UBA1	GSM4260930	2384
UBA1	GSM4260931	2920.8275215381796
UBA1	GSM4260932	1559.1283014811168
UBA1	GSM4260933	2205.945660022667
UBA1	GSM4260934	3062
UBA1	GSM4260935	3010.167566902963
UBA1	GSM4260936	1703.5005645786794
UBA1	GSM4260937	3395
UBA1	GSM4260938	1843.330653676589
UBA1	GSM4260939	2912
UBA1	GSM4260940	2352.1131848717287
UBA1	GSM4260941	2966
UBA1	GSM4260942	1905.2564950045617
UBA1	GSM4260943	2270.7193191759725
UBA1	GSM4260944	2390.942567162246
UBA1	GSM4260945	4507.41848833918
UBA1	GSM4260946	3481.8371697768407
UBA1	GSM4260947	2617.6577193924345
UBA1	GSM4260948	2472.168076848448
UBA1	GSM4260949	2592.255950490988
UBA1	GSM4260950	5511
UBA1	GSM4260951	3134.401013449819
UBA1	GSM4260952	2281.615645297366
UBA1	GSM4260953	3883.098708496064
UBA1	GSM4260954	3109.7686996313696
UBA1	GSM4260955	1497.9163996958348
UBA1	GSM4260956	2689.0746734132586
UBA1	GSM4260957	2429.813552332275
UBA1	GSM4260958	2052.183229768533
UBA1	GSM4260959	1860.488578281698
UBA1	GSM4260960	2068.190708162475
UBA1	GSM4260961	6609.996146109372
UBA1	GSM4260962	4058.1370278841177
UBA1	GSM4260963	4945
UBA1	GSM4260964	2790
UBA1	GSM4260965	1389.801026183497
UBA1	GSM4260966	4452.773223141987
UBA1	GSM4260967	3463.386959400075
UBA1	GSM4260968	3741
UBA1	GSM4260969	2224.3638546225625
UBA1	GSM4260970	2105.90744108568
UBA1	GSM4260971	3618.882753477734
UBA1	GSM4260972	2109.9226927718
UBA1	GSM4260973	2073.392413624262
UBA1	GSM4260974	1620.337914911001
UBA1	GSM4260975	1737
UBA1	GSM4260976	3453
UBA1	GSM4260977	1404.004431237861
UBA1	GSM4260978	4141
UBA1	GSM4260979	3217.4204536738753
UBA1	GSM4260980	2706.0140338989963
UBA1	GSM4260981	2436.738617924815
UBA1	GSM4260982	2750.312178591239
UBA1	GSM4260983	2390.3739081616222
UBA1	GSM4260984	5514.016916829201
UBA1	GSM4260985	2229.041907257877
UBA1	GSM4260986	1996.220511385209
UBA1	GSM4260987	2125.959711723739
UBA1	GSM4260988	4091.701090146995
UBA1	GSM4260989	2361
UBA1	GSM4260990	3848.6821402857217
UBA1	GSM4260991	2557
UBA1	GSM4260992	3074.983395334241
UBA1	GSM4260993	3046.210515233838
UBA1	GSM4260994	2785.8075813482446
UBA1	GSM4260995	2458.5449608552894
UBA1	GSM4260996	3030.512836608577
UBA1	GSM4260997	2502
UBA1	GSM4260998	2830.592134470602
UBA1	GSM4260999	2585
UBA1	GSM4261000	2464.839219061563
UBA1	GSM4261001	2285
UBA1	GSM4261002	1490.123960274068
UBA1	GSM4261003	2055.925673417094
UBA1	GSM4261004	1947.8016397910355
UBA1	GSM4261005	3325
UBA1	GSM4261006	2389.0469329417474
UBA1	GSM4261007	969.628573176172
UBA1	GSM4261008	2393
UBA1	GSM4261009	4417.710443774553
UBA1	GSM4261010	750.1031332859867
UBA1	GSM4261011	2474.7824601276716
UBA1	GSM4261012	1.1800703863209208
UBA1	GSM4261013	1818.788525727521
UBA1	GSM4261014	2208.3432687908426
UBA1	GSM4261015	3657.543316799904
UBA1	GSM4261016	4087
UBA1	GSM4261017	3368.4021926251567
UBA1	GSM4261018	4001.404851469896
UBA1	GSM4261019	3072.8331040050653
UBA1	GSM4261020	646.8668722002841
UBA1	GSM4261021	2321.545541461662
UBA1	GSM4261022	3778.754130896627
UBA1	GSM4261023	3283
UBA1	GSM4261024	1607.508604058733
UBA1	GSM4261025	6491.064353393327
UBA1	GSM4261026	1581.6418009965128
UBA1	GSM4261027	6253.720128029954
UBA1	GSM4818000	4616.781535978888
UBA1	GSM4818001	3274.717607798149
UBA1	GSM4818002	2808.3316846896346
UBA1	GSM4818003	3089.5553281148245
UBA1	GSM4818004	2428.283222397689
UBA1	GSM4818005	1037.6448463269471
UBA1	GSM4818006	1233.1100325118896
UBA1	GSM4818007	1579.9525641429316
UBA1	GSM4818008	3185.35642345436
UBA1	GSM4818009	1967.3292107190016
UBA1	GSM4818010	5569.971166674463
UBA1	GSM4818011	3740.5596130751846
UBA1	GSM4818012	3408.013310122646
UBA1	GSM4818013	3430.0366979055475
UBA1	GSM4818014	487.33804035523787
UBA1	GSM4818015	1198.521089692178
UBA1	GSM4818016	3835.691127543693
UBA1	GSM4818017	5284.584020249178
UBA1	GSM4818018	4813.310692881605
UBA1	GSM4818019	6771.284820134483
UBA1	GSM4818020	3938.1506726840626
UBA1	GSM4818021	2260.5821793582227
UBA1	GSM4818022	1929.4326355619644
UBA1	GSM4818023	3420.059307277621
UBA1	GSM3056394	3685.6291606917734
