Gene	sample	counts
UBXN4	GSM1022678	3959.2613478532576
UBXN4	GSM1022679	791.3028723074085
UBXN4	GSM1022680	3272.3690336159643
UBXN4	GSM1022681	3400.2442511643717
UBXN4	GSM1022682	831.257091101633
UBXN4	GSM1022683	3982.407419765003
UBXN4	GSM1022684	2326.68705878481
UBXN4	GSM1022685	2998.4157463777005
UBXN4	GSM1022686	2763.7745095995624
UBXN4	GSM1022687	2240.151367822914
UBXN4	GSM1022688	2703.997209854242
UBXN4	GSM1022689	3232.3658216211993
UBXN4	GSM1022690	2096.110800048348
UBXN4	GSM1022691	2258.602109622305
UBXN4	GSM1022692	3471.84940806455
UBXN4	GSM1022693	4110.4234259618515
UBXN4	GSM1022694	2702.630176905243
UBXN4	GSM1022695	2703.314920289129
UBXN4	GSM1385778	4328.080616564988
UBXN4	GSM1385779	2037.4927113654317
UBXN4	GSM1385780	2479.555054210437
UBXN4	GSM1385781	3257.1983462948247
UBXN4	GSM1385782	3883.2742589885
UBXN4	GSM1385783	2594.386590911205
UBXN4	GSM1415906	4090
UBXN4	GSM1415907	3913.1736685310416
UBXN4	GSM1415908	3616.274758288135
UBXN4	GSM1415909	3918.200870057932
UBXN4	GSM1415910	3658.077965661488
UBXN4	GSM1415911	4120.45311074136
UBXN4	GSM1415912	1900.381297780704
UBXN4	GSM1415913	1871.6870609808152
UBXN4	GSM1415914	2218.5799429393305
UBXN4	GSM1415915	2218.083297763872
UBXN4	GSM1415916	2257.305043689825
UBXN4	GSM1415917	2016.782205072388
UBXN4	GSM1415918	2013.5376555498776
UBXN4	GSM1415919	2161.8701258159745
UBXN4	GSM1415920	2296.2003485525497
UBXN4	GSM1415921	2546.135350206364
UBXN4	GSM2769390	2473.9953111238065
UBXN4	GSM2769391	3902.7752185099775
UBXN4	GSM2769392	2333.68400538714
UBXN4	GSM2769393	2372.433195546144
UBXN4	GSM2769394	4858.8161725401715
UBXN4	GSM2769395	2692.515138456921
UBXN4	GSM2769396	4502.69525916661
UBXN4	GSM2769397	2986.361203960098
UBXN4	GSM2769398	2820.9878933054856
UBXN4	GSM3103946	1998
UBXN4	GSM3103947	2133.887858873629
UBXN4	GSM3103948	2306.8869566082694
UBXN4	GSM3103949	2650.4811058519217
UBXN4	GSM3103950	2366.2919324880645
UBXN4	GSM3103951	3093.8398556357774
UBXN4	GSM3103952	2088
UBXN4	GSM3103953	2248
UBXN4	GSM3103954	2474.0328289193367
UBXN4	GSM3103955	2607.2765339687753
UBXN4	GSM3103956	1877.4980282778931
UBXN4	GSM3103957	2515.61164405567
UBXN4	GSM3103958	1996.8009399759928
UBXN4	GSM3103959	2429.986514970172
UBXN4	GSM3103960	1916
UBXN4	GSM3103961	2172.2847020124523
UBXN4	GSM3103962	2883
UBXN4	GSM3103963	2322.5082083998764
UBXN4	GSM3103964	2129
UBXN4	GSM3103965	2476
UBXN4	GSM4260265	3687.5889624642905
UBXN4	GSM4260266	4439.153044404021
UBXN4	GSM4260267	3161.468618952094
UBXN4	GSM4260268	3310.0893364105523
UBXN4	GSM4260269	4513.82849052706
UBXN4	GSM4260270	4276.7385466918795
UBXN4	GSM4260271	3168.336839528859
UBXN4	GSM4260272	3073.5341092006397
UBXN4	GSM4260273	4837.8724691014995
UBXN4	GSM4260274	1555.7646442264347
UBXN4	GSM4260275	3274.6392600938125
UBXN4	GSM4260276	4260.001670932184
UBXN4	GSM4735785	2248.914115851764
UBXN4	GSM4735786	3529.157476189608
UBXN4	GSM4735787	3831.069071296786
UBXN4	GSM4735788	3170.9756000668713
