Gene	sample	counts
UNC13D	GSM1022678	2706.5214154159003
UNC13D	GSM1022679	1499.110715004893
UNC13D	GSM1022680	2805.662645792532
UNC13D	GSM1022681	2818.683870961678
UNC13D	GSM1022682	1495.5186318562364
UNC13D	GSM1022683	2520.8640618571526
UNC13D	GSM1022684	2691.333203788499
UNC13D	GSM1022685	2432.5509413411237
UNC13D	GSM1022686	1872.2240707229253
UNC13D	GSM1022687	2155.423758149648
UNC13D	GSM1022688	2649.8823208682807
UNC13D	GSM1022689	2493.941440848416
UNC13D	GSM1022690	3085.112551093321
UNC13D	GSM1022691	2734.9140379142186
UNC13D	GSM1022692	3204.4398635627476
UNC13D	GSM1022693	5284.771305689009
UNC13D	GSM1022694	2307.684742829362
UNC13D	GSM1022695	3051.383366629467
UNC13D	GSM1385778	4055.13248418134
UNC13D	GSM1385779	1923.710883579105
UNC13D	GSM1385780	1668.7954221330483
UNC13D	GSM1385781	2840.788729949351
UNC13D	GSM1385782	3027.180893679247
UNC13D	GSM1385783	1685.5974198635683
UNC13D	GSM1415906	5191.851518398634
UNC13D	GSM1415907	4291.676786244343
UNC13D	GSM1415908	3648.281007656615
UNC13D	GSM1415909	3183.0103991830993
UNC13D	GSM1415910	3709.9677793450073
UNC13D	GSM1415911	3088.993058088473
UNC13D	GSM1415912	2074.151761337116
UNC13D	GSM1415913	1924.545275947346
UNC13D	GSM1415914	2038.7877473300637
UNC13D	GSM1415915	2053.6721865350873
UNC13D	GSM1415916	2036.337313761334
UNC13D	GSM1415917	1911.4656231013416
UNC13D	GSM1415918	1834.779078662886
UNC13D	GSM1415919	1839.316739918831
UNC13D	GSM1415920	1871.2096102844976
UNC13D	GSM1415921	1815.2054236870856
UNC13D	GSM2769390	2353.0114438797686
UNC13D	GSM2769391	2318.382546931952
UNC13D	GSM2769392	2443.8176542262904
UNC13D	GSM2769393	2623.2682849452262
UNC13D	GSM2769394	2838.351689680007
UNC13D	GSM2769395	2462.0376988930134
UNC13D	GSM2769396	2410.6272954303076
UNC13D	GSM2769397	2448.7446331444744
UNC13D	GSM2769398	2453.732951008774
UNC13D	GSM3103946	2316.0151591651784
UNC13D	GSM3103947	1779.9541728227643
UNC13D	GSM3103948	2077.1502653117864
UNC13D	GSM3103949	3150.2287809200784
UNC13D	GSM3103950	1788.6029637561496
UNC13D	GSM3103951	1775
UNC13D	GSM3103952	2914
UNC13D	GSM3103953	2382.474724602092
UNC13D	GSM3103954	2230
UNC13D	GSM3103955	1658.762966298271
UNC13D	GSM3103956	3042.880050819974
UNC13D	GSM3103957	2377.3680257901556
UNC13D	GSM3103958	2381.9379285539057
UNC13D	GSM3103959	2608
UNC13D	GSM3103960	2791
UNC13D	GSM3103961	3442.680525935685
UNC13D	GSM3103962	2130.8605971592497
UNC13D	GSM3103963	1970.6711362810256
UNC13D	GSM3103964	1970.6268115157625
UNC13D	GSM3103965	2110
UNC13D	GSM4260265	2396.4709789463172
UNC13D	GSM4260266	2263.9192195466085
UNC13D	GSM4260267	2362.0104544431283
UNC13D	GSM4260268	2340.7505571038837
UNC13D	GSM4260269	2280.267730962931
UNC13D	GSM4260270	2354.5484881658767
UNC13D	GSM4260271	2365.065243461457
UNC13D	GSM4260272	2318.3954124273196
UNC13D	GSM4260273	2384.978738930778
UNC13D	GSM4260274	1381.623404860242
UNC13D	GSM4260275	2312.342978161987
UNC13D	GSM4260276	2348.8698368458063
UNC13D	GSM4735785	3484.4837338543502
UNC13D	GSM4735786	4103.722049636267
UNC13D	GSM4735787	5255.375620879033
UNC13D	GSM4735788	4038.8415767799943
UNC13D	GSM4735789	4047.1598283408257
UNC13D	GSM4735790	3922.215089625905
UNC13D	GSM4735791	4046.950933529786
UNC13D	GSM4735792	4319.579546270293
UNC13D	GSM4735793	3277.133090801872
UNC13D	GSM4735794	3726.278084023564
UNC13D	GSM4735795	2065.19581776343
UNC13D	GSM4735796	1921.0842674121627
UNC13D	GSM4735797	1589.4755113587516
UNC13D	GSM4735798	1323.0337521738822
UNC13D	GSM4735799	1697.8788648710083
UNC13D	GSM4735800	1395.0493719019307
UNC13D	GSM4735801	1789.7776612911955
UNC13D	GSM4735802	2066.746472909738
UNC13D	GSM4735803	1213.2136989603257
UNC13D	GSM4735804	1232.3065144942434
UNC13D	GSM5282507	2657.030255684972
UNC13D	GSM5282508	2430.5784896978844
UNC13D	GSM5282509	2334.650244064257
UNC13D	GSM5282510	2473.3516619367456
UNC13D	GSM5282511	2106.7665954818526
UNC13D	GSM5282512	2416.3602196197826
UNC13D	GSM5282513	2361.5291447446334
UNC13D	GSM5282514	2608.1836429514974
UNC13D	GSM5282515	2921.092511567559
UNC13D	GSM5282516	2206.6781458679643
UNC13D	GSM5282517	2234.158461623666
UNC13D	GSM5282518	2565.7543956369036
UNC13D	GSM5282519	2140.966162055585
UNC13D	GSM5282520	2131.2339719476554
UNC13D	GSM5282521	2431.5782089734785
UNC13D	GSM5282522	2261.9504044853825
UNC13D	GSM5282523	2513.801564656746
UNC13D	GSM5282524	2749.297243454329
UNC13D	GSM5282525	2578.5626584131996
UNC13D	GSM5282526	2601.5327502583136
UNC13D	GSM5282527	2702.849273886964
UNC13D	GSM5282528	2331.7838388430823
UNC13D	GSM5282529	2460.1443900028194
UNC13D	GSM5282530	2184.8731721482727
UNC13D	GSM5282531	2180.598742865827
UNC13D	GSM5282532	2265.465102866035
UNC13D	GSM5282533	2496
UNC13D	GSM5282534	2521.220565944122
UNC13D	GSM5282535	2662.7528222960113
UNC13D	GSM5282536	2323.55052051926
UNC13D	GSM4260927	4420
UNC13D	GSM4260928	1667.0266173596804
UNC13D	GSM4260929	1879.556455777325
UNC13D	GSM4260930	2690
UNC13D	GSM4260931	2743.290958587542
UNC13D	GSM4260932	2092.514299356236
UNC13D	GSM4260933	2114.688035877314
UNC13D	GSM4260934	2493
UNC13D	GSM4260935	2700.2973761923636
UNC13D	GSM4260936	2537.5376799754895
UNC13D	GSM4260937	2533
UNC13D	GSM4260938	1164.0445832190198
UNC13D	GSM4260939	2983
UNC13D	GSM4260940	2323.920047381828
UNC13D	GSM4260941	2583
UNC13D	GSM4260942	5459.616256539078
UNC13D	GSM4260943	2196.7181985063985
UNC13D	GSM4260944	1877.3444973648864
UNC13D	GSM4260945	4863.029396489853
UNC13D	GSM4260946	2246.327436792857
UNC13D	GSM4260947	3379.696034429905
UNC13D	GSM4260948	2203.289502313767
UNC13D	GSM4260949	2933.7200452352517
UNC13D	GSM4260950	3999
UNC13D	GSM4260951	3312.6055344057863
UNC13D	GSM4260952	1182.6175334263835
UNC13D	GSM4260953	2941.799070540358
UNC13D	GSM4260954	2118.7877325861095
UNC13D	GSM4260955	1284.0766364682936
UNC13D	GSM4260956	3081.2313966193587
UNC13D	GSM4260957	1901.8540644181016
UNC13D	GSM4260958	1888.1746560186955
UNC13D	GSM4260959	1914.1954925785008
UNC13D	GSM4260960	2432.1600987092984
UNC13D	GSM4260961	7041.648924741665
UNC13D	GSM4260962	2755.166575446497
UNC13D	GSM4260963	3435
UNC13D	GSM4260964	2301
UNC13D	GSM4260965	1751.3159857679598
UNC13D	GSM4260966	2183.2952577986516
UNC13D	GSM4260967	3446.9259947641426
UNC13D	GSM4260968	3204
UNC13D	GSM4260969	2037.0806304827972
UNC13D	GSM4260970	1453.0534658083109
UNC13D	GSM4260971	3897.9227307974784
UNC13D	GSM4260972	2154.3633813701526
UNC13D	GSM4260973	2684.159171125983
UNC13D	GSM4260974	1530.9959747404696
UNC13D	GSM4260975	2533
UNC13D	GSM4260976	2705
UNC13D	GSM4260977	2544.3073698881267
UNC13D	GSM4260978	3147
UNC13D	GSM4260979	3424.123538959438
UNC13D	GSM4260980	3175.023725799821
UNC13D	GSM4260981	2891.25238190373
UNC13D	GSM4260982	2399.2511784063618
UNC13D	GSM4260983	2937.0922099012564
UNC13D	GSM4260984	3640.5949039988777
UNC13D	GSM4260985	2061.6810558604825
UNC13D	GSM4260986	2096.2606364775816
UNC13D	GSM4260987	1906.864258197969
UNC13D	GSM4260988	2996.19743609775
UNC13D	GSM4260989	1765
UNC13D	GSM4260990	1858.968717999251
UNC13D	GSM4260991	2110
UNC13D	GSM4260992	2404.1716441011245
UNC13D	GSM4260993	2403.515850788496
UNC13D	GSM4260994	2518.8581895694942
UNC13D	GSM4260995	2837.5706423204797
UNC13D	GSM4260996	2392.7663601495833
UNC13D	GSM4260997	2528
UNC13D	GSM4260998	1997.5983729251616
UNC13D	GSM4260999	1937
UNC13D	GSM4261000	1701.5735649343244
UNC13D	GSM4261001	2886
UNC13D	GSM4261002	1444.1918238641863
UNC13D	GSM4261003	1658.974641397021
UNC13D	GSM4261004	1863.6566089520627
UNC13D	GSM4261005	1727
UNC13D	GSM4261006	2400.234466471913
UNC13D	GSM4261007	1588.58537478972
UNC13D	GSM4261008	2124
UNC13D	GSM4261009	3663.4671972764586
UNC13D	GSM4261010	1391.3884880811895
UNC13D	GSM4261011	1852.2911664759256
UNC13D	GSM4261012	1.1800703863209208
UNC13D	GSM4261013	2354.211806982531
UNC13D	GSM4261014	2495.941461935696
UNC13D	GSM4261015	3257.325811010249
UNC13D	GSM4261016	2787
UNC13D	GSM4261017	4423.868546836038
