Gene	sample	counts
VIM	GSM1022678	13799.843825438536
VIM	GSM1022679	14178.211305146306
VIM	GSM1022680	13372.6129509423
VIM	GSM1022681	13904.898056501212
VIM	GSM1022682	12596.048716608722
VIM	GSM1022683	13728.212400212557
VIM	GSM1022684	12148.079981098968
VIM	GSM1022685	12145.623511432665
VIM	GSM1022686	13783.79664903313
VIM	GSM1022687	12059.27059307307
VIM	GSM1022688	12120.62115658579
VIM	GSM1022689	12768.810943038385
VIM	GSM1022690	12146.288637027148
VIM	GSM1022691	13440.038130619523
VIM	GSM1022692	14629.627120197234
VIM	GSM1022693	12544.746457773825
VIM	GSM1022694	13628.24388065298
VIM	GSM1022695	15059.43718010577
VIM	GSM1385778	22238.20981456833
VIM	GSM1385779	23157.79299238945
VIM	GSM1385780	23069.238472849454
VIM	GSM1385781	22427.905828838015
VIM	GSM1385782	22336.38395777298
VIM	GSM1385783	23048.72611933469
VIM	GSM1415906	13627
VIM	GSM1415907	13337.165650838711
VIM	GSM1415908	13451.53055544493
VIM	GSM1415909	13055.642365332882
VIM	GSM1415910	13207.713843015406
VIM	GSM1415911	12985.244881124065
VIM	GSM1415912	13404.455889018423
VIM	GSM1415913	13472.224793998112
VIM	GSM1415914	13498.65251268854
VIM	GSM1415915	13421.496482884411
VIM	GSM1415916	13338.620712712604
VIM	GSM1415917	13385.638368957112
VIM	GSM1415918	13478.24412689072
VIM	GSM1415919	13088.078599534549
VIM	GSM1415920	13502.245742448402
VIM	GSM1415921	13105.777048160437
VIM	GSM2769390	23606.47427892268
VIM	GSM2769391	21934.754944307137
VIM	GSM2769392	23107.70345537695
VIM	GSM2769393	23771.69824321974
VIM	GSM2769394	22510.349142025327
VIM	GSM2769395	23567.03570475059
VIM	GSM2769396	36211.55783517612
VIM	GSM2769397	31806.419853661857
VIM	GSM2769398	30919.829055587827
VIM	GSM3103946	12362
VIM	GSM3103947	10493.87634412424
VIM	GSM3103948	8972.15162896174
VIM	GSM3103949	10415.249095230689
VIM	GSM3103950	8360.296051551342
VIM	GSM3103951	12294.667066688848
VIM	GSM3103952	12580
VIM	GSM3103953	12243
VIM	GSM3103954	12562.932952017529
VIM	GSM3103955	7266.004954531797
VIM	GSM3103956	12549.059097313728
VIM	GSM3103957	13014.419312812386
VIM	GSM3103958	12770.63787812668
VIM	GSM3103959	12412.926656527809
VIM	GSM3103960	13508
