Gene	sample	counts
WDFY3-AS2	GSM1022678	84.90175223324388
WDFY3-AS2	GSM1022679	23.86536686667821
WDFY3-AS2	GSM1022680	46.0267570712265
WDFY3-AS2	GSM1022681	74.74228999103815
WDFY3-AS2	GSM1022682	22.22034429917645
WDFY3-AS2	GSM1022683	59.862097088263376
WDFY3-AS2	GSM1022684	73.27027958611014
WDFY3-AS2	GSM1022685	71.95162386975976
WDFY3-AS2	GSM1022686	47.194416350438466
WDFY3-AS2	GSM1022687	51.453145279079514
WDFY3-AS2	GSM1022688	52.47509690344958
WDFY3-AS2	GSM1022689	82.70384556744058
WDFY3-AS2	GSM1022690	66.51307457577118
WDFY3-AS2	GSM1022691	63.33909131798528
WDFY3-AS2	GSM1022692	61.98505930698048
WDFY3-AS2	GSM1022693	115.9761460334296
WDFY3-AS2	GSM1022694	46.91180076863119
WDFY3-AS2	GSM1022695	57.21389360122916
WDFY3-AS2	GSM1385778	88
WDFY3-AS2	GSM1385779	37.7513642861781
WDFY3-AS2	GSM1385780	80.93343863654711
WDFY3-AS2	GSM1385781	44.34561853937339
WDFY3-AS2	GSM1385782	54.24573175179757
WDFY3-AS2	GSM1385783	69.04987701332396
WDFY3-AS2	GSM1415906	100
WDFY3-AS2	GSM1415907	94.57077248959844
WDFY3-AS2	GSM1415908	91.17696967154674
WDFY3-AS2	GSM1415909	99.60113272840684
WDFY3-AS2	GSM1415910	78.54312278907996
WDFY3-AS2	GSM1415911	83.25160861527092
WDFY3-AS2	GSM1415912	42.55391022982995
WDFY3-AS2	GSM1415913	39.55571149458044
WDFY3-AS2	GSM1415914	47.48557145662152
WDFY3-AS2	GSM1415915	35.63985350013042
WDFY3-AS2	GSM1415916	57.51013139637387
WDFY3-AS2	GSM1415917	31.007437633192353
WDFY3-AS2	GSM1415918	40.19229276294788
WDFY3-AS2	GSM1415919	60.12970201508796
WDFY3-AS2	GSM1415920	37.123778971721634
WDFY3-AS2	GSM1415921	43.51798602887632
WDFY3-AS2	GSM2769390	43.00264968005964
WDFY3-AS2	GSM2769391	51.760386762805325
WDFY3-AS2	GSM2769392	46.972044944379675
WDFY3-AS2	GSM2769393	59.87991395354565
WDFY3-AS2	GSM2769394	78.38209528106513
WDFY3-AS2	GSM2769395	38.03406000878231
WDFY3-AS2	GSM2769396	117.93067089514096
WDFY3-AS2	GSM2769397	62.62056853505352
WDFY3-AS2	GSM2769398	72.27978995113769
WDFY3-AS2	GSM3103946	44.44068859835289
WDFY3-AS2	GSM3103947	97.81224542244183
WDFY3-AS2	GSM3103948	64.48280148891138
WDFY3-AS2	GSM3103949	78.81591020515003
