Gene	sample	counts
WNT7B	GSM1022678	524.1981223305717
WNT7B	GSM1022679	1.0522644578555964
WNT7B	GSM1022680	239.34227292242505
WNT7B	GSM1022681	201.9341216948247
WNT7B	GSM1022682	1.001514567592329
WNT7B	GSM1022683	224.903191856482
WNT7B	GSM1022684	207.50145071723247
WNT7B	GSM1022685	337.5767387928635
WNT7B	GSM1022686	226.9616991832414
WNT7B	GSM1022687	206.71829947895063
WNT7B	GSM1022688	151.36618044500136
WNT7B	GSM1022689	339.60685260191275
WNT7B	GSM1022690	46.29963614564624
WNT7B	GSM1022691	126.17306337225249
WNT7B	GSM1022692	536.3926217482906
WNT7B	GSM1022693	241.67114704332295
WNT7B	GSM1022694	118.1758442373015
WNT7B	GSM1022695	489.2003298190636
WNT7B	GSM1385778	875.6464376039942
WNT7B	GSM1385779	431.75191882705144
WNT7B	GSM1385780	372.9750879862758
WNT7B	GSM1385781	615.4060268947338
WNT7B	GSM1385782	622.6942117423179
WNT7B	GSM1385783	366.3153148819672
WNT7B	GSM1415906	328
WNT7B	GSM1415907	526.850720018054
WNT7B	GSM1415908	456.2069695071186
WNT7B	GSM1415909	609.2968250590471
WNT7B	GSM1415910	321.94305528373934
WNT7B	GSM1415911	188.56990867073412
WNT7B	GSM1415912	112.61518801663428
WNT7B	GSM1415913	90.42492785879377
WNT7B	GSM1415914	109.97727076534336
WNT7B	GSM1415915	245.87244102571225
WNT7B	GSM1415916	163.33004954341962
WNT7B	GSM1415917	103.64166549401888
WNT7B	GSM1415918	107.54484569568356
WNT7B	GSM1415919	61.615954445860694
WNT7B	GSM1415920	73.46161992626988
WNT7B	GSM1415921	89.90007121264354
WNT7B	GSM2769390	393.1623994009093
WNT7B	GSM2769391	302.9976520994762
WNT7B	GSM2769392	451.0481691084388
WNT7B	GSM2769393	627.0884618435771
WNT7B	GSM2769394	582.7330720932007
WNT7B	GSM2769395	409.12108158581833
WNT7B	GSM2769396	526.0635341358449
WNT7B	GSM2769397	763.3206158581482
WNT7B	GSM2769398	823.3555455395884
WNT7B	GSM3103946	164
WNT7B	GSM3103947	110.12585060753956
WNT7B	GSM3103948	143.3803213874174
WNT7B	GSM3103949	374.12204200761994
WNT7B	GSM3103950	193.87938988833503
WNT7B	GSM3103951	124.361160198922
WNT7B	GSM3103952	206
WNT7B	GSM3103953	208
WNT7B	GSM3103954	113.86344065272684
WNT7B	GSM3103955	128.5025790260378
WNT7B	GSM3103956	219.75030859563256
WNT7B	GSM3103957	177.96293405189988
WNT7B	GSM3103958	195.94303609273777
WNT7B	GSM3103959	262.00908511636226
WNT7B	GSM3103960	172
WNT7B	GSM3103961	116.04084946647716
WNT7B	GSM3103962	186
WNT7B	GSM3103963	235.69007515556237
WNT7B	GSM3103964	146
WNT7B	GSM3103965	336
WNT7B	GSM4260265	927.7986145470968
WNT7B	GSM4260266	921.0072226468682
WNT7B	GSM4260267	938.269084547831
WNT7B	GSM4260268	939.20927812779
WNT7B	GSM4260269	926.9103835941788
WNT7B	GSM4260270	923.5957109912708
WNT7B	GSM4260271	949.3458743566748
WNT7B	GSM4260272	947.3149794467706
WNT7B	GSM4260273	920.1922203734462
WNT7B	GSM4260274	539.3087205476024
WNT7B	GSM4260275	946.0766670261446
WNT7B	GSM4260276	924.1760284431714
WNT7B	GSM4735785	163.73024328653048
WNT7B	GSM4735786	160.08762329803608
WNT7B	GSM4735787	159.4992495436481
WNT7B	GSM4735788	160.67382085987742
WNT7B	GSM4735789	143.6157148837994
WNT7B	GSM4735790	159.80442454284957
WNT7B	GSM4735791	144.84506009188473
WNT7B	GSM4735792	145.97242979599315
WNT7B	GSM4735793	162.26019573426382
WNT7B	GSM4735794	144.4509594122934
WNT7B	GSM4735795	308.17802651726055
WNT7B	GSM4735796	189.2543592800354
WNT7B	GSM4735797	210.6934636504361
WNT7B	GSM4735798	354.1061380541749
WNT7B	GSM4735799	268.29716836200123
WNT7B	GSM4735800	353.8837843407983
WNT7B	GSM4735801	289.4925380230239
WNT7B	GSM4735802	425.80983976020616
WNT7B	GSM4735803	307.70443220119853
WNT7B	GSM4735804	272.8966362621328
WNT7B	GSM5282507	1372.2161032028794
WNT7B	GSM5282508	1393.4997835892696
WNT7B	GSM5282509	1379.6813778488647
WNT7B	GSM5282510	1432.719435240089
WNT7B	GSM5282511	1406.3364693303984
WNT7B	GSM5282512	1396.4872288201018
WNT7B	GSM5282513	1388.415879576002
WNT7B	GSM5282514	1372.2161032028794
WNT7B	GSM5282515	1398.9620254095396
WNT7B	GSM5282516	1409.9508256791053
WNT7B	GSM5282517	1403.675240046177
WNT7B	GSM5282518	1372.2161032028794
WNT7B	GSM5282519	1438.2469432069515
WNT7B	GSM5282520	1401.881234124641
WNT7B	GSM5282521	1397.7240793835974
WNT7B	GSM5282522	1401.9593148957774
WNT7B	GSM5282523	1373.1500264374204
WNT7B	GSM5282524	1404.0249970640368
WNT7B	GSM5282525	1375.5116119215795
WNT7B	GSM5282526	1372.2161032028794
WNT7B	GSM5282527	1382.6391985825762
WNT7B	GSM5282528	1396.5601784287774
WNT7B	GSM5282529	1374.2944172424625
WNT7B	GSM5282530	1392.2666711188
WNT7B	GSM5282531	1400.7205808428362
WNT7B	GSM5282532	1380.5482649208811
WNT7B	GSM5282533	1366
WNT7B	GSM5282534	1378.4604933303772
WNT7B	GSM5282535	1378.4604933303772
WNT7B	GSM5282536	1386.3162099716587
WNT7B	GSM4260927	1.001514567592329
WNT7B	GSM4260928	0.7555013828387295
WNT7B	GSM4260929	0.6676590430255687
WNT7B	GSM4260930	1.001514567592329
WNT7B	GSM4260931	1.010650267145594
WNT7B	GSM4260932	1.0080868452623672
WNT7B	GSM4260933	1
WNT7B	GSM4260934	1.0069631126805123
WNT7B	GSM4260935	1.010650267145594
WNT7B	GSM4260936	1.0153325559559527
WNT7B	GSM4260937	1.0054403053779657
WNT7B	GSM4260938	1.0346256397982054
WNT7B	GSM4260939	1.008488226377649
WNT7B	GSM4260940	1.0129346942591704
WNT7B	GSM4260941	1.001514567592329
