Gene	sample	counts
ZBTB11	GSM1022678	1535.8638510561825
ZBTB11	GSM1022679	261.3217168297891
ZBTB11	GSM1022680	1501.517463639263
ZBTB11	GSM1022681	1439.9289852405057
ZBTB11	GSM1022682	335.09167830529333
ZBTB11	GSM1022683	1884.8403487065264
ZBTB11	GSM1022684	1287.4642566147245
ZBTB11	GSM1022685	1506.788124244901
ZBTB11	GSM1022686	1357.1966060458735
ZBTB11	GSM1022687	1169.8135453565774
ZBTB11	GSM1022688	1271.0525348994645
ZBTB11	GSM1022689	1527.8918900694734
ZBTB11	GSM1022690	1082.5537661399808
ZBTB11	GSM1022691	952.0452645123586
ZBTB11	GSM1022692	1723.3823165327526
ZBTB11	GSM1022693	2275.9581076844433
ZBTB11	GSM1022694	1151.2955909259815
ZBTB11	GSM1022695	1061.720574147739
ZBTB11	GSM1385778	1807
ZBTB11	GSM1385779	1029.4816256876325
ZBTB11	GSM1385780	935.3403884452496
ZBTB11	GSM1385781	1329.0996916272738
ZBTB11	GSM1385782	1792.4592125584904
ZBTB11	GSM1385783	952.98475396105
ZBTB11	GSM1415906	1933
ZBTB11	GSM1415907	1838.3526083736876
ZBTB11	GSM1415908	1675.8745328413868
ZBTB11	GSM1415909	1850.7669154908472
ZBTB11	GSM1415910	1587.4607782031767
ZBTB11	GSM1415911	2093.0454742270203
ZBTB11	GSM1415912	935.1482157390908
ZBTB11	GSM1415913	917.1209348512403
ZBTB11	GSM1415914	927.2526258414553
ZBTB11	GSM1415915	983.1043465119118
ZBTB11	GSM1415916	1021.1470764185748
ZBTB11	GSM1415917	1013.0864094380912
ZBTB11	GSM1415918	989.503363057086
ZBTB11	GSM1415919	1015.7430646117014
ZBTB11	GSM1415920	1086.0617407428313
ZBTB11	GSM1415921	1234.45695192717
ZBTB11	GSM2769390	1062.8224237846632
ZBTB11	GSM2769391	1827.7449189342967
ZBTB11	GSM2769392	890.1460121988218
ZBTB11	GSM2769393	1156.6847125225577
ZBTB11	GSM2769394	2196.824113764254
ZBTB11	GSM2769395	1060.1897634313802
