Gene	sample	counts
ZFY	GSM1022678	382.0258009810345
ZFY	GSM1022679	1.0848245726655648
ZFY	GSM1022680	471.53134513684194
ZFY	GSM1022681	254.94287955847255
ZFY	GSM1022682	1.0100156499625657
ZFY	GSM1022683	736.6081777301561
ZFY	GSM1022684	298.31470974344836
ZFY	GSM1022685	398.8175723066684
ZFY	GSM1022686	269.5526316666932
ZFY	GSM1022687	156.55734380647593
ZFY	GSM1022688	231.93992831324715
ZFY	GSM1022689	330.8153822697623
ZFY	GSM1022690	258.40626905195967
ZFY	GSM1022691	222.22359157327037
ZFY	GSM1022692	443.04075176792605
ZFY	GSM1022693	962.097767964277
ZFY	GSM1022694	314.83884676668254
ZFY	GSM1022695	293.28866647725334
ZFY	GSM1385778	852
ZFY	GSM1385779	1.078755114838832
ZFY	GSM1385780	83.07027553660923
ZFY	GSM1385781	450.51117016136146
ZFY	GSM1385782	423.9203481344181
ZFY	GSM1385783	141.3130433255063
ZFY	GSM1415906	59
ZFY	GSM1415907	878.3008976959513
ZFY	GSM1415908	89.15081478995683
ZFY	GSM1415909	925.5862839407506
ZFY	GSM1415910	802.5496008063683
ZFY	GSM1415911	60.181885745978974
ZFY	GSM1415912	290.9896353377091
ZFY	GSM1415913	84.94040781792022
ZFY	GSM1415914	272.7753362064996
ZFY	GSM1415915	63.72134257823437
ZFY	GSM1415916	327.68096512339935
ZFY	GSM1415917	273.52989626423255
ZFY	GSM1415918	274.6594490375249
ZFY	GSM1415919	291.7275374792189
ZFY	GSM1415920	64.4167129794668
ZFY	GSM1415921	62.62498758561875
ZFY	GSM2769390	273.05941906642016
ZFY	GSM2769391	494.3731112111156
ZFY	GSM2769392	217.11522996513273
ZFY	GSM2769393	227.13635761853897
ZFY	GSM2769394	493.7446097421737
ZFY	GSM2769395	174.32876924219147
ZFY	GSM2769396	436.1251571220658
ZFY	GSM2769397	169.09060558649017
ZFY	GSM2769398	187.5285166760813
ZFY	GSM3103946	603.9893586776143
ZFY	GSM3103947	646.5917749846957
ZFY	GSM3103948	503.0457619776459
ZFY	GSM3103949	476.2853928526271
ZFY	GSM3103950	501.0832051308342
ZFY	GSM3103951	1
ZFY	GSM3103952	1.0045505879962513
ZFY	GSM3103953	1.0100156499625657
ZFY	GSM3103954	1.0030314290996496
ZFY	GSM3103955	0.529870407715692
ZFY	GSM3103956	539.6371790231982
ZFY	GSM3103957	595.4630287523044
ZFY	GSM3103958	504.18871542665215
ZFY	GSM3103959	641.9401146237758
ZFY	GSM3103960	587
ZFY	GSM3103961	0.8960188842937727
ZFY	GSM3103962	1.0075958118807733
ZFY	GSM3103963	1.0272349045407547
ZFY	GSM3103964	1.010650267145594
ZFY	GSM3103965	1
ZFY	GSM4260265	205.75495607177209
ZFY	GSM4260266	204.15135396340995
ZFY	GSM4260267	212.55011181306645
ZFY	GSM4260268	410.5713755876584
ZFY	GSM4260269	587.1000801465113
ZFY	GSM4260270	463.57888210162514
