Gene	sample	counts
ZHX2	GSM1022678	1412.1837257566087
ZHX2	GSM1022679	373.4769601043768
ZHX2	GSM1022680	1226.0851020682005
ZHX2	GSM1022681	1323.539875560837
ZHX2	GSM1022682	498.0818904114934
ZHX2	GSM1022683	1396.3288112447915
ZHX2	GSM1022684	606.5528799727787
ZHX2	GSM1022685	951.6010398984672
ZHX2	GSM1022686	758.9656314593788
ZHX2	GSM1022687	665.2324609958099
ZHX2	GSM1022688	639.2552564456652
ZHX2	GSM1022689	1061.720574147739
ZHX2	GSM1022690	723.2044930924741
ZHX2	GSM1022691	840.7529361376501
ZHX2	GSM1022692	1198.5201680913765
ZHX2	GSM1022693	1737.2877385033562
ZHX2	GSM1022694	893.5743760764959
ZHX2	GSM1022695	1195.2057527156364
ZHX2	GSM1385778	886
ZHX2	GSM1385779	807.069552544422
ZHX2	GSM1385780	1071.902252806897
ZHX2	GSM1385781	791.6109695959104
ZHX2	GSM1385782	1037.474990106765
ZHX2	GSM1385783	1116.1374726097104
ZHX2	GSM1415906	1820
ZHX2	GSM1415907	1786.9231058903863
ZHX2	GSM1415908	1313.8530924945824
ZHX2	GSM1415909	1560.2337060520342
ZHX2	GSM1415910	1725.369545872064
ZHX2	GSM1415911	1783.411465551745
ZHX2	GSM1415912	478.5044116898724
ZHX2	GSM1415913	544.5792325702373
ZHX2	GSM1415914	711.1604602631136
ZHX2	GSM1415915	755.0418517129773
ZHX2	GSM1415916	682.2511034586984
ZHX2	GSM1415917	557.8314245370149
ZHX2	GSM1415918	423.7402637091521
ZHX2	GSM1415919	342.071547532463
ZHX2	GSM1415920	544.7260760021277
ZHX2	GSM1415921	641.0513294218285
ZHX2	GSM2769390	924.907258597364
ZHX2	GSM2769391	727.8913975405006
ZHX2	GSM2769392	1000.6251271880374
ZHX2	GSM2769393	1098.5389819110108
ZHX2	GSM2769394	1007.1750461248644
ZHX2	GSM2769395	962.8363139134632
ZHX2	GSM2769396	1341.0855456917843
ZHX2	GSM2769397	1152.7897200105274
ZHX2	GSM2769398	948.3887427991316
ZHX2	GSM3103946	722.6065928038975
ZHX2	GSM3103947	836.6803456108336
ZHX2	GSM3103948	1008.6118013501374
ZHX2	GSM3103949	1189.1945207007077
ZHX2	GSM3103950	887.05661180584
ZHX2	GSM3103951	842
ZHX2	GSM3103952	915.8330581271928
ZHX2	GSM3103953	515.0481900183952
ZHX2	GSM3103954	711.7560978639435
ZHX2	GSM3103955	1009.182975484327
ZHX2	GSM3103956	746.321461755482
ZHX2	GSM3103957	540.415888317044
ZHX2	GSM3103958	685.4977058503686
ZHX2	GSM3103959	867
ZHX2	GSM3103960	954
ZHX2	GSM3103961	920.9659933266267
ZHX2	GSM3103962	565.724527316313
ZHX2	GSM3103963	529.5475931957984
ZHX2	GSM3103964	547.6876071394673
ZHX2	GSM3103965	951
ZHX2	GSM4260265	1412.5828710523515
ZHX2	GSM4260266	1568.5110937505578
ZHX2	GSM4260267	1069.169520439254
ZHX2	GSM4260268	978.8771340480632
ZHX2	GSM4260269	1455.345918396671
ZHX2	GSM4260270	1304.2302164693303
ZHX2	GSM4260271	591.5028481316588
ZHX2	GSM4260272	648.5075505616475
ZHX2	GSM4260273	1058.5863997891702
ZHX2	GSM4260274	401.1507925814204
ZHX2	GSM4260275	653.3125380496294
ZHX2	GSM4260276	838.2353765461719
ZHX2	GSM4735786	1456.887237700862
ZHX2	GSM4735787	1302.156464336719
ZHX2	GSM4735788	1729.5309800742125
ZHX2	GSM4735790	956.632853621031
ZHX2	GSM4735793	937.4615753940418
ZHX2	GSM4735798	748.8775905905102
ZHX2	GSM4735800	910.6208174058834
ZHX2	GSM4735803	1506.0498136160902
ZHX2	GSM4735804	1145.4618146344085
ZHX2	GSM4735785	284.3554644027059
ZHX2	GSM4735789	932.7490774846668
ZHX2	GSM4735791	1337.9372743304118
ZHX2	GSM4735792	598.04210054929
ZHX2	GSM4735794	777.8397538926484
ZHX2	GSM4735795	838.2037206796626
ZHX2	GSM4735796	938.8520405442832
ZHX2	GSM4735797	1051.2942169537482
ZHX2	GSM4735799	955.0438742969249
ZHX2	GSM4735801	920.3998511564804
ZHX2	GSM4735802	1247.7578680154645
ZHX2	GSM5282507	83
ZHX2	GSM5282509	238
ZHX2	GSM5282510	61.62837061199328
ZHX2	GSM5282511	1.0477400148936675
ZHX2	GSM5282512	1.0331850435179522
ZHX2	GSM5282515	987.417224141588
ZHX2	GSM5282516	595.9337843384156
ZHX2	GSM5282519	1.100913956612852
ZHX2	GSM5282521	120.21886978401147
ZHX2	GSM5282523	1440
ZHX2	GSM5282524	4405.3736196254395
ZHX2	GSM5282526	657
ZHX2	GSM5282528	1254.37328365132
ZHX2	GSM5282529	4950
ZHX2	GSM5282513	259.8831997136913
ZHX2	GSM5282533	2057.223049232159
ZHX2	GSM5282534	2341
ZHX2	GSM5282536	1.013771518848965
ZHX2	GSM5282525	3649
ZHX2	GSM5282530	1963.901669993267
ZHX2	GSM5282514	163
ZHX2	GSM5282520	575.6452318307183
ZHX2	GSM5282535	17
ZHX2	GSM5282522	336.39976057990657
ZHX2	GSM5282531	466.3413722911035
ZHX2	GSM5282508	1.0294848096363618
ZHX2	GSM5282518	3163
ZHX2	GSM5282517	1.043238272186699
ZHX2	GSM5282527	75.39789172287537
ZHX2	GSM5282532	2542
