Gene	sample	counts
ZNF836	GSM1022678	131.3845347289272
ZNF836	GSM1022679	31.459912607301376
ZNF836	GSM1022680	173.8835762977508
ZNF836	GSM1022681	110.5776345072893
ZNF836	GSM1022682	35.3505477486898
ZNF836	GSM1022683	236.40455290788756
ZNF836	GSM1022684	196.78303660269577
ZNF836	GSM1022685	193.2415041073548
ZNF836	GSM1022686	216.0616425032638
ZNF836	GSM1022687	199.25480120824207
ZNF836	GSM1022688	170.01931396717663
ZNF836	GSM1022689	175.61804243950343
ZNF836	GSM1022690	117.7547555173487
ZNF836	GSM1022691	250.1357335100097
ZNF836	GSM1022692	295.6992173496938
ZNF836	GSM1022693	339.86053228926767
ZNF836	GSM1022694	286.69100285045596
ZNF836	GSM1022695	256.49984420136093
ZNF836	GSM1385778	223
ZNF836	GSM1385779	168.28579791485777
ZNF836	GSM1385780	179.98559699598667
ZNF836	GSM1385781	189.47673375914084
ZNF836	GSM1385782	190.86461171928775
ZNF836	GSM1385783	172.12566179497762
ZNF836	GSM1415906	274
ZNF836	GSM1415907	344.0766403344964
ZNF836	GSM1415908	271.5047541330503
ZNF836	GSM1415909	230.39049893742597
ZNF836	GSM1415910	338.3396058606521
ZNF836	GSM1415911	318.9639944536886
ZNF836	GSM1415912	134.56832938542277
ZNF836	GSM1415913	105.88461796480466
ZNF836	GSM1415914	124.79195543050386
ZNF836	GSM1415915	115.5624348452725
ZNF836	GSM1415916	138.88464746952025
ZNF836	GSM1415917	127.3519759934686
ZNF836	GSM1415918	116.11618983700238
ZNF836	GSM1415919	113.57331611786384
ZNF836	GSM1415920	145.2105563774421
ZNF836	GSM1415921	169.8304748084576
ZNF836	GSM2769390	141.9048949479034
ZNF836	GSM2769391	177.46727069116972
ZNF836	GSM2769392	197.28258876639464
ZNF836	GSM2769393	166.2225162572035
ZNF836	GSM2769394	254.5075307949349
ZNF836	GSM2769395	124.67148345805208
ZNF836	GSM2769396	221.6207092135439
ZNF836	GSM2769397	195.1848348436646
ZNF836	GSM2769398	243.05371993771428
ZNF836	GSM3103946	205.03317694240084
ZNF836	GSM3103947	339.3006343979096
ZNF836	GSM3103948	73.09211926170924
ZNF836	GSM3103949	79.66339311058177
ZNF836	GSM3103950	173.68222647961184
ZNF836	GSM3103951	139
ZNF836	GSM3103952	169.76904937136646
ZNF836	GSM3103953	245.4338029409035
ZNF836	GSM3103954	258.7821087077096
ZNF836	GSM3103955	212.47803349399248
ZNF836	GSM3103956	95.59287171268085
ZNF836	GSM3103957	73.16269295250156
ZNF836	GSM3103958	80.95713113558033
ZNF836	GSM3103959	139.4213686448513
ZNF836	GSM3103960	223
ZNF836	GSM3103961	243.7171365279062
ZNF836	GSM3103962	144.0862010989506
ZNF836	GSM3103963	105.80519516769776
ZNF836	GSM3103964	175.85314648333332
ZNF836	GSM3103965	174
ZNF836	GSM4260265	201.6806005059944
ZNF836	GSM4260266	211.2259058334291
ZNF836	GSM4260267	193.61000283962488
ZNF836	GSM4260268	188.5276724637207
ZNF836	GSM4260269	171.66075007744016
ZNF836	GSM4260270	225.71635525908823
ZNF836	GSM4260271	187.5450627382401
ZNF836	GSM4260272	153.973002869839
ZNF836	GSM4260273	234.62240525455937
ZNF836	GSM4260274	114.87529841699192
ZNF836	GSM4260275	157.2032354473364
ZNF836	GSM4260276	224.4220661046351
ZNF836	GSM4735785	248.20142822609264
ZNF836	GSM4735786	182.1248628671424
ZNF836	GSM4735787	426.1699134652398
ZNF836	GSM4735788	187.5436082697861
ZNF836	GSM4735789	279.24974843364333
ZNF836	GSM4735790	235.2634946846162
ZNF836	GSM4735791	317.72566415407636
ZNF836	GSM4735792	162.48126042734617
ZNF836	GSM4735793	147.1133451380973
ZNF836	GSM4735794	250.98856633987313
ZNF836	GSM4735795	127.66271836214956
ZNF836	GSM4735796	115.37941751541504
ZNF836	GSM4735797	118.1534983508957
ZNF836	GSM4735798	78.87939563241896
ZNF836	GSM4735799	122.9965484485174
ZNF836	GSM4735800	147.52662312407062
ZNF836	GSM4735801	336.1464711040793
ZNF836	GSM4735802	143.62357747539934
ZNF836	GSM4735803	201.44689482217711
ZNF836	GSM4735804	96.6623197935702
ZNF836	GSM5282507	300
ZNF836	GSM5282508	254.2709724067089
ZNF836	GSM5282509	459.38839452763955
ZNF836	GSM5282510	87.27398200877882
ZNF836	GSM5282511	98.565883658149275
ZNF836	GSM5282512	130.21751281689316
ZNF836	GSM5282513	217.0957547205742
ZNF836	GSM5282514	270
ZNF836	GSM5282515	226.13367501924495
ZNF836	GSM5282516	77.89589522903617
ZNF836	GSM5282517	111.61895176714276
ZNF836	GSM5282518	270
ZNF836	GSM5282519	161.90681600218915
ZNF836	GSM5282520	108.29380431836836
ZNF836	GSM5282521	108.8715572953286
ZNF836	GSM5282522	87.42247195512844
ZNF836	GSM5282523	228
ZNF836	GSM5282524	83.83129894689296
ZNF836	GSM5282525	173
ZNF836	GSM5282526	163
ZNF836	GSM5282527	216.30549026876236
ZNF836	GSM5282528	130.85678278841365
ZNF836	GSM5282529	315
ZNF836	GSM5282530	118.31859323010248
ZNF836	GSM5282531	94.008550917016
ZNF836	GSM5282532	325.27001551820064
ZNF836	GSM5282533	309.2014173345596
ZNF836	GSM5282534	194.588097245332
ZNF836	GSM5282535	278
ZNF836	GSM5282536	253.42849544374693
ZNF836	GSM4260927	237
ZNF836	GSM4260928	272.2309208708583
ZNF836	GSM4260929	221.15387086512163
ZNF836	GSM4260930	508
ZNF836	GSM4260931	170.25747649069592
ZNF836	GSM4260932	238
ZNF836	GSM4260933	221.82768438613056
ZNF836	GSM4260934	195
ZNF836	GSM4260935	211.53343824026055
ZNF836	GSM4260936	158.2794431486286
ZNF836	GSM4260937	230
ZNF836	GSM4260938	188.5495909089191
ZNF836	GSM4260939	256
ZNF836	GSM4260940	141.85615873439764
ZNF836	GSM4260941	325
ZNF836	GSM4260942	214.27480202632907
ZNF836	GSM4260943	219.01853742463285
ZNF836	GSM4260944	246.3874848219189
ZNF836	GSM4260945	170.77359995936274
ZNF836	GSM4260946	175.74328943537955
ZNF836	GSM4260947	208.66029155730095
ZNF836	GSM4260948	359.66162850801226
ZNF836	GSM4260949	116.18957828956869
ZNF836	GSM4260950	227
ZNF836	GSM4260951	173.40517388582896
ZNF836	GSM4260952	218.1722171701673
ZNF836	GSM4260953	182.71925275802835
ZNF836	GSM4260954	200.2083375045754
ZNF836	GSM4260955	91.85644344678693
ZNF836	GSM4260956	146.99125244964927
ZNF836	GSM4260957	214.75481989669544
ZNF836	GSM4260958	179.537594009629
ZNF836	GSM4260959	108.7558558672271
ZNF836	GSM4260960	190.02821771643548
ZNF836	GSM4260961	99.23775800501818
ZNF836	GSM4260962	175.53050009243867
ZNF836	GSM4260963	116
ZNF836	GSM4260964	199
ZNF836	GSM4260965	93.19272067347332
ZNF836	GSM4260966	338.29536988946165
ZNF836	GSM4260967	55.376966906842
ZNF836	GSM4260968	89
ZNF836	GSM4260969	128.1938646518181
ZNF836	GSM4260970	88.72590426030315
ZNF836	GSM4260971	100.55808411237729
