Feature	sample	counts
Paramyxoviridae	GSM1022678	1.0551929069907038
Paramyxoviridae	GSM1022679	1.0480364517756589
Paramyxoviridae	GSM1022680	1.0551929069907038
Paramyxoviridae	GSM1022681	1.0551929069907038
Paramyxoviridae	GSM1022682	1.0480364517756589
Paramyxoviridae	GSM1022683	1.0537646677855694
Paramyxoviridae	GSM1022684	1.0551929069907038
Paramyxoviridae	GSM1022685	1.0480364517756589
Paramyxoviridae	GSM1022686	1.0551929069907038
Paramyxoviridae	GSM1022687	1.0599993286605758
Paramyxoviridae	GSM1022688	1.0551929069907038
Paramyxoviridae	GSM1022689	1.0551929069907038
Paramyxoviridae	GSM1022690	1.0551929069907038
Paramyxoviridae	GSM1022691	1.0599993286605758
Paramyxoviridae	GSM1022692	1.0537646677855694
Paramyxoviridae	GSM1022693	1.0451667298357248
Paramyxoviridae	GSM1022694	1.0480364517756589
Paramyxoviridae	GSM1022695	1.0551929069907038
Paramyxoviridae	GSM1385778	1.0480364517756589
Paramyxoviridae	GSM1385779	1.0551929069907038
Paramyxoviridae	GSM1385780	1.0599993286605758
Paramyxoviridae	GSM1385781	1.0599993286605758
Paramyxoviridae	GSM1385782	1.0551929069907038
Paramyxoviridae	GSM1385783	1.0551929069907038
Paramyxoviridae	GSM1415906	1.037817689589653
Paramyxoviridae	GSM1415907	1.0451667298357248
Paramyxoviridae	GSM1415908	1.0551929069907038
Paramyxoviridae	GSM1415909	1.0551929069907038
Paramyxoviridae	GSM1415910	1.0599993286605758
Paramyxoviridae	GSM1415911	1.0599993286605758
Paramyxoviridae	GSM1415912	1.0551929069907038
Paramyxoviridae	GSM1415913	1.0551929069907038
Paramyxoviridae	GSM1415914	1.0551929069907038
Paramyxoviridae	GSM1415915	1.0599993286605758
Paramyxoviridae	GSM1415916	1.0599993286605758
Paramyxoviridae	GSM1415917	1.0599993286605758
Paramyxoviridae	GSM1415918	1.0599993286605758
Paramyxoviridae	GSM1415919	1.0599993286605758
Paramyxoviridae	GSM1415920	1.0551929069907038
Paramyxoviridae	GSM1415921	1.0551929069907038
Paramyxoviridae	GSM3103946	1.005916559043594
Paramyxoviridae	GSM3103947	2.023180541084163
Paramyxoviridae	GSM3103948	6.028115343104142
Paramyxoviridae	GSM3103949	1.0106301739088686
Paramyxoviridae	GSM3103950	1.0115902705420814
Paramyxoviridae	GSM3103951	1.0115902705420814
Paramyxoviridae	GSM3103952	1.005916559043594
Paramyxoviridae	GSM3103953	1.00888795277605
Paramyxoviridae	GSM3103954	2.009371781034714
Paramyxoviridae	GSM3103955	1.00888795277605
Paramyxoviridae	GSM3103956	0.9297731250167348
Paramyxoviridae	GSM3103957	1.021885393547457
Paramyxoviridae	GSM3103958	1.0106301739088686
Paramyxoviridae	GSM3103959	0.5268823338927847
Paramyxoviridae	GSM3103960	0.5189088447948265
Paramyxoviridae	GSM3103961	0.5235208821024376
Paramyxoviridae	GSM3103962	3.031890521726606
Paramyxoviridae	GSM3103963	21.3488021670848
Paramyxoviridae	GSM3103964	1.0115902705420814
Paramyxoviridae	GSM3103965	1.0106301739088686
Paramyxoviridae	GSM4735785	1.0599993286605758
Paramyxoviridae	GSM4735786	1.0599993286605758
Paramyxoviridae	GSM4735787	1.0599993286605758
Paramyxoviridae	GSM4735788	1.0599993286605758
Paramyxoviridae	GSM4735789	1.0599993286605758
Paramyxoviridae	GSM4735790	1.0599993286605758
Paramyxoviridae	GSM4735791	1.0599993286605758
Paramyxoviridae	GSM4735792	1.0599993286605758
Paramyxoviridae	GSM4735793	1.0599993286605758
Paramyxoviridae	GSM4735794	1.0599993286605758
Paramyxoviridae	GSM4735795	1.0599993286605758
Paramyxoviridae	GSM4735796	1.0599993286605758
Paramyxoviridae	GSM4735797	1.0599993286605758
Paramyxoviridae	GSM4735798	1.0599993286605758
Paramyxoviridae	GSM4735799	1.0599993286605758
Paramyxoviridae	GSM4735800	1.0599993286605758
Paramyxoviridae	GSM4735801	1.0599993286605758
Paramyxoviridae	GSM4735802	1.0599993286605758
Paramyxoviridae	GSM4735803	1.0599993286605758
Paramyxoviridae	GSM4735804	1.0599993286605758
Paramyxoviridae	GSM5282507	1.0226244578864936
Paramyxoviridae	GSM5282508	1.0226244578864936
Paramyxoviridae	GSM5282509	1.021885393547457
Paramyxoviridae	GSM5282510	1.0334951337172895
Paramyxoviridae	GSM5282511	1.037886162142204
Paramyxoviridae	GSM5282512	1.0226244578864936
Paramyxoviridae	GSM5282513	1.021885393547457
Paramyxoviridae	GSM5282514	1.0226244578864936
Paramyxoviridae	GSM5282515	1.0226244578864936
Paramyxoviridae	GSM5282516	1.028859052359965
Paramyxoviridae	GSM5282517	1.0451667298357248
Paramyxoviridae	GSM5282518	1.016609627004038
Paramyxoviridae	GSM5282519	1.037817689589653
Paramyxoviridae	GSM5282520	1.0344769520163473
Paramyxoviridae	GSM5282521	1.028859052359965
Paramyxoviridae	GSM5282522	1.02690154755189
Paramyxoviridae	GSM5282523	1.016609627004038
Paramyxoviridae	GSM5282524	1.0226244578864936
Paramyxoviridae	GSM5282525	1.02690154755189
Paramyxoviridae	GSM5282526	1.0226244578864936
Paramyxoviridae	GSM5282527	1.021885393547457
Paramyxoviridae	GSM5282528	1.02690154755189
Paramyxoviridae	GSM5282529	1.021885393547457
Paramyxoviridae	GSM5282530	1.028859052359965
