Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Algavirales	Algavirales	1.3917746684029038	-1.2419627941008957	0.42882639538141015	-2.8961901773706336	0.0037772341594627073	0.03021787327570166
Amarillovirales	Amarillovirales	3.6283419066141307	1.5776004609328145	0.5235552034156921	3.0132456914581214	0.002584695690184296	0.03021787327570166
Articulavirales	Articulavirales	1.060605153403033	0.01985400325396089	0.5565701563091809	0.03567205864148377	0.9715438503408572	0.981547243046265
Blubervirales	Blubervirales	1.115464814157376	0.01985526427531933	0.5588677829993233	0.03552765945598151	0.9716589912364351	0.981547243046265
Bunyavirales	Bunyavirales	2391.838039124102	-0.017410793363260787	0.7527636526672243	-0.023129163186307044	0.981547243046265	0.981547243046265
Caudovirales	Caudovirales	70603.0533208293	-0.9705888084711186	0.7919753022301482	-1.2255291367521273	0.2203759189703266	0.7137576634520221
Chitovirales	Chitovirales	652.5134695611277	-0.7185455213743408	0.20344189475812852	-3.5319446971756605	4.125156161219153e-4	0.009900374786925967
Herpesvirales	Herpesvirales	7.010519373988936	-1.1530709244274127	0.5487985673064274	-2.101082242409688	0.035633747419500796	0.2105565349019
Martellivirales	Martellivirales	1.6900814119053642	0.6029973148832146	0.5954305221793428	1.0127081035016083	0.31119960606932917	0.74687905456639
Mononegavirales	Mononegavirales	1.474867599891807	0.8837623942545714	0.5831869541503856	1.5154015156976177	0.1296707538034999	0.5186830152139996
Nidovirales	Nidovirales	1.3724814835330874	-0.1053235986956202	0.6115195270253645	-0.17223260098978263	0.8632546689439707	0.981547243046265
Ortervirales	Ortervirales	2392.4366366485747	-0.28644657560058584	0.24270944392247917	-1.1802036664550895	0.23791922115067402	0.7137576634520221
Petitvirales	Petitvirales	1.1884063719963613	0.41893487520511485	0.5361567981481554	0.781366340317019	0.43458706217233883	0.9481899538305574
Piccovirales	Piccovirales	1.0441442423241696	0.019853532734103504	0.5557399916596942	0.03572449892405936	0.9715020357011218	0.981547243046265
Picornavirales	Picornavirales	1.0600211229787482	-0.32811105221772235	0.5179817000573244	-0.6334413979903358	0.5264454381800627	0.981547243046265
Pimascovirales	Pimascovirales	1.0981912196836716	0.08387215149627228	0.5521046732713584	0.1519134967637727	0.87925516296985	0.981547243046265
Reovirales	Reovirales	1.0519352575967915	0.01985354534425412	0.5557621911051098	0.03572309462933449	0.9715031554514666	0.981547243046265
Rowavirales	Rowavirales	1.842423914547221	1.150984301890215	0.5711033563845275	2.015369528165144	0.04386594477122917	0.2105565349019
Sepolyvirales	Sepolyvirales	1.558176211678363	-0.46534491961977775	0.4462852709324781	-1.042707321815654	0.2970838657850191	0.74687905456639
Stellavirales	Stellavirales	1.0288366224369405	0.019853423318929215	0.5555474862921816	0.035736681037717113	0.9714923219833265	0.981547243046265
Tolivirales	Tolivirales	1.0365579942823167	0.0838731551509485	0.5518539461835141	0.1519843352231049	0.8791992907958354	0.981547243046265
Tubulavirales	Tubulavirales	1.0288366224369405	0.019853423318929215	0.5555474862921816	0.035736681037717113	0.9714923219833265	0.981547243046265
Tymovirales	Tymovirales	1.044763022705051	0.019853444999459006	0.5555927791160379	0.03573380674789607	0.9714946138709516	0.981547243046265
Zurhausenvirales	Zurhausenvirales	1.1088115833284222	0.08402318229954418	0.5523207452995211	0.1521275146997761	0.8790863631773291	0.981547243046265
