Gene	sample	counts
AC005301.9	GSM1022678	28.330555615393745
AC005301.9	GSM1022679	2.1746659272916387
AC005301.9	GSM1022680	6.144210979554342
AC005301.9	GSM1022681	20.508354038694524
AC005301.9	GSM1022682	12.127803205747126
AC005301.9	GSM1022683	3.0465313306046595
AC005301.9	GSM1022684	3.1353287387165225
AC005301.9	GSM1022685	10.299388126007116
AC005301.9	GSM1022686	2.1025943121872612
AC005301.9	GSM1022687	3.2618102040736905
AC005301.9	GSM1022688	5.237166496379694
AC005301.9	GSM1022689	7.158070900270198
AC005301.9	GSM1022690	14.143454934289116
AC005301.9	GSM1022691	24.748603241255577
AC005301.9	GSM1022692	4.069129985476505
AC005301.9	GSM1022693	25.240341523211367
AC005301.9	GSM1022694	9.400311722530562
AC005301.9	GSM1022695	7.159911965201505
AC005301.9	GSM1385778	2.006062858199299
AC005301.9	GSM1385779	1.077256250738088
AC005301.9	GSM1385780	1.0665550545786855
AC005301.9	GSM1385781	1.0118859036434402
AC005301.9	GSM1385782	1.0069631126805123
AC005301.9	GSM1385783	1.06319017904285
AC005301.9	GSM1415906	117.17720440830249
AC005301.9	GSM1415907	359.7117048414361
AC005301.9	GSM1415908	154.3078219591772
AC005301.9	GSM1415909	21.15951204949624
AC005301.9	GSM1415910	14.118835169287085
AC005301.9	GSM1415911	32.14561881588004
AC005301.9	GSM1415912	5.6710047083097805
AC005301.9	GSM1415913	14.915003764102554
AC005301.9	GSM1415914	5.4711280167893745
AC005301.9	GSM1415915	7.530154727716428
AC005301.9	GSM1415916	30.12873438065896
AC005301.9	GSM1415917	10.953867172131924
AC005301.9	GSM1415918	13.22915834117724
AC005301.9	GSM1415919	8.818982210620863
AC005301.9	GSM1415920	22.72915676798969
AC005301.9	GSM1415921	15.824103257137388
AC005301.9	GSM2769390	1.0754464105331571
AC005301.9	GSM2769391	1.0585243543160967
AC005301.9	GSM2769392	1.0476453445591134
AC005301.9	GSM2769393	1.0359543069535193
AC005301.9	GSM2769394	1.0203663161311838
AC005301.9	GSM2769395	1.059075372841705
AC005301.9	GSM2769396	1.0181834902363824
AC005301.9	GSM2769397	1.045256860312832
AC005301.9	GSM2769398	1.0492468388860623
AC005301.9	GSM3103946	5.045609419218072
AC005301.9	GSM3103947	3.670420210287521
AC005301.9	GSM3103948	2.8648489791702163
AC005301.9	GSM3103949	2.583700003297323
AC005301.9	GSM3103950	15.37197238875476
AC005301.9	GSM3103951	11
AC005301.9	GSM3103952	7.021220003697548
AC005301.9	GSM3103953	4.036487535374458
AC005301.9	GSM3103954	10.030314290996497
AC005301.9	GSM3103955	5.851421336862662
AC005301.9	GSM3103956	1.026970766354677
AC005301.9	GSM3103957	2.0322970264583766
AC005301.9	GSM3103958	2.0464481396538763
AC005301.9	GSM3103959	2.003029135184658
AC005301.9	GSM3103960	7
AC005301.9	GSM3103961	3.5647088947791263
AC005301.9	GSM3103962	9.06836230692696
AC005301.9	GSM3103963	1.026526731348191
AC005301.9	GSM3103964	3.0300469498876974
AC005301.9	GSM3103965	2.003029135184658
AC005301.9	GSM4260265	3.0642418874443806
AC005301.9	GSM4260266	24.298591188428183
AC005301.9	GSM4260267	9.49057916096212
AC005301.9	GSM4260268	16.817463675079637
AC005301.9	GSM4260269	33.60479022291881
AC005301.9	GSM4260270	34.4860448487054
AC005301.9	GSM4260271	13.086383182890993
AC005301.9	GSM4260272	13.932197916540291
AC005301.9	GSM4260273	30.27365651530843
AC005301.9	GSM4260274	8.681359183513873
AC005301.9	GSM4260275	14.915986059171123
AC005301.9	GSM4260276	16.2290567166799
AC005301.9	GSM4735785	8.591005154897703
AC005301.9	GSM4735786	11.346105061216372
AC005301.9	GSM4735787	6.150057497046897
AC005301.9	GSM4735788	7.2633106656552835
AC005301.9	GSM4735789	11.353615240715852
AC005301.9	GSM4735790	10.371103926068832
AC005301.9	GSM4735791	1.0520134275785296
AC005301.9	GSM4735792	10.719204247070016
AC005301.9	GSM4735793	6.343745792864674
AC005301.9	GSM4735794	4.178990886511364
AC005301.9	GSM4735795	2.0705514400623244
AC005301.9	GSM4735796	1.094525086802148
AC005301.9	GSM4735797	3.244109457022146
AC005301.9	GSM4735798	5.4950535793961945
AC005301.9	GSM4735799	3.265987060749119
AC005301.9	GSM4735800	5.475716286549627
AC005301.9	GSM4735801	3.1844184101011375
AC005301.9	GSM4735802	3.0898164378021344
AC005301.9	GSM4735803	3.0649246249259634
AC005301.9	GSM4735804	2.08318042948193
AC005301.9	GSM5282507	21
AC005301.9	GSM5282508	16.495940597971565
AC005301.9	GSM5282509	15.06825881994377
AC005301.9	GSM5282510	25.93160870338891
AC005301.9	GSM5282511	46.25214742255372
AC005301.9	GSM5282512	11.388032920342782
AC005301.9	GSM5282513	9.183545930848428
AC005301.9	GSM5282514	19
AC005301.9	GSM5282515	5.147185676249167
AC005301.9	GSM5282516	13.71544523961943
AC005301.9	GSM5282517	89.8896518403063
AC005301.9	GSM5282518	55
AC005301.9	GSM5282519	101.02406565589718
AC005301.9	GSM5282520	46.95462349207209
AC005301.9	GSM5282521	6.171874563834028
AC005301.9	GSM5282522	26.7784091276185
AC005301.9	GSM5282523	11
AC005301.9	GSM5282524	37.39405988438697
AC005301.9	GSM5282525	31
AC005301.9	GSM5282526	33
AC005301.9	GSM5282527	12.083557352166148
AC005301.9	GSM5282528	10.238669861786049
AC005301.9	GSM5282529	23
AC005301.9	GSM5282530	47.99969194098098
AC005301.9	GSM5282531	95.16366443759932
AC005301.9	GSM5282532	126.57337408752768
AC005301.9	GSM5282533	112.13856094713468
AC005301.9	GSM5282534	69.27046626776495
AC005301.9	GSM5282535	23.034835054623567
AC005301.9	GSM5282536	78.12510975925898
AC005301.9	GSM4260927	3
AC005301.9	GSM4260928	11.343909330129105
AC005301.9	GSM4260929	6.493552841733064
AC005301.9	GSM4260930	6
AC005301.9	GSM4260931	2.006062858199299
AC005301.9	GSM4260932	4.006058270369316
AC005301.9	GSM4260933	7.565925487556662
AC005301.9	GSM4260934	6
AC005301.9	GSM4260935	10.084882263776487
AC005301.9	GSM4260936	6.093062661209319
AC005301.9	GSM4260937	8
AC005301.9	GSM4260938	2.10003300991839
AC005301.9	GSM4260939	3.004543702776987
AC005301.9	GSM4260940	6.041778676083074
AC005301.9	GSM4260941	10
AC005301.9	GSM4260942	4.809435946705027
AC005301.9	GSM4260943	3.0446544918914955
AC005301.9	GSM4260944	2.440247514674021
AC005301.9	GSM4260945	9.04896274840169
AC005301.9	GSM4260946	5.471782202755215
AC005301.9	GSM4260947	14.34314429086161
AC005301.9	GSM4260948	13.97528160456468
AC005301.9	GSM4260949	9.270755598782648
AC005301.9	GSM4260950	5
AC005301.9	GSM4260951	4.291404188319877
AC005301.9	GSM4260952	1.8577439359632597
AC005301.9	GSM4260953	2.9285354594887827
AC005301.9	GSM4260954	4.030383247523093
AC005301.9	GSM4260955	3.1390887361336945
AC005301.9	GSM4260956	14.307152271841264
AC005301.9	GSM4260957	2.6756769349455034
AC005301.9	GSM4260958	11.50963068936096
AC005301.9	GSM4260959	7.1238127718542295
AC005301.9	GSM4260960	7.042504334331798
AC005301.9	GSM4260961	15.045471436494744
AC005301.9	GSM4260962	6.023518805892604
AC005301.9	GSM4260963	11
AC005301.9	GSM4260964	6
