Gene	sample	counts
ADGRF2	GSM1022678	11.129861134618972
ADGRF2	GSM1022679	1.087332963645819
ADGRF2	GSM1022680	10.240351632590569
ADGRF2	GSM1022681	10.254177019347262
ADGRF2	GSM1022682	1.010650267145594
ADGRF2	GSM1022683	2.031020887069773
ADGRF2	GSM1022684	37.62394486459827
ADGRF2	GSM1022685	12.359265751208538
ADGRF2	GSM1022686	27.333726058434397
ADGRF2	GSM1022687	44.5780727890071
ADGRF2	GSM1022688	28.280699080450347
ADGRF2	GSM1022689	29.65486515826225
ADGRF2	GSM1022690	56.57381973715646
ADGRF2	GSM1022691	4.304104911522709
ADGRF2	GSM1022692	10.172824963691262
ADGRF2	GSM1022693	127.2113212769853
ADGRF2	GSM1022694	7.311353561968216
ADGRF2	GSM1022695	9.20560109811622
ADGRF2	GSM1385778	21.063660011092644
ADGRF2	GSM1385779	20.46786876402367
ADGRF2	GSM1385780	20.26454603699503
ADGRF2	GSM1385781	19.225832169225367
ADGRF2	GSM1385782	19.132299140929735
ADGRF2	GSM1385783	20.20061340181415
ADGRF2	GSM1415906	92.13934021849428
ADGRF2	GSM1415907	74.56209007917722
ADGRF2	GSM1415908	41.62250460740964
ADGRF2	GSM1415909	35.26585341582707
ADGRF2	GSM1415910	46.390458413371846
ADGRF2	GSM1415911	67.30488939574884
ADGRF2	GSM1415912	4.536803766647824
ADGRF2	GSM1415913	5.736539909270213
ADGRF2	GSM1415914	4.3769024134315
ADGRF2	GSM1415915	1.0757363896737755
ADGRF2	GSM1415916	5.380131139403386
ADGRF2	GSM1415917	3.286160151639578
ADGRF2	GSM1415918	2.20485972352954
ADGRF2	GSM1415919	7.716609434293255
ADGRF2	GSM1415920	10.823407984756992
ADGRF2	GSM1415921	10.549402171424925
ADGRF2	GSM2769390	46.24419565292576
ADGRF2	GSM2769391	68.80408303054628
ADGRF2	GSM2769392	69.14459274090147
ADGRF2	GSM2769393	6.215725841721116
ADGRF2	GSM2769394	21.42769263875486
ADGRF2	GSM2769395	20.122432083992397
ADGRF2	GSM2769396	1.0181834902363824
ADGRF2	GSM2769397	1.045256860312832
ADGRF2	GSM2769398	1.0492468388860623
ADGRF2	GSM3103946	17.155072025341443
ADGRF2	GSM3103947	37.621807155447094
ADGRF2	GSM3103948	0.7162122447925541
ADGRF2	GSM3103949	17.22466668864882
ADGRF2	GSM3103950	8.020159507176396
ADGRF2	GSM3103951	1
ADGRF2	GSM3103952	15.045471436494744
ADGRF2	GSM3103953	16.14595014149783
ADGRF2	GSM3103954	20.060628581992994
ADGRF2	GSM3103955	22.873737953190407
ADGRF2	GSM3103956	67.78007057940869
ADGRF2	GSM3103957	13.209930671979448
ADGRF2	GSM3103958	1.023224069826938
ADGRF2	GSM3103959	60.09087405553974
ADGRF2	GSM3103960	61
ADGRF2	GSM3103961	59.70887398755037
ADGRF2	GSM3103962	71.53930264353491
ADGRF2	GSM3103963	1.026526731348191
ADGRF2	GSM3103964	6.060093899775395
ADGRF2	GSM3103965	1.001514567592329
ADGRF2	GSM4260265	18.385451324666285
ADGRF2	GSM4260266	18.223943391321136
ADGRF2	GSM4260267	18.981158321924237
ADGRF2	GSM4260268	18.91964663446459
ADGRF2	GSM4260269	18.32988557613753
ADGRF2	GSM4260270	18.25731786107933
ADGRF2	GSM4260271	19.629574774336486
ADGRF2	GSM4260272	19.290735576748094
ADGRF2	GSM4260273	18.16419390918506
ADGRF2	GSM4260274	31.83165033955087
ADGRF2	GSM4260275	19.177696361791444
ADGRF2	GSM4260276	18.257688806264888
