Gene	sample	counts
C1QL3	GSM1022678	44.51944453847589
C1QL3	GSM1022679	15.22266149104147
C1QL3	GSM1022680	14.336492285626797
C1QL3	GSM1022681	39.99129037545433
C1QL3	GSM1022682	21.22365561005747
C1QL3	GSM1022683	11.17061487888375
C1QL3	GSM1022684	24.037520330160007
C1QL3	GSM1022685	28.83828675281992
C1QL3	GSM1022686	11.564268717029938
C1QL3	GSM1022687	11.959970748270198
C1QL3	GSM1022688	18.853799386966895
C1QL3	GSM1022689	21.474212700810593
C1QL3	GSM1022690	32.638742156051805
C1QL3	GSM1022691	32.28078683642031
C1QL3	GSM1022692	51.88140731482544
C1QL3	GSM1022693	75.72102456963411
C1QL3	GSM1022694	51.179474933777506
C1QL3	GSM1022695	25.571114161433943
C1QL3	GSM1385778	39.11822573488634
C1QL3	GSM1385779	26.9314062684522
C1QL3	GSM1385780	25.597321309888457
C1QL3	GSM1385781	26.309033494729448
C1QL3	GSM1385782	30.20889338041537
C1QL3	GSM1385783	26.579754476071248
C1QL3	GSM1415906	17.025747649069594
C1QL3	GSM1415907	45.3418115346348
C1QL3	GSM1415908	28.42512509774317
C1QL3	GSM1415909	63.47853614848872
C1QL3	GSM1415910	40.33952905510595
C1QL3	GSM1415911	42.191124695842554
C1QL3	GSM1415912	15.878813183267386
C1QL3	GSM1415913	24.093467618934895
C1QL3	GSM1415914	44.863249737672874
C1QL3	GSM1415915	15.060309455432856
C1QL3	GSM1415916	25.82462946913625
C1QL3	GSM1415917	30.670828081969393
C1QL3	GSM1415918	15.43401806470678
C1QL3	GSM1415919	19.84270997389694
C1QL3	GSM1415920	31.38788315579528
C1QL3	GSM1415921	16.87904347427988
C1QL3	GSM2769390	34.41428513706103
C1QL3	GSM2769391	37.04835240106338
C1QL3	GSM2769392	23.048197580300492
C1QL3	GSM2769393	14.50336029734927
C1QL3	GSM2769394	62.24234528400221
C1QL3	GSM2769395	19.063356711150693
C1QL3	GSM2769396	35.63642215827338
C1QL3	GSM2769397	12.543082323753984
C1QL3	GSM2769398	31.477405166581867
C1QL3	GSM3103946	18.16419390918506
C1QL3	GSM3103947	49.55067283888154
C1QL3	GSM3103948	44.40515917713835
C1QL3	GSM3103949	49.95153339708158
C1QL3	GSM3103950	49.45765029425444
C1QL3	GSM3103951	29
C1QL3	GSM3103952	1.0030314290996496
C1QL3	GSM3103953	21.191559560715906
C1QL3	GSM3103954	17.051534294694044
C1QL3	GSM3103955	19.682053587628957
C1QL3	GSM3103956	36.970947588768375
C1QL3	GSM3103957	15.242227698437825
C1QL3	GSM3103958	21.4877054663657
C1QL3	GSM3103959	19.02877678425425
C1QL3	GSM3103960	25
C1QL3	GSM3103961	34.755911724096485
C1QL3	GSM3103962	4.030383247523093
C1QL3	GSM3103963	11.2917940448301
C1QL3	GSM3103964	11.110172149588225
C1QL3	GSM3103965	27.040893324992883
