Gene	sample	counts
CD2BP2	GSM1022678	1583.4756977889715
CD2BP2	GSM1022679	305.5405627844752
CD2BP2	GSM1022680	1314.861149624629
CD2BP2	GSM1022681	1636.5666522878232
CD2BP2	GSM1022682	322.39743521944445
CD2BP2	GSM1022683	1353.6754212320036
CD2BP2	GSM1022684	945.8241695128175
CD2BP2	GSM1022685	986.6813824714816
CD2BP2	GSM1022686	1142.7600086737766
CD2BP2	GSM1022687	667.583821767082
CD2BP2	GSM1022688	821.187706632336
CD2BP2	GSM1022689	1467.404534555391
CD2BP2	GSM1022690	723.4921177924816
CD2BP2	GSM1022691	921.0784510658596
CD2BP2	GSM1022692	1425.2127774131459
CD2BP2	GSM1022693	1735.5258831360136
CD2BP2	GSM1022694	1121.7705322219804
CD2BP2	GSM1022695	1580.2948551766178
CD2BP2	GSM1385778	1878.677866703644
CD2BP2	GSM1385779	847.8006693308753
CD2BP2	GSM1385780	654.864803511313
CD2BP2	GSM1385781	1197.0610240101898
CD2BP2	GSM1385782	1742.0461849372862
CD2BP2	GSM1385783	688.9472360197667
CD2BP2	GSM1415906	1741.63383304306
CD2BP2	GSM1415907	1831.809185999246
CD2BP2	GSM1415908	1465.9243086121833
CD2BP2	GSM1415909	1653.464727296349
CD2BP2	GSM1415910	1761.8289314817523
CD2BP2	GSM1415911	1611.299143145987
CD2BP2	GSM1415912	749.706822438553
CD2BP2	GSM1415913	727.393260495463
CD2BP2	GSM1415914	851.3075194124267
CD2BP2	GSM1415915	987.526005720526
CD2BP2	GSM1415916	880.1894544063939
CD2BP2	GSM1415917	713.0967529057884
CD2BP2	GSM1415918	712.1696907000414
CD2BP2	GSM1415919	734.1802690341868
CD2BP2	GSM1415920	822.5790068415314
CD2BP2	GSM1415921	810.1940867654342
CD2BP2	GSM2769390	571.0620439931065
CD2BP2	GSM2769391	478.4530081508757
CD2BP2	GSM2769392	1311.6519713880098
CD2BP2	GSM2769393	1442.0483952792988
CD2BP2	GSM2769394	1426.472109951395
CD2BP2	GSM2769395	809.1335848510627
CD2BP2	GSM2769396	1692.220960772867
CD2BP2	GSM2769397	1312.842616552917
CD2BP2	GSM2769398	1157.3192632913267
CD2BP2	GSM3103946	854.7262356155414
CD2BP2	GSM3103947	1067.1746761410968
CD2BP2	GSM3103948	1115.1424651420068
CD2BP2	GSM3103949	1627.7310020773136
CD2BP2	GSM3103950	902.9362911829428
CD2BP2	GSM3103951	1045
CD2BP2	GSM3103952	717.1674718062495
CD2BP2	GSM3103953	843.6258948932616
CD2BP2	GSM3103954	764.309948973933
CD2BP2	GSM3103955	1244.7569025689663
CD2BP2	GSM3103956	936.5973389154656
CD2BP2	GSM3103957	1047.6491171392931
CD2BP2	GSM3103958	737.7445543452224
CD2BP2	GSM3103959	748.1313819914698
CD2BP2	GSM3103960	1074
CD2BP2	GSM3103961	884.0478059052233
CD2BP2	GSM3103962	943.1096799204038
CD2BP2	GSM3103963	654.9240546001457
CD2BP2	GSM3103964	757.5117374719243
CD2BP2	GSM3103965	1333.0158894653898
CD2BP2	GSM4260265	1259.4034157396404
CD2BP2	GSM4260266	1635.0926987213131
CD2BP2	GSM4260267	814.0807902514173
CD2BP2	GSM4260268	1048.9892967330925
CD2BP2	GSM4260269	1676.166203240132
CD2BP2	GSM4260270	1374.3703167645829
CD2BP2	GSM4260271	636.8706482340283
CD2BP2	GSM4260272	706.2552636153886
CD2BP2	GSM4260273	1293.6942550875135
CD2BP2	GSM4260274	589.6089778803172
CD2BP2	GSM4260275	843.8186399188236
CD2BP2	GSM4260276	1259.7805276322772
CD2BP2	GSM4735785	1192.0019652420565
CD2BP2	GSM4735786	1693.6640464106622
CD2BP2	GSM4735787	1438.0884447261328
CD2BP2	GSM4735788	1087.421368229534
CD2BP2	GSM4735789	1639.0491820233428
CD2BP2	GSM4735790	1030.887730251242
CD2BP2	GSM4735791	1124.602354081448
CD2BP2	GSM4735792	999.0298358269256
CD2BP2	GSM4735793	856.4056820367309
CD2BP2	GSM4735794	1929.6490418466224
CD2BP2	GSM4735795	1453.5271109237517
CD2BP2	GSM4735796	1095.6196118889502
CD2BP2	GSM4735797	860.770375929876
CD2BP2	GSM4735798	868.2184655445988
CD2BP2	GSM4735799	911.210389949004
CD2BP2	GSM4735800	826.8331592689937
CD2BP2	GSM4735801	816.2725857892582
CD2BP2	GSM4735802	1600.5249147815057
CD2BP2	GSM4735803	1852.236114996924
CD2BP2	GSM4735804	1113.4599395580915
CD2BP2	GSM5282507	1306
CD2BP2	GSM5282508	1091.8250683282429
CD2BP2	GSM5282509	1251.6700326433293
CD2BP2	GSM5282510	959.4695220253898
CD2BP2	GSM5282511	1041.7245021761532
CD2BP2	GSM5282512	919.324839387672
CD2BP2	GSM5282513	1229.574760741373
CD2BP2	GSM5282514	1061
CD2BP2	GSM5282515	1367.092515611779
CD2BP2	GSM5282516	1037.0986669650692
CD2BP2	GSM5282517	1235.4600985493262
CD2BP2	GSM5282518	1559
CD2BP2	GSM5282519	701.6780212404162
CD2BP2	GSM5282520	1137.345324585746
CD2BP2	GSM5282521	1197.3436653838014
CD2BP2	GSM5282522	1361.5791102581404
CD2BP2	GSM5282523	1557
CD2BP2	GSM5282524	1259.27023286341
CD2BP2	GSM5282525	1643
CD2BP2	GSM5282526	1367
CD2BP2	GSM5282527	1422.838878217564
CD2BP2	GSM5282528	1046.392059874534
CD2BP2	GSM5282529	1476
CD2BP2	GSM5282530	1249.013260506803
CD2BP2	GSM5282531	1178.167541243757
CD2BP2	GSM5282532	1578.148973742111
CD2BP2	GSM5282533	1576.706835386006
CD2BP2	GSM5282534	1321.1584580924446
CD2BP2	GSM5282535	1660.5111530680815
CD2BP2	GSM5282536	1262.1770979288074
CD2BP2	GSM4260927	2209
CD2BP2	GSM4260928	1058.5285393676718
CD2BP2	GSM4260929	1218.1905131091228
CD2BP2	GSM4260930	2042
CD2BP2	GSM4260931	1110.355792013312
CD2BP2	GSM4260932	1404.1234237644453
CD2BP2	GSM4260933	1545.1301162365714
CD2BP2	GSM4260934	1250
CD2BP2	GSM4260935	1484.494669227899
CD2BP2	GSM4260936	1134.3251654284682
CD2BP2	GSM4260937	1688
CD2BP2	GSM4260938	751.8118175507836
CD2BP2	GSM4260939	1702.5747649069592
CD2BP2	GSM4260940	1195.265214751768
CD2BP2	GSM4260941	1449
CD2BP2	GSM4260942	1326.4424341012466
CD2BP2	GSM4260943	1123.477507507962
CD2BP2	GSM4260944	1532.475439215285
CD2BP2	GSM4260945	1628.813294712304
CD2BP2	GSM4260946	1290.1246482496183
CD2BP2	GSM4260947	1151.5495844948891
CD2BP2	GSM4260948	1357.931529243535
CD2BP2	GSM4260949	643.8024721376838
CD2BP2	GSM4260950	1732
CD2BP2	GSM4260951	1511.4325551262607
CD2BP2	GSM4260952	1373.8016406448305
CD2BP2	GSM4260953	1670.2413903951024
CD2BP2	GSM4260954	1205.084591009405
CD2BP2	GSM4260955	693.7386106855464
CD2BP2	GSM4260956	1224.2834586904169
CD2BP2	GSM4260957	1089.00051252282
CD2BP2	GSM4260958	947.9750367782754
CD2BP2	GSM4260959	720.5227774961135
CD2BP2	GSM4260960	1287.7722211349574
CD2BP2	GSM4260961	1455.3986036235915
CD2BP2	GSM4260962	901.5199812819264
CD2BP2	GSM4260963	1491
CD2BP2	GSM4260964	1310
CD2BP2	GSM4260965	725.6615035182106
CD2BP2	GSM4260966	1643.5673969244338
CD2BP2	GSM4260967	1014.0440789242396
CD2BP2	GSM4260968	1213
CD2BP2	GSM4260969	1449.3804150489937
CD2BP2	GSM4260970	821.0703936073861
CD2BP2	GSM4260971	1042.4284321276643
CD2BP2	GSM4260972	981.8155363287694
CD2BP2	GSM4260973	1201.4425032435165
CD2BP2	GSM4260974	1130.9732952240863
CD2BP2	GSM4260975	1495
CD2BP2	GSM4260976	1348
CD2BP2	GSM4260977	1042.8248533522024
CD2BP2	GSM4260978	1525
CD2BP2	GSM4260979	1809.73435757652
CD2BP2	GSM4260980	1669.2612263144106
CD2BP2	GSM4260981	1510.8811127134968
CD2BP2	GSM4260982	1440.353132187097
CD2BP2	GSM4260983	1216.2686855033703
CD2BP2	GSM4260984	1803.285313043072
CD2BP2	GSM4260985	1467.655224659297
CD2BP2	GSM4260986	1305.7558816970964
CD2BP2	GSM4260987	894.3257556766001
CD2BP2	GSM4260988	1108.496044172977
CD2BP2	GSM4260989	1200
CD2BP2	GSM4260990	1203.5807830613155
CD2BP2	GSM4260991	998.510023889552
CD2BP2	GSM4260992	1696.7588741598215
CD2BP2	GSM4260993	806.0085307583643
CD2BP2	GSM4260994	1313.0377991199855
CD2BP2	GSM4260995	859.5800079336109
CD2BP2	GSM4260996	1245.7131460582627
CD2BP2	GSM4260997	1274
CD2BP2	GSM4260998	1168.1588342425853
CD2BP2	GSM4260999	1099
CD2BP2	GSM4261000	1250.4464184084743
CD2BP2	GSM4261001	1586
CD2BP2	GSM4261002	418.42470752159534
CD2BP2	GSM4261003	1249.7771606581634
CD2BP2	GSM4261004	775.1693431288745
CD2BP2	GSM4261005	936
CD2BP2	GSM4261006	1246.970720424208
CD2BP2	GSM4261007	481.9165020097297
CD2BP2	GSM4261008	1079
CD2BP2	GSM4261009	1249.8132088132595
CD2BP2	GSM4261010	243.64631868725297
CD2BP2	GSM4261011	977.0711778982648
CD2BP2	GSM4261012	1.1919642751404345
CD2BP2	GSM4261013	699.1921914957416
CD2BP2	GSM4261014	773.9320705250162
CD2BP2	GSM4261015	879.9037361806893
CD2BP2	GSM4261016	1258.9038114635575
CD2BP2	GSM4261017	807.4227203135862
CD2BP2	GSM4261018	724.1927368390643
CD2BP2	GSM4261019	676.9420521328752
CD2BP2	GSM4261020	271.08095912669313
CD2BP2	GSM4261021	631.3488504520742
CD2BP2	GSM4261022	1100.642820251284
CD2BP2	GSM4261023	1073
CD2BP2	GSM4261024	827.9264828361381
CD2BP2	GSM4261025	1621.1297103930674
CD2BP2	GSM4261026	1021.1004647717758
CD2BP2	GSM4261027	1731.4363287123335
CD2BP2	GSM4818000	1732.4970421532282
CD2BP2	GSM4818001	1060.4471421265437
CD2BP2	GSM4818002	978.7031403360072
CD2BP2	GSM4818003	995.0877229631692
CD2BP2	GSM4818004	898.4036314969923
CD2BP2	GSM4818005	970.7855876957852
CD2BP2	GSM4818006	837.704696765318
CD2BP2	GSM4818007	690.8099488333937
CD2BP2	GSM4818008	1782.3429717772572
CD2BP2	GSM4818009	1171.9222446441172
CD2BP2	GSM4818010	1433.4219820505682
CD2BP2	GSM4818011	1052.851427685433
CD2BP2	GSM4818012	1834.9433318978115
CD2BP2	GSM4818013	925.9840657829644
CD2BP2	GSM4818014	647.9141520185995
CD2BP2	GSM4818015	913.7027528695093
CD2BP2	GSM4818016	1380.1603481583911
CD2BP2	GSM4818017	1720.9096281722143
CD2BP2	GSM4818018	1106.798156674639
CD2BP2	GSM4818019	2467.159198731402
CD2BP2	GSM4818020	2139.003528146993
CD2BP2	GSM4818021	1747.1720213368958
CD2BP2	GSM4818022	1292.3048698052858
CD2BP2	GSM4818023	1737.4674288010976
CD2BP2	GSM3056394	1195.8483750988428
CD2BP2	GSM3056395	995.5131383645676
CD2BP2	GSM3056396	862.9079942880505
CD2BP2	GSM3056397	1147.299647492042
CD2BP2	GSM3056398	2247.3246115427037
CD2BP2	GSM3056399	1263.5245285028063
CD2BP2	GSM3056400	1036.0021048855406
CD2BP2	GSM3056401	1191.5507693741868
CD2BP2	GSM3056402	1100.4154489521115
CD2BP2	GSM3056403	1303.4474849752564
CD2BP2	GSM3056404	1511.8159369434798
CD2BP2	GSM3056405	708.2402129777752
CD2BP2	GSM3056406	915.8099975950946
CD2BP2	GSM3056407	1179.4035455843823
CD2BP2	GSM3056408	1081.5178325572565
CD2BP2	GSM3056409	1221.4890516830992
CD2BP2	GSM3056410	771.4393050321539
CD2BP2	GSM3056411	594.5332943951363
CD2BP2	GSM3056412	889.2872012500071
CD2BP2	GSM3056413	916.6941161451804
CD2BP2	GSM3056414	1872.6238065266689
CD2BP2	GSM3056415	1266.0606594369178
CD2BP2	GSM3056416	709.6186248012854
CD2BP2	GSM3056417	1126.352158706963
CD2BP2	GSM3056418	1931.2357809401951
CD2BP2	GSM3056419	936.2457553055256
CD2BP2	GSM3056420	1390.6498476895565
CD2BP2	GSM3056421	855.0858501794156
CD2BP2	GSM3056422	822.4602097589316
CD2BP2	GSM3056423	816.5595555503746
CD2BP2	GSM3056424	1023.156755647707
CD2BP2	GSM3056425	727.4851448162367
CD2BP2	GSM3056426	1280.1102774045655
CD2BP2	GSM3056427	1110.1828254155228
CD2BP2	GSM3056428	1428.7536739852296
CD2BP2	GSM3056429	1089.532069521817
CD2BP2	GSM3056430	1491.0339889840268
CD2BP2	GSM3056431	1147.6479043267748
CD2BP2	GSM3056432	1182.1837211382565
CD2BP2	GSM3056433	1049.8114016607028
CD2BP2	GSM3056434	1404.896008373198
CD2BP2	GSM3056435	694.7087005499459
CD2BP2	GSM3056436	1092.8408275724305
CD2BP2	GSM3056437	892.8474894685758
CD2BP2	GSM3056438	1057.264080570807
CD2BP2	GSM3056439	1044.7457659557929
CD2BP2	GSM3056440	856.3359320505597
CD2BP2	GSM3056441	784.8365433993687
CD2BP2	GSM3056442	1696.9047133315644
CD2BP2	GSM3056443	1677.095122173536
CD2BP2	GSM3056444	1116.0854373890145
CD2BP2	GSM3056445	1309.5336121534235
CD2BP2	GSM3056446	1580.1574159094946
CD2BP2	GSM3056447	1835.3408851363984
CD2BP2	GSM3056448	1441.045554992227
CD2BP2	GSM3056449	1110.6750563558314
CD2BP2	GSM3056450	1691.1133420597675
CD2BP2	GSM3056451	1479.044237767014
CD2BP2	GSM3056452	1128.222792758302
CD2BP2	GSM3056453	1439.7368720611005
CD2BP2	GSM3056454	1063.5577059255004
CD2BP2	GSM3056455	1284.6126510579038
CD2BP2	GSM3056456	1250.3293260102776
CD2BP2	GSM3056457	966.9366046943068
CD2BP2	GSM3056458	738.9878378208437
CD2BP2	GSM3056459	925.2231465245472
CD2BP2	GSM3056460	850.01004178765
CD2BP2	GSM3056461	1117.3737019526584
CD2BP2	GSM3056462	962.9585151507438
CD2BP2	GSM3056463	867.2905726408883
CD2BP2	GSM3056464	983.5958299373824
CD2BP2	GSM3056465	822.4311716351489
CD2BP2	GSM3056466	1020.7622848612368
CD2BP2	GSM3056467	1247.1189648442091
CD2BP2	GSM3056468	1334.4418148672255
CD2BP2	GSM3056469	809.0436915845166
CD2BP2	GSM3056470	950.8110357812724
CD2BP2	GSM3056471	950.9736386862704
CD2BP2	GSM3056472	861.2681702889091
CD2BP2	GSM3056473	940.3498425580308
CD2BP2	GSM3056474	1335.932218011345
CD2BP2	GSM3056475	1371.2612432741537
CD2BP2	GSM3056476	1059.591926200904
CD2BP2	GSM3056477	717.0424771319279
CD2BP2	GSM3056478	1613.2355061303224
CD2BP2	GSM3056479	1227.048087557871
CD2BP2	GSM3056480	1096.4726625894557
CD2BP2	GSM3056481	1090.5410107167731
CD2BP2	GSM3056482	1574.4037507052524
CD2BP2	GSM3056483	1437.2258227230047
CD2BP2	GSM3056484	1707.2547088981885
CD2BP2	GSM3056485	1904.144049471453
CD2BP2	GSM3056486	3233.7733274172706
CD2BP2	GSM3056487	1094.3056561062483
CD2BP2	GSM3056488	1200.9561705237122
CD2BP2	GSM3056489	1421.65268378002
CD2BP2	GSM3056490	975.632189630792
CD2BP2	GSM3056491	1331.3681510426777
CD2BP2	GSM3056492	911.2201325322544
CD2BP2	GSM3056493	1253.620721817545
CD2BP2	GSM3056494	1065.3812275282758
CD2BP2	GSM3056495	1724.355986139772
CD2BP2	GSM3056496	933.8604945178936
CD2BP2	GSM3056497	1113.788551673989
CD2BP2	GSM3056498	1429.9887634256988
CD2BP2	GSM3056499	1027.4044299942416
CD2BP2	GSM3056500	1448.762544814321
CD2BP2	GSM3056501	1762.6286858040942
CD2BP2	GSM3056502	1294.930599795178
CD2BP2	GSM3056503	1218.4905013848245
CD2BP2	GSM3056504	1170.1708744864586
CD2BP2	GSM3056505	1401.4472721863438
CD2BP2	GSM3056506	1117.5380658638207
CD2BP2	GSM3056507	1254.704743125514
CD2BP2	GSM3056508	1378.6017392810525
CD2BP2	GSM3056509	983.4889457458302
CD2BP2	GSM3056510	1160.0025641594648
CD2BP2	GSM3056511	1493.0968003768976
CD2BP2	GSM3056512	1199.8785118856
CD2BP2	GSM3056513	1550.0084844162948
CD2BP2	GSM3056514	1524.4054497801085
CD2BP2	GSM3056515	1408.094804238866
CD2BP2	GSM3056516	1463.166820547587
CD2BP2	GSM3056517	950.6358807990096
CD2BP2	GSM3056518	1097.9710075186872
CD2BP2	GSM3056519	1643.34769928847
CD2BP2	GSM3056520	1565.1358147860192
CD2BP2	GSM3056521	1377.359656935401
CD2BP2	GSM3056522	1889.8649354184236
CD2BP2	GSM3056523	1911.190654732656
CD2BP2	GSM3056524	1125.9168725900597
CD2BP2	GSM3056525	1444.0553666765936
CD2BP2	GSM3056526	1091.6077861668973
CD2BP2	GSM3056527	1505.620096836937
CD2BP2	GSM3056528	1246.2192290964174
CD2BP2	GSM3056529	888.8265422753348
CD2BP2	GSM3056530	1210.1591212894134
CD2BP2	GSM3056531	1895.130897858308
CD2BP2	GSM3056532	1161.598929689285
CD2BP2	GSM3056533	3039.1370907373603
CD2BP2	GSM3056534	865.332827272101
CD2BP2	GSM3056535	788.1626385496833
CD2BP2	GSM3056536	1333.7851490762328
CD2BP2	GSM3056537	1339.1949310243913
CD2BP2	GSM3056538	1470.4646020688058
CD2BP2	GSM3056539	1588.8174935516388
CD2BP2	GSM3056540	1439.5529191386968
CD2BP2	GSM3056541	1490.5051750422565
CD2BP2	GSM3056542	1135.0960932602195
CD2BP2	GSM3056543	1521.766009651791
CD2BP2	GSM3056544	1332.5136556389
CD2BP2	GSM3056545	1535.2070784840807
CD2BP2	GSM3056546	1606.3047391531688
CD2BP2	GSM3056547	1031.9125717157244
CD2BP2	GSM3056548	1131.5459992054475
CD2BP2	GSM3056549	1385.943014951288
CD2BP2	GSM3056550	1776.8601619804524
CD2BP2	GSM3056551	701.4438473974496
CD2BP2	GSM3056552	1777.0680653299726
CD2BP2	GSM3056553	1969.3615330223597
CD2BP2	GSM3056554	1334.8690201643808
CD2BP2	GSM3056555	1677.776779541153
CD2BP2	GSM3056556	2363.0928021056807
CD2BP2	GSM3056557	1844.911129013329
CD2BP2	GSM3056558	1529.8793331320824
CD2BP2	GSM3056559	1543.8319964146951
CD2BP2	GSM3056560	937.7282760180584
CD2BP2	GSM3056561	1463.5867594318083
CD2BP2	GSM3056562	1873.5790306805595
CD2BP2	GSM3056563	1464.776519869417
CD2BP2	GSM3056564	1630.9647515195463
CD2BP2	GSM3056565	2522.426526458587
CD2BP2	GSM3056566	1883.668776399835
CD2BP2	GSM3056567	1417.1653367103092
CD2BP2	GSM3056568	1182.65363173651
CD2BP2	GSM3056569	1751.4856107895775
CD2BP2	GSM3056570	2087.2370884746997
CD2BP2	GSM3056571	1595.9822528537488
CD2BP2	GSM3056572	2251.589242890652
CD2BP2	GSM3056573	3145
CD2BP2	GSM3056574	2677.8321096306076
CD2BP2	GSM3056575	1815.95230742584
CD2BP2	GSM3056576	1325.396563232986
CD2BP2	GSM3056577	1251.1681925001103
CD2BP2	GSM3056578	1862.516572054299
CD2BP2	GSM3056579	2734.503825816261
CD2BP2	GSM3056580	3212.7096674061777
CD2BP2	GSM3056581	1361.3002383885523
CD2BP2	GSM3056582	1365.1463788372448
CD2BP2	GSM3056583	859.1558265412287
CD2BP2	GSM3056584	1397.2943006746375
CD2BP2	GSM3056585	967.5184043180468
CD2BP2	GSM3056586	1699.758811084171
CD2BP2	GSM3056587	749.7298597401781
CD2BP2	GSM3056588	1001.0632599934728
CD2BP2	GSM3056589	1305.3806763874393
CD2BP2	GSM3056590	1369.1165142646917
CD2BP2	GSM3056591	1196.693800527406
CD2BP2	GSM3056592	329.75727718707424
CD2BP2	GSM3056593	1616.877642781846
CD2BP2	GSM3056594	860.7276134326572
CD2BP2	GSM3056595	1046.4806325409556
