Gene	sample	counts
DPPA5P4	GSM1022678	1.0118055576926337
DPPA5P4	GSM1022679	1.087332963645819
DPPA5P4	GSM1022680	1.024035163259057
DPPA5P4	GSM1022681	1.0254177019347264
DPPA5P4	GSM1022682	1.010650267145594
DPPA5P4	GSM1022683	1.0155104435348865
DPPA5P4	GSM1022684	1.045109579572174
DPPA5P4	GSM1022685	1.0299388126007114
DPPA5P4	GSM1022686	1.0512971560936306
DPPA5P4	GSM1022687	1.0872700680245635
DPPA5P4	GSM1022688	1.0474332992759388
DPPA5P4	GSM1022689	1.022581557181457
DPPA5P4	GSM1022690	1.0879580718683934
DPPA5P4	GSM1022691	1.0760262278806771
DPPA5P4	GSM1022692	1.0172824963691265
DPPA5P4	GSM1022693	1.0096136609284547
DPPA5P4	GSM1022694	1.0444790802811736
DPPA5P4	GSM1022695	1.0228445664573578
DPPA5P4	GSM1385778	1.0030314290996496
DPPA5P4	GSM1385779	1.077256250738088
DPPA5P4	GSM1385780	1.0665550545786855
DPPA5P4	GSM1385781	1.0118859036434402
DPPA5P4	GSM1385782	1.0069631126805123
DPPA5P4	GSM1385783	1.06319017904285
DPPA5P4	GSM1415906	1.001514567592329
DPPA5P4	GSM1415907	1.0075958118807733
DPPA5P4	GSM1415908	1.015183039205113
DPPA5P4	GSM1415909	1.0075958118807733
DPPA5P4	GSM1415910	1.008488226377649
DPPA5P4	GSM1415911	1.0045505879962513
DPPA5P4	GSM1415912	1.134200941661956
DPPA5P4	GSM1415913	1.1473079818540426
DPPA5P4	GSM1415914	1.094225603357875
DPPA5P4	GSM1415915	2.151472779347551
DPPA5P4	GSM1415916	1.0760262278806771
DPPA5P4	GSM1415917	1.0953867172131926
DPPA5P4	GSM1415918	1.10242986176477
DPPA5P4	GSM1415919	1.102372776327608
DPPA5P4	GSM1415920	1.0823407984756992
DPPA5P4	GSM1415921	1.0549402171424924
DPPA5P4	GSM2769390	1.0754464105331571
DPPA5P4	GSM2769391	1.0585243543160967
DPPA5P4	GSM2769392	1.0476453445591134
DPPA5P4	GSM2769393	1.0359543069535193
DPPA5P4	GSM2769394	1.0203663161311838
DPPA5P4	GSM2769395	1.059075372841705
DPPA5P4	GSM2769396	1.0181834902363824
DPPA5P4	GSM2769397	1.045256860312832
DPPA5P4	GSM2769398	1.0492468388860623
DPPA5P4	GSM3103946	1.0091218838436145
DPPA5P4	GSM3103947	0.9176050525718804
DPPA5P4	GSM3103948	0.7162122447925541
DPPA5P4	GSM3103949	0.8612333344324411
DPPA5P4	GSM3103950	1.336693251196066
DPPA5P4	GSM3103951	1
DPPA5P4	GSM3103952	1.0030314290996496
DPPA5P4	GSM3103953	1.0091218838436145
DPPA5P4	GSM3103954	1.0030314290996496
DPPA5P4	GSM3103955	0.5319473942602421
DPPA5P4	GSM3103956	1.026970766354677
DPPA5P4	GSM3103957	1.0161485132291883
DPPA5P4	GSM3103958	2.0464481396538763
DPPA5P4	GSM3103959	1.001514567592329
DPPA5P4	GSM3103960	1
DPPA5P4	GSM3103961	0.8911772236947816
DPPA5P4	GSM3103962	1.0075958118807733
DPPA5P4	GSM3103963	1.026526731348191
DPPA5P4	GSM3103964	2.0200312999251313
DPPA5P4	GSM3103965	1.001514567592329
DPPA5P4	GSM4260265	1.0214139624814602
DPPA5P4	GSM4260266	1.012441299517841
DPPA5P4	GSM4260267	1.0545087956624577
DPPA5P4	GSM4260268	1.0510914796924773
DPPA5P4	GSM4260269	1.018326976452085
DPPA5P4	GSM4260270	1.0142954367266297
DPPA5P4	GSM4260271	1.0905319319075826
DPPA5P4	GSM4260272	1.0717075320415608
DPPA5P4	GSM4260273	1.0091218838436145
DPPA5P4	GSM4260274	2.1703397958784683
DPPA5P4	GSM4260275	1.0654275756550804
DPPA5P4	GSM4260276	1.0143160447924937
DPPA5P4	GSM4735785	1.0738756443622128
DPPA5P4	GSM4735786	1.0314640964742157
DPPA5P4	GSM4735787	1.0250095828411494
DPPA5P4	GSM4735788	1.0376158093793262
DPPA5P4	GSM4735789	1.0321468400650773
DPPA5P4	GSM4735790	1.0371103926068832
DPPA5P4	GSM4735791	1.0520134275785296
DPPA5P4	GSM4735792	1.0719204247070016
DPPA5P4	GSM4735793	1.0572909654774456
DPPA5P4	GSM4735794	1.044747721627841
DPPA5P4	GSM4735795	1.0352757200311622
DPPA5P4	GSM4735796	1.094525086802148
DPPA5P4	GSM4735797	1.0813698190073815
DPPA5P4	GSM4735798	1.099010715879239
DPPA5P4	GSM4735799	1.0886623535830395
DPPA5P4	GSM4735800	1.0951432573099251
DPPA5P4	GSM4735801	1.0614728033670455
DPPA5P4	GSM4735802	1.0299388126007114
