Gene	sample	counts
FGF19	GSM1022678	1.0118055576926337
FGF19	GSM1022679	1.087332963645819
FGF19	GSM1022680	1.024035163259057
FGF19	GSM1022681	2.0508354038694527
FGF19	GSM1022682	11.117152938601532
FGF19	GSM1022683	1.0155104435348865
FGF19	GSM1022684	1.045109579572174
FGF19	GSM1022685	1.0299388126007114
FGF19	GSM1022686	1.0512971560936306
FGF19	GSM1022687	1.0872700680245635
FGF19	GSM1022688	1.0474332992759388
FGF19	GSM1022689	1.022581557181457
FGF19	GSM1022690	1.0879580718683934
FGF19	GSM1022691	1.0760262278806771
FGF19	GSM1022692	1.0172824963691265
FGF19	GSM1022693	1.0096136609284547
FGF19	GSM1022694	2.0889581605623473
FGF19	GSM1022695	1.0228445664573578
FGF19	GSM1385778	3.009094287298949
FGF19	GSM1385779	1.077256250738088
FGF19	GSM1385780	1.0665550545786855
FGF19	GSM1385781	2.0237718072868804
FGF19	GSM1385782	1.0069631126805123
FGF19	GSM1385783	4.2527607161714
FGF19	GSM1415906	1.001514567592329
FGF19	GSM1415907	1.0075958118807733
FGF19	GSM1415908	1.015183039205113
FGF19	GSM1415909	1.0075958118807733
FGF19	GSM1415910	1.008488226377649
FGF19	GSM1415911	1.0045505879962513
FGF19	GSM1415912	1.134200941661956
FGF19	GSM1415913	1.1473079818540426
FGF19	GSM1415914	1.094225603357875
FGF19	GSM1415915	1.0757363896737755
FGF19	GSM1415916	1.0760262278806771
FGF19	GSM1415917	1.0953867172131926
FGF19	GSM1415918	1.10242986176477
FGF19	GSM1415919	1.102372776327608
FGF19	GSM1415920	1.0823407984756992
FGF19	GSM1415921	1.0549402171424924
FGF19	GSM2769390	1.0754464105331571
FGF19	GSM2769391	13.760816606109255
FGF19	GSM2769392	3.14293603367734
FGF19	GSM2769393	1.0359543069535193
FGF19	GSM2769394	26.529524219410774
FGF19	GSM2769395	2.11815074568341
FGF19	GSM2769396	1.0181834902363824
FGF19	GSM2769397	2.090513720625664
FGF19	GSM2769398	1.0492468388860623
FGF19	GSM3103946	1.0091218838436145
FGF19	GSM3103947	0.9176050525718804
FGF19	GSM3103948	0.7162122447925541
FGF19	GSM3103949	1.7224666688648822
FGF19	GSM3103950	0.668346625598033
FGF19	GSM3103951	1
FGF19	GSM3103952	1.0030314290996496
FGF19	GSM3103953	2.018243767687229
FGF19	GSM3103954	1.0030314290996496
FGF19	GSM3103955	0.5319473942602421
FGF19	GSM3103956	1.026970766354677
FGF19	GSM3103957	1.0161485132291883
FGF19	GSM3103958	1.023224069826938
FGF19	GSM3103959	1.001514567592329
FGF19	GSM3103960	1
FGF19	GSM3103961	0.8911772236947816
FGF19	GSM3103962	1.0075958118807733
FGF19	GSM3103963	1.026526731348191
FGF19	GSM3103964	2.0200312999251313
FGF19	GSM3103965	1.001514567592329
FGF19	GSM4260265	1.0214139624814602
FGF19	GSM4260266	1.012441299517841
FGF19	GSM4260267	1.0545087956624577
FGF19	GSM4260268	1.0510914796924773
FGF19	GSM4260269	2.03665395290417
FGF19	GSM4260270	1.0142954367266297
FGF19	GSM4260271	1.0905319319075826
FGF19	GSM4260272	2.1434150640831215
FGF19	GSM4260273	1.0091218838436145
FGF19	GSM4260274	1.4468931972523122
FGF19	GSM4260275	1.0654275756550804
FGF19	GSM4260276	1.0143160447924937
FGF19	GSM4735785	1.0738756443622128
FGF19	GSM4735786	1.0314640964742157
FGF19	GSM4735787	1.0250095828411494
FGF19	GSM4735788	1.0376158093793262
FGF19	GSM4735789	1.0321468400650773
FGF19	GSM4735790	1.0371103926068832
FGF19	GSM4735791	1.0520134275785296
FGF19	GSM4735792	1.0719204247070016
FGF19	GSM4735793	1.0572909654774456
FGF19	GSM4735794	1.044747721627841
FGF19	GSM4735795	1.0352757200311622
FGF19	GSM4735796	1.094525086802148
FGF19	GSM4735797	1.0813698190073815
FGF19	GSM4735798	1.099010715879239
FGF19	GSM4735799	1.0886623535830395
FGF19	GSM4735800	1.0951432573099251
FGF19	GSM4735801	1.0614728033670455
FGF19	GSM4735802	1.0299388126007114
FGF19	GSM4735803	1.0216415416419875
FGF19	GSM4735804	1.041590214740965
FGF19	GSM5282507	1
FGF19	GSM5282508	1.0309962873732228
FGF19	GSM5282509	1.0045505879962513
FGF19	GSM5282510	1.080483695974538
FGF19	GSM5282511	1.0511851686944027
FGF19	GSM5282512	1.0352757200311622
FGF19	GSM5282513	1.0203939923164922
FGF19	GSM5282514	1
