Gene	sample	counts
GRB7	GSM1022678	308.6006950962533
GRB7	GSM1022679	1.087332963645819
GRB7	GSM1022680	715.8005791180808
GRB7	GSM1022681	43.067543481258504
GRB7	GSM1022682	1.010650267145594
GRB7	GSM1022683	744.3691551110718
GRB7	GSM1022684	328.1644079856627
GRB7	GSM1022685	346.05944103383905
GRB7	GSM1022686	269.13207195996944
GRB7	GSM1022687	143.5196489792424
GRB7	GSM1022688	348.7952886588876
GRB7	GSM1022689	209.62921922219863
GRB7	GSM1022690	202.3602013675212
GRB7	GSM1022691	385.2173895812824
GRB7	GSM1022692	566.6263504776033
GRB7	GSM1022693	483.6049435847298
GRB7	GSM1022694	313.34372408435206
GRB7	GSM1022695	765.0877357101036
GRB7	GSM1385778	295.8942715843966
GRB7	GSM1385779	194.98338138359395
GRB7	GSM1385780	509.81331608861177
GRB7	GSM1385781	204.40095253597497
GRB7	GSM1385782	183.26728650785324
GRB7	GSM1385783	367.8638019488261
GRB7	GSM1415906	839.2692076423717
GRB7	GSM1415907	633.7777656730065
GRB7	GSM1415908	641.5956807776315
GRB7	GSM1415909	563.2460588413522
GRB7	GSM1415910	617.1947945431211
GRB7	GSM1415911	742.3628845292297
GRB7	GSM1415912	268.8056231738836
GRB7	GSM1415913	221.43044049783023
GRB7	GSM1415914	259.33146799581635
GRB7	GSM1415915	195.7840229206271
GRB7	GSM1415916	284.07092416049875
GRB7	GSM1415917	181.83419505738996
GRB7	GSM1415918	202.84709456471768
GRB7	GSM1415919	169.7654075544516
GRB7	GSM1415920	245.69136125398373
GRB7	GSM1415921	210.98804342849849
GRB7	GSM2769390	253.8053528858251
GRB7	GSM2769391	196.885529902794
GRB7	GSM2769392	489.2503759091059
GRB7	GSM2769393	411.27385986054713
GRB7	GSM2769394	675.4825012788436
GRB7	GSM2769395	310.3090842426196
GRB7	GSM2769396	117.09110137718396
GRB7	GSM2769397	122.29505265660134
GRB7	GSM2769398	120.66338647189716
GRB7	GSM3103946	356.22002499679587
GRB7	GSM3103947	399.158197868768
GRB7	GSM3103948	499.1999346204102
GRB7	GSM3103949	476.2620339411399
GRB7	GSM3103950	449.1289324018782
GRB7	GSM3103951	138
GRB7	GSM3103952	428.2944202255504
GRB7	GSM3103953	240.1710083547802
GRB7	GSM3103954	177.53656295063797
GRB7	GSM3103955	402.6841774550032
GRB7	GSM3103956	146.85681958871882
GRB7	GSM3103957	1.0161485132291883
GRB7	GSM3103958	92.09016628442444
GRB7	GSM3103959	188.28473870735783
GRB7	GSM3103960	547
