Gene	sample	counts
LHX1	GSM1022678	1.0118055576926337
LHX1	GSM1022679	4.349331854583277
LHX1	GSM1022680	1.024035163259057
LHX1	GSM1022681	1.0254177019347264
LHX1	GSM1022682	13.13845347289272
LHX1	GSM1022683	1.0155104435348865
LHX1	GSM1022684	1.045109579572174
LHX1	GSM1022685	2.059877625201423
LHX1	GSM1022686	1.0512971560936306
LHX1	GSM1022687	1.0872700680245635
LHX1	GSM1022688	1.0474332992759388
LHX1	GSM1022689	1.022581557181457
LHX1	GSM1022690	1.0879580718683934
LHX1	GSM1022691	1.0760262278806771
LHX1	GSM1022692	1.0172824963691265
LHX1	GSM1022693	1.0096136609284547
LHX1	GSM1022694	1.0444790802811736
LHX1	GSM1022695	1.0228445664573578
LHX1	GSM1385778	340.0276544647812
LHX1	GSM1385779	80.7942188053566
LHX1	GSM1385780	28.79698647362451
LHX1	GSM1385781	169.99683181209795
LHX1	GSM1385782	159.10017180352094
LHX1	GSM1385783	17.0110428646856
LHX1	GSM1415906	1.001514567592329
LHX1	GSM1415907	1.0075958118807733
LHX1	GSM1415908	1.015183039205113
LHX1	GSM1415909	1.0075958118807733
LHX1	GSM1415910	1.008488226377649
LHX1	GSM1415911	1.0045505879962513
LHX1	GSM1415912	1.134200941661956
LHX1	GSM1415913	1.1473079818540426
LHX1	GSM1415914	1.094225603357875
LHX1	GSM1415915	1.0757363896737755
LHX1	GSM1415916	1.0760262278806771
LHX1	GSM1415917	1.0953867172131926
LHX1	GSM1415918	1.10242986176477
LHX1	GSM1415919	1.102372776327608
LHX1	GSM1415920	1.0823407984756992
LHX1	GSM1415921	1.0549402171424924
LHX1	GSM2769390	17.207142568530514
LHX1	GSM2769391	9.52671918884487
LHX1	GSM2769392	9.42880810103202
LHX1	GSM2769393	41.43817227814077
LHX1	GSM2769394	11.224029477443022
LHX1	GSM2769395	20.122432083992397
LHX1	GSM2769396	226.03673483247687
LHX1	GSM2769397	253.99741705601815
LHX1	GSM2769398	232.9327982327058
LHX1	GSM3103946	1.0091218838436145
LHX1	GSM3103947	0.9176050525718804
LHX1	GSM3103948	0.7162122447925541
LHX1	GSM3103949	1.7224666688648822
LHX1	GSM3103950	0.668346625598033
LHX1	GSM3103951	1
LHX1	GSM3103952	1.0030314290996496
LHX1	GSM3103953	1.0091218838436145
LHX1	GSM3103954	1.0030314290996496
LHX1	GSM3103955	0.5319473942602421
LHX1	GSM3103956	1.026970766354677
LHX1	GSM3103957	1.0161485132291883
LHX1	GSM3103958	1.023224069826938
LHX1	GSM3103959	2.003029135184658
LHX1	GSM3103960	1
LHX1	GSM3103961	1.7823544473895632
LHX1	GSM3103962	1.0075958118807733
LHX1	GSM3103963	1.026526731348191
LHX1	GSM3103964	1.0100156499625657
LHX1	GSM3103965	1.001514567592329
LHX1	GSM4260265	1.0214139624814602
LHX1	GSM4260266	1.012441299517841
LHX1	GSM4260267	1.0545087956624577
LHX1	GSM4260268	1.0510914796924773
LHX1	GSM4260269	3.0549809293562555
LHX1	GSM4260270	1.0142954367266297
LHX1	GSM4260271	1.0905319319075826
LHX1	GSM4260272	1.0717075320415608
LHX1	GSM4260273	1.0091218838436145
LHX1	GSM4260274	4.3406795917569365
LHX1	GSM4260275	3.196282726965241
LHX1	GSM4260276	1.0143160447924937
LHX1	GSM4735785	1.0738756443622128
LHX1	GSM4735786	1.0314640964742157
LHX1	GSM4735787	1.0250095828411494
LHX1	GSM4735788	1.0376158093793262
LHX1	GSM4735789	1.0321468400650773
LHX1	GSM4735790	2.0742207852137664
LHX1	GSM4735791	1.0520134275785296
LHX1	GSM4735792	1.0719204247070016
LHX1	GSM4735793	1.0572909654774456
LHX1	GSM4735794	1.044747721627841
LHX1	GSM4735795	1.0352757200311622
LHX1	GSM4735796	2.189050173604296
LHX1	GSM4735797	1.0813698190073815
LHX1	GSM4735798	1.099010715879239
LHX1	GSM4735799	1.0886623535830395
LHX1	GSM4735800	1.0951432573099251
LHX1	GSM4735801	1.0614728033670455
LHX1	GSM4735802	1.0299388126007114
LHX1	GSM4735803	1.0216415416419875
LHX1	GSM4735804	1.041590214740965
LHX1	GSM5282507	1
LHX1	GSM5282508	1.0309962873732228
LHX1	GSM5282509	1.0045505879962513
LHX1	GSM5282510	1.080483695974538
LHX1	GSM5282511	1.0511851686944027
LHX1	GSM5282512	1.0352757200311622
LHX1	GSM5282513	1.0203939923164922
LHX1	GSM5282514	1
LHX1	GSM5282515	1.0294371352498335
LHX1	GSM5282516	1.0550342492014946
LHX1	GSM5282517	2.090457019542007
LHX1	GSM5282518	1
LHX1	GSM5282519	13.177052042073544
LHX1	GSM5282520	1.0434360776016018
LHX1	GSM5282521	1.0286457606390047
LHX1	GSM5282522	1.0299388126007114
LHX1	GSM5282523	1
LHX1	GSM5282524	1.010650267145594
LHX1	GSM5282525	1
LHX1	GSM5282526	1
LHX1	GSM5282527	1.0069631126805123
LHX1	GSM5282528	1.0238669861786047
LHX1	GSM5282529	2
LHX1	GSM5282530	1.0212700412974676
LHX1	GSM5282531	1.0343876569304271
LHX1	GSM5282532	1.0045505879962513
LHX1	GSM5282533	0.9667117323028852
LHX1	GSM5282534	1.0039198009821009
LHX1	GSM5282535	1.001514567592329
LHX1	GSM5282536	1.0146118150553114
LHX1	GSM4260927	9
LHX1	GSM4260928	1.4179886662661378
LHX1	GSM4260929	3.246776420866532
LHX1	GSM4260930	2
LHX1	GSM4260931	2.006062858199299
LHX1	GSM4260932	1.001514567592329
LHX1	GSM4260933	9.247242262569252
LHX1	GSM4260934	4
LHX1	GSM4260935	7.059417584643542
LHX1	GSM4260936	3.0465313306046595
LHX1	GSM4260937	1
LHX1	GSM4260938	3.1500495148775847
LHX1	GSM4260939	3.004543702776987
LHX1	GSM4260940	1.0069631126805123
LHX1	GSM4260941	3
LHX1	GSM4260942	2.8856615680230164
LHX1	GSM4260943	2.029769661260997
LHX1	GSM4260944	10.574405896920757
LHX1	GSM4260945	5.027201526889828
LHX1	GSM4260946	2.4319032012245403
LHX1	GSM4260947	1.0245103064901149
LHX1	GSM4260948	4.65842720152156
LHX1	GSM4260949	2.060167910840588
LHX1	GSM4260950	2
LHX1	GSM4260951	2.5748425129919266
LHX1	GSM4260952	10.217591647797928
LHX1	GSM4260953	2.9285354594887827
LHX1	GSM4260954	2.0151916237615466
LHX1	GSM4260955	1.0463629120445648
LHX1	GSM4260956	2.043878895977324
LHX1	GSM4260957	2.6756769349455034
LHX1	GSM4260958	2.092660125338356
LHX1	GSM4260959	6.10612523301791
LHX1	GSM4260960	5.030360238808427
LHX1	GSM4260961	6.018188574597898
LHX1	GSM4260962	3.011759402946302
LHX1	GSM4260963	5
LHX1	GSM4260964	3
LHX1	GSM4260965	1.0501613654387998
LHX1	GSM4260966	4.871272664269217
LHX1	GSM4260967	2.609032793115539
LHX1	GSM4260968	2
LHX1	GSM4260969	1.0030314290996496
LHX1	GSM4260970	8.87207694467706
LHX1	GSM4260971	10.608159078639732
LHX1	GSM4260972	3.0365428958621736
LHX1	GSM4260973	4.018202351985005
LHX1	GSM4260974	2.0322970264583766
LHX1	GSM4260975	5
LHX1	GSM4260976	1
LHX1	GSM4260977	2.0732104440401637
LHX1	GSM4260978	2
LHX1	GSM4260979	1.9428173457611595
LHX1	GSM4260980	0.8469108200478999
LHX1	GSM4260981	1.470443905317272
LHX1	GSM4260982	3.009094287298949
LHX1	GSM4260983	1.0152493201196748
LHX1	GSM4260984	1.626779714066822
LHX1	GSM4260985	9.064262838863383
LHX1	GSM4260986	3.956836005142716
LHX1	GSM4260987	1.055874563962928
LHX1	GSM4260988	2.0302125351153424
LHX1	GSM4260989	3
LHX1	GSM4260990	1.8718208134701644
LHX1	GSM4260991	1.001514567592329
LHX1	GSM4260992	1.5115891974697742
LHX1	GSM4260993	3.053062616508955
LHX1	GSM4260994	5.7715947214065295
LHX1	GSM4260995	4.117748540999334
LHX1	GSM4260996	8.399953783265426
LHX1	GSM4260997	1
LHX1	GSM4260998	4.93240887083428
LHX1	GSM4260999	1
LHX1	GSM4261000	1.0207725864558976
LHX1	GSM4261001	2
LHX1	GSM4261002	1.0812007946294453
LHX1	GSM4261003	3.009094287298949
LHX1	GSM4261004	1.047526139363344
LHX1	GSM4261005	4
LHX1	GSM4261006	1.0212700412974676
LHX1	GSM4261007	2.132373902697919
LHX1	GSM4261008	2
LHX1	GSM4261009	2.0606977886451108
LHX1	GSM4261010	1.063957723525122
LHX1	GSM4261011	1.0146118150553114
LHX1	GSM4261012	1.1919642751404345
