Gene	sample	counts
MIR26A2	GSM1022678	2.0236111153852674
MIR26A2	GSM1022679	1.087332963645819
MIR26A2	GSM1022680	1.024035163259057
MIR26A2	GSM1022681	1.0254177019347264
MIR26A2	GSM1022682	2.021300534291188
MIR26A2	GSM1022683	1.0155104435348865
MIR26A2	GSM1022684	2.090219159144348
MIR26A2	GSM1022685	1.0299388126007114
MIR26A2	GSM1022686	1.0512971560936306
MIR26A2	GSM1022687	1.0872700680245635
MIR26A2	GSM1022688	2.0948665985518775
MIR26A2	GSM1022689	2.045163114362914
MIR26A2	GSM1022690	1.0879580718683934
MIR26A2	GSM1022691	1.0760262278806771
MIR26A2	GSM1022692	1.0172824963691265
MIR26A2	GSM1022693	2.0192273218569095
MIR26A2	GSM1022694	1.0444790802811736
MIR26A2	GSM1022695	1.0228445664573578
MIR26A2	GSM1385778	1.0030314290996496
MIR26A2	GSM1385779	1.077256250738088
MIR26A2	GSM1385780	1.0665550545786855
MIR26A2	GSM1385781	1.0118859036434402
MIR26A2	GSM1385782	2.0139262253610246
MIR26A2	GSM1385783	1.06319017904285
MIR26A2	GSM1415906	2.003029135184658
MIR26A2	GSM1415907	1.0075958118807733
MIR26A2	GSM1415908	1.015183039205113
MIR26A2	GSM1415909	1.0075958118807733
MIR26A2	GSM1415910	1.008488226377649
MIR26A2	GSM1415911	1.0045505879962513
MIR26A2	GSM1415912	1.134200941661956
MIR26A2	GSM1415913	1.1473079818540426
MIR26A2	GSM1415914	1.094225603357875
MIR26A2	GSM1415915	2.151472779347551
MIR26A2	GSM1415916	1.0760262278806771
MIR26A2	GSM1415917	1.0953867172131926
MIR26A2	GSM1415918	1.10242986176477
MIR26A2	GSM1415919	1.102372776327608
MIR26A2	GSM1415920	1.0823407984756992
MIR26A2	GSM1415921	1.0549402171424924
MIR26A2	GSM2769390	1.0754464105331571
MIR26A2	GSM2769391	1.0585243543160967
MIR26A2	GSM2769392	1.0476453445591134
MIR26A2	GSM2769393	1.0359543069535193
MIR26A2	GSM2769394	1.0203663161311838
MIR26A2	GSM2769395	1.059075372841705
MIR26A2	GSM2769396	1.0181834902363824
MIR26A2	GSM2769397	1.045256860312832
MIR26A2	GSM2769398	1.0492468388860623
MIR26A2	GSM3103946	6.054731303061686
MIR26A2	GSM3103947	10.093655578290685
MIR26A2	GSM3103948	3.5810612239627706
MIR26A2	GSM3103949	8.61233334432441
MIR26A2	GSM3103950	8.020159507176396
MIR26A2	GSM3103951	6
MIR26A2	GSM3103952	7.021220003697548
MIR26A2	GSM3103953	6.054731303061686
MIR26A2	GSM3103954	5.015157145498248
MIR26A2	GSM3103955	7.97921091390363
MIR26A2	GSM3103956	5.134853831773385
MIR26A2	GSM3103957	1.0161485132291883
MIR26A2	GSM3103958	3.0696722094808147
MIR26A2	GSM3103959	5.007572837961645
MIR26A2	GSM3103960	12
MIR26A2	GSM3103961	9.802949460642598
MIR26A2	GSM3103962	6.04557487128464
MIR26A2	GSM3103963	7.185687119437336
MIR26A2	GSM3103964	10.100156499625658
MIR26A2	GSM3103965	11.016660243515618
MIR26A2	GSM4260265	2.0428279249629204
MIR26A2	GSM4260266	1.012441299517841
MIR26A2	GSM4260267	1.0545087956624577
MIR26A2	GSM4260268	3.153274439077432
MIR26A2	GSM4260269	1.018326976452085
MIR26A2	GSM4260270	3.042886310179888
MIR26A2	GSM4260271	1.0905319319075826
MIR26A2	GSM4260272	1.0717075320415608
MIR26A2	GSM4260273	2.018243767687229
MIR26A2	GSM4260274	2.1703397958784683
MIR26A2	GSM4260275	2.130855151310161
MIR26A2	GSM4260276	2.0286320895849874
MIR26A2	GSM4735785	1.0738756443622128
MIR26A2	GSM4735786	1.0314640964742157
MIR26A2	GSM4735787	1.0250095828411494
MIR26A2	GSM4735788	1.0376158093793262
MIR26A2	GSM4735789	2.0642936801301546
MIR26A2	GSM4735790	1.0371103926068832
MIR26A2	GSM4735791	1.0520134275785296
MIR26A2	GSM4735792	1.0719204247070016
MIR26A2	GSM4735793	1.0572909654774456
MIR26A2	GSM4735794	1.044747721627841
MIR26A2	GSM4735795	1.0352757200311622
MIR26A2	GSM4735796	1.094525086802148
MIR26A2	GSM4735797	2.162739638014763
MIR26A2	GSM4735798	1.099010715879239
MIR26A2	GSM4735799	1.0886623535830395
MIR26A2	GSM4735800	1.0951432573099251
MIR26A2	GSM4735801	1.0614728033670455
