Gene	sample	counts
POLR1D	GSM1022678	1544.015281038959
POLR1D	GSM1022679	1130.826282191652
POLR1D	GSM1022680	1570.8699404393933
POLR1D	GSM1022681	965.943475222512
POLR1D	GSM1022682	201.11940316197317
POLR1D	GSM1022683	1766.9881717507023
POLR1D	GSM1022684	1247.860838009176
POLR1D	GSM1022685	1173.1003075522103
POLR1D	GSM1022686	2208.775324952718
POLR1D	GSM1022687	990.5030319703774
POLR1D	GSM1022688	1179.409894984707
POLR1D	GSM1022689	1273.1140386909135
POLR1D	GSM1022690	1894.135003122873
POLR1D	GSM1022691	1180.400771985103
POLR1D	GSM1022692	1804.65914855883
POLR1D	GSM1022693	3547.78240450259
POLR1D	GSM1022694	1665.944133048472
POLR1D	GSM1022695	2412.890332272907
POLR1D	GSM1385778	2195.635798299133
POLR1D	GSM1385779	913.5133006258986
POLR1D	GSM1385780	1243.6031936387474
POLR1D	GSM1385781	1505.6862246214391
POLR1D	GSM1385782	1907.1881354168904
POLR1D	GSM1385783	1277.9545952095057
POLR1D	GSM1415906	2881.3574109631304
POLR1D	GSM1415907	2527.0502961969796
POLR1D	GSM1415908	2303.4503159564015
POLR1D	GSM1415909	2533.095871068264
POLR1D	GSM1415910	2063.3669111686695
POLR1D	GSM1415911	2651.0090017221073
POLR1D	GSM1415912	1089.9671049371398
POLR1D	GSM1415913	1089.9425827613404
POLR1D	GSM1415914	1213.4961941238832
POLR1D	GSM1415915	1119.8415816504005
POLR1D	GSM1415916	1131.9795917304723
POLR1D	GSM1415917	997.8972993812184
POLR1D	GSM1415918	1071.5618256353564
POLR1D	GSM1415919	1210.4053084077134
POLR1D	GSM1415920	1158.104654368998
POLR1D	GSM1415921	1143.5551953824618
POLR1D	GSM2769390	861.432574837059
POLR1D	GSM2769391	2208.0818031033778
POLR1D	GSM2769392	1213.1733089994532
POLR1D	GSM2769393	1233.8215795816411
POLR1D	GSM2769394	2953.960485199777
POLR1D	GSM2769395	1181.9281160913429
