Gene	sample	counts
PTGER4	GSM1022678	958.1798631349242
PTGER4	GSM1022679	753.5217438065528
PTGER4	GSM1022680	849.9491855050172
PTGER4	GSM1022681	891.0879829812772
PTGER4	GSM1022682	611.4434116230842
PTGER4	GSM1022683	863.1838770046535
PTGER4	GSM1022684	656.3288159713254
PTGER4	GSM1022685	676.6697998786674
PTGER4	GSM1022686	690.7022315535154
PTGER4	GSM1022687	671.9329020391802
PTGER4	GSM1022688	664.0727117409452
PTGER4	GSM1022689	702.5135297836608
PTGER4	GSM1022690	694.117249852035
PTGER4	GSM1022691	664.9842088302585
PTGER4	GSM1022692	817.8951270807775
PTGER4	GSM1022693	795.5755648116224
PTGER4	GSM1022694	710.245774591198
PTGER4	GSM1022695	822.3670314317156
PTGER4	GSM1385778	848.5645890183035
PTGER4	GSM1385779	701.2938192304953
PTGER4	GSM1385780	728.4571022772423
PTGER4	GSM1385781	756.8906559252933
PTGER4	GSM1385782	679.7001010593458
PTGER4	GSM1385783	719.7797512120094
PTGER4	GSM1415906	914.3828002117964
PTGER4	GSM1415907	872.5779730887497
PTGER4	GSM1415908	713.6736765611945
PTGER4	GSM1415909	717.4082180591106
PTGER4	GSM1415910	800.7396517438532
PTGER4	GSM1415911	954.3230585964388
PTGER4	GSM1415912	719.0833970136802
PTGER4	GSM1415913	721.6567205861928
PTGER4	GSM1415914	717.811995802766
PTGER4	GSM1415915	730.4250085884935
PTGER4	GSM1415916	719.861546452173
PTGER4	GSM1415917	701.0474990164432
PTGER4	GSM1415918	712.1696907000414
PTGER4	GSM1415919	719.849422941928
PTGER4	GSM1415920	701.3568374122531
PTGER4	GSM1415921	716.3044074397524
PTGER4	GSM2769390	787.2267725102711
PTGER4	GSM2769391	689.0993546597789
PTGER4	GSM2769392	721.827642401229
PTGER4	GSM2769393	787.3252732846746
PTGER4	GSM2769394	718.3378865563534
PTGER4	GSM2769395	791.1293035127537
PTGER4	GSM2769396	757.5285167358685
PTGER4	GSM2769397	770.3543060505572
PTGER4	GSM2769398	746.0145024479903
PTGER4	GSM3103946	780.0512162111139
PTGER4	GSM3103947	690.038999534054
PTGER4	GSM3103948	629.5505631726551
PTGER4	GSM3103949	628.7003341356819
PTGER4	GSM3103950	636.9343341949254
PTGER4	GSM3103951	731
PTGER4	GSM3103952	857.5918718802004
PTGER4	GSM3103953	656.938346382193
PTGER4	GSM3103954	678.0492460713632
PTGER4	GSM3103955	547.9058160880493
PTGER4	GSM3103956	672.6658519623135
PTGER4	GSM3103957	621.8828900962632
PTGER4	GSM3103958	608.8183215470282
PTGER4	GSM3103959	703.0632264498149
PTGER4	GSM3103960	745
PTGER4	GSM3103961	663.9270316526123
PTGER4	GSM3103962	585.4131667027293
PTGER4	GSM3103963	575.881496286335
PTGER4	GSM3103964	698.9308297740955
PTGER4	GSM3103965	635.961750421129
PTGER4	GSM4260265	818.1525839476496
PTGER4	GSM4260266	634.8006947976862
PTGER4	GSM4260267	635.868803784462
PTGER4	GSM4260268	779.9098779318182
PTGER4	GSM4260269	749.4886546687346
PTGER4	GSM4260270	981.8379827513772
PTGER4	GSM4260271	603.0641583448931
PTGER4	GSM4260272	549.7859639373207
PTGER4	GSM4260273	809.3157508425787
PTGER4	GSM4260274	510.75329863006624
PTGER4	GSM4260275	589.1814493372594
PTGER4	GSM4260276	1141.1055503915554
PTGER4	GSM4735785	939.6411888169364
PTGER4	GSM4735786	1322.3369716799446
PTGER4	GSM4735787	1990.568609877512
PTGER4	GSM4735788	1067.7066678513268
PTGER4	GSM4735789	1068.271979467355
PTGER4	GSM4735790	1182.305847571847
PTGER4	GSM4735791	855.2869166213445
PTGER4	GSM4735792	950.7934167151104
PTGER4	GSM4735793	252.6925407491095
PTGER4	GSM4735794	495.21042005159666
PTGER4	GSM4735795	812.6914402244622
PTGER4	GSM4735796	1291.5396024265349
PTGER4	GSM4735797	648.821891404429
PTGER4	GSM4735798	667.099504538698
PTGER4	GSM4735799	680.4139709893998
PTGER4	GSM4735800	778.6468559473569
PTGER4	GSM4735801	591.2403514754445
PTGER4	GSM4735802	1075.256120355143
PTGER4	GSM4735803	650.7856620259462
PTGER4	GSM4735804	573.9162083222717
PTGER4	GSM5282507	922
PTGER4	GSM5282508	714.4804271496434
PTGER4	GSM5282509	1771.0226866373912
PTGER4	GSM5282510	843.8577665561141
PTGER4	GSM5282511	686.423915157445
PTGER4	GSM5282512	1062.1928887519723
PTGER4	GSM5282513	1122.4333915481411
PTGER4	GSM5282514	1473
PTGER4	GSM5282515	829.7263310113658
PTGER4	GSM5282516	561.2782205751952
PTGER4	GSM5282517	708.6649296247404
PTGER4	GSM5282518	722
PTGER4	GSM5282519	756.582404749056
PTGER4	GSM5282520	531.1089634992154
PTGER4	GSM5282521	1156.1978349582412
PTGER4	GSM5282522	512.9095286751543
PTGER4	GSM5282523	1140
PTGER4	GSM5282524	1260.2808831305556
PTGER4	GSM5282525	792
PTGER4	GSM5282526	920
PTGER4	GSM5282527	2520.428671039322
PTGER4	GSM5282528	1275.7382647785414
PTGER4	GSM5282529	1094
PTGER4	GSM5282530	779.2290415099678
PTGER4	GSM5282531	615.4606558736042
PTGER4	GSM5282532	586.6575433898108
PTGER4	GSM5282533	695.0657355257746
PTGER4	GSM5282534	663.5909884491685
PTGER4	GSM5282535	1734.6232310699138
PTGER4	GSM5282536	1289.5716169353009
PTGER4	GSM4260927	890
PTGER4	GSM4260928	718.2112594637988
PTGER4	GSM4260929	783.7718279971807
PTGER4	GSM4260930	1455
PTGER4	GSM4260931	634.9188946200782
PTGER4	GSM4260932	1269.9204717070731
PTGER4	GSM4260933	1012.15269855758
PTGER4	GSM4260934	747
PTGER4	GSM4260935	851.1640630627356
PTGER4	GSM4260936	710.8573104744205
PTGER4	GSM4260937	938
PTGER4	GSM4260938	653.1102660846193
PTGER4	GSM4260939	1438.1749190625844
PTGER4	GSM4260940	1041.1998585116496
PTGER4	GSM4260941	1967
PTGER4	GSM4260942	855.1177113241538
PTGER4	GSM4260943	493.2340276864223
PTGER4	GSM4260944	710.9254426083646
PTGER4	GSM4260945	1303.0506357698432
PTGER4	GSM4260946	804.9599596053228
PTGER4	GSM4260947	597.289508683737
PTGER4	GSM4260948	919.2629677669212
PTGER4	GSM4260949	599.5088620546112
PTGER4	GSM4260950	1077
PTGER4	GSM4260951	1156.104288333375
PTGER4	GSM4260952	1461.1156056351035
PTGER4	GSM4260953	1117.7243670382186
PTGER4	GSM4260954	689.195535326449
PTGER4	GSM4260955	787.9112727695573
PTGER4	GSM4260956	736.8183419998252
PTGER4	GSM4260957	1212.9735438419616
PTGER4	GSM4260958	1065.1640037972234
PTGER4	GSM4260959	637.0723993115354
PTGER4	GSM4260960	778.6997649675445
PTGER4	GSM4260961	451.36414309484235
PTGER4	GSM4260962	936.6571743163
PTGER4	GSM4260963	1510
PTGER4	GSM4260964	1159
PTGER4	GSM4260965	602.792623761871
PTGER4	GSM4260966	2339.1851333820778
PTGER4	GSM4260967	1664.562922007714
PTGER4	GSM4260968	842
PTGER4	GSM4260969	810.4493947125169
PTGER4	GSM4260970	751.7068829490019
PTGER4	GSM4260971	925.7386822626272
PTGER4	GSM4260972	533.4193687064551
PTGER4	GSM4260973	556.5210257499233
PTGER4	GSM4260974	814.951107609809
PTGER4	GSM4260975	774
PTGER4	GSM4260976	1153
PTGER4	GSM4260977	525.5588475641815
PTGER4	GSM4260978	1007
PTGER4	GSM4260979	851.9254061162684
PTGER4	GSM4260980	1313.5586818942927
PTGER4	GSM4260981	1295.4610805845166
PTGER4	GSM4260982	1221.6922806433734
PTGER4	GSM4260983	1693.4358659596176
PTGER4	GSM4260984	1500.7042862266433
PTGER4	GSM4260985	713.8106985604917
PTGER4	GSM4260986	1081.00759660499
PTGER4	GSM4260987	326.2652402645448
PTGER4	GSM4260988	574.550147437642
PTGER4	GSM4260989	1177
PTGER4	GSM4260990	727.2023860331589
PTGER4	GSM4260991	769.1631879109086
PTGER4	GSM4260992	792.0727394741617
PTGER4	GSM4260993	903.7065344866508
PTGER4	GSM4260994	783.9749496577202
PTGER4	GSM4260995	1287.8258561975415
PTGER4	GSM4260996	950.874768265646
PTGER4	GSM4260997	972
PTGER4	GSM4260998	1214.1946503703718
PTGER4	GSM4260999	662
PTGER4	GSM4261000	629.8166858432888
PTGER4	GSM4261001	883
PTGER4	GSM4261002	210.83415495274184
PTGER4	GSM4261003	883.6706890367914
PTGER4	GSM4261004	558.3314322806624
PTGER4	GSM4261005	888
PTGER4	GSM4261006	634.2086956457274
PTGER4	GSM4261007	419.0114718801411
PTGER4	GSM4261008	1024
PTGER4	GSM4261009	1026.2274987452652
