Gene	sample	counts
RP1-159A19.4	GSM1022678	7.082638903848436
RP1-159A19.4	GSM1022679	3.2619988909374578
RP1-159A19.4	GSM1022680	5.120175816295284
RP1-159A19.4	GSM1022681	5.127088509673631
RP1-159A19.4	GSM1022682	4.042601068582376
RP1-159A19.4	GSM1022683	4.062041774139546
RP1-159A19.4	GSM1022684	4.180438318288696
RP1-159A19.4	GSM1022685	7.2095716882049805
RP1-159A19.4	GSM1022686	4.2051886243745225
RP1-159A19.4	GSM1022687	1.0872700680245635
RP1-159A19.4	GSM1022688	4.189733197103755
RP1-159A19.4	GSM1022689	6.135489343088741
RP1-159A19.4	GSM1022690	3.2638742156051803
RP1-159A19.4	GSM1022691	6.456157367284063
RP1-159A19.4	GSM1022692	4.069129985476505
RP1-159A19.4	GSM1022693	13.12497759206991
RP1-159A19.4	GSM1022694	7.311353561968216
RP1-159A19.4	GSM1022695	4.091378265829431
RP1-159A19.4	GSM1385778	2.006062858199299
RP1-159A19.4	GSM1385779	1.077256250738088
RP1-159A19.4	GSM1385780	4.266220218314743
RP1-159A19.4	GSM1385781	1.0118859036434402
RP1-159A19.4	GSM1385782	2.0139262253610246
RP1-159A19.4	GSM1385783	7.442331253299949
RP1-159A19.4	GSM1415906	26.039378757400552
RP1-159A19.4	GSM1415907	10.075958118807732
RP1-159A19.4	GSM1415908	7.1062812744357915
RP1-159A19.4	GSM1415909	10.075958118807732
RP1-159A19.4	GSM1415910	7.059417584643542
RP1-159A19.4	GSM1415911	15.06825881994377
RP1-159A19.4	GSM1415912	5.6710047083097805
RP1-159A19.4	GSM1415913	2.294615963708085
RP1-159A19.4	GSM1415914	6.56535362014725
RP1-159A19.4	GSM1415915	4.302945558695102
RP1-159A19.4	GSM1415916	2.1520524557613543
RP1-159A19.4	GSM1415917	2.190773434426385
RP1-159A19.4	GSM1415918	3.30728958529431
RP1-159A19.4	GSM1415919	1.102372776327608
RP1-159A19.4	GSM1415920	1.0823407984756992
RP1-159A19.4	GSM1415921	3.1648206514274775
RP1-159A19.4	GSM2769390	1.0754464105331571
RP1-159A19.4	GSM2769391	1.0585243543160967
RP1-159A19.4	GSM2769392	1.0476453445591134
RP1-159A19.4	GSM2769393	1.0359543069535193
RP1-159A19.4	GSM2769394	1.0203663161311838
RP1-159A19.4	GSM2769395	1.059075372841705
RP1-159A19.4	GSM2769396	1.0181834902363824
RP1-159A19.4	GSM2769397	1.045256860312832
RP1-159A19.4	GSM2769398	1.0492468388860623
RP1-159A19.4	GSM3103946	19.17331579302867
RP1-159A19.4	GSM3103947	30.28096673487205
RP1-159A19.4	GSM3103948	10.743183671888312
RP1-159A19.4	GSM3103949	19.808366691946144
RP1-159A19.4	GSM3103950	15.37197238875476
RP1-159A19.4	GSM3103951	14
RP1-159A19.4	GSM3103952	16.048502865594394
RP1-159A19.4	GSM3103953	18.16419390918506
RP1-159A19.4	GSM3103954	21.063660011092644
RP1-159A19.4	GSM3103955	19.15010619336871
RP1-159A19.4	GSM3103956	13.350619962610802
RP1-159A19.4	GSM3103957	10.161485132291885
RP1-159A19.4	GSM3103958	9.209016628442445
RP1-159A19.4	GSM3103959	31.0469515953622
RP1-159A19.4	GSM3103960	27
RP1-159A19.4	GSM3103961	21.388253368674757
RP1-159A19.4	GSM3103962	22.167107861377012
RP1-159A19.4	GSM3103963	10.265267313481909
RP1-159A19.4	GSM3103964	20.200312999251317
RP1-159A19.4	GSM3103965	20.03029135184658
RP1-159A19.4	GSM4260265	3.0642418874443806
RP1-159A19.4	GSM4260266	1.012441299517841
RP1-159A19.4	GSM4260267	1.0545087956624577
RP1-159A19.4	GSM4260268	1.0510914796924773
RP1-159A19.4	GSM4260269	1.018326976452085
RP1-159A19.4	GSM4260270	3.042886310179888
RP1-159A19.4	GSM4260271	1.0905319319075826
RP1-159A19.4	GSM4260272	1.0717075320415608
RP1-159A19.4	GSM4260273	2.018243767687229
RP1-159A19.4	GSM4260274	2.1703397958784683
RP1-159A19.4	GSM4260275	1.0654275756550804
RP1-159A19.4	GSM4260276	2.0286320895849874
RP1-159A19.4	GSM4735785	2.1477512887244257
RP1-159A19.4	GSM4735786	2.0629281929484313
RP1-159A19.4	GSM4735787	1.0250095828411494
RP1-159A19.4	GSM4735788	1.0376158093793262
RP1-159A19.4	GSM4735789	3.096440520195232
RP1-159A19.4	GSM4735790	4.148441570427533
RP1-159A19.4	GSM4735791	1.0520134275785296
RP1-159A19.4	GSM4735792	4.287681698828006
RP1-159A19.4	GSM4735793	2.114581930954891
RP1-159A19.4	GSM4735794	1.044747721627841
RP1-159A19.4	GSM4735795	2.0705514400623244
RP1-159A19.4	GSM4735796	1.094525086802148
RP1-159A19.4	GSM4735797	3.244109457022146
RP1-159A19.4	GSM4735798	2.198021431758478
RP1-159A19.4	GSM4735799	1.0886623535830395
RP1-159A19.4	GSM4735800	1.0951432573099251
RP1-159A19.4	GSM4735801	3.1844184101011375
RP1-159A19.4	GSM4735802	1.0299388126007114
RP1-159A19.4	GSM4735803	3.0649246249259634
RP1-159A19.4	GSM4735804	2.08318042948193
RP1-159A19.4	GSM5282507	8
RP1-159A19.4	GSM5282508	6.185977724239337
RP1-159A19.4	GSM5282509	9.04095529196626
RP1-159A19.4	GSM5282510	11.885320655719918
RP1-159A19.4	GSM5282511	6.307111012166417
RP1-159A19.4	GSM5282512	10.352757200311622
RP1-159A19.4	GSM5282513	15.30590988474738
RP1-159A19.4	GSM5282514	11
RP1-159A19.4	GSM5282515	15.441557028747502
RP1-159A19.4	GSM5282516	8.440273993611957
RP1-159A19.4	GSM5282517	30.311626783359102
RP1-159A19.4	GSM5282518	17
RP1-159A19.4	GSM5282519	4.392350680691181
RP1-159A19.4	GSM5282520	10.43436077601602
RP1-159A19.4	GSM5282521	9.257811845751045
RP1-159A19.4	GSM5282522	27.80834794021921
RP1-159A19.4	GSM5282523	11
RP1-159A19.4	GSM5282524	17.181054541475095
RP1-159A19.4	GSM5282525	10
RP1-159A19.4	GSM5282526	12
RP1-159A19.4	GSM5282527	6.041778676083074
RP1-159A19.4	GSM5282528	8.190935889428838
RP1-159A19.4	GSM5282529	14
RP1-159A19.4	GSM5282530	20.425400825949353
RP1-159A19.4	GSM5282531	12.412651883165127
RP1-159A19.4	GSM5282532	10.045505879962514
RP1-159A19.4	GSM5282533	26.101216772177903
RP1-159A19.4	GSM5282534	22.086235621606217
RP1-159A19.4	GSM5282535	6.009087405553974
RP1-159A19.4	GSM5282536	14.20456541077436
RP1-159A19.4	GSM4260927	10
RP1-159A19.4	GSM4260928	11.343909330129105
RP1-159A19.4	GSM4260929	3.896131705039838
RP1-159A19.4	GSM4260930	11
RP1-159A19.4	GSM4260931	8.024251432797197
RP1-159A19.4	GSM4260932	9.01363110833096
RP1-159A19.4	GSM4260933	5.88460871254407
RP1-159A19.4	GSM4260934	10
RP1-159A19.4	GSM4260935	8.067905811021191
RP1-159A19.4	GSM4260936	5.077552217674432
RP1-159A19.4	GSM4260937	8
RP1-159A19.4	GSM4260938	5.250082524795975
RP1-159A19.4	GSM4260939	7.0106019731463025
RP1-159A19.4	GSM4260940	5.034815563402561
RP1-159A19.4	GSM4260941	4
RP1-159A19.4	GSM4260942	11.542646272092066
RP1-159A19.4	GSM4260943	5.074424153152493
RP1-159A19.4	GSM4260944	7.320742544022061
RP1-159A19.4	GSM4260945	4.021761221511862
RP1-159A19.4	GSM4260946	2.4319032012245403
RP1-159A19.4	GSM4260947	4.0980412259604595
RP1-159A19.4	GSM4260948	3.8820226679346335
RP1-159A19.4	GSM4260949	8.240671643362353
RP1-159A19.4	GSM4260950	14
RP1-159A19.4	GSM4260951	9.44108921430373
RP1-159A19.4	GSM4260952	5.573231807889779
RP1-159A19.4	GSM4260953	8.785606378466348
RP1-159A19.4	GSM4260954	5.037979059403867
