Gene	sample	counts
SYPL2	GSM1022678	5.059027788463169
SYPL2	GSM1022679	5.436664818229096
SYPL2	GSM1022680	2.048070326518114
SYPL2	GSM1022681	5.127088509673631
SYPL2	GSM1022682	17.181054541475095
SYPL2	GSM1022683	2.031020887069773
SYPL2	GSM1022684	2.090219159144348
SYPL2	GSM1022685	5.149694063003557
SYPL2	GSM1022686	3.153891468280892
SYPL2	GSM1022687	2.174540136049127
SYPL2	GSM1022688	2.0948665985518775
SYPL2	GSM1022689	2.045163114362914
SYPL2	GSM1022690	2.175916143736787
SYPL2	GSM1022691	6.456157367284063
SYPL2	GSM1022692	3.0518474891073786
SYPL2	GSM1022693	4.038454643713819
SYPL2	GSM1022694	2.0889581605623473
SYPL2	GSM1022695	2.0456891329147155
SYPL2	GSM1385778	6.018188574597898
SYPL2	GSM1385779	3.231768752214264
SYPL2	GSM1385780	3.199665163736057
SYPL2	GSM1385781	7.083201325504082
SYPL2	GSM1385782	3.020889338041537
SYPL2	GSM1385783	3.18957053712855
SYPL2	GSM1415906	3.004543702776987
SYPL2	GSM1415907	8.060766495046186
SYPL2	GSM1415908	5.075915196025566
SYPL2	GSM1415909	5.037979059403867
SYPL2	GSM1415910	8.067905811021191
SYPL2	GSM1415911	3.013651763988754
SYPL2	GSM1415912	3.4026028249858684
SYPL2	GSM1415913	2.294615963708085
SYPL2	GSM1415914	2.18845120671575
SYPL2	GSM1415915	6.454418338042652
SYPL2	GSM1415916	2.1520524557613543
SYPL2	GSM1415917	6.572320303279156
SYPL2	GSM1415918	2.20485972352954
SYPL2	GSM1415919	2.204745552655216
SYPL2	GSM1415920	2.1646815969513984
SYPL2	GSM1415921	3.1648206514274775
SYPL2	GSM2769390	4.301785642132629
SYPL2	GSM2769391	4.234097417264387
SYPL2	GSM2769392	4.190581378236454
SYPL2	GSM2769393	4.143817227814077
SYPL2	GSM2769394	6.122197896787103
SYPL2	GSM2769395	4.23630149136682
SYPL2	GSM2769396	4.07273396094553
SYPL2	GSM2769397	4.181027441251328
SYPL2	GSM2769398	4.196987355544249
SYPL2	GSM3103946	2.018243767687229
SYPL2	GSM3103947	1.8352101051437608
SYPL2	GSM3103948	1.4324244895851082
SYPL2	GSM3103949	8.61233334432441
SYPL2	GSM3103950	1.336693251196066
SYPL2	GSM3103951	1
SYPL2	GSM3103952	6.018188574597898
SYPL2	GSM3103953	2.018243767687229
SYPL2	GSM3103954	2.006062858199299
SYPL2	GSM3103955	1.063894788520484
SYPL2	GSM3103956	4.107883065418708
SYPL2	GSM3103957	2.0322970264583766
SYPL2	GSM3103958	15.348361047404072
SYPL2	GSM3103959	6.009087405553974
SYPL2	GSM3103960	6
SYPL2	GSM3103961	5.347063342168689
SYPL2	GSM3103962	2.0151916237615466
SYPL2	GSM3103963	5.132633656740954
SYPL2	GSM3103964	2.0200312999251313
SYPL2	GSM3103965	4.006058270369316
SYPL2	GSM4260265	2.0428279249629204
SYPL2	GSM4260266	13.161736893731932
SYPL2	GSM4260267	1.0545087956624577
SYPL2	GSM4260268	3.153274439077432
SYPL2	GSM4260269	10.183269764520851
SYPL2	GSM4260270	3.042886310179888
SYPL2	GSM4260271	5.452659659537913
SYPL2	GSM4260272	5.358537660207804
SYPL2	GSM4260273	8.072975070748916
SYPL2	GSM4260274	5.064126190383093
SYPL2	GSM4260275	2.130855151310161
SYPL2	GSM4260276	3.042948134377481
SYPL2	GSM4735785	3.2216269330866387
SYPL2	GSM4735786	3.094392289422647
SYPL2	GSM4735787	3.0750287485234487
SYPL2	GSM4735788	3.1128474281379788
SYPL2	GSM4735789	3.096440520195232
SYPL2	GSM4735790	3.1113311778206496
SYPL2	GSM4735791	3.1560402827355887
SYPL2	GSM4735792	3.2157612741210047
SYPL2	GSM4735793	3.171872896432337
SYPL2	GSM4735794	3.134243164883523
SYPL2	GSM4735795	19.67023868059208
SYPL2	GSM4735796	2.189050173604296
SYPL2	GSM4735797	2.162739638014763
SYPL2	GSM4735798	2.198021431758478
SYPL2	GSM4735799	2.177324707166079
SYPL2	GSM4735800	2.1902865146198507
SYPL2	GSM4735801	2.1229456067340915
SYPL2	GSM4735802	2.059877625201423
SYPL2	GSM4735803	7.151490791493914
SYPL2	GSM4735804	2.08318042948193
SYPL2	GSM5282507	1
SYPL2	GSM5282508	7.216974011612559
SYPL2	GSM5282509	3.013651763988754
SYPL2	GSM5282510	1.080483695974538
SYPL2	GSM5282511	1.0511851686944027
SYPL2	GSM5282512	3.105827160093486
SYPL2	GSM5282513	1.0203939923164922
SYPL2	GSM5282514	2
SYPL2	GSM5282515	1.0294371352498335
SYPL2	GSM5282516	1.0550342492014946
SYPL2	GSM5282517	1.0452285097710037
SYPL2	GSM5282518	1
SYPL2	GSM5282519	1.0980876701727953
SYPL2	GSM5282520	1.0434360776016018
SYPL2	GSM5282521	18.51562369150209
SYPL2	GSM5282522	1.0299388126007114
SYPL2	GSM5282523	4
SYPL2	GSM5282524	1.010650267145594
SYPL2	GSM5282525	3
SYPL2	GSM5282526	1
SYPL2	GSM5282527	1.0069631126805123
SYPL2	GSM5282528	4.095467944714419
SYPL2	GSM5282529	1
SYPL2	GSM5282530	4.08508016518987
SYPL2	GSM5282531	1.0343876569304271
SYPL2	GSM5282532	3.013651763988754
SYPL2	GSM5282533	4.833558661514426
SYPL2	GSM5282534	1.0039198009821009
SYPL2	GSM5282535	3.004543702776987
SYPL2	GSM5282536	3.043835445165934
SYPL2	GSM4260927	3
SYPL2	GSM4260928	6.38094899819762
SYPL2	GSM4260929	4.545486989213145
SYPL2	GSM4260930	5
SYPL2	GSM4260931	1.0030314290996496
SYPL2	GSM4260932	7.0106019731463025
SYPL2	GSM4260933	2.521975162518887
SYPL2	GSM4260934	1
SYPL2	GSM4260935	1.008488226377649
SYPL2	GSM4260936	1.0155104435348865
SYPL2	GSM4260937	5
SYPL2	GSM4260938	1.050016504959195
SYPL2	GSM4260939	1.001514567592329
SYPL2	GSM4260940	1.0069631126805123
SYPL2	GSM4260941	9
SYPL2	GSM4260942	0.9618871893410056
SYPL2	GSM4260943	1.0148848306304985
SYPL2	GSM4260944	7.320742544022061
SYPL2	GSM4260945	3.0163209161338966
SYPL2	GSM4260946	5.471782202755215
SYPL2	GSM4260947	1.0245103064901149
SYPL2	GSM4260948	2.32921360076078
SYPL2	GSM4260949	3.0902518662608824
SYPL2	GSM4260950	3
SYPL2	GSM4260951	7.724527538975779
SYPL2	GSM4260952	0.92887196798163
SYPL2	GSM4260953	2.9285354594887827
SYPL2	GSM4260954	3.02278743564232
SYPL2	GSM4260955	1.0463629120445648
SYPL2	GSM4260956	1.021939447988662
SYPL2	GSM4260957	8.02703080483651
SYPL2	GSM4260958	1.046330062669178
SYPL2	GSM4260959	5.088437694181592
SYPL2	GSM4260960	3.0182161432850565
SYPL2	GSM4260961	1.0030314290996496
SYPL2	GSM4260962	1.0039198009821009
SYPL2	GSM4260963	1
SYPL2	GSM4260964	5
SYPL2	GSM4260965	1.0501613654387998
SYPL2	GSM4260966	0.9742545328538432
SYPL2	GSM4260967	4.348387988525898
SYPL2	GSM4260968	1
SYPL2	GSM4260969	1.0030314290996496
SYPL2	GSM4260970	2.4196573485482893
SYPL2	GSM4260971	6.364895447183839
SYPL2	GSM4260972	3.0365428958621736
SYPL2	GSM4260973	1.0045505879962513
SYPL2	GSM4260974	3.048445539687565
SYPL2	GSM4260975	7
SYPL2	GSM4260976	1
SYPL2	GSM4260977	1.036605222020082
SYPL2	GSM4260978	5
SYPL2	GSM4260979	0.9714086728805796
SYPL2	GSM4260980	0.8469108200478999
SYPL2	GSM4260981	6.616997573927724
SYPL2	GSM4260982	5.015157145498248
SYPL2	GSM4260983	1.0152493201196748
SYPL2	GSM4260984	4.0669492851670555
SYPL2	GSM4260985	6.79819712914754
SYPL2	GSM4260986	8.705039211313975
SYPL2	GSM4260987	1.055874563962928
SYPL2	GSM4260988	1.0151062675576712
SYPL2	GSM4260989	5
SYPL2	GSM4260990	0.9359104067350822
SYPL2	GSM4260991	5.007572837961645
SYPL2	GSM4260992	0.7557945987348871
SYPL2	GSM4260993	1.0176875388363185
SYPL2	GSM4260994	0.9619324535677548
SYPL2	GSM4260995	1.0294371352498335
SYPL2	GSM4260996	2.519986134979628
SYPL2	GSM4260997	3
SYPL2	GSM4260998	2.46620443541714
SYPL2	GSM4260999	1
SYPL2	GSM4261000	1.0207725864558976
SYPL2	GSM4261001	1
SYPL2	GSM4261002	1.0812007946294453
SYPL2	GSM4261003	1.0030314290996496
SYPL2	GSM4261004	1.047526139363344
SYPL2	GSM4261005	1
SYPL2	GSM4261006	1.0212700412974676
SYPL2	GSM4261007	1.0661869513489597
SYPL2	GSM4261008	1
SYPL2	GSM4261009	3.0910466829676664
SYPL2	GSM4261010	1.063957723525122
SYPL2	GSM4261011	1.0146118150553114
SYPL2	GSM4261012	1.1919642751404345
SYPL2	GSM4261013	1.0373771387177173
SYPL2	GSM4261014	5.159547136833441
SYPL2	GSM4261015	1.0137139817749876
SYPL2	GSM4261016	1.001514567592329
SYPL2	GSM4261017	1.013077440794964
SYPL2	GSM4261018	3.602948939497832
SYPL2	GSM4261019	1.019491042368788
SYPL2	GSM4261020	1.0930683835753756
