Gene	sample	counts
TRBV7-5	GSM1022678	1.0118055576926337
TRBV7-5	GSM1022679	3.2619988909374578
TRBV7-5	GSM1022680	1.024035163259057
TRBV7-5	GSM1022681	1.0254177019347264
TRBV7-5	GSM1022682	1.010650267145594
TRBV7-5	GSM1022683	1.0155104435348865
TRBV7-5	GSM1022684	1.045109579572174
TRBV7-5	GSM1022685	1.0299388126007114
TRBV7-5	GSM1022686	1.0512971560936306
TRBV7-5	GSM1022687	1.0872700680245635
TRBV7-5	GSM1022688	1.0474332992759388
TRBV7-5	GSM1022689	1.022581557181457
TRBV7-5	GSM1022690	1.0879580718683934
TRBV7-5	GSM1022691	3.228078683642031
TRBV7-5	GSM1022692	2.0345649927382525
TRBV7-5	GSM1022693	1.0096136609284547
TRBV7-5	GSM1022694	2.0889581605623473
TRBV7-5	GSM1022695	1.0228445664573578
TRBV7-5	GSM1385778	1.0030314290996496
TRBV7-5	GSM1385779	1.077256250738088
TRBV7-5	GSM1385780	1.0665550545786855
TRBV7-5	GSM1385781	1.0118859036434402
TRBV7-5	GSM1385782	1.0069631126805123
TRBV7-5	GSM1385783	1.06319017904285
TRBV7-5	GSM1415906	1.001514567592329
TRBV7-5	GSM1415907	1.0075958118807733
TRBV7-5	GSM1415908	1.015183039205113
TRBV7-5	GSM1415909	1.0075958118807733
TRBV7-5	GSM1415910	1.008488226377649
TRBV7-5	GSM1415911	1.0045505879962513
TRBV7-5	GSM1415912	1.134200941661956
TRBV7-5	GSM1415913	1.1473079818540426
TRBV7-5	GSM1415914	1.094225603357875
TRBV7-5	GSM1415915	1.0757363896737755
TRBV7-5	GSM1415916	1.0760262278806771
TRBV7-5	GSM1415917	1.0953867172131926
TRBV7-5	GSM1415918	1.10242986176477
TRBV7-5	GSM1415919	1.102372776327608
TRBV7-5	GSM1415920	1.0823407984756992
TRBV7-5	GSM1415921	1.0549402171424924
TRBV7-5	GSM2769390	1.0754464105331571
TRBV7-5	GSM2769391	1.0585243543160967
TRBV7-5	GSM2769392	1.0476453445591134
TRBV7-5	GSM2769393	1.0359543069535193
TRBV7-5	GSM2769394	1.0203663161311838
TRBV7-5	GSM2769395	1.059075372841705
TRBV7-5	GSM2769396	1.0181834902363824
TRBV7-5	GSM2769397	1.045256860312832
TRBV7-5	GSM2769398	1.0492468388860623
TRBV7-5	GSM3103946	1.0091218838436145
TRBV7-5	GSM3103947	4.588025262859402
TRBV7-5	GSM3103948	2.1486367343776624
TRBV7-5	GSM3103949	0.8612333344324411
TRBV7-5	GSM3103950	3.341733127990165
TRBV7-5	GSM3103951	3
TRBV7-5	GSM3103952	1.0030314290996496
TRBV7-5	GSM3103953	1.0091218838436145
TRBV7-5	GSM3103954	2.006062858199299
TRBV7-5	GSM3103955	0.5319473942602421
TRBV7-5	GSM3103956	1.026970766354677
TRBV7-5	GSM3103957	1.0161485132291883
TRBV7-5	GSM3103958	1.023224069826938
TRBV7-5	GSM3103959	2.003029135184658
TRBV7-5	GSM3103960	1
TRBV7-5	GSM3103961	1.7823544473895632
TRBV7-5	GSM3103962	11.083553930688506
TRBV7-5	GSM3103963	2.053053462696382
TRBV7-5	GSM3103964	1.0100156499625657
TRBV7-5	GSM3103965	3.004543702776987
TRBV7-5	GSM4260265	1.0214139624814602
TRBV7-5	GSM4260266	1.012441299517841
TRBV7-5	GSM4260267	1.0545087956624577
TRBV7-5	GSM4260268	1.0510914796924773
TRBV7-5	GSM4260269	1.018326976452085
TRBV7-5	GSM4260270	1.0142954367266297
TRBV7-5	GSM4260271	1.0905319319075826
TRBV7-5	GSM4260272	1.0717075320415608
TRBV7-5	GSM4260273	1.0091218838436145
TRBV7-5	GSM4260274	1.4468931972523122
TRBV7-5	GSM4260275	1.0654275756550804
TRBV7-5	GSM4260276	1.0143160447924937
TRBV7-5	GSM4735785	5.369378221811064
TRBV7-5	GSM4735786	6.188784578845294
TRBV7-5	GSM4735787	1.0250095828411494
TRBV7-5	GSM4735788	6.2256948562759575
TRBV7-5	GSM4735789	7.225027880455542
TRBV7-5	GSM4735790	2.0742207852137664
TRBV7-5	GSM4735791	2.104026855157059
TRBV7-5	GSM4735792	2.143840849414003
TRBV7-5	GSM4735793	5.286454827387228
TRBV7-5	GSM4735794	4.178990886511364
TRBV7-5	GSM4735795	1.0352757200311622
TRBV7-5	GSM4735796	2.189050173604296
TRBV7-5	GSM4735797	1.0813698190073815
TRBV7-5	GSM4735798	1.099010715879239
TRBV7-5	GSM4735799	1.0886623535830395
TRBV7-5	GSM4735800	1.0951432573099251
TRBV7-5	GSM4735801	1.0614728033670455
TRBV7-5	GSM4735802	1.0299388126007114
TRBV7-5	GSM4735803	1.0216415416419875
TRBV7-5	GSM4735804	1.041590214740965
TRBV7-5	GSM5282507	81
TRBV7-5	GSM5282508	42.270847782302134
TRBV7-5	GSM5282509	92.41865409565511
TRBV7-5	GSM5282510	39.977896751057905
TRBV7-5	GSM5282511	29.43318472344328
TRBV7-5	GSM5282512	59.01071604177624
TRBV7-5	GSM5282513	75.50915543142041
TRBV7-5	GSM5282514	85
TRBV7-5	GSM5282515	14.412119893497668
TRBV7-5	GSM5282516	64.35708920129117
TRBV7-5	GSM5282517	105.56807948687135
TRBV7-5	GSM5282518	72
TRBV7-5	GSM5282519	239.3831120976694
TRBV7-5	GSM5282520	65.73647288890092
TRBV7-5	GSM5282521	46.289059228755214
TRBV7-5	GSM5282522	106.08369769787328
TRBV7-5	GSM5282523	73
TRBV7-5	GSM5282524	13.13845347289272
TRBV7-5	GSM5282525	89
TRBV7-5	GSM5282526	28
TRBV7-5	GSM5282527	33.2297827184569
TRBV7-5	GSM5282528	22.525073695929304
TRBV7-5	GSM5282529	39
TRBV7-5	GSM5282530	80.68033326249994
TRBV7-5	GSM5282531	32.06601736484325
TRBV7-5	GSM5282532	48.21842822382006
TRBV7-5	GSM5282533	45.43545141823561
TRBV7-5	GSM5282534	34.13327323339142
TRBV7-5	GSM5282535	32.048466162954526
TRBV7-5	GSM5282536	56.81826164309744
TRBV7-5	GSM4260927	8
TRBV7-5	GSM4260928	32.61373932412117
TRBV7-5	GSM4260929	13.636460967639431
TRBV7-5	GSM4260930	11
TRBV7-5	GSM4260931	23.06972286929194
TRBV7-5	GSM4260932	17.025747649069594
TRBV7-5	GSM4260933	13.450534200100732
TRBV7-5	GSM4260934	21
TRBV7-5	GSM4260935	21.178252753930625
TRBV7-5	GSM4260936	17.26367754009307
TRBV7-5	GSM4260937	24
TRBV7-5	GSM4260938	24.150379614061485
TRBV7-5	GSM4260939	40.06058270369316
TRBV7-5	GSM4260940	14.097483577527171
TRBV7-5	GSM4260941	13
TRBV7-5	GSM4260942	13.466420650774076
TRBV7-5	GSM4260943	24.357235935131964
TRBV7-5	GSM4260944	14.641485088044124
TRBV7-5	GSM4260945	21.114246412937277
TRBV7-5	GSM4260946	15.199395007653376
TRBV7-5	GSM4260947	26.63726796874299
TRBV7-5	GSM4260948	19.410113339673167
TRBV7-5	GSM4260949	17.511427242145
TRBV7-5	GSM4260950	20
TRBV7-5	GSM4260951	22.31530177926336
TRBV7-5	GSM4260952	15.790823455687708
TRBV7-5	GSM4260953	36.11860400036165
TRBV7-5	GSM4260954	20.151916237615467
TRBV7-5	GSM4260955	12.556354944534778
TRBV7-5	GSM4260956	20.43878895977324
TRBV7-5	GSM4260957	24.972984726158032
TRBV7-5	GSM4260958	32.43623194274452
TRBV7-5	GSM4260959	18.318375699053732
TRBV7-5	GSM4260960	27.163945289565508
TRBV7-5	GSM4260961	13.039408578295443
TRBV7-5	GSM4260962	30.11759402946302
TRBV7-5	GSM4260963	17
TRBV7-5	GSM4260964	25
TRBV7-5	GSM4260965	32.55500232860279
TRBV7-5	GSM4260966	6.819781729976904
TRBV7-5	GSM4260967	13.045163965577697
TRBV7-5	GSM4260968	13
TRBV7-5	GSM4260969	19.057597152893344
TRBV7-5	GSM4260970	9.678629394193155
TRBV7-5	GSM4260971	21.216318157279463
TRBV7-5	GSM4260972	24.29234316689739
TRBV7-5	GSM4260973	20.091011759925028
TRBV7-5	GSM4260974	11.177633645521071
TRBV7-5	GSM4260975	18
TRBV7-5	GSM4260976	36
TRBV7-5	GSM4260977	22.8053148844418
TRBV7-5	GSM4260978	13
TRBV7-5	GSM4260979	14.571130093208696
TRBV7-5	GSM4260980	17.785127221005897
TRBV7-5	GSM4260981	24.997546390393623
TRBV7-5	GSM4260982	32.09700573118879
TRBV7-5	GSM4260983	27.41173164323122
TRBV7-5	GSM4260984	18.707966711768453
TRBV7-5	GSM4260985	31.724919936021852
TRBV7-5	GSM4260986	36.402891247312986
TRBV7-5	GSM4260987	12.670494767555136
TRBV7-5	GSM4260988	20.302125351153425
TRBV7-5	GSM4260989	31
TRBV7-5	GSM4260990	22.46184976164197
TRBV7-5	GSM4260991	19.02877678425425
TRBV7-5	GSM4260992	15.115891974697742
TRBV7-5	GSM4260993	8.141500310690548
TRBV7-5	GSM4260994	26.934108699897138
TRBV7-5	GSM4260995	21.6181798402465
TRBV7-5	GSM4260996	7.559958404938883
TRBV7-5	GSM4260997	25
TRBV7-5	GSM4260998	18.90756733819807
TRBV7-5	GSM4260999	28
TRBV7-5	GSM4261000	18.37390655620616
TRBV7-5	GSM4261001	18
TRBV7-5	GSM4261002	11.893208740923898
TRBV7-5	GSM4261003	28.08488001479019
TRBV7-5	GSM4261004	39.80599329580707
TRBV7-5	GSM4261005	24
TRBV7-5	GSM4261006	7.148890289082273
TRBV7-5	GSM4261007	29.853234637770868
TRBV7-5	GSM4261008	24
TRBV7-5	GSM4261009	25.758722358063885
TRBV7-5	GSM4261010	12.767492682301466
TRBV7-5	GSM4261011	24.35068356132747
TRBV7-5	GSM4261012	16.68749985196608
TRBV7-5	GSM4261013	22.822297051789786
TRBV7-5	GSM4261014	11.351003701033571
TRBV7-5	GSM4261015	16.219423708399802
TRBV7-5	GSM4261016	15.022718513884936
TRBV7-5	GSM4261017	30.392323223848916
TRBV7-5	GSM4261018	15.132385545890894
TRBV7-5	GSM4261019	35.682186482907575
TRBV7-5	GSM4261020	6.558410301452253
TRBV7-5	GSM4261021	25.91744049474853
TRBV7-5	GSM4261022	6.036432286570113
TRBV7-5	GSM4261023	16
TRBV7-5	GSM4261024	9.432073855095243
TRBV7-5	GSM4261025	36.11682995783409
TRBV7-5	GSM4261026	65.13192265005154
TRBV7-5	GSM4261027	15.402625634803597
TRBV7-5	GSM4818000	1.0096136609284547
TRBV7-5	GSM4818001	2.0732104440401637
TRBV7-5	GSM4818002	5.134853831773385
TRBV7-5	GSM4818003	2.0839533465197264
TRBV7-5	GSM4818004	1.1459229993584086
TRBV7-5	GSM4818005	1.0586538579016196
TRBV7-5	GSM4818006	1.1491148103776652
TRBV7-5	GSM4818007	1.15327203478029
TRBV7-5	GSM4818008	1.011545386933744
TRBV7-5	GSM4818009	2.0705340011380158
TRBV7-5	GSM4818010	1.073724331124021
TRBV7-5	GSM4818011	3.3212978791338577
TRBV7-5	GSM4818012	7.080817708536209
TRBV7-5	GSM4818013	2.0531797467471495
TRBV7-5	GSM4818014	4.538803166505075
TRBV7-5	GSM4818015	3.1947648701731093
TRBV7-5	GSM4818016	6.273456127992687
TRBV7-5	GSM4818017	3.053062616508955
TRBV7-5	GSM4818018	2.051525776968747
TRBV7-5	GSM4818019	1.011545386933744
TRBV7-5	GSM4818020	5.0424411318882445
TRBV7-5	GSM4818021	3.040322542929633
TRBV7-5	GSM4818022	5.249004345269236
TRBV7-5	GSM4818023	1.0764977873612749
TRBV7-5	GSM3056394	10.526834287841927
TRBV7-5	GSM3056395	7.7001016227093615
TRBV7-5	GSM3056396	9.366708214795665
TRBV7-5	GSM3056397	6.309622259351285
TRBV7-5	GSM3056398	11.17061487888375
TRBV7-5	GSM3056399	8.63210608712421
TRBV7-5	GSM3056400	11.64047308860158
TRBV7-5	GSM3056401	7.278233320784736
TRBV7-5	GSM3056402	12.624269012834931
TRBV7-5	GSM3056403	13.45894940800503
TRBV7-5	GSM3056404	14.224074675543491
TRBV7-5	GSM3056405	5.585490638625987
TRBV7-5	GSM3056406	9.640105237843102
TRBV7-5	GSM3056407	2.1521962510663912
TRBV7-5	GSM3056408	13.493024782384198
TRBV7-5	GSM3056409	9.348130497574738
TRBV7-5	GSM3056410	9.393477078017094
TRBV7-5	GSM3056411	7.265172640266431
TRBV7-5	GSM3056412	6.983930899869166
TRBV7-5	GSM3056413	3.382635114926865
TRBV7-5	GSM3056414	4.088698267525478
TRBV7-5	GSM3056415	4.17153429797996
TRBV7-5	GSM3056416	3.518770040336952
TRBV7-5	GSM3056417	5.253508202924269
TRBV7-5	GSM3056418	14.177923929293517
TRBV7-5	GSM3056419	8.678987302948093
TRBV7-5	GSM3056420	12.252421565546753
TRBV7-5	GSM3056421	3.3014897690324925
TRBV7-5	GSM3056422	2.213890201235347
TRBV7-5	GSM3056423	1.1885874171038933
TRBV7-5	GSM3056424	7.5311222813185585
TRBV7-5	GSM3056425	3.491928695117936
TRBV7-5	GSM3056426	2.0713758534054465
TRBV7-5	GSM3056427	1.1409895430786463
TRBV7-5	GSM3056428	15.41820511494852
TRBV7-5	GSM3056429	7.551212363022493
TRBV7-5	GSM3056430	5.206124263212383
TRBV7-5	GSM3056431	13.2548362386153
TRBV7-5	GSM3056432	6.265991454796411
TRBV7-5	GSM3056433	4.619632130520144
TRBV7-5	GSM3056434	11.296678429901448
TRBV7-5	GSM3056435	14.66106023887873
TRBV7-5	GSM3056436	3.352272477216044
TRBV7-5	GSM3056437	7.754258593399541
TRBV7-5	GSM3056438	3.2038305471842636
TRBV7-5	GSM3056439	6.482393584006988
TRBV7-5	GSM3056440	2.398700089777478
TRBV7-5	GSM3056441	7.255807797220666
TRBV7-5	GSM3056442	12.156929289539566
TRBV7-5	GSM3056443	9.231716268845153
TRBV7-5	GSM3056444	2.243387813847266
TRBV7-5	GSM3056445	7.2579060056009235
TRBV7-5	GSM3056446	4.054284582192417
TRBV7-5	GSM3056447	10.10650267145594
TRBV7-5	GSM3056448	13.22993800487214
TRBV7-5	GSM3056449	5.34492327408966
TRBV7-5	GSM3056450	10.169051966685313
TRBV7-5	GSM3056451	3.2554165174622467
TRBV7-5	GSM3056452	12.398052667673651
TRBV7-5	GSM3056453	10.203663161311836
TRBV7-5	GSM3056454	6.45232177507887
TRBV7-5	GSM3056455	6.131802630347989
TRBV7-5	GSM3056456	15.272752353545735
TRBV7-5	GSM3056457	16.500624653486465
TRBV7-5	GSM3056458	1.2194518775921512
TRBV7-5	GSM3056459	15.700756425871102
TRBV7-5	GSM3056460	7.997406307141869
TRBV7-5	GSM3056461	4.4784517112331
TRBV7-5	GSM3056462	4.367158798869586
TRBV7-5	GSM3056463	9.313187357217592
TRBV7-5	GSM3056464	11.463820861741054
TRBV7-5	GSM3056465	8.074359328816328
TRBV7-5	GSM3056466	3.24394793917766
TRBV7-5	GSM3056467	13.17379188215714
TRBV7-5	GSM3056468	11.265433586753248
TRBV7-5	GSM3056469	7.99901954956443
TRBV7-5	GSM3056470	4.587749267943414
TRBV7-5	GSM3056471	4.588533841670786
TRBV7-5	GSM3056472	4.416759847635431
TRBV7-5	GSM3056473	6.765106780993027
TRBV7-5	GSM3056474	7.271792788553199
TRBV7-5	GSM3056475	2.1325991341744226
TRBV7-5	GSM3056476	19.30430634778975
TRBV7-5	GSM3056477	9.513001354984118
TRBV7-5	GSM3056478	9.189316174160064
TRBV7-5	GSM3056479	7.3918559491438
TRBV7-5	GSM3056480	9.590139906030226
TRBV7-5	GSM3056481	6.328090971277213
TRBV7-5	GSM3056482	8.173413371604166
TRBV7-5	GSM3056483	8.212718986988598
TRBV7-5	GSM3056484	16.32760032419068
TRBV7-5	GSM3056485	11.165023744235596
TRBV7-5	GSM3056486	12.036377149195795
TRBV7-5	GSM3056487	9.33530891465046
TRBV7-5	GSM3056488	4.091843851869547
TRBV7-5	GSM3056489	10.294371352498334
TRBV7-5	GSM3056490	9.225836308565407
TRBV7-5	GSM3056491	6.5746575360132224
TRBV7-5	GSM3056492	5.774525554703766
TRBV7-5	GSM3056493	8.200299079754997
TRBV7-5	GSM3056494	2.158827208770569
TRBV7-5	GSM3056495	8.15780478362991
TRBV7-5	GSM3056496	7.681578685811109
TRBV7-5	GSM3056497	6.2513856969541015
TRBV7-5	GSM3056498	5.169879838849236
TRBV7-5	GSM3056499	9.985572213766927
TRBV7-5	GSM3056500	6.2134204924131
TRBV7-5	GSM3056501	23.24810017247606
TRBV7-5	GSM3056502	7.478972111028256
TRBV7-5	GSM3056503	7.475401848986652
TRBV7-5	GSM3056504	4.548769191395369
TRBV7-5	GSM3056505	9.785124476087738
TRBV7-5	GSM3056506	4.461229803847588
TRBV7-5	GSM3056507	5.245421166912685
TRBV7-5	GSM3056508	6.261627884698194
TRBV7-5	GSM3056509	3.4070055857245847
TRBV7-5	GSM3056510	9.388509961722288
TRBV7-5	GSM3056511	3.0638101238924027
