Gene	sample	counts
ZNF467	GSM1022678	580.7763901155718
ZNF467	GSM1022679	431.67118656739024
ZNF467	GSM1022680	542.7386365273002
ZNF467	GSM1022681	530.1409519002535
ZNF467	GSM1022682	415.37725979683904
ZNF467	GSM1022683	517.9103262027921
ZNF467	GSM1022684	467.16398206876187
ZNF467	GSM1022685	419.1850967284895
ZNF467	GSM1022686	495.1609605201001
ZNF467	GSM1022687	461.0025088424149
ZNF467	GSM1022688	430.49508600241086
ZNF467	GSM1022689	501.06496301891383
ZNF467	GSM1022690	483.0533839095667
ZNF467	GSM1022691	463.76730421657186
ZNF467	GSM1022692	488.2955982571806
ZNF467	GSM1022693	524.9991036827964
ZNF467	GSM1022694	442.8591300392176
ZNF467	GSM1022695	477.66841253558607
ZNF467	GSM1385778	418.26410593455387
ZNF467	GSM1385779	398.5848127730926
ZNF467	GSM1385780	674.0627944937294
ZNF467	GSM1385781	389.5760729027245
ZNF467	GSM1385782	381.63901970591417
ZNF467	GSM1385783	587.944169010696
ZNF467	GSM1415906	677.0238476924144
ZNF467	GSM1415907	479.6156064552481
ZNF467	GSM1415908	486.2726757792492
ZNF467	GSM1415909	495.73713944534046
ZNF467	GSM1415910	488.1083015667821
ZNF467	GSM1415911	482.18428223820064
ZNF467	GSM1415912	469.5591898480498
ZNF467	GSM1415913	474.9855044875736
ZNF467	GSM1415914	475.9881374606756
ZNF467	GSM1415915	492.6872664705891
ZNF467	GSM1415916	468.07140912809456
ZNF467	GSM1415917	454.58548764347495
ZNF467	GSM1415918	465.22540166473294
ZNF467	GSM1415919	474.02029382087136
ZNF467	GSM1415920	463.2418617475993
ZNF467	GSM1415921	445.18477163413183
ZNF467	GSM2769390	478.57365268725493
ZNF467	GSM2769391	497.50644652856545
ZNF467	GSM2769392	479.8215678080739
ZNF467	GSM2769393	481.71875273338645
ZNF467	GSM2769394	585.6902654592996
ZNF467	GSM2769395	522.1241588109606
ZNF467	GSM2769396	434.76435033093526
ZNF467	GSM2769397	441.0983950520151
ZNF467	GSM2769398	437.535931815488
ZNF467	GSM3103946	439.9771413558159
ZNF467	GSM3103947	403.74622313162735
ZNF467	GSM3103948	361.6871836202398
ZNF467	GSM3103949	443.5351672327072
ZNF467	GSM3103950	318.8013404102618
ZNF467	GSM3103951	498
ZNF467	GSM3103952	446.34898594934407
ZNF467	GSM3103953	439.9771413558159
